Loading cached latent encoders from pretrained/darla/dqn/cologne3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne3/baseline_v1_darla_s0/model/cologne3_noise5_dqn_latent_observation -> eval real_setting=noise10
REAL_TEST step:2, travel time:1402.2948837209303, q_loss:100, rewards:-387.32465, queue:58.45817, delay:4.30166, throughput:479
REAL_TEST step:4, travel time:886.5145631067961, q_loss:100, rewards:-331.8893, queue:50.939083, delay:4.339864, throughput:998
REAL_TEST step:6, travel time:1014.7375256322624, q_loss:100, rewards:-368.01227, queue:59.885956, delay:4.2924705, throughput:865
REAL_TEST step:8, travel time:1224.8852080123268, q_loss:100, rewards:-401.2911, queue:68.109024, delay:4.508201, throughput:658
REAL_TEST step:10, travel time:1027.4158145875938, q_loss:100, rewards:-367.04953, queue:60.17314, delay:4.176291, throughput:860
REAL_TEST step:12, travel time:836.1074433656958, q_loss:100, rewards:-382.61258, queue:62.878117, delay:4.2244763, throughput:1019
REAL_TEST step:14, travel time:710.9270601336303, q_loss:100, rewards:-448.54047, queue:67.8615, delay:4.4021764, throughput:1301
REAL_TEST step:16, travel time:502.9720212252774, q_loss:100, rewards:-426.69302, queue:63.552517, delay:4.3108397, throughput:1539
REAL_TEST step:18, travel time:1205.1073825503356, q_loss:100, rewards:-388.58914, queue:59.56045, delay:4.294237, throughput:591
REAL_TEST step:20, travel time:196.178886756238, q_loss:100, rewards:-301.41785, queue:46.62154, delay:4.1000495, throughput:2424
REAL_TEST step:22, travel time:146.12279355333845, q_loss:100, rewards:-249.94434, queue:38.168755, delay:4.190459, throughput:2490
REAL_TEST step:24, travel time:194.06973180076628, q_loss:100, rewards:-293.50012, queue:45.667095, delay:4.260181, throughput:2470
REAL_TEST step:26, travel time:690.0797101449275, q_loss:100, rewards:-302.83487, queue:48.916096, delay:4.2772093, throughput:1152
REAL_TEST step:28, travel time:192.58326817826426, q_loss:100, rewards:-236.9007, queue:37.6255, delay:4.3849716, throughput:2348
REAL_TEST step:30, travel time:101.47128851540616, q_loss:100, rewards:-178.74449, queue:31.66564, delay:4.1972566, throughput:2808
REAL_TEST step:32, travel time:84.39040616246498, q_loss:100, rewards:-156.19911, queue:26.998404, delay:4.192236, throughput:2773
REAL_TEST step:34, travel time:631.1119446047317, q_loss:100, rewards:-304.75104, queue:50.282936, delay:4.301148, throughput:1227
REAL_TEST step:36, travel time:234.1858108108108, q_loss:100, rewards:-263.30557, queue:41.626396, delay:4.3221173, throughput:2143
REAL_TEST step:38, travel time:198.5725249424405, q_loss:100, rewards:-270.96994, queue:42.748634, delay:4.264618, throughput:2447
REAL_TEST step:40, travel time:245.81465848042978, q_loss:100, rewards:-280.02985, queue:45.523125, delay:4.228551, throughput:2407
REAL_TEST step:42, travel time:189.53568687643897, q_loss:100, rewards:-274.22473, queue:43.47304, delay:4.278508, throughput:2421
REAL_TEST step:44, travel time:199.27947932618682, q_loss:100, rewards:-273.9189, queue:43.658867, delay:4.2669897, throughput:2457
REAL_TEST step:46, travel time:169.0548733691481, q_loss:100, rewards:-265.38757, queue:40.885895, delay:4.3155246, throughput:2469
REAL_TEST step:48, travel time:335.0653753026634, q_loss:100, rewards:-274.3827, queue:45.473812, delay:4.211286, throughput:2010
REAL_TEST step:50, travel time:133.11754197927831, q_loss:100, rewards:-174.45035, queue:29.855053, delay:4.185254, throughput:2577
REAL_TEST step:52, travel time:85.35574229691876, q_loss:100, rewards:-159.90343, queue:28.256464, delay:4.029999, throughput:2799
REAL_TEST step:54, travel time:146.41550053821314, q_loss:100, rewards:-177.60767, queue:30.881113, delay:3.966909, throughput:2546
REAL_TEST step:56, travel time:81.94292717086834, q_loss:100, rewards:-155.16519, queue:27.002352, delay:4.123307, throughput:2804
REAL_TEST step:58, travel time:79.05637254901961, q_loss:100, rewards:-156.80006, queue:27.776182, delay:4.2220483, throughput:2803
REAL_TEST step:60, travel time:85.74719887955182, q_loss:100, rewards:-159.22171, queue:28.168999, delay:4.1538625, throughput:2811
REAL_TEST step:62, travel time:85.39810924369748, q_loss:100, rewards:-154.77065, queue:27.847012, delay:4.0168924, throughput:2807
REAL_TEST step:64, travel time:85.90336134453781, q_loss:100, rewards:-159.86333, queue:26.72672, delay:4.1086082, throughput:2810
REAL_TEST step:66, travel time:503.3841836734694, q_loss:100, rewards:-215.0566, queue:39.337772, delay:4.221775, throughput:1468
REAL_TEST step:68, travel time:76.77906162464986, q_loss:100, rewards:-151.45879, queue:26.910793, delay:4.0236382, throughput:2806
REAL_TEST step:70, travel time:84.50525210084034, q_loss:100, rewards:-158.82986, queue:27.319635, delay:4.187089, throughput:2808
REAL_TEST step:72, travel time:81.14880952380952, q_loss:100, rewards:-153.64624, queue:27.069292, delay:4.0835376, throughput:2813
REAL_TEST step:74, travel time:152.36546762589927, q_loss:100, rewards:-183.69879, queue:31.355831, delay:4.2490454, throughput:2519
REAL_TEST step:76, travel time:535.8500251635631, q_loss:100, rewards:-220.5627, queue:39.65658, delay:4.299441, throughput:1401
REAL_TEST step:78, travel time:177.26766205389657, q_loss:100, rewards:-189.66165, queue:32.59066, delay:4.200548, throughput:2442
REAL_TEST step:80, travel time:556.6612480335606, q_loss:100, rewards:-243.46866, queue:42.653835, delay:4.2934804, throughput:1418
REAL_TEST step:82, travel time:84.6733193277311, q_loss:100, rewards:-158.02621, queue:27.519737, delay:4.237222, throughput:2813
REAL_TEST step:84, travel time:424.43376264949404, q_loss:100, rewards:-204.36374, queue:37.994793, delay:4.29616, throughput:1683
REAL_TEST step:86, travel time:95.73529411764706, q_loss:100, rewards:-157.85132, queue:26.670933, delay:4.119056, throughput:2793
REAL_TEST step:88, travel time:567.2690513219285, q_loss:100, rewards:-216.49075, queue:38.887856, delay:4.273229, throughput:1336
REAL_TEST step:90, travel time:83.72829131652661, q_loss:100, rewards:-157.35912, queue:27.373064, delay:4.1293983, throughput:2790
REAL_TEST step:92, travel time:95.55252100840336, q_loss:100, rewards:-156.40756, queue:27.197842, delay:4.1302066, throughput:2809
REAL_TEST step:94, travel time:83.43977591036415, q_loss:100, rewards:-157.29594, queue:26.977915, delay:4.1466055, throughput:2810
REAL_TEST step:96, travel time:84.89355742296918, q_loss:100, rewards:-162.0462, queue:27.973228, delay:4.0802684, throughput:2790
REAL_TEST step:98, travel time:148.0963335729691, q_loss:100, rewards:-179.7759, queue:30.691565, delay:4.103125, throughput:2527
REAL_TEST step:100, travel time:152.81906474820144, q_loss:100, rewards:-186.63264, queue:32.26938, delay:4.119298, throughput:2519
REAL_TEST step:102, travel time:82.20728291316527, q_loss:100, rewards:-159.61412, queue:27.346643, delay:4.122908, throughput:2801
REAL_TEST step:104, travel time:80.96813725490196, q_loss:100, rewards:-162.90462, queue:27.517561, delay:4.240201, throughput:2804
REAL_TEST step:106, travel time:83.77871148459384, q_loss:100, rewards:-160.38586, queue:27.67891, delay:4.1607075, throughput:2804
REAL_TEST step:108, travel time:564.3905109489051, q_loss:100, rewards:-213.40271, queue:39.83493, delay:4.229019, throughput:1325
REAL_TEST step:110, travel time:147.75979863358504, q_loss:100, rewards:-180.55452, queue:31.488274, delay:4.278719, throughput:2517
