Loading cached latent encoders from pretrained/lusr/dqn/cologne3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne3/baseline_v1_lusr_s0/model/cologne3_noise5_dqn_latent_observation -> eval real_setting=dz100
REAL_TEST step:2, travel time:951.5367647058823, q_loss:100, rewards:-382.54288, queue:53.612038, delay:0.70817596, throughput:873
REAL_TEST step:4, travel time:1382.824302134647, q_loss:100, rewards:-356.31876, queue:59.907406, delay:0.7990014, throughput:562
REAL_TEST step:6, travel time:1133.9528169014084, q_loss:100, rewards:-252.9614, queue:47.45, delay:0.6613757, throughput:760
REAL_TEST step:8, travel time:1237.9380378657488, q_loss:100, rewards:-298.045, queue:49.142593, delay:0.7201153, throughput:614
REAL_TEST step:10, travel time:967.7230169050715, q_loss:100, rewards:-198.77945, queue:39.42963, delay:0.61245817, throughput:911
REAL_TEST step:12, travel time:1035.1221273801707, q_loss:100, rewards:-207.41888, queue:36.27222, delay:0.6514702, throughput:856
REAL_TEST step:14, travel time:977.9295865633075, q_loss:100, rewards:-291.5796, queue:44.125, delay:0.6789338, throughput:932
REAL_TEST step:16, travel time:966.9915254237288, q_loss:100, rewards:-223.14905, queue:34.635185, delay:0.5781836, throughput:945
REAL_TEST step:18, travel time:1277.3046458492004, q_loss:100, rewards:-322.29904, queue:50.255554, delay:0.77726847, throughput:648
REAL_TEST step:20, travel time:901.2140033879165, q_loss:100, rewards:-209.24306, queue:35.831482, delay:0.64316076, throughput:1077
REAL_TEST step:22, travel time:878.0183537263626, q_loss:100, rewards:-219.425, queue:37.25185, delay:0.6607325, throughput:1105
REAL_TEST step:24, travel time:799.594929245283, q_loss:100, rewards:-226.74292, queue:34.932407, delay:0.6010605, throughput:1136
REAL_TEST step:26, travel time:753.975768321513, q_loss:100, rewards:-183.51054, queue:27.529629, delay:0.4797666, throughput:1147
REAL_TEST step:28, travel time:1208.6076628352491, q_loss:100, rewards:-308.2139, queue:51.337963, delay:0.75708246, throughput:676
REAL_TEST step:30, travel time:894.7341986455982, q_loss:100, rewards:-194.65639, queue:33.27222, delay:0.5659721, throughput:1067
REAL_TEST step:32, travel time:899.7142042213349, q_loss:100, rewards:-191.35876, queue:32.78426, delay:0.5730803, throughput:1063
REAL_TEST step:34, travel time:897.1254237288135, q_loss:100, rewards:-203.26793, queue:34.696297, delay:0.63593036, throughput:1074
REAL_TEST step:36, travel time:1008.6862491930277, q_loss:100, rewards:-213.08029, queue:37.092594, delay:0.6596336, throughput:885
REAL_TEST step:38, travel time:1133.9528169014084, q_loss:100, rewards:-252.9614, queue:47.45, delay:0.6613757, throughput:760
REAL_TEST step:40, travel time:797.9719101123595, q_loss:100, rewards:-163.49542, queue:26.446297, delay:0.5287429, throughput:1129
REAL_TEST step:42, travel time:916.3048004626952, q_loss:100, rewards:-219.72336, queue:35.899075, delay:0.6118286, throughput:1049
REAL_TEST step:44, travel time:1030.1707152496626, q_loss:100, rewards:-333.1654, queue:54.821297, delay:0.7337031, throughput:867
REAL_TEST step:46, travel time:762.0656028368794, q_loss:100, rewards:-184.77155, queue:27.671297, delay:0.4842449, throughput:1138
REAL_TEST step:48, travel time:1024.5986531986532, q_loss:100, rewards:-332.67972, queue:54.633335, delay:0.71638846, throughput:870
REAL_TEST step:50, travel time:820.1515323496027, q_loss:100, rewards:-281.10248, queue:41.317593, delay:0.6697876, throughput:1152
REAL_TEST step:52, travel time:1035.7604588394063, q_loss:100, rewards:-333.05902, queue:54.82685, delay:0.7334122, throughput:865
REAL_TEST step:54, travel time:816.988551803091, q_loss:100, rewards:-159.21695, queue:26.152779, delay:0.5091105, throughput:1104
REAL_TEST step:56, travel time:820.3260744985673, q_loss:100, rewards:-157.30334, queue:25.841667, delay:0.4944301, throughput:1101
REAL_TEST step:58, travel time:679.1577928363988, q_loss:100, rewards:-181.8214, queue:30.790741, delay:0.5745186, throughput:1416
REAL_TEST step:60, travel time:956.2159090909091, q_loss:100, rewards:-235.9171, queue:43.795372, delay:0.6321377, throughput:989
REAL_TEST step:62, travel time:1272.6896551724137, q_loss:100, rewards:-326.60318, queue:50.994446, delay:0.73480874, throughput:645
