Loading cached latent encoders from pretrained/lusr/dqn/cologne3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne3/baseline_v1_lusr_s0/model/cologne3_noise5_dqn_latent_observation -> eval real_setting=combine3
REAL_TEST step:2, travel time:951.5367647058823, q_loss:100, rewards:-254.36745, queue:38.710407, delay:1.1478281, throughput:873
REAL_TEST step:4, travel time:1331.8445146014208, q_loss:100, rewards:-307.23987, queue:50.91721, delay:1.3236446, throughput:606
REAL_TEST step:6, travel time:1133.9528169014084, q_loss:100, rewards:-248.94891, queue:47.195457, delay:1.314563, throughput:760
REAL_TEST step:8, travel time:1212.1112054329371, q_loss:100, rewards:-224.38434, queue:35.907784, delay:1.1918077, throughput:621
REAL_TEST step:10, travel time:1018.1523687580026, q_loss:100, rewards:-225.37093, queue:40.541153, delay:1.3776844, throughput:901
REAL_TEST step:12, travel time:1071.1483957219252, q_loss:100, rewards:-212.263, queue:32.74734, delay:1.2363657, throughput:815
REAL_TEST step:14, travel time:980.0186615186615, q_loss:100, rewards:-298.67548, queue:44.89932, delay:1.4030253, throughput:935
REAL_TEST step:16, travel time:935.7944803288315, q_loss:100, rewards:-229.66638, queue:36.90458, delay:1.3074753, throughput:997
REAL_TEST step:18, travel time:1307.6280155642023, q_loss:100, rewards:-257.40604, queue:41.026546, delay:1.3018805, throughput:621
REAL_TEST step:20, travel time:893.6168647425014, q_loss:100, rewards:-146.08026, queue:28.188204, delay:1.175663, throughput:1075
REAL_TEST step:22, travel time:922.5296884185773, q_loss:100, rewards:-158.96715, queue:28.597874, delay:1.1238632, throughput:1045
REAL_TEST step:24, travel time:762.8180744240992, q_loss:100, rewards:-187.25261, queue:25.05659, delay:1.0145555, throughput:1146
REAL_TEST step:26, travel time:1015.2551299589603, q_loss:100, rewards:-278.7176, queue:41.77165, delay:1.3505234, throughput:864
REAL_TEST step:28, travel time:1280.695007800312, q_loss:100, rewards:-265.21216, queue:42.500477, delay:1.3760649, throughput:634
REAL_TEST step:30, travel time:964.488115942029, q_loss:100, rewards:-189.76091, queue:35.52657, delay:1.2863247, throughput:1020
REAL_TEST step:32, travel time:906.2228538942582, q_loss:100, rewards:-192.24274, queue:29.810995, delay:1.2670147, throughput:1060
REAL_TEST step:34, travel time:819.2267699115044, q_loss:100, rewards:-195.57626, queue:30.080866, delay:1.3608453, throughput:1148
REAL_TEST step:36, travel time:400.5838450637695, q_loss:100, rewards:-102.90725, queue:20.92538, delay:0.9992759, throughput:1860
REAL_TEST step:38, travel time:1066.2017426273458, q_loss:100, rewards:-205.19937, queue:38.840298, delay:1.3327616, throughput:842
REAL_TEST step:40, travel time:857.9982185273159, q_loss:100, rewards:-200.15976, queue:30.162558, delay:1.1401626, throughput:1053
REAL_TEST step:42, travel time:851.9713322091062, q_loss:100, rewards:-169.1183, queue:30.395908, delay:1.1633745, throughput:1101
REAL_TEST step:44, travel time:990.6535737282678, q_loss:100, rewards:-308.45676, queue:45.25408, delay:1.3718095, throughput:922
REAL_TEST step:46, travel time:757.1525323910483, q_loss:100, rewards:-163.51286, queue:26.063911, delay:1.2767936, throughput:1150
REAL_TEST step:48, travel time:853.705223880597, q_loss:100, rewards:-245.53552, queue:37.17728, delay:1.3515584, throughput:1030
REAL_TEST step:50, travel time:898.1393728222996, q_loss:100, rewards:-158.24388, queue:27.209246, delay:0.8604018, throughput:1002
REAL_TEST step:52, travel time:925.6965389369592, q_loss:100, rewards:-304.09454, queue:49.373062, delay:1.5543617, throughput:993
REAL_TEST step:54, travel time:790.2102304665542, q_loss:100, rewards:-110.85289, queue:17.938265, delay:1.1249076, throughput:1147
REAL_TEST step:56, travel time:768.5350353068984, q_loss:100, rewards:-180.40416, queue:31.982264, delay:1.2350473, throughput:1212
REAL_TEST step:58, travel time:682.1608228143992, q_loss:100, rewards:-147.7413, queue:29.667892, delay:1.1377684, throughput:1451
REAL_TEST step:60, travel time:841.4148106904231, q_loss:100, rewards:-146.39891, queue:25.15418, delay:1.144881, throughput:1127
REAL_TEST step:62, travel time:1492.1327134404057, q_loss:100, rewards:-335.17917, queue:52.875244, delay:1.3821218, throughput:493
REAL_TEST step:64, travel time:740.0403868031855, q_loss:100, rewards:-191.59616, queue:27.860075, delay:1.3531632, throughput:1210
REAL_TEST step:66, travel time:513.6021834061136, q_loss:100, rewards:-99.88635, queue:18.55234, delay:0.9581995, throughput:1770
REAL_TEST step:68, travel time:129.89539899352982, q_loss:100, rewards:-151.16591, queue:19.779945, delay:1.2116575, throughput:2688
REAL_TEST step:70, travel time:763.7336740488358, q_loss:100, rewards:-118.77757, queue:21.259048, delay:0.95384294, throughput:1194
REAL_TEST step:72, travel time:140.6950784593438, q_loss:100, rewards:-61.789433, queue:11.036843, delay:1.154239, throughput:2715
REAL_TEST step:74, travel time:291.39155391553913, q_loss:100, rewards:-210.52391, queue:31.224447, delay:1.2218312, throughput:2278
REAL_TEST step:76, travel time:916.7866205305652, q_loss:100, rewards:-151.44432, queue:29.485958, delay:1.1595155, throughput:1036
REAL_TEST step:78, travel time:466.64666666666665, q_loss:100, rewards:-186.58476, queue:28.317371, delay:1.1874379, throughput:1552
REAL_TEST step:80, travel time:786.5450525152017, q_loss:100, rewards:-156.12602, queue:26.678162, delay:1.1238294, throughput:1155
REAL_TEST step:82, travel time:456.0010741138561, q_loss:100, rewards:-205.26886, queue:30.758463, delay:1.1673362, throughput:1608
REAL_TEST step:84, travel time:765.3270718232044, q_loss:100, rewards:-155.74811, queue:27.107386, delay:1.1941744, throughput:1172
REAL_TEST step:86, travel time:397.3116704805492, q_loss:100, rewards:-133.98956, queue:21.362703, delay:1.0971062, throughput:1860
REAL_TEST step:88, travel time:755.8635831381733, q_loss:100, rewards:-152.92276, queue:25.255735, delay:1.1563205, throughput:1156
REAL_TEST step:90, travel time:249.6703869047619, q_loss:100, rewards:-143.28333, queue:24.854029, delay:1.1096944, throughput:2415
REAL_TEST step:92, travel time:757.8071722516167, q_loss:100, rewards:-209.43237, queue:31.77861, delay:1.2893718, throughput:1150
REAL_TEST step:94, travel time:333.88091889357713, q_loss:100, rewards:-114.66137, queue:21.844275, delay:1.37803, throughput:1914
REAL_TEST step:96, travel time:592.8276687410245, q_loss:100, rewards:-206.8551, queue:30.23676, delay:1.3086288, throughput:1594
REAL_TEST step:98, travel time:1052.7951411687459, q_loss:100, rewards:-206.12543, queue:34.536964, delay:1.2715791, throughput:845
REAL_TEST step:100, travel time:773.5324175824176, q_loss:100, rewards:-160.373, queue:22.30326, delay:1.149238, throughput:1199
REAL_TEST step:102, travel time:256.55611847233047, q_loss:100, rewards:-80.82165, queue:15.658863, delay:1.1267259, throughput:2278
REAL_TEST step:104, travel time:398.79898734177215, q_loss:100, rewards:-172.65398, queue:24.679361, delay:1.3583709, throughput:1748
REAL_TEST step:106, travel time:810.8485523385301, q_loss:100, rewards:-143.49756, queue:21.875973, delay:1.173367, throughput:1139
REAL_TEST step:108, travel time:745.1821449970042, q_loss:100, rewards:-104.17933, queue:20.885447, delay:0.809788, throughput:1149
REAL_TEST step:110, travel time:745.4594438006952, q_loss:100, rewards:-199.50365, queue:30.309006, delay:1.1422852, throughput:1173
REAL_TEST step:112, travel time:277.249791144528, q_loss:100, rewards:-77.38533, queue:13.85874, delay:1.1858952, throughput:2194
REAL_TEST step:114, travel time:763.3482288828338, q_loss:100, rewards:-182.89761, queue:30.21207, delay:1.3207198, throughput:1186
REAL_TEST step:116, travel time:301.6930445647647, q_loss:100, rewards:-171.05902, queue:25.450716, delay:1.2697066, throughput:2184
REAL_TEST step:118, travel time:831.592243767313, q_loss:100, rewards:-133.60358, queue:21.891537, delay:0.96564966, throughput:1131
REAL_TEST step:120, travel time:756.0564334085778, q_loss:100, rewards:-148.82382, queue:25.799, delay:1.1755059, throughput:1177
REAL_TEST step:122, travel time:281.4548453608247, q_loss:100, rewards:-88.302605, queue:17.48021, delay:1.0474606, throughput:2209
REAL_TEST step:124, travel time:443.3589990375361, q_loss:100, rewards:-231.5411, queue:35.895466, delay:1.3163123, throughput:1825
REAL_TEST step:126, travel time:796.4301136363637, q_loss:100, rewards:-133.50035, queue:22.104876, delay:1.1964692, throughput:1156
REAL_TEST step:128, travel time:670.7838692672641, q_loss:100, rewards:-239.21722, queue:40.628147, delay:1.1721938, throughput:1351
REAL_TEST step:130, travel time:761.0779816513761, q_loss:100, rewards:-203.13081, queue:31.486223, delay:1.24804, throughput:1161
REAL_TEST step:132, travel time:438.19100580270793, q_loss:100, rewards:-90.890205, queue:15.034399, delay:0.97344506, throughput:1711
REAL_TEST step:134, travel time:776.6452340665538, q_loss:100, rewards:-215.1512, queue:32.75955, delay:1.3104547, throughput:1167
REAL_TEST step:136, travel time:464.8173836698859, q_loss:100, rewards:-197.53299, queue:31.182112, delay:1.1940929, throughput:1800
REAL_TEST step:138, travel time:131.6796789492886, q_loss:100, rewards:-50.864796, queue:9.889198, delay:0.9691133, throughput:2675
REAL_TEST step:140, travel time:161.60441124155105, q_loss:100, rewards:-129.1875, queue:21.037476, delay:1.0841203, throughput:2738
REAL_TEST step:142, travel time:534.1470054446461, q_loss:100, rewards:-115.607834, queue:19.295218, delay:1.1257937, throughput:1644
REAL_TEST step:144, travel time:162.08500175623465, q_loss:100, rewards:-136.36955, queue:21.5548, delay:1.083892, throughput:2685
REAL_TEST step:146, travel time:136.47829131652662, q_loss:100, rewards:-78.21365, queue:14.101281, delay:1.1176138, throughput:2784
REAL_TEST step:148, travel time:776.3444759206799, q_loss:100, rewards:-203.69322, queue:32.211864, delay:1.4238052, throughput:1155
REAL_TEST step:150, travel time:157.8189775910364, q_loss:100, rewards:-109.78583, queue:20.465527, delay:1.1888143, throughput:2717
REAL_TEST step:152, travel time:795.8308988764045, q_loss:100, rewards:-139.59631, queue:21.27037, delay:1.16513, throughput:1135
REAL_TEST step:154, travel time:791.4731578947368, q_loss:100, rewards:-165.73724, queue:31.435076, delay:0.93683666, throughput:1261
REAL_TEST step:156, travel time:753.4865156418555, q_loss:100, rewards:-185.99336, queue:29.03859, delay:1.179619, throughput:1241
REAL_TEST step:158, travel time:382.43657957244653, q_loss:100, rewards:-122.14477, queue:22.854973, delay:1.251448, throughput:1858
REAL_TEST step:160, travel time:855.7155222158108, q_loss:100, rewards:-197.4694, queue:32.45746, delay:1.1476508, throughput:1103
REAL_TEST step:162, travel time:833.2603583426652, q_loss:100, rewards:-126.14633, queue:23.953554, delay:0.9939887, throughput:1126
REAL_TEST step:164, travel time:751.5725466586393, q_loss:100, rewards:-203.93512, queue:33.12866, delay:1.1004283, throughput:1136
REAL_TEST step:166, travel time:757.5084080717489, q_loss:100, rewards:-206.81557, queue:32.078037, delay:1.4172349, throughput:1170
REAL_TEST step:168, travel time:112.73389355742297, q_loss:100, rewards:-74.9438, queue:14.317345, delay:1.1694798, throughput:2774
REAL_TEST step:170, travel time:123.99194677871148, q_loss:100, rewards:-84.97382, queue:14.88631, delay:1.2777392, throughput:2795
REAL_TEST step:172, travel time:317.2105048859935, q_loss:100, rewards:-140.83589, queue:23.039356, delay:1.0397481, throughput:2142
REAL_TEST step:174, travel time:779.7447887323943, q_loss:100, rewards:-89.13295, queue:19.268034, delay:0.8824164, throughput:1161
REAL_TEST step:176, travel time:878.6856338028169, q_loss:100, rewards:-186.88689, queue:30.171455, delay:1.3316661, throughput:1089
REAL_TEST step:178, travel time:307.676993166287, q_loss:100, rewards:-82.7407, queue:14.056338, delay:1.1714294, throughput:1988
REAL_TEST step:180, travel time:301.37996070726916, q_loss:100, rewards:-83.5962, queue:16.498825, delay:1.0791445, throughput:2176
REAL_TEST step:182, travel time:465.3292682926829, q_loss:100, rewards:-143.34264, queue:26.21842, delay:1.1626955, throughput:1656
REAL_TEST step:184, travel time:677.5679197994988, q_loss:100, rewards:-116.50408, queue:23.713741, delay:1.1075151, throughput:1395
REAL_TEST step:186, travel time:187.27474207107375, q_loss:100, rewards:-115.72728, queue:19.699877, delay:1.399141, throughput:2500
REAL_TEST step:188, travel time:812.9011943539631, q_loss:100, rewards:-180.62643, queue:31.284014, delay:1.169726, throughput:1193
REAL_TEST step:190, travel time:229.00317208564633, q_loss:100, rewards:-80.19168, queue:13.961486, delay:1.0584809, throughput:2390
REAL_TEST step:192, travel time:960.7189157336476, q_loss:100, rewards:-118.01159, queue:21.825829, delay:0.89504224, throughput:1017
REAL_TEST step:194, travel time:320.07432131731196, q_loss:100, rewards:-78.143814, queue:15.50608, delay:0.8497022, throughput:2040
REAL_TEST step:196, travel time:672.8286969253294, q_loss:100, rewards:-149.40549, queue:26.51836, delay:1.2471997, throughput:1431
REAL_TEST step:198, travel time:389.83354457118713, q_loss:100, rewards:-158.94789, queue:28.315807, delay:1.0474107, throughput:2011
Total time taken: 1391.163536310196
