Loading cached latent encoders from pretrained/recon_baseline/dqn/cologne3
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne3/baseline_v1_recon_baseline_s0/model/cologne3_noise5_dqn_latent_observation -> eval real_setting=dz100
REAL_TEST step:1, travel time:1043.1115409413283, q_loss:100, rewards:-228.76016, queue:40.458332, delay:0.68908924, throughput:860
REAL_TEST step:2, travel time:2101.6906290115535, q_loss:100, rewards:-415.6104, queue:61.203705, delay:0.81846255, throughput:169
REAL_TEST step:3, travel time:1035.347972972973, q_loss:100, rewards:-332.95474, queue:54.858334, delay:0.7291943, throughput:865
REAL_TEST step:4, travel time:1056.1402562373567, q_loss:100, rewards:-387.66486, queue:59.163887, delay:0.82013744, throughput:855
REAL_TEST step:5, travel time:711.5708108108108, q_loss:100, rewards:-269.8536, queue:39.05463, delay:0.6861614, throughput:1217
REAL_TEST step:6, travel time:161.8142747505756, q_loss:100, rewards:-151.46516, queue:20.794445, delay:0.473533, throughput:2487
REAL_TEST step:7, travel time:645.4369531652085, q_loss:100, rewards:-334.53128, queue:48.116665, delay:0.73941904, throughput:1323
REAL_TEST step:8, travel time:152.30237912509594, q_loss:100, rewards:-143.19139, queue:18.89537, delay:0.4675124, throughput:2485
REAL_TEST step:9, travel time:457.25912733748885, q_loss:100, rewards:-329.46472, queue:46.399075, delay:0.7238604, throughput:1704
REAL_TEST step:10, travel time:640.9256246368391, q_loss:100, rewards:-209.46445, queue:33.64074, delay:0.61446613, throughput:1212
REAL_TEST step:11, travel time:635.0994219653179, q_loss:100, rewards:-212.3311, queue:34.323147, delay:0.5949996, throughput:1221
REAL_TEST step:12, travel time:148.69186492709133, q_loss:100, rewards:-139.72113, queue:18.023148, delay:0.4771023, throughput:2491
REAL_TEST step:13, travel time:646.9491124260355, q_loss:100, rewards:-209.12999, queue:33.607407, delay:0.5927808, throughput:1191
REAL_TEST step:14, travel time:148.9267075978511, q_loss:100, rewards:-140.59557, queue:18.249075, delay:0.47137392, throughput:2489
REAL_TEST step:15, travel time:145.38918711656441, q_loss:100, rewards:-135.82141, queue:17.293518, delay:0.44428656, throughput:2496
REAL_TEST step:16, travel time:144.51334858886347, q_loss:100, rewards:-132.03432, queue:16.908333, delay:0.43672684, throughput:2505
REAL_TEST step:17, travel time:268.44899598393573, q_loss:100, rewards:-261.87637, queue:34.622223, delay:0.60413396, throughput:2198
REAL_TEST step:18, travel time:116.06596209912536, q_loss:100, rewards:-90.376236, queue:12.585185, delay:0.36962816, throughput:2628
REAL_TEST step:19, travel time:663.1044695745827, q_loss:100, rewards:-329.46957, queue:45.119446, delay:0.6863628, throughput:1249
REAL_TEST step:20, travel time:474.44934333958724, q_loss:100, rewards:-344.13263, queue:47.044445, delay:0.7218247, throughput:1616
REAL_TEST step:21, travel time:541.7172588832487, q_loss:100, rewards:-345.97223, queue:47.344444, delay:0.7360959, throughput:1448
REAL_TEST step:22, travel time:495.7016885553471, q_loss:100, rewards:-349.33655, queue:47.766666, delay:0.7458079, throughput:1567
