Loading cached latent encoders from pretrained/vae_embedding/dqn/cologne3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne3/baseline_v1_vae_s0/model/cologne3_noise5_dqn_latent_observation -> eval real_setting=noise3
REAL_TEST step:2, travel time:1410.1402489626555, q_loss:100, rewards:-333.20108, queue:55.626743, delay:1.609963, throughput:545
REAL_TEST step:4, travel time:775.8625541125541, q_loss:100, rewards:-297.30222, queue:50.43668, delay:1.609884, throughput:1213
REAL_TEST step:6, travel time:1061.2326203208556, q_loss:100, rewards:-322.5797, queue:47.98364, delay:1.5998789, throughput:845
REAL_TEST step:8, travel time:621.1654710664753, q_loss:100, rewards:-182.48077, queue:32.37503, delay:1.5308492, throughput:1438
REAL_TEST step:10, travel time:597.4406938584153, q_loss:100, rewards:-287.68063, queue:42.183468, delay:1.5274171, throughput:1460
REAL_TEST step:12, travel time:493.210712481051, q_loss:100, rewards:-123.993904, queue:24.221376, delay:1.4167173, throughput:1483
REAL_TEST step:14, travel time:128.79564130046444, q_loss:100, rewards:-76.08371, queue:12.390598, delay:1.3832122, throughput:2572
REAL_TEST step:16, travel time:516.1852926947266, q_loss:100, rewards:-128.36607, queue:23.95252, delay:1.4229969, throughput:1495
REAL_TEST step:18, travel time:100.74929971988796, q_loss:100, rewards:-97.6895, queue:14.4476385, delay:1.394036, throughput:2805
REAL_TEST step:20, travel time:770.4925537782681, q_loss:100, rewards:-293.95715, queue:43.744034, delay:1.5277742, throughput:1183
REAL_TEST step:22, travel time:587.9603214465093, q_loss:100, rewards:-204.41145, queue:34.80305, delay:1.5022917, throughput:1359
REAL_TEST step:24, travel time:576.3562315996074, q_loss:100, rewards:-250.97867, queue:36.469753, delay:1.5277398, throughput:1419
REAL_TEST step:26, travel time:579.3376173999011, q_loss:100, rewards:-250.70169, queue:36.31389, delay:1.5238783, throughput:1403
REAL_TEST step:28, travel time:305.8753036437247, q_loss:100, rewards:-185.1491, queue:29.408937, delay:1.5286207, throughput:1959
REAL_TEST step:30, travel time:479.4095720202485, q_loss:100, rewards:-187.15306, queue:29.913946, delay:1.4729515, throughput:1560
REAL_TEST step:32, travel time:643.0283270978086, q_loss:100, rewards:-259.9545, queue:40.73611, delay:1.5585567, throughput:1229
REAL_TEST step:34, travel time:679.7033084311632, q_loss:100, rewards:-290.54105, queue:42.872097, delay:1.5481865, throughput:1256
REAL_TEST step:36, travel time:711.9961046188091, q_loss:100, rewards:-287.6396, queue:44.353394, delay:1.5730034, throughput:1151
REAL_TEST step:38, travel time:717.6542669584245, q_loss:100, rewards:-275.51575, queue:42.57965, delay:1.5500289, throughput:1167
REAL_TEST step:40, travel time:583.3556097560976, q_loss:100, rewards:-212.81992, queue:35.945473, delay:1.5267849, throughput:1390
REAL_TEST step:42, travel time:587.1947990543736, q_loss:100, rewards:-224.09602, queue:35.12808, delay:1.5419898, throughput:1471
REAL_TEST step:44, travel time:169.85714285714286, q_loss:100, rewards:-115.812965, queue:19.418045, delay:1.4276696, throughput:2466
REAL_TEST step:46, travel time:385.3039737812372, q_loss:100, rewards:-120.866165, queue:22.382566, delay:1.4800544, throughput:1819
REAL_TEST step:48, travel time:610.8376623376623, q_loss:100, rewards:-200.24774, queue:34.801067, delay:1.5075297, throughput:1333
REAL_TEST step:50, travel time:79.11729691876751, q_loss:100, rewards:-57.628704, queue:9.796532, delay:1.3644222, throughput:2809
REAL_TEST step:52, travel time:74.85189075630252, q_loss:100, rewards:-53.614193, queue:9.298935, delay:1.3079292, throughput:2812
REAL_TEST step:54, travel time:77.9765406162465, q_loss:100, rewards:-60.30218, queue:10.114821, delay:1.3060484, throughput:2776
REAL_TEST step:56, travel time:133.64088793412103, q_loss:100, rewards:-79.260735, queue:12.785839, delay:1.3713304, throughput:2542
