Loading cached latent encoders from pretrained/vae_embedding/dqn/cologne3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne3/baseline_v1_vae_s0/model/cologne3_noise5_dqn_latent_observation -> eval real_setting=combine2
REAL_TEST step:2, travel time:1529.7290729072906, q_loss:100, rewards:-246.1726, queue:39.498657, delay:1.2479414, throughput:460
REAL_TEST step:4, travel time:864.7279249448123, q_loss:100, rewards:-215.27533, queue:37.672348, delay:1.4648905, throughput:1139
REAL_TEST step:6, travel time:1093.1683708248127, q_loss:100, rewards:-304.70386, queue:45.557724, delay:1.376307, throughput:819
REAL_TEST step:8, travel time:577.7047531992688, q_loss:100, rewards:-129.59929, queue:25.83869, delay:1.2656757, throughput:1528
REAL_TEST step:10, travel time:148.45399698340876, q_loss:100, rewards:-170.34766, queue:23.96628, delay:1.3576455, throughput:2557
REAL_TEST step:12, travel time:79.40231092436974, q_loss:100, rewards:-47.093155, queue:7.695553, delay:1.1521425, throughput:2799
REAL_TEST step:14, travel time:131.05263157894737, q_loss:100, rewards:-67.98174, queue:10.990288, delay:1.258041, throughput:2569
REAL_TEST step:16, travel time:77.55112044817928, q_loss:100, rewards:-47.74999, queue:8.364556, delay:1.2162063, throughput:2814
REAL_TEST step:18, travel time:123.84908963585434, q_loss:100, rewards:-60.57793, queue:10.474396, delay:1.2084525, throughput:2795
REAL_TEST step:20, travel time:780.3007186290769, q_loss:100, rewards:-307.2858, queue:45.247177, delay:1.5484896, throughput:1172
REAL_TEST step:22, travel time:218.8200290275762, q_loss:100, rewards:-108.89693, queue:17.991707, delay:1.2675033, throughput:2321
REAL_TEST step:24, travel time:711.7298578199052, q_loss:100, rewards:-222.17938, queue:28.814848, delay:1.2169485, throughput:1284
REAL_TEST step:26, travel time:510.0382641157256, q_loss:100, rewards:-210.7462, queue:31.144264, delay:1.4371492, throughput:1535
REAL_TEST step:28, travel time:176.0304900181488, q_loss:100, rewards:-104.449425, queue:15.730414, delay:1.2366064, throughput:2461
REAL_TEST step:30, travel time:510.1111111111111, q_loss:100, rewards:-231.51404, queue:37.56052, delay:1.4549266, throughput:1542
REAL_TEST step:32, travel time:580.806023481368, q_loss:100, rewards:-206.28322, queue:33.266567, delay:1.3315816, throughput:1322
REAL_TEST step:34, travel time:687.8758657432072, q_loss:100, rewards:-297.45544, queue:43.20289, delay:1.5474232, throughput:1251
REAL_TEST step:36, travel time:92.43872549019608, q_loss:100, rewards:-52.19394, queue:9.561399, delay:1.1387032, throughput:2768
REAL_TEST step:38, travel time:517.8025507794048, q_loss:100, rewards:-186.99898, queue:29.751446, delay:1.4169807, throughput:1496
REAL_TEST step:40, travel time:600.1382510991696, q_loss:100, rewards:-189.68396, queue:33.679703, delay:1.3165876, throughput:1352
REAL_TEST step:42, travel time:572.2338235294118, q_loss:100, rewards:-201.22101, queue:33.494247, delay:1.4011478, throughput:1397
REAL_TEST step:44, travel time:528.3413729128015, q_loss:100, rewards:-196.53638, queue:31.228827, delay:1.3698324, throughput:1536
REAL_TEST step:46, travel time:254.07343173431735, q_loss:100, rewards:-112.6013, queue:20.753744, delay:1.4687655, throughput:2205
REAL_TEST step:48, travel time:78.5889355742297, q_loss:100, rewards:-56.10307, queue:10.178069, delay:1.3304812, throughput:2770
REAL_TEST step:50, travel time:88.22303921568627, q_loss:100, rewards:-55.90217, queue:8.8869, delay:1.1946424, throughput:2812
REAL_TEST step:52, travel time:77.16036414565826, q_loss:100, rewards:-54.612343, queue:9.313624, delay:1.3076628, throughput:2811
REAL_TEST step:54, travel time:91.25727304591658, q_loss:100, rewards:-62.587116, queue:9.526063, delay:1.1465324, throughput:2790
REAL_TEST step:56, travel time:79.60609243697479, q_loss:100, rewards:-53.885128, queue:8.989249, delay:1.2174902, throughput:2808
REAL_TEST step:58, travel time:75.29551820728291, q_loss:100, rewards:-52.355934, queue:9.248186, delay:1.3759533, throughput:2811
REAL_TEST step:60, travel time:100.19572829131653, q_loss:100, rewards:-58.827995, queue:10.009809, delay:1.2300493, throughput:2798
REAL_TEST step:62, travel time:75.28641456582633, q_loss:100, rewards:-52.078136, queue:8.647086, delay:1.1934768, throughput:2806
REAL_TEST step:64, travel time:75.30847338935574, q_loss:100, rewards:-52.95972, queue:8.5244055, delay:1.2823219, throughput:2811
REAL_TEST step:66, travel time:82.7671568627451, q_loss:100, rewards:-55.61783, queue:9.572769, delay:1.2798026, throughput:2794
REAL_TEST step:68, travel time:636.7936158503027, q_loss:100, rewards:-137.17831, queue:25.284428, delay:1.3344905, throughput:1236
REAL_TEST step:70, travel time:119.99399080947332, q_loss:100, rewards:-55.308296, queue:9.028159, delay:1.1597366, throughput:2762
REAL_TEST step:72, travel time:85.20903361344538, q_loss:100, rewards:-52.29987, queue:8.569024, delay:1.1152046, throughput:2799
REAL_TEST step:74, travel time:144.92122302158273, q_loss:100, rewards:-81.39444, queue:13.114398, delay:1.271913, throughput:2505
REAL_TEST step:76, travel time:78.57808123249299, q_loss:100, rewards:-55.62856, queue:9.211028, delay:1.3689227, throughput:2800
REAL_TEST step:78, travel time:74.93522408963585, q_loss:100, rewards:-54.783756, queue:9.439786, delay:1.3493464, throughput:2810
REAL_TEST step:80, travel time:76.69957983193277, q_loss:100, rewards:-52.134037, queue:8.751596, delay:1.2908709, throughput:2804
REAL_TEST step:82, travel time:76.06162464985995, q_loss:100, rewards:-53.2667, queue:8.551369, delay:1.2497848, throughput:2818
REAL_TEST step:84, travel time:590.9619450317125, q_loss:100, rewards:-114.58123, queue:21.76437, delay:1.2640041, throughput:1312
REAL_TEST step:86, travel time:84.71183473389355, q_loss:100, rewards:-54.73967, queue:9.184016, delay:1.1655579, throughput:2808
REAL_TEST step:88, travel time:75.41141456582633, q_loss:100, rewards:-50.575623, queue:8.396127, delay:1.3118879, throughput:2804
REAL_TEST step:90, travel time:148.064111747851, q_loss:100, rewards:-74.15857, queue:12.717543, delay:1.1750536, throughput:2535
REAL_TEST step:92, travel time:83.80672268907563, q_loss:100, rewards:-52.576443, queue:8.823305, delay:1.2251811, throughput:2806
REAL_TEST step:94, travel time:78.27135854341736, q_loss:100, rewards:-52.97625, queue:8.803964, delay:1.2938144, throughput:2801
REAL_TEST step:96, travel time:76.20028011204482, q_loss:100, rewards:-52.72307, queue:9.125314, delay:1.3212531, throughput:2810
REAL_TEST step:98, travel time:73.86204481792717, q_loss:100, rewards:-43.918377, queue:7.5738378, delay:1.1054871, throughput:2810
REAL_TEST step:100, travel time:97.656162464986, q_loss:100, rewards:-56.8815, queue:9.946157, delay:1.1635756, throughput:2804
REAL_TEST step:102, travel time:142.08687879871292, q_loss:100, rewards:-74.67005, queue:12.848651, delay:1.2719077, throughput:2568
REAL_TEST step:104, travel time:366.36662452591656, q_loss:100, rewards:-136.28499, queue:22.720243, delay:1.4116676, throughput:2045
REAL_TEST step:106, travel time:76.25980392156863, q_loss:100, rewards:-51.375797, queue:8.327506, delay:1.1870458, throughput:2809
REAL_TEST step:108, travel time:416.1878868258179, q_loss:100, rewards:-75.06324, queue:14.24852, delay:0.89295995, throughput:1763
REAL_TEST step:110, travel time:80.74929971988796, q_loss:100, rewards:-52.297283, queue:8.992675, delay:1.2577899, throughput:2810
REAL_TEST step:112, travel time:524.8105153565851, q_loss:100, rewards:-138.6832, queue:25.1085, delay:1.3644115, throughput:1423
REAL_TEST step:114, travel time:85.19712885154061, q_loss:100, rewards:-63.769814, queue:10.770398, delay:1.373062, throughput:2813
REAL_TEST step:116, travel time:154.44732110751528, q_loss:100, rewards:-88.88184, queue:13.836022, delay:1.3387951, throughput:2509
