Loading cached latent encoders from pretrained/atc/dqn/hz1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz1x1/baseline_v1_atc_s0/model/hz1x1_noise5_dqn_latent_observation -> eval real_setting=noise20
REAL_TEST step:2, travel time:851.9344473007712, q_loss:100, rewards:-306.1834, queue:205.35916, delay:8.554941, throughput:583
REAL_TEST step:4, travel time:852.9202518363064, q_loss:100, rewards:-357.65082, queue:238.67459, delay:8.342342, throughput:604
REAL_TEST step:6, travel time:852.9202518363064, q_loss:100, rewards:-355.31195, queue:242.24344, delay:8.712495, throughput:604
REAL_TEST step:8, travel time:799.4790174002047, q_loss:100, rewards:-345.4615, queue:233.62895, delay:8.605858, throughput:633
REAL_TEST step:10, travel time:773.953488372093, q_loss:100, rewards:-340.44043, queue:230.0105, delay:8.536796, throughput:652
REAL_TEST step:12, travel time:723.5927342256214, q_loss:100, rewards:-336.33453, queue:222.89839, delay:8.921643, throughput:708
REAL_TEST step:14, travel time:578.141545524101, q_loss:100, rewards:-331.02686, queue:216.51892, delay:8.711958, throughput:969
REAL_TEST step:16, travel time:563.7443857331572, q_loss:100, rewards:-358.21112, queue:242.56137, delay:8.369448, throughput:1138
REAL_TEST step:18, travel time:333.05888650963595, q_loss:100, rewards:-258.81622, queue:173.77785, delay:8.578995, throughput:1622
REAL_TEST step:20, travel time:417.31724137931036, q_loss:100, rewards:-302.82242, queue:196.98422, delay:8.228499, throughput:1429
REAL_TEST step:22, travel time:391.06696181516327, q_loss:100, rewards:-293.99, queue:200.00903, delay:8.672442, throughput:1517
REAL_TEST step:24, travel time:406.95274660366215, q_loss:100, rewards:-287.01785, queue:191.90152, delay:8.812865, throughput:1475
REAL_TEST step:26, travel time:755.269146608315, q_loss:100, rewards:-314.24292, queue:209.86955, delay:8.227301, throughput:706
REAL_TEST step:28, travel time:357.5991016282987, q_loss:100, rewards:-271.37134, queue:179.5654, delay:8.329119, throughput:1421
REAL_TEST step:30, travel time:401.2042007001167, q_loss:100, rewards:-293.0134, queue:194.27106, delay:9.095471, throughput:1360
REAL_TEST step:32, travel time:309.7536997885835, q_loss:100, rewards:-250.29437, queue:163.858, delay:8.321901, throughput:1652
REAL_TEST step:34, travel time:387.758918296893, q_loss:100, rewards:-282.01364, queue:195.06226, delay:8.285944, throughput:1416
REAL_TEST step:36, travel time:318.4915806626833, q_loss:100, rewards:-250.98868, queue:168.60944, delay:8.58206, throughput:1513
REAL_TEST step:38, travel time:322.2508342602892, q_loss:100, rewards:-248.53514, queue:165.96628, delay:8.084099, throughput:1450
REAL_TEST step:40, travel time:341.7197096594081, q_loss:100, rewards:-261.8589, queue:174.48315, delay:8.318198, throughput:1461
REAL_TEST step:42, travel time:225.16374561842764, q_loss:100, rewards:-195.17715, queue:129.46152, delay:8.685311, throughput:1833
REAL_TEST step:44, travel time:213.65775136206042, q_loss:100, rewards:-184.08472, queue:125.30266, delay:8.57112, throughput:1892
REAL_TEST step:46, travel time:278.3450479233227, q_loss:100, rewards:-228.61513, queue:150.8363, delay:8.345977, throughput:1693
REAL_TEST step:48, travel time:280.27249224405375, q_loss:100, rewards:-232.0513, queue:154.79544, delay:8.432478, throughput:1753
REAL_TEST step:50, travel time:332.5961218836565, q_loss:100, rewards:-253.99681, queue:169.86592, delay:7.734902, throughput:1607
REAL_TEST step:52, travel time:511.85279889426397, q_loss:100, rewards:-315.02667, queue:210.20415, delay:8.295393, throughput:1205
REAL_TEST step:54, travel time:316.1651835372636, q_loss:100, rewards:-242.39967, queue:161.89032, delay:8.813094, throughput:1609
REAL_TEST step:56, travel time:360.24473975636766, q_loss:100, rewards:-273.01938, queue:185.064, delay:8.424935, throughput:1557
REAL_TEST step:58, travel time:296.9053610503282, q_loss:100, rewards:-232.65764, queue:154.80972, delay:8.464395, throughput:1622
REAL_TEST step:60, travel time:313.67087218869995, q_loss:100, rewards:-244.04301, queue:166.54742, delay:8.438251, throughput:1602
REAL_TEST step:62, travel time:344.4634146341463, q_loss:100, rewards:-255.67682, queue:169.70956, delay:8.157171, throughput:1517
REAL_TEST step:64, travel time:317.5010626992561, q_loss:100, rewards:-254.37675, queue:172.90814, delay:8.3814, throughput:1687
REAL_TEST step:66, travel time:346.3768194070081, q_loss:100, rewards:-270.06827, queue:184.51137, delay:8.080601, throughput:1528
REAL_TEST step:68, travel time:440.5593705293276, q_loss:100, rewards:-277.84525, queue:182.27528, delay:8.652427, throughput:1194
REAL_TEST step:70, travel time:460.2821249102656, q_loss:100, rewards:-284.64844, queue:189.33372, delay:8.537294, throughput:1204
REAL_TEST step:72, travel time:382.04261704681875, q_loss:100, rewards:-272.14716, queue:174.24599, delay:8.173063, throughput:1451
REAL_TEST step:74, travel time:413.26028320971005, q_loss:100, rewards:-272.1847, queue:176.06888, delay:8.198281, throughput:1293
REAL_TEST step:76, travel time:400.7972602739726, q_loss:100, rewards:-263.6173, queue:173.80814, delay:8.236184, throughput:1296
REAL_TEST step:78, travel time:381.54951345163136, q_loss:100, rewards:-281.3503, queue:187.7407, delay:8.802732, throughput:1529
REAL_TEST step:80, travel time:366.07768691588785, q_loss:100, rewards:-270.07324, queue:175.18839, delay:8.443114, throughput:1527
REAL_TEST step:82, travel time:377.7776341305753, q_loss:100, rewards:-260.43674, queue:176.4818, delay:8.316201, throughput:1373
REAL_TEST step:84, travel time:345.63059490084987, q_loss:100, rewards:-261.4482, queue:173.26186, delay:8.431839, throughput:1563
REAL_TEST step:86, travel time:296.93411264612115, q_loss:100, rewards:-238.09775, queue:158.01707, delay:8.347943, throughput:1727
REAL_TEST step:88, travel time:349.31477799867463, q_loss:100, rewards:-239.58331, queue:163.98494, delay:8.292052, throughput:1345
REAL_TEST step:90, travel time:375.84674597620716, q_loss:100, rewards:-246.87134, queue:166.43301, delay:7.989198, throughput:1266
REAL_TEST step:92, travel time:364.89054404145077, q_loss:100, rewards:-252.9892, queue:169.62059, delay:8.422187, throughput:1416
REAL_TEST step:94, travel time:440.4093567251462, q_loss:100, rewards:-274.03592, queue:181.14006, delay:7.918179, throughput:1194
REAL_TEST step:96, travel time:457.6754578754579, q_loss:100, rewards:-281.50296, queue:188.56892, delay:8.475753, throughput:1172
REAL_TEST step:98, travel time:311.6983758700696, q_loss:100, rewards:-237.62659, queue:158.6262, delay:8.850156, throughput:1558
REAL_TEST step:100, travel time:349.61146907216494, q_loss:100, rewards:-246.95306, queue:160.36453, delay:8.3599205, throughput:1402
REAL_TEST step:102, travel time:444.6318480642805, q_loss:100, rewards:-273.71082, queue:180.15956, delay:8.28859, throughput:1180
REAL_TEST step:104, travel time:383.57985888389993, q_loss:100, rewards:-267.11514, queue:178.74893, delay:8.034074, throughput:1363
REAL_TEST step:106, travel time:379.79375, q_loss:100, rewards:-263.47202, queue:173.83473, delay:8.414994, throughput:1424
REAL_TEST step:108, travel time:416.62704114957546, q_loss:100, rewards:-279.34012, queue:184.50247, delay:8.298442, throughput:1336
