Loading cached latent encoders from pretrained/atc/dqn/hz1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz1x1/baseline_v1_atc_s0/model/hz1x1_noise5_dqn_latent_observation -> eval real_setting=combine1
REAL_TEST step:2, travel time:446.4854368932039, q_loss:100, rewards:-104.17763, queue:69.38627, delay:1.1618342, throughput:984
REAL_TEST step:4, travel time:836.9722792607803, q_loss:100, rewards:-263.07858, queue:175.91716, delay:1.2343132, throughput:623
REAL_TEST step:6, travel time:852.9202518363064, q_loss:100, rewards:-245.2404, queue:164.86426, delay:1.508315, throughput:604
REAL_TEST step:8, travel time:799.4790174002047, q_loss:100, rewards:-309.45572, queue:207.23087, delay:1.6941108, throughput:633
REAL_TEST step:10, travel time:782.6646525679758, q_loss:100, rewards:-307.45975, queue:205.85649, delay:1.681708, throughput:648
REAL_TEST step:12, travel time:770.4785643070787, q_loss:100, rewards:-305.2013, queue:203.51785, delay:1.7358997, throughput:661
REAL_TEST step:14, travel time:585.8915569326103, q_loss:100, rewards:-291.97134, queue:194.36761, delay:1.7136993, throughput:955
REAL_TEST step:16, travel time:719.6893805309735, q_loss:100, rewards:-319.4288, queue:213.74286, delay:1.6481829, throughput:789
REAL_TEST step:18, travel time:517.3970276008492, q_loss:100, rewards:-278.2549, queue:185.89305, delay:1.6453105, throughput:1117
REAL_TEST step:20, travel time:574.5619174434088, q_loss:100, rewards:-332.3336, queue:220.97925, delay:1.6369814, throughput:1098
REAL_TEST step:22, travel time:630.7884036144578, q_loss:100, rewards:-325.19077, queue:217.5886, delay:1.6948824, throughput:970
REAL_TEST step:24, travel time:424.23678792038436, q_loss:100, rewards:-156.23846, queue:104.25866, delay:1.4529012, throughput:1256
REAL_TEST step:26, travel time:874.075197889182, q_loss:100, rewards:-263.78, queue:176.18561, delay:1.5955964, throughput:565
REAL_TEST step:28, travel time:342.75274725274727, q_loss:100, rewards:-142.83096, queue:94.87465, delay:1.229791, throughput:1587
REAL_TEST step:30, travel time:444.7224287484511, q_loss:100, rewards:-222.38795, queue:148.25104, delay:1.5049158, throughput:1313
REAL_TEST step:32, travel time:1204.0419906687403, q_loss:100, rewards:-314.96405, queue:209.80313, delay:1.624695, throughput:379
REAL_TEST step:34, travel time:483.3655489809336, q_loss:100, rewards:-276.59958, queue:185.64716, delay:1.613922, throughput:1239
REAL_TEST step:36, travel time:290.6964187327824, q_loss:100, rewards:-180.2299, queue:120.43424, delay:1.6491627, throughput:1590
REAL_TEST step:38, travel time:581.9927536231884, q_loss:100, rewards:-149.32716, queue:99.68891, delay:1.1475492, throughput:912
REAL_TEST step:40, travel time:491.5506512301013, q_loss:100, rewards:-257.07867, queue:171.51904, delay:1.6270443, throughput:1044
REAL_TEST step:42, travel time:293.3041237113402, q_loss:100, rewards:-177.27689, queue:117.882675, delay:1.6448648, throughput:1581
REAL_TEST step:44, travel time:261.22222222222223, q_loss:100, rewards:-167.49684, queue:112.01067, delay:1.6470444, throughput:1736
REAL_TEST step:46, travel time:373.915398660986, q_loss:100, rewards:-223.40834, queue:148.69582, delay:1.6087044, throughput:1417
REAL_TEST step:48, travel time:298.6479952830189, q_loss:100, rewards:-175.38524, queue:116.8163, delay:1.6077203, throughput:1555
REAL_TEST step:50, travel time:462.3849518810149, q_loss:100, rewards:-119.80675, queue:79.87334, delay:1.2299533, throughput:986
