Loading cached latent encoders from pretrained/darla/dqn/hz1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz1x1/baseline_v1_darla_s0/model/hz1x1_noise5_dqn_latent_observation -> eval real_setting=dz100
REAL_TEST step:2, travel time:3076.715953307393, q_loss:100, rewards:-327.02835, queue:218.31111, delay:0.73367274, throughput:21
REAL_TEST step:4, travel time:839.4870466321244, q_loss:100, rewards:-318.91333, queue:213.05833, delay:0.82949895, throughput:616
REAL_TEST step:6, travel time:801.3049281314169, q_loss:100, rewards:-306.13425, queue:204.50555, delay:0.82442117, throughput:632
REAL_TEST step:8, travel time:852.7678571428571, q_loss:100, rewards:-319.9158, queue:213.71666, delay:0.83154804, throughput:604
REAL_TEST step:10, travel time:852.7731092436975, q_loss:100, rewards:-319.9158, queue:213.71666, delay:0.83154815, throughput:604
REAL_TEST step:12, travel time:801.3049281314169, q_loss:100, rewards:-306.13425, queue:204.50555, delay:0.82442117, throughput:632
REAL_TEST step:14, travel time:527.1882129277567, q_loss:100, rewards:-313.9234, queue:209.64722, delay:0.8084506, throughput:1170
REAL_TEST step:16, travel time:626.639552238806, q_loss:100, rewards:-322.91455, queue:215.69167, delay:0.80167073, throughput:929
REAL_TEST step:18, travel time:455.96207104154126, q_loss:100, rewards:-279.3867, queue:186.66945, delay:0.7728714, throughput:1233
REAL_TEST step:20, travel time:480.9445828144458, q_loss:100, rewards:-287.2255, queue:191.88333, delay:0.77511597, throughput:1182
REAL_TEST step:22, travel time:499.2284069097889, q_loss:100, rewards:-291.38538, queue:194.61389, delay:0.7862843, throughput:1146
REAL_TEST step:24, travel time:507.93817718291905, q_loss:100, rewards:-298.86206, queue:199.61111, delay:0.7964313, throughput:1170
REAL_TEST step:26, travel time:511.22037572254334, q_loss:100, rewards:-265.03333, queue:176.71945, delay:0.750285, throughput:1137
REAL_TEST step:28, travel time:577.4046164290563, q_loss:100, rewards:-324.19122, queue:216.54723, delay:0.81654465, throughput:1052
REAL_TEST step:30, travel time:375.709309689677, q_loss:100, rewards:-211.41837, queue:141.08888, delay:0.7173109, throughput:1317
REAL_TEST step:32, travel time:510.4571611253197, q_loss:100, rewards:-299.18918, queue:199.89444, delay:0.7975396, throughput:1138
REAL_TEST step:34, travel time:507.23269230769233, q_loss:100, rewards:-296.3687, queue:198.0, delay:0.7871517, throughput:1136
REAL_TEST step:36, travel time:367.6105082809823, q_loss:100, rewards:-229.54698, queue:153.04723, delay:0.7014272, throughput:1509
REAL_TEST step:38, travel time:506.00448717948717, q_loss:100, rewards:-295.4929, queue:197.39722, delay:0.77860284, throughput:1137
REAL_TEST step:40, travel time:424.1086675291074, q_loss:100, rewards:-239.85753, queue:160.05833, delay:0.7538316, throughput:1228
REAL_TEST step:42, travel time:478.843125, q_loss:100, rewards:-284.47165, queue:190.075, delay:0.7703405, throughput:1178
REAL_TEST step:44, travel time:428.82830459770116, q_loss:100, rewards:-217.51414, queue:145.08333, delay:0.73361146, throughput:1164
REAL_TEST step:46, travel time:603.2903752039151, q_loss:100, rewards:-283.1188, queue:188.88889, delay:0.81234634, throughput:934
REAL_TEST step:48, travel time:452.4577181208054, q_loss:100, rewards:-247.93166, queue:165.61945, delay:0.727203, throughput:1139
REAL_TEST step:50, travel time:501.8023088023088, q_loss:100, rewards:-260.435, queue:173.77777, delay:0.7962209, throughput:1084
REAL_TEST step:52, travel time:419.060382008626, q_loss:100, rewards:-247.56163, queue:165.35556, delay:0.74040425, throughput:1254
REAL_TEST step:54, travel time:463.26444595513254, q_loss:100, rewards:-251.33708, queue:167.82222, delay:0.7211856, throughput:1152
REAL_TEST step:56, travel time:410.4836016696482, q_loss:100, rewards:-250.08163, queue:166.90555, delay:0.7445741, throughput:1329
REAL_TEST step:58, travel time:327.5235361653272, q_loss:100, rewards:-197.07462, queue:131.50278, delay:0.7073759, throughput:1447
REAL_TEST step:60, travel time:534.431046931408, q_loss:100, rewards:-279.62537, queue:186.575, delay:0.8184658, throughput:1078
REAL_TEST step:62, travel time:414.1075, q_loss:100, rewards:-241.81796, queue:161.30833, delay:0.7967079, throughput:1301
REAL_TEST step:64, travel time:281.85036496350364, q_loss:100, rewards:-180.78789, queue:120.433334, delay:0.7609422, throughput:1696
REAL_TEST step:66, travel time:471.8061703554661, q_loss:100, rewards:-260.23044, queue:173.63333, delay:0.739116, throughput:1219
REAL_TEST step:68, travel time:270.07486941381313, q_loss:100, rewards:-150.93167, queue:100.57222, delay:0.672981, throughput:1565
REAL_TEST step:70, travel time:249.33089770354906, q_loss:100, rewards:-153.54295, queue:102.469444, delay:0.7148018, throughput:1615
REAL_TEST step:72, travel time:246.9477726574501, q_loss:100, rewards:-154.1583, queue:102.60833, delay:0.699138, throughput:1757
REAL_TEST step:74, travel time:264.347602739726, q_loss:100, rewards:-149.70416, queue:99.71389, delay:0.6824755, throughput:1595
