replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz1x1/baseline_v1_domain_randomization_s0/model/hz1x1_noise5_dqn_domain_randomization -> eval real_setting=combine2
REAL_TEST step:3, travel time:191.16138763197586, q_loss:100, rewards:-51.424923, queue:33.708366, delay:1.2321086, throughput:1823
REAL_TEST step:6, travel time:833.2717948717949, q_loss:100, rewards:-260.71786, queue:174.33461, delay:1.2317966, throughput:626
REAL_TEST step:9, travel time:460.1594076655052, q_loss:100, rewards:-119.64369, queue:80.86564, delay:1.4311076, throughput:989
REAL_TEST step:12, travel time:461.2568578553616, q_loss:100, rewards:-206.73068, queue:138.72769, delay:1.6301227, throughput:1045
REAL_TEST step:15, travel time:510.80915371329877, q_loss:100, rewards:-224.54811, queue:150.0111, delay:1.6153829, throughput:967
REAL_TEST step:18, travel time:347.9583632447954, q_loss:100, rewards:-173.03519, queue:115.25683, delay:1.6906606, throughput:1220
REAL_TEST step:21, travel time:283.34355828220856, q_loss:100, rewards:-93.91203, queue:61.81704, delay:1.2146138, throughput:1480
REAL_TEST step:24, travel time:277.62331838565024, q_loss:100, rewards:-137.66518, queue:92.47322, delay:1.2119764, throughput:1422
REAL_TEST step:27, travel time:387.57185854025585, q_loss:100, rewards:-187.47672, queue:125.14719, delay:1.6422553, throughput:1174
REAL_TEST step:30, travel time:680.5580487804878, q_loss:100, rewards:-273.59628, queue:181.78241, delay:1.5951798, throughput:787
REAL_TEST step:33, travel time:668.186616399623, q_loss:100, rewards:-276.5703, queue:185.12875, delay:1.6628466, throughput:801
REAL_TEST step:36, travel time:538.804587935429, q_loss:100, rewards:-164.74371, queue:109.91892, delay:1.4357698, throughput:992
REAL_TEST step:39, travel time:408.02967848309976, q_loss:100, rewards:-183.30927, queue:122.24512, delay:1.4848199, throughput:1068
REAL_TEST step:42, travel time:516.1301960784314, q_loss:100, rewards:-131.79471, queue:87.56869, delay:1.2010816, throughput:1038
REAL_TEST step:45, travel time:330.88865096359746, q_loss:100, rewards:-128.42888, queue:85.48582, delay:1.0683769, throughput:1635
REAL_TEST step:48, travel time:530.8598277212216, q_loss:100, rewards:-258.78748, queue:172.47179, delay:1.5982846, throughput:1006
REAL_TEST step:51, travel time:473.5706409372846, q_loss:100, rewards:-257.6296, queue:172.76035, delay:1.6189435, throughput:1201
REAL_TEST step:54, travel time:717.8844827586207, q_loss:100, rewards:-327.13916, queue:218.848, delay:1.697827, throughput:794
REAL_TEST step:57, travel time:401.04331348132104, q_loss:100, rewards:-255.82333, queue:170.56004, delay:1.2216053, throughput:1531
REAL_TEST step:60, travel time:414.0557398805574, q_loss:100, rewards:-105.691025, queue:70.46607, delay:1.166301, throughput:1219
REAL_TEST step:63, travel time:349.1858163826278, q_loss:100, rewards:-227.63223, queue:151.63411, delay:1.6917613, throughput:1451
REAL_TEST step:66, travel time:216.9549502357255, q_loss:100, rewards:-131.47015, queue:88.027596, delay:1.6061609, throughput:1748
REAL_TEST step:69, travel time:436.2940309506264, q_loss:100, rewards:-219.74188, queue:146.3807, delay:1.6027305, throughput:1165
REAL_TEST step:72, travel time:1021.1935975609756, q_loss:100, rewards:-269.88675, queue:179.99657, delay:1.6463856, throughput:455
REAL_TEST step:75, travel time:404.94586894586894, q_loss:100, rewards:-160.94337, queue:107.48736, delay:1.0999879, throughput:1403
REAL_TEST step:78, travel time:541.5795536357091, q_loss:100, rewards:-234.1275, queue:155.92696, delay:1.4005958, throughput:1074
REAL_TEST step:81, travel time:289.0658056580566, q_loss:100, rewards:-35.54378, queue:23.3902, delay:1.1853299, throughput:1516
REAL_TEST step:84, travel time:281.612012987013, q_loss:100, rewards:-115.79542, queue:77.40036, delay:1.1970018, throughput:1575
REAL_TEST step:87, travel time:970.2706222865412, q_loss:100, rewards:-268.98203, queue:179.45633, delay:1.639496, throughput:488
REAL_TEST step:90, travel time:403.2285382830626, q_loss:100, rewards:-241.30441, queue:161.56834, delay:1.4602802, throughput:1417
REAL_TEST step:93, travel time:433.2648247978437, q_loss:100, rewards:-238.74844, queue:159.20116, delay:1.6035316, throughput:1196
REAL_TEST step:96, travel time:709.1392405063291, q_loss:100, rewards:-168.97641, queue:113.26889, delay:1.3596628, throughput:683
REAL_TEST step:99, travel time:262.9160768452983, q_loss:100, rewards:-138.89954, queue:92.9092, delay:1.3165056, throughput:1739
REAL_TEST step:102, travel time:342.9078947368421, q_loss:100, rewards:-180.21288, queue:119.63824, delay:1.4371623, throughput:1583
REAL_TEST step:105, travel time:397.63685152057246, q_loss:100, rewards:-244.32863, queue:162.94016, delay:1.6573607, throughput:1393
REAL_TEST step:108, travel time:339.1064220183486, q_loss:100, rewards:-196.82591, queue:129.92827, delay:1.5939364, throughput:1447
REAL_TEST step:111, travel time:376.12252747252745, q_loss:100, rewards:-158.64899, queue:105.01125, delay:1.1382034, throughput:1438
REAL_TEST step:114, travel time:228.62924281984334, q_loss:100, rewards:-132.25748, queue:87.66587, delay:1.4018089, throughput:1772
REAL_TEST step:117, travel time:453.23118279569894, q_loss:100, rewards:-252.43092, queue:168.76677, delay:1.7054803, throughput:1174
REAL_TEST step:120, travel time:784.9439071566732, q_loss:100, rewards:-320.95456, queue:213.63625, delay:1.6657258, throughput:679
REAL_TEST step:123, travel time:815.5725567620927, q_loss:100, rewards:-282.40787, queue:189.16356, delay:1.4525661, throughput:657
REAL_TEST step:126, travel time:879.8278787878788, q_loss:100, rewards:-277.6108, queue:185.18127, delay:1.4130088, throughput:599
REAL_TEST step:129, travel time:592.1097895699909, q_loss:100, rewards:-175.51572, queue:116.69762, delay:1.4077003, throughput:841
REAL_TEST step:132, travel time:527.4924946390279, q_loss:100, rewards:-254.97578, queue:170.63637, delay:1.4343708, throughput:1175
REAL_TEST step:135, travel time:2049.686111111111, q_loss:100, rewards:-308.62085, queue:206.3547, delay:1.4922191, throughput:140
REAL_TEST step:138, travel time:394.4755434782609, q_loss:100, rewards:-130.81618, queue:87.33874, delay:1.1997178, throughput:1292
REAL_TEST step:141, travel time:446.10676901605024, q_loss:100, rewards:-237.81375, queue:158.09546, delay:1.5565126, throughput:1236
REAL_TEST step:144, travel time:2947.1206225680935, q_loss:100, rewards:-165.5216, queue:110.30952, delay:1.1895267, throughput:35
REAL_TEST step:147, travel time:209.7654958677686, q_loss:100, rewards:-126.05423, queue:83.863785, delay:1.6759161, throughput:1809
REAL_TEST step:150, travel time:229.31436314363143, q_loss:100, rewards:-86.26907, queue:56.729214, delay:1.3347315, throughput:1731
REAL_TEST step:153, travel time:237.02565597667638, q_loss:100, rewards:-44.204247, queue:29.136835, delay:1.1313753, throughput:1607
REAL_TEST step:156, travel time:274.02947598253274, q_loss:100, rewards:-171.28201, queue:114.18401, delay:1.5496058, throughput:1641
REAL_TEST step:159, travel time:205.04664879356568, q_loss:100, rewards:-117.644226, queue:77.856636, delay:1.598713, throughput:1739
REAL_TEST step:162, travel time:310.35693215339234, q_loss:100, rewards:-184.30771, queue:122.808754, delay:1.5828745, throughput:1522
REAL_TEST step:165, travel time:223.97431302270013, q_loss:100, rewards:-119.18764, queue:79.08749, delay:1.575672, throughput:1563
REAL_TEST step:168, travel time:1000.6932989690722, q_loss:100, rewards:-312.95816, queue:208.99898, delay:1.5889556, throughput:529
REAL_TEST step:171, travel time:725.3901098901099, q_loss:100, rewards:-260.11182, queue:173.9608, delay:1.5863285, throughput:704
REAL_TEST step:174, travel time:535.8739837398374, q_loss:100, rewards:-223.81177, queue:149.16438, delay:1.3192515, throughput:999
REAL_TEST step:177, travel time:720.5395814376706, q_loss:100, rewards:-254.24138, queue:170.27573, delay:1.4212604, throughput:747
REAL_TEST step:180, travel time:452.4503367003367, q_loss:100, rewards:-174.34207, queue:115.89546, delay:1.3414551, throughput:1009
REAL_TEST step:183, travel time:857.1527777777778, q_loss:100, rewards:-248.54523, queue:166.07228, delay:1.4899601, throughput:535
REAL_TEST step:186, travel time:458.14224751066854, q_loss:100, rewards:-242.36545, queue:162.49811, delay:1.5830364, throughput:1171
REAL_TEST step:189, travel time:753.9669327251995, q_loss:100, rewards:-189.91292, queue:126.47473, delay:1.3214242, throughput:661
REAL_TEST step:192, travel time:367.7965204236006, q_loss:100, rewards:-102.76997, queue:68.54159, delay:1.3260496, throughput:1178
REAL_TEST step:195, travel time:519.5598650927487, q_loss:100, rewards:-234.47554, queue:155.87735, delay:1.6060258, throughput:993
REAL_TEST step:198, travel time:186.64437840515106, q_loss:100, rewards:-107.864975, queue:71.299805, delay:1.3568293, throughput:1910
REAL_TEST step:201, travel time:995.888558692422, q_loss:100, rewards:-270.97833, queue:181.05902, delay:1.5140691, throughput:462
REAL_TEST step:204, travel time:763.6896551724138, q_loss:100, rewards:-254.3952, queue:170.06273, delay:1.6622779, throughput:637
REAL_TEST step:207, travel time:541.182664756447, q_loss:100, rewards:-288.76926, queue:192.49019, delay:1.6675628, throughput:1068
REAL_TEST step:210, travel time:744.6569767441861, q_loss:100, rewards:-254.13313, queue:169.90541, delay:1.5446162, throughput:650
REAL_TEST step:213, travel time:664.6697819314642, q_loss:100, rewards:-235.48793, queue:157.86954, delay:1.3576925, throughput:765
REAL_TEST step:216, travel time:258.8088772845953, q_loss:100, rewards:-149.8965, queue:100.35311, delay:1.4034745, throughput:1623
REAL_TEST step:219, travel time:832.6895854398382, q_loss:100, rewards:-297.1848, queue:197.97475, delay:1.4638509, throughput:635
REAL_TEST step:222, travel time:886.1373844121532, q_loss:100, rewards:-196.14418, queue:131.41916, delay:1.4029343, throughput:547
REAL_TEST step:225, travel time:812.2814726840855, q_loss:100, rewards:-271.0618, queue:181.10501, delay:1.6217555, throughput:621
REAL_TEST step:228, travel time:401.2901597981497, q_loss:100, rewards:-102.19861, queue:68.187546, delay:1.2425984, throughput:1041
REAL_TEST step:231, travel time:424.43793103448274, q_loss:100, rewards:-107.98662, queue:71.99867, delay:1.379312, throughput:1003
REAL_TEST step:234, travel time:304.500824628917, q_loss:100, rewards:-193.53049, queue:129.42068, delay:1.6013782, throughput:1622
REAL_TEST step:237, travel time:596.0998217468806, q_loss:100, rewards:-257.41025, queue:171.76602, delay:1.6677257, throughput:915
REAL_TEST step:240, travel time:672.9873540856031, q_loss:100, rewards:-194.16335, queue:129.21605, delay:1.4252497, throughput:827
REAL_TEST step:243, travel time:417.72381756756755, q_loss:100, rewards:-183.45708, queue:121.988, delay:1.5295027, throughput:1040
REAL_TEST step:246, travel time:361.477519379845, q_loss:100, rewards:-170.06927, queue:113.12792, delay:1.4996879, throughput:1144
REAL_TEST step:249, travel time:496.17670682730926, q_loss:100, rewards:-137.53398, queue:91.72338, delay:0.9892496, throughput:1011
REAL_TEST step:252, travel time:373.2238267148014, q_loss:100, rewards:-188.48952, queue:125.7941, delay:1.5527967, throughput:1239
REAL_TEST step:255, travel time:501.23000898472594, q_loss:100, rewards:-94.83725, queue:63.39908, delay:0.88618565, throughput:895
