Loading cached latent encoders from pretrained/lusr/dqn/hz1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz1x1/baseline_v1_lusr_s0/model/hz1x1_noise5_dqn_latent_observation -> eval real_setting=combine3
REAL_TEST step:2, travel time:852.9202518363064, q_loss:100, rewards:-267.95157, queue:178.7099, delay:1.3303722, throughput:604
REAL_TEST step:4, travel time:3142.8015564202333, q_loss:100, rewards:-318.99738, queue:212.94664, delay:1.0939482, throughput:16
REAL_TEST step:6, travel time:852.9202518363064, q_loss:100, rewards:-229.58517, queue:154.33835, delay:1.2856523, throughput:604
REAL_TEST step:8, travel time:773.3563451776649, q_loss:100, rewards:-300.73972, queue:201.32109, delay:1.6874465, throughput:672
REAL_TEST step:10, travel time:799.4790174002047, q_loss:100, rewards:-301.6406, queue:201.88214, delay:1.5106318, throughput:633
REAL_TEST step:12, travel time:799.4790174002047, q_loss:100, rewards:-309.43546, queue:206.38663, delay:1.7374222, throughput:633
REAL_TEST step:14, travel time:799.4790174002047, q_loss:100, rewards:-234.30228, queue:156.14104, delay:1.1172662, throughput:633
REAL_TEST step:16, travel time:766.5177664974619, q_loss:100, rewards:-151.72057, queue:101.66617, delay:0.9765567, throughput:696
REAL_TEST step:18, travel time:799.4790174002047, q_loss:100, rewards:-179.37878, queue:119.79009, delay:1.2477115, throughput:633
REAL_TEST step:20, travel time:695.5851449275362, q_loss:100, rewards:-301.10193, queue:200.15942, delay:1.619666, throughput:767
REAL_TEST step:22, travel time:439.5984112974404, q_loss:100, rewards:-185.82077, queue:124.35375, delay:1.6352648, throughput:988
REAL_TEST step:24, travel time:799.4790174002047, q_loss:100, rewards:-275.31308, queue:184.09468, delay:1.3694274, throughput:633
REAL_TEST step:26, travel time:708.9888991674376, q_loss:100, rewards:-292.49606, queue:195.5387, delay:1.4707412, throughput:745
REAL_TEST step:28, travel time:335.5727826675694, q_loss:100, rewards:-160.4433, queue:106.68475, delay:1.203799, throughput:1275
REAL_TEST step:30, travel time:665.5587929240374, q_loss:100, rewards:-223.43011, queue:149.04715, delay:1.075591, throughput:764
REAL_TEST step:32, travel time:517.8983957219251, q_loss:100, rewards:-258.47275, queue:172.16113, delay:1.6136359, throughput:1064
REAL_TEST step:34, travel time:544.6509528585757, q_loss:100, rewards:-204.1189, queue:137.33997, delay:1.3816489, throughput:825
REAL_TEST step:36, travel time:445.2106643356643, q_loss:100, rewards:-178.37115, queue:119.17448, delay:1.4327279, throughput:1004
REAL_TEST step:38, travel time:799.4790174002047, q_loss:100, rewards:-156.52676, queue:104.6213, delay:1.1544684, throughput:633
REAL_TEST step:40, travel time:739.3443902439025, q_loss:100, rewards:-222.99785, queue:149.09477, delay:1.0510708, throughput:689
REAL_TEST step:42, travel time:289.6035145524437, q_loss:100, rewards:-179.34132, queue:119.21102, delay:1.6685485, throughput:1664
REAL_TEST step:44, travel time:799.4790174002047, q_loss:100, rewards:-253.3746, queue:169.68332, delay:1.4650497, throughput:633
REAL_TEST step:46, travel time:375.5013531799729, q_loss:100, rewards:-122.248436, queue:81.779816, delay:1.3764201, throughput:1243
REAL_TEST step:48, travel time:828.1135611907387, q_loss:100, rewards:-188.67793, queue:125.6269, delay:1.2120847, throughput:664
REAL_TEST step:50, travel time:1059.48435171386, q_loss:100, rewards:-189.12491, queue:126.27809, delay:1.0769053, throughput:456
REAL_TEST step:52, travel time:820.8584371460929, q_loss:100, rewards:-249.64247, queue:166.46115, delay:1.0142907, throughput:655
REAL_TEST step:54, travel time:639.016155088853, q_loss:100, rewards:-159.71646, queue:105.999176, delay:1.0784981, throughput:948
REAL_TEST step:56, travel time:799.4790174002047, q_loss:100, rewards:-162.78491, queue:109.088844, delay:1.0073904, throughput:633
REAL_TEST step:58, travel time:510.5914634146341, q_loss:100, rewards:-213.75389, queue:142.35825, delay:1.3550456, throughput:914
REAL_TEST step:60, travel time:381.1555690072639, q_loss:100, rewards:-169.7574, queue:114.0204, delay:1.2491201, throughput:1428
REAL_TEST step:62, travel time:436.4185022026432, q_loss:100, rewards:-181.79877, queue:120.83727, delay:1.3680127, throughput:993
REAL_TEST step:64, travel time:342.4849545136459, q_loss:100, rewards:-170.25232, queue:114.07118, delay:1.3778095, throughput:1278
REAL_TEST step:66, travel time:420.2581274382315, q_loss:100, rewards:-195.50021, queue:130.74464, delay:1.3408198, throughput:1291
REAL_TEST step:68, travel time:629.3495311167945, q_loss:100, rewards:-227.70535, queue:151.96971, delay:1.2825432, throughput:839
REAL_TEST step:70, travel time:519.1008600469116, q_loss:100, rewards:-249.64674, queue:166.62144, delay:1.5082457, throughput:1051
REAL_TEST step:72, travel time:708.9225556631171, q_loss:100, rewards:-287.88312, queue:190.87206, delay:1.6225115, throughput:713
REAL_TEST step:74, travel time:698.3957732949087, q_loss:100, rewards:-237.18852, queue:157.56781, delay:1.1734047, throughput:751
REAL_TEST step:76, travel time:777.3673057517659, q_loss:100, rewards:-220.5997, queue:146.82329, delay:1.250315, throughput:655
REAL_TEST step:78, travel time:799.4790174002047, q_loss:100, rewards:-230.44089, queue:154.41383, delay:1.5070387, throughput:633
REAL_TEST step:80, travel time:799.4790174002047, q_loss:100, rewards:-219.9924, queue:146.29303, delay:1.2481761, throughput:633
REAL_TEST step:82, travel time:799.4790174002047, q_loss:100, rewards:-219.81363, queue:147.14447, delay:1.218087, throughput:633
REAL_TEST step:84, travel time:799.4790174002047, q_loss:100, rewards:-163.70538, queue:109.336044, delay:1.0040905, throughput:633
REAL_TEST step:86, travel time:789.3912195121951, q_loss:100, rewards:-294.02475, queue:195.62175, delay:1.4849439, throughput:668
REAL_TEST step:88, travel time:763.6773226773226, q_loss:100, rewards:-245.68457, queue:164.58754, delay:1.2499629, throughput:659
REAL_TEST step:90, travel time:799.4790174002047, q_loss:100, rewards:-235.44183, queue:157.48582, delay:1.3877342, throughput:633
REAL_TEST step:92, travel time:583.2713523131673, q_loss:100, rewards:-216.16043, queue:144.35129, delay:1.0328888, throughput:849
REAL_TEST step:94, travel time:799.4790174002047, q_loss:100, rewards:-264.73938, queue:176.50153, delay:1.3882302, throughput:633
REAL_TEST step:96, travel time:799.4790174002047, q_loss:100, rewards:-208.40924, queue:138.71533, delay:0.8954255, throughput:633
REAL_TEST step:98, travel time:771.0424242424242, q_loss:100, rewards:-301.32288, queue:201.17873, delay:1.7443447, throughput:664
REAL_TEST step:100, travel time:799.4790174002047, q_loss:100, rewards:-242.72876, queue:161.40764, delay:1.2161934, throughput:633
REAL_TEST step:102, travel time:799.4790174002047, q_loss:100, rewards:-224.96597, queue:150.20409, delay:1.2240441, throughput:633
REAL_TEST step:104, travel time:799.4790174002047, q_loss:100, rewards:-301.65906, queue:201.44609, delay:1.4369584, throughput:633
REAL_TEST step:106, travel time:796.053007135576, q_loss:100, rewards:-297.8748, queue:199.03593, delay:1.4731983, throughput:637
REAL_TEST step:108, travel time:755.0362173038229, q_loss:100, rewards:-271.7544, queue:181.6492, delay:1.4466192, throughput:659
REAL_TEST step:110, travel time:725.5664639443962, q_loss:100, rewards:-328.32983, queue:218.9487, delay:1.6718291, throughput:783
REAL_TEST step:112, travel time:756.8970727101039, q_loss:100, rewards:-271.62457, queue:181.6178, delay:1.3731782, throughput:704
REAL_TEST step:114, travel time:562.2049898853675, q_loss:100, rewards:-275.52692, queue:184.35027, delay:1.4262435, throughput:1092
REAL_TEST step:116, travel time:799.4790174002047, q_loss:100, rewards:-100.46354, queue:66.97848, delay:0.96469915, throughput:633
REAL_TEST step:118, travel time:445.63106796116506, q_loss:100, rewards:-92.48517, queue:61.934505, delay:0.9177778, throughput:989
REAL_TEST step:120, travel time:781.5551061678464, q_loss:100, rewards:-187.4708, queue:124.900345, delay:1.2349356, throughput:654
REAL_TEST step:122, travel time:577.7269601100413, q_loss:100, rewards:-323.80157, queue:216.40274, delay:1.6194009, throughput:1075
REAL_TEST step:124, travel time:488.3327380952381, q_loss:100, rewards:-308.22116, queue:206.60495, delay:1.6378603, throughput:1276
REAL_TEST step:126, travel time:517.3678304239402, q_loss:100, rewards:-289.99243, queue:193.39612, delay:1.3921275, throughput:1239
REAL_TEST step:128, travel time:795.3323139653415, q_loss:100, rewards:-227.24266, queue:152.26855, delay:1.2597699, throughput:637
REAL_TEST step:130, travel time:760.6612284069098, q_loss:100, rewards:-299.71127, queue:199.7736, delay:1.4335537, throughput:692
REAL_TEST step:132, travel time:555.5180935569285, q_loss:100, rewards:-156.37077, queue:103.720055, delay:1.1798611, throughput:909
REAL_TEST step:134, travel time:717.7921568627451, q_loss:100, rewards:-196.79303, queue:132.03494, delay:1.1964614, throughput:726
REAL_TEST step:136, travel time:769.8084252758275, q_loss:100, rewards:-229.28548, queue:153.54237, delay:1.4686316, throughput:666
REAL_TEST step:138, travel time:421.6072749691739, q_loss:100, rewards:-208.6284, queue:138.94757, delay:1.4571426, throughput:1320
REAL_TEST step:140, travel time:604.0758327427357, q_loss:100, rewards:-329.6554, queue:219.86723, delay:1.6419971, throughput:1026
REAL_TEST step:142, travel time:507.5533980582524, q_loss:100, rewards:-112.090416, queue:75.422485, delay:0.6064179, throughput:945
REAL_TEST step:144, travel time:532.4478260869565, q_loss:100, rewards:-284.19656, queue:189.91461, delay:1.4529616, throughput:1236
REAL_TEST step:146, travel time:570.2975391498882, q_loss:100, rewards:-221.34966, queue:147.21832, delay:1.4240704, throughput:999
REAL_TEST step:148, travel time:310.9756906077348, q_loss:100, rewards:-175.65277, queue:117.52882, delay:1.24384, throughput:1579
REAL_TEST step:150, travel time:486.40943396226413, q_loss:100, rewards:-290.81772, queue:194.18771, delay:1.6546371, throughput:1265
