Loading cached latent encoders from pretrained/recon_baseline/dqn/hz1x1
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz1x1/baseline_v1_recon_baseline_s0/model/hz1x1_noise5_dqn_latent_observation -> eval real_setting=sensor70
REAL_TEST step:1, travel time:852.620942408377, q_loss:100, rewards:-150.90749, queue:100.75833, delay:0.3637403, throughput:606
REAL_TEST step:2, travel time:829.3649484536082, q_loss:100, rewards:-125.18542, queue:83.66389, delay:0.3399537, throughput:623
REAL_TEST step:3, travel time:852.9202518363064, q_loss:100, rewards:-74.861664, queue:49.983334, delay:0.12233253, throughput:604
REAL_TEST step:4, travel time:799.4790174002047, q_loss:100, rewards:-84.114586, queue:56.15278, delay:0.2438898, throughput:633
REAL_TEST step:5, travel time:868.9474358974359, q_loss:100, rewards:-29.103334, queue:19.433332, delay:0.26778606, throughput:576
REAL_TEST step:6, travel time:852.9202518363064, q_loss:100, rewards:-15.586667, queue:10.408334, delay:0.12170031, throughput:604
REAL_TEST step:7, travel time:852.9202518363064, q_loss:100, rewards:-99.90541, queue:66.75833, delay:0.28332376, throughput:604
REAL_TEST step:8, travel time:852.9202518363064, q_loss:100, rewards:-13.321666, queue:8.891666, delay:0.12114294, throughput:604
REAL_TEST step:9, travel time:812.4129411764706, q_loss:100, rewards:-10.507084, queue:7.0194445, delay:0.12736586, throughput:636
REAL_TEST step:10, travel time:517.3561076604555, q_loss:100, rewards:-151.82457, queue:101.37222, delay:0.3506655, throughput:1092
REAL_TEST step:11, travel time:570.4056987788331, q_loss:100, rewards:-215.26624, queue:143.78612, delay:0.52072227, throughput:1050
REAL_TEST step:12, travel time:3142.8015564202333, q_loss:100, rewards:-181.6125, queue:121.23333, delay:0.48878387, throughput:16
REAL_TEST step:13, travel time:793.2521489971347, q_loss:100, rewards:-150.03041, queue:100.297226, delay:0.4568071, throughput:684
REAL_TEST step:14, travel time:852.620942408377, q_loss:100, rewards:-61.643333, queue:41.166668, delay:0.24303743, throughput:606
REAL_TEST step:15, travel time:483.38560885608854, q_loss:100, rewards:-90.878334, queue:60.791668, delay:0.3200023, throughput:1190
REAL_TEST step:16, travel time:771.6444866920152, q_loss:100, rewards:-37.076244, queue:24.847221, delay:0.10300802, throughput:700
REAL_TEST step:17, travel time:701.7083333333334, q_loss:100, rewards:-25.030416, queue:16.744444, delay:0.058942344, throughput:755
REAL_TEST step:18, travel time:496.82151741293535, q_loss:100, rewards:-65.378746, queue:43.705555, delay:0.23131923, throughput:1194
REAL_TEST step:19, travel time:852.9202518363064, q_loss:100, rewards:-73.651245, queue:49.18889, delay:0.3642212, throughput:604
REAL_TEST step:20, travel time:526.7012557832121, q_loss:100, rewards:-112.12459, queue:74.88611, delay:0.30491552, throughput:1098
REAL_TEST step:21, travel time:677.8283796740172, q_loss:100, rewards:-21.92125, queue:14.636111, delay:0.26758224, throughput:813
REAL_TEST step:22, travel time:513.8174193548388, q_loss:100, rewards:-159.435, queue:106.51667, delay:0.40776724, throughput:1125
REAL_TEST step:23, travel time:458.37306064880113, q_loss:100, rewards:-78.98458, queue:52.744446, delay:0.38839257, throughput:1139
REAL_TEST step:24, travel time:550.2807486631016, q_loss:100, rewards:-22.324997, queue:14.963889, delay:0.20796393, throughput:870
REAL_TEST step:25, travel time:796.976148409894, q_loss:100, rewards:-71.568756, queue:47.90278, delay:0.22162318, throughput:745
REAL_TEST step:26, travel time:852.9202518363064, q_loss:100, rewards:-28.793333, queue:19.258333, delay:0.06337136, throughput:604
REAL_TEST step:27, travel time:979.1893408134642, q_loss:100, rewards:-28.908333, queue:19.3, delay:0.24284324, throughput:495
REAL_TEST step:28, travel time:870.930151338766, q_loss:100, rewards:-185.86452, queue:124.03889, delay:0.46073616, throughput:627
REAL_TEST step:29, travel time:568.2841965471448, q_loss:100, rewards:-57.775837, queue:38.636112, delay:0.17201371, throughput:1083
REAL_TEST step:30, travel time:458.73490813648294, q_loss:100, rewards:-34.991264, queue:23.338888, delay:0.349904, throughput:984
REAL_TEST step:31, travel time:629.5727190605239, q_loss:100, rewards:-125.07957, queue:83.441666, delay:0.42489952, throughput:882
REAL_TEST step:32, travel time:799.4790174002047, q_loss:100, rewards:-125.521255, queue:83.87778, delay:0.30039912, throughput:633
REAL_TEST step:33, travel time:487.1808118081181, q_loss:100, rewards:-138.19249, queue:92.35, delay:0.43977082, throughput:1190
REAL_TEST step:34, travel time:772.3482532751092, q_loss:100, rewards:-76.122086, queue:50.858334, delay:0.19443321, throughput:654
REAL_TEST step:35, travel time:424.4233766233766, q_loss:100, rewards:-199.61246, queue:133.31667, delay:0.589217, throughput:1191
REAL_TEST step:36, travel time:308.03721948549537, q_loss:100, rewards:-111.632065, queue:74.48333, delay:0.44740433, throughput:1573
REAL_TEST step:37, travel time:799.4790174002047, q_loss:100, rewards:0.0, queue:0.0, delay:0.0, throughput:633
REAL_TEST step:38, travel time:799.4790174002047, q_loss:100, rewards:-91.19626, queue:60.947224, delay:0.42175606, throughput:633
REAL_TEST step:39, travel time:799.4790174002047, q_loss:100, rewards:-79.911255, queue:53.416668, delay:0.30134624, throughput:633
REAL_TEST step:40, travel time:799.4790174002047, q_loss:100, rewards:-42.433754, queue:28.438889, delay:0.21547805, throughput:633
REAL_TEST step:41, travel time:459.21731234866826, q_loss:100, rewards:-11.075001, queue:7.4305553, delay:0.07854482, throughput:1234
REAL_TEST step:42, travel time:359.6240875912409, q_loss:100, rewards:-6.7116666, queue:4.452778, delay:0.12980716, throughput:1219
REAL_TEST step:43, travel time:327.9097978227061, q_loss:100, rewards:-57.058773, queue:38.080555, delay:0.2744921, throughput:1635
REAL_TEST step:44, travel time:724.5698427382054, q_loss:100, rewards:-40.814167, queue:27.272223, delay:0.19566792, throughput:740
REAL_TEST step:45, travel time:789.1559633027523, q_loss:100, rewards:-77.90041, queue:52.066666, delay:0.1784669, throughput:638
REAL_TEST step:46, travel time:799.4790174002047, q_loss:100, rewards:-6.3049994, queue:4.275, delay:0.036294967, throughput:633
REAL_TEST step:47, travel time:799.4790174002047, q_loss:100, rewards:-73.659996, queue:49.252777, delay:0.27788764, throughput:633
REAL_TEST step:48, travel time:506.789641943734, q_loss:100, rewards:-32.144585, queue:21.51111, delay:0.094102226, throughput:1137
REAL_TEST step:49, travel time:492.414953271028, q_loss:100, rewards:-183.47708, queue:122.547226, delay:0.49180433, throughput:1178
REAL_TEST step:50, travel time:398.4438202247191, q_loss:100, rewards:-61.697086, queue:41.133335, delay:0.24419786, throughput:1301
REAL_TEST step:51, travel time:799.4790174002047, q_loss:100, rewards:-111.9625, queue:74.775, delay:0.36203596, throughput:633
REAL_TEST step:52, travel time:443.16730523627075, q_loss:100, rewards:-172.34122, queue:115.15833, delay:0.48097908, throughput:1184
REAL_TEST step:53, travel time:608.5740097289785, q_loss:100, rewards:-108.21875, queue:72.25833, delay:0.30473438, throughput:1019
REAL_TEST step:54, travel time:799.4790174002047, q_loss:100, rewards:-10.46, queue:6.986111, delay:0.122129746, throughput:633
REAL_TEST step:55, travel time:483.57850241545896, q_loss:100, rewards:-11.865415, queue:7.991667, delay:0.08231643, throughput:1234
REAL_TEST step:56, travel time:772.0145077720207, q_loss:100, rewards:-9.04625, queue:6.108333, delay:0.04658473, throughput:637
REAL_TEST step:57, travel time:513.0244107744107, q_loss:100, rewards:-57.31916, queue:38.31389, delay:0.1958922, throughput:935
REAL_TEST step:58, travel time:559.0284697508897, q_loss:100, rewards:-16.892502, queue:11.344444, delay:0.18356182, throughput:864
REAL_TEST step:59, travel time:799.4790174002047, q_loss:100, rewards:-62.374996, queue:41.72222, delay:0.15747765, throughput:633
REAL_TEST step:60, travel time:799.4790174002047, q_loss:100, rewards:-35.30375, queue:23.619444, delay:0.1809029, throughput:633
REAL_TEST step:61, travel time:799.4790174002047, q_loss:100, rewards:0.0, queue:0.0, delay:0.0, throughput:633
REAL_TEST step:62, travel time:799.4790174002047, q_loss:100, rewards:0.0, queue:0.0, delay:0.0, throughput:633
REAL_TEST step:63, travel time:402.2825503355705, q_loss:100, rewards:-94.199165, queue:62.822224, delay:0.36733463, throughput:1249
REAL_TEST step:64, travel time:751.6301229508197, q_loss:100, rewards:-81.46916, queue:54.427776, delay:0.20007542, throughput:649
REAL_TEST step:65, travel time:799.4790174002047, q_loss:100, rewards:-72.83499, queue:48.708332, delay:0.2796075, throughput:633
REAL_TEST step:66, travel time:799.4790174002047, q_loss:100, rewards:-56.07, queue:37.447224, delay:0.121182695, throughput:633
REAL_TEST step:67, travel time:738.1784776902887, q_loss:100, rewards:-200.46706, queue:133.75278, delay:0.45908073, throughput:822
REAL_TEST step:68, travel time:799.4790174002047, q_loss:100, rewards:-35.30375, queue:23.619444, delay:0.1809029, throughput:633
REAL_TEST step:69, travel time:799.4790174002047, q_loss:100, rewards:-72.83499, queue:48.708332, delay:0.2796075, throughput:633
REAL_TEST step:70, travel time:799.4790174002047, q_loss:100, rewards:-24.84375, queue:16.633333, delay:0.058773126, throughput:633
REAL_TEST step:71, travel time:799.4790174002047, q_loss:100, rewards:-44.607502, queue:29.797222, delay:0.12044339, throughput:633
REAL_TEST step:72, travel time:799.4790174002047, q_loss:100, rewards:-6.3049994, queue:4.275, delay:0.036294967, throughput:633
REAL_TEST step:73, travel time:799.4790174002047, q_loss:100, rewards:-6.3049994, queue:4.275, delay:0.036294967, throughput:633
REAL_TEST step:74, travel time:502.8174139051332, q_loss:100, rewards:-107.71541, queue:71.94722, delay:0.29901305, throughput:1164
REAL_TEST step:75, travel time:460.6977299880526, q_loss:100, rewards:-97.67333, queue:65.275, delay:0.32711902, throughput:1241
REAL_TEST step:76, travel time:885.6455026455027, q_loss:100, rewards:-13.320417, queue:8.891666, delay:0.12117782, throughput:560
REAL_TEST step:77, travel time:799.4790174002047, q_loss:100, rewards:0.0, queue:0.0, delay:0.0, throughput:633
REAL_TEST step:78, travel time:799.4790174002047, q_loss:100, rewards:-16.765, queue:11.261111, delay:0.15842474, throughput:633
REAL_TEST step:79, travel time:799.4790174002047, q_loss:100, rewards:-98.503746, queue:65.88611, delay:0.33666077, throughput:633
REAL_TEST step:80, travel time:799.4790174002047, q_loss:100, rewards:-21.745, queue:14.516666, delay:0.24253964, throughput:633
REAL_TEST step:81, travel time:269.09414340448825, q_loss:100, rewards:-40.77293, queue:27.147223, delay:0.24758953, throughput:1609
REAL_TEST step:82, travel time:413.93275755706355, q_loss:100, rewards:-102.25707, queue:68.225, delay:0.31727722, throughput:1268
REAL_TEST step:83, travel time:502.73824650571794, q_loss:100, rewards:-62.159164, queue:41.494446, delay:0.18835443, throughput:1169
REAL_TEST step:84, travel time:530.8255813953489, q_loss:100, rewards:-45.620834, queue:30.438889, delay:0.11085907, throughput:1122
REAL_TEST step:85, travel time:769.0834191555098, q_loss:100, rewards:-9.327917, queue:6.2833333, delay:0.079994224, throughput:644
REAL_TEST step:86, travel time:187.8676099039919, q_loss:100, rewards:-9.654998, queue:6.3722224, delay:0.20408522, throughput:1869
REAL_TEST step:87, travel time:456.7413945278023, q_loss:100, rewards:-13.455418, queue:8.944445, delay:0.18396413, throughput:980
REAL_TEST step:88, travel time:482.83887147335423, q_loss:100, rewards:-88.20585, queue:58.966667, delay:0.324575, throughput:1181
REAL_TEST step:89, travel time:457.85651793525807, q_loss:100, rewards:-0.5966667, queue:0.39722222, delay:0.057323217, throughput:991
REAL_TEST step:90, travel time:244.9753768844221, q_loss:100, rewards:-72.637505, queue:48.34722, delay:0.5315282, throughput:1767
