Loading cached latent encoders from pretrained/vae_embedding/dqn/hz1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz1x1/baseline_v1_vae_s0/model/hz1x1_noise5_dqn_latent_observation -> eval real_setting=noise20
REAL_TEST step:2, travel time:1007.0290322580645, q_loss:100, rewards:-300.79416, queue:200.75256, delay:8.483349, throughput:437
REAL_TEST step:4, travel time:823.5718685831622, q_loss:100, rewards:-353.04938, queue:235.5018, delay:8.338177, throughput:626
REAL_TEST step:6, travel time:868.9474358974359, q_loss:100, rewards:-310.29022, queue:212.259, delay:8.668304, throughput:576
REAL_TEST step:8, travel time:799.4790174002047, q_loss:100, rewards:-345.4615, queue:233.62895, delay:8.605858, throughput:633
REAL_TEST step:10, travel time:799.4790174002047, q_loss:100, rewards:-345.12253, queue:233.19676, delay:8.537233, throughput:633
REAL_TEST step:12, travel time:852.9202518363064, q_loss:100, rewards:-355.58374, queue:237.024, delay:8.945116, throughput:604
REAL_TEST step:14, travel time:768.4670991658943, q_loss:100, rewards:-359.83655, queue:236.58089, delay:8.734506, throughput:719
REAL_TEST step:16, travel time:589.6029304029304, q_loss:100, rewards:-346.0135, queue:232.86497, delay:8.34239, throughput:1096
REAL_TEST step:18, travel time:467.9842233009709, q_loss:100, rewards:-322.52173, queue:216.00058, delay:8.600669, throughput:1246
REAL_TEST step:20, travel time:521.7727848101266, q_loss:100, rewards:-343.38562, queue:224.07657, delay:8.2370825, throughput:1200
REAL_TEST step:22, travel time:456.4404833836858, q_loss:100, rewards:-317.49362, queue:215.48154, delay:8.68195, throughput:1282
REAL_TEST step:24, travel time:382.0495575221239, q_loss:100, rewards:-277.20795, queue:185.58652, delay:8.791307, throughput:1362
REAL_TEST step:26, travel time:474.5185414091471, q_loss:100, rewards:-321.8782, queue:216.21637, delay:8.254288, throughput:1217
REAL_TEST step:28, travel time:392.1516497461929, q_loss:100, rewards:-267.2806, queue:178.69191, delay:8.289099, throughput:1347
REAL_TEST step:30, travel time:414.3783936651584, q_loss:100, rewards:-307.23517, queue:204.34926, delay:9.10885, throughput:1374
REAL_TEST step:32, travel time:395.9163434903047, q_loss:100, rewards:-298.26004, queue:197.36972, delay:8.359915, throughput:1405
REAL_TEST step:34, travel time:321.08374655647384, q_loss:100, rewards:-244.2442, queue:168.77203, delay:8.298489, throughput:1515
REAL_TEST step:36, travel time:321.1895355045382, q_loss:100, rewards:-255.16489, queue:171.04926, delay:8.577978, throughput:1577
REAL_TEST step:38, travel time:299.22111663902706, q_loss:100, rewards:-234.83377, queue:156.79471, delay:8.071943, throughput:1527
REAL_TEST step:40, travel time:265.3280369041517, q_loss:100, rewards:-223.82767, queue:147.68219, delay:8.30187, throughput:1679
REAL_TEST step:42, travel time:319.1106170094497, q_loss:100, rewards:-245.81151, queue:163.18268, delay:8.713372, throughput:1480
REAL_TEST step:44, travel time:288.67085839256424, q_loss:100, rewards:-228.09937, queue:154.56918, delay:8.573879, throughput:1569
REAL_TEST step:46, travel time:296.30413756045135, q_loss:100, rewards:-238.39706, queue:157.14137, delay:8.392037, throughput:1523
REAL_TEST step:48, travel time:257.83605745418527, q_loss:100, rewards:-214.18024, queue:142.44266, delay:8.459005, throughput:1831
REAL_TEST step:50, travel time:313.4651548672566, q_loss:100, rewards:-243.90146, queue:162.34773, delay:7.7542048, throughput:1467
REAL_TEST step:52, travel time:315.7828175026681, q_loss:100, rewards:-250.06636, queue:167.02744, delay:8.30344, throughput:1601
REAL_TEST step:54, travel time:284.6302652106084, q_loss:100, rewards:-229.76407, queue:154.64287, delay:8.83547, throughput:1673
REAL_TEST step:56, travel time:318.66184649610676, q_loss:100, rewards:-248.05525, queue:167.18687, delay:8.429992, throughput:1460
REAL_TEST step:58, travel time:285.0385462555066, q_loss:100, rewards:-225.83234, queue:150.72711, delay:8.481575, throughput:1524
REAL_TEST step:60, travel time:328.1492942453855, q_loss:100, rewards:-257.41238, queue:177.28114, delay:8.47231, throughput:1477
REAL_TEST step:62, travel time:277.773042088439, q_loss:100, rewards:-225.85515, queue:150.08788, delay:8.152909, throughput:1610
REAL_TEST step:64, travel time:349.22228412256266, q_loss:100, rewards:-268.46567, queue:181.2306, delay:8.371083, throughput:1423
REAL_TEST step:66, travel time:260.08174807197946, q_loss:100, rewards:-217.94725, queue:148.15195, delay:8.069443, throughput:1665
REAL_TEST step:68, travel time:313.840490797546, q_loss:100, rewards:-245.3406, queue:159.42043, delay:8.648753, throughput:1504
REAL_TEST step:70, travel time:248.0158494304111, q_loss:100, rewards:-210.7837, queue:139.93233, delay:8.560488, throughput:1790
REAL_TEST step:72, travel time:217.254329004329, q_loss:100, rewards:-183.96037, queue:117.710556, delay:8.151437, throughput:1727
REAL_TEST step:74, travel time:268.47642276422766, q_loss:100, rewards:-221.13168, queue:140.92508, delay:8.168269, throughput:1651
REAL_TEST step:76, travel time:269.13832695462, q_loss:100, rewards:-216.68813, queue:141.92471, delay:8.260607, throughput:1643
REAL_TEST step:78, travel time:309.32112970711296, q_loss:100, rewards:-253.72192, queue:169.67644, delay:8.796394, throughput:1579
REAL_TEST step:80, travel time:278.1709626512362, q_loss:100, rewards:-230.95467, queue:151.21407, delay:8.425431, throughput:1655
REAL_TEST step:82, travel time:297.1498043599776, q_loss:100, rewards:-233.39366, queue:157.90099, delay:8.326929, throughput:1496
REAL_TEST step:84, travel time:257.728813559322, q_loss:100, rewards:-218.35202, queue:144.83136, delay:8.443967, throughput:1702
REAL_TEST step:86, travel time:289.04359526372446, q_loss:100, rewards:-234.51978, queue:154.7835, delay:8.358378, throughput:1515
REAL_TEST step:88, travel time:256.9897463572585, q_loss:100, rewards:-209.38214, queue:141.63637, delay:8.297589, throughput:1656
REAL_TEST step:90, travel time:368.8560267857143, q_loss:100, rewards:-279.53094, queue:188.81667, delay:8.033771, throughput:1427
REAL_TEST step:92, travel time:267.0309017223911, q_loss:100, rewards:-224.10777, queue:150.54945, delay:8.447638, throughput:1685
REAL_TEST step:94, travel time:256.7837974683544, q_loss:100, rewards:-219.33487, queue:143.88434, delay:7.941014, throughput:1690
