Loading cached latent encoders from pretrained/vae_embedding/dqn/hz1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz1x1/baseline_v1_vae_s0/model/hz1x1_noise5_dqn_latent_observation -> eval real_setting=dz50
REAL_TEST step:2, travel time:1020.7209677419355, q_loss:100, rewards:-250.9921, queue:167.56111, delay:0.6325903, throughput:431
REAL_TEST step:4, travel time:852.9150052465898, q_loss:100, rewards:-320.3271, queue:213.99722, delay:0.8317247, throughput:604
REAL_TEST step:6, travel time:868.8365261813537, q_loss:100, rewards:-266.86044, queue:178.14444, delay:0.7623875, throughput:578
REAL_TEST step:8, travel time:799.4790174002047, q_loss:100, rewards:-306.2583, queue:204.59445, delay:0.82405037, throughput:633
REAL_TEST step:10, travel time:799.4790174002047, q_loss:100, rewards:-306.2583, queue:204.59445, delay:0.82405037, throughput:633
REAL_TEST step:12, travel time:848.071875, q_loss:100, rewards:-320.64337, queue:214.20555, delay:0.8316943, throughput:610
REAL_TEST step:14, travel time:799.4790174002047, q_loss:100, rewards:-306.2583, queue:204.59445, delay:0.82405037, throughput:633
REAL_TEST step:16, travel time:885.6455026455027, q_loss:100, rewards:-262.87164, queue:175.48056, delay:0.7613274, throughput:560
REAL_TEST step:18, travel time:469.61464004839684, q_loss:100, rewards:-287.94504, queue:192.39722, delay:0.7716361, throughput:1217
REAL_TEST step:20, travel time:462.1371359223301, q_loss:100, rewards:-281.80038, queue:188.22223, delay:0.76977456, throughput:1236
REAL_TEST step:22, travel time:479.6555965559656, q_loss:100, rewards:-290.7229, queue:194.15, delay:0.7711653, throughput:1231
REAL_TEST step:24, travel time:2347.414492753623, q_loss:100, rewards:-332.88293, queue:222.225, delay:0.7223137, throughput:95
REAL_TEST step:26, travel time:444.8448377581121, q_loss:100, rewards:-278.05457, queue:185.725, delay:0.7490059, throughput:1294
REAL_TEST step:28, travel time:473.96611445783134, q_loss:100, rewards:-233.2112, queue:155.79445, delay:0.67862225, throughput:991
REAL_TEST step:30, travel time:525.3445065176909, q_loss:100, rewards:-319.45038, queue:213.35556, delay:0.7922098, throughput:1175
REAL_TEST step:32, travel time:529.39875, q_loss:100, rewards:-320.31036, queue:213.91945, delay:0.7929599, throughput:1164
REAL_TEST step:34, travel time:551.7636603028308, q_loss:100, rewards:-318.08832, queue:212.45555, delay:0.792421, throughput:1096
REAL_TEST step:36, travel time:579.7089804186361, q_loss:100, rewards:-327.73917, queue:218.90277, delay:0.8020252, throughput:1054
REAL_TEST step:38, travel time:307.55745856353593, q_loss:100, rewards:-189.27544, queue:126.166664, delay:0.71786034, throughput:1614
REAL_TEST step:40, travel time:484.6798143851508, q_loss:100, rewards:-232.69577, queue:155.13055, delay:0.67948925, throughput:1087
REAL_TEST step:42, travel time:293.38734567901236, q_loss:100, rewards:-192.34418, queue:128.50278, delay:0.7093125, throughput:1579
REAL_TEST step:44, travel time:507.86905632772493, q_loss:100, rewards:-259.13165, queue:172.70833, delay:0.743979, throughput:1123
REAL_TEST step:46, travel time:237.9237713139418, q_loss:100, rewards:-150.2721, queue:99.958336, delay:0.72166055, throughput:1784
REAL_TEST step:48, travel time:336.05695862439546, q_loss:100, rewards:-217.9741, queue:145.53055, delay:0.72752434, throughput:1482
REAL_TEST step:50, travel time:322.484375, q_loss:100, rewards:-199.3725, queue:132.9611, delay:0.7439555, throughput:1534
REAL_TEST step:52, travel time:270.44308035714283, q_loss:100, rewards:-159.36751, queue:106.34167, delay:0.6282577, throughput:1556
REAL_TEST step:54, travel time:424.09331727874775, q_loss:100, rewards:-256.77957, queue:171.44722, delay:0.728975, throughput:1350
REAL_TEST step:56, travel time:364.65155807365437, q_loss:100, rewards:-228.97241, queue:152.90277, delay:0.78386974, throughput:1372
REAL_TEST step:58, travel time:343.7952218430034, q_loss:100, rewards:-212.26248, queue:141.725, delay:0.7694075, throughput:1400
REAL_TEST step:60, travel time:366.28457142857144, q_loss:100, rewards:-227.9155, queue:152.3, delay:0.7361535, throughput:1346
REAL_TEST step:62, travel time:260.98423995932893, q_loss:100, rewards:-167.46869, queue:111.736115, delay:0.70509964, throughput:1666
REAL_TEST step:64, travel time:325.73974849644617, q_loss:100, rewards:-206.84879, queue:138.19167, delay:0.7265876, throughput:1432
REAL_TEST step:66, travel time:288.7881040892193, q_loss:100, rewards:-182.29167, queue:121.66944, delay:0.7155372, throughput:1571
REAL_TEST step:68, travel time:240.70888071466106, q_loss:100, rewards:-145.15373, queue:96.905556, delay:0.68653774, throughput:1636
REAL_TEST step:70, travel time:311.78219395866455, q_loss:100, rewards:-201.98874, queue:134.875, delay:0.72475487, throughput:1536
REAL_TEST step:72, travel time:266.81523096129837, q_loss:100, rewards:-138.13873, queue:92.06389, delay:0.6384031, throughput:1442
REAL_TEST step:74, travel time:253.68712328767123, q_loss:100, rewards:-148.18674, queue:98.72222, delay:0.67695475, throughput:1685
REAL_TEST step:76, travel time:244.9086651053864, q_loss:100, rewards:-132.53748, queue:88.21111, delay:0.68650824, throughput:1549
REAL_TEST step:78, travel time:306.55645161290323, q_loss:100, rewards:-181.82379, queue:121.308334, delay:0.70982444, throughput:1453
REAL_TEST step:80, travel time:231.02484787018255, q_loss:100, rewards:-142.38412, queue:94.78333, delay:0.70998114, throughput:1803
REAL_TEST step:82, travel time:348.2870840383531, q_loss:100, rewards:-217.56747, queue:145.32222, delay:0.7376641, throughput:1382
REAL_TEST step:84, travel time:526.358361774744, q_loss:100, rewards:-230.85378, queue:154.08333, delay:0.7039259, throughput:902
REAL_TEST step:86, travel time:280.8678102926337, q_loss:100, rewards:-185.10666, queue:123.316666, delay:0.7464781, throughput:1718
REAL_TEST step:88, travel time:290.0757409440176, q_loss:100, rewards:-176.26381, queue:117.5, delay:0.7104852, throughput:1662
REAL_TEST step:90, travel time:353.11230248307, q_loss:100, rewards:-220.76335, queue:147.35, delay:0.71984345, throughput:1471
REAL_TEST step:92, travel time:215.11050545094153, q_loss:100, rewards:-131.2854, queue:87.397224, delay:0.71010244, throughput:1816
REAL_TEST step:94, travel time:368.10322580645163, q_loss:100, rewards:-223.84334, queue:149.32777, delay:0.7172359, throughput:1388
REAL_TEST step:96, travel time:345.99769319492503, q_loss:100, rewards:-211.41833, queue:140.90555, delay:0.7086467, throughput:1470
REAL_TEST step:98, travel time:248.74148874783612, q_loss:100, rewards:-137.62955, queue:91.61389, delay:0.61893046, throughput:1563
REAL_TEST step:100, travel time:345.7121296813863, q_loss:100, rewards:-217.80125, queue:145.0861, delay:0.7567866, throughput:1526
REAL_TEST step:102, travel time:338.2141025641026, q_loss:100, rewards:-183.11165, queue:121.98055, delay:0.74837595, throughput:1357
REAL_TEST step:104, travel time:238.99896480331262, q_loss:100, rewards:-145.73788, queue:97.130554, delay:0.6695563, throughput:1702
REAL_TEST step:106, travel time:259.4923076923077, q_loss:100, rewards:-159.42332, queue:106.33056, delay:0.67204773, throughput:1612
REAL_TEST step:108, travel time:292.81335436382756, q_loss:100, rewards:-188.71877, queue:126.05, delay:0.67613393, throughput:1516
REAL_TEST step:110, travel time:188.90628166160081, q_loss:100, rewards:-106.17167, queue:70.558334, delay:0.7003835, throughput:1819
REAL_TEST step:112, travel time:194.91204397801098, q_loss:100, rewards:-113.89669, queue:75.727776, delay:0.67555547, throughput:1844
REAL_TEST step:114, travel time:285.74259055982435, q_loss:100, rewards:-173.77623, queue:115.833336, delay:0.6802414, throughput:1617
REAL_TEST step:116, travel time:270.1513399894903, q_loss:100, rewards:-170.2608, queue:113.583336, delay:0.723148, throughput:1596
REAL_TEST step:118, travel time:282.6593272171254, q_loss:100, rewards:-152.90999, queue:101.825, delay:0.70624465, throughput:1473
REAL_TEST step:120, travel time:264.2191707054389, q_loss:100, rewards:-160.96419, queue:107.42778, delay:0.7155087, throughput:1565
REAL_TEST step:122, travel time:445.2476534296029, q_loss:100, rewards:-225.78455, queue:150.71388, delay:0.7173414, throughput:1113
REAL_TEST step:124, travel time:266.73709167544786, q_loss:100, rewards:-166.7933, queue:111.275, delay:0.7449451, throughput:1596
REAL_TEST step:126, travel time:206.61904761904762, q_loss:100, rewards:-124.28533, queue:82.719444, delay:0.68746054, throughput:1805
REAL_TEST step:128, travel time:154.9178217821782, q_loss:100, rewards:-78.78582, queue:52.325, delay:0.67917407, throughput:1929
REAL_TEST step:130, travel time:209.62961038961038, q_loss:100, rewards:-120.67913, queue:80.27778, delay:0.6938712, throughput:1770
REAL_TEST step:132, travel time:411.92749461593684, q_loss:100, rewards:-206.49292, queue:137.63611, delay:0.6542914, throughput:1202
REAL_TEST step:134, travel time:189.6181277860327, q_loss:100, rewards:-108.82499, queue:72.51667, delay:0.6798439, throughput:1835
REAL_TEST step:136, travel time:229.7544214249621, q_loss:100, rewards:-141.87709, queue:94.59167, delay:0.7103344, throughput:1717
REAL_TEST step:138, travel time:211.10809451985924, q_loss:100, rewards:-126.43496, queue:84.35, delay:0.70447063, throughput:1745
