Loading cached latent encoders from pretrained/vae_embedding/dqn/hz1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz1x1/baseline_v1_vae_s0/model/hz1x1_noise5_dqn_latent_observation -> eval real_setting=sensor70
REAL_TEST step:2, travel time:1045.4612903225807, q_loss:100, rewards:-91.69292, queue:61.202778, delay:0.35674065, throughput:427
REAL_TEST step:4, travel time:852.9202518363064, q_loss:100, rewards:-128.69872, queue:86.01667, delay:0.34669513, throughput:604
REAL_TEST step:6, travel time:868.9974358974359, q_loss:100, rewards:-74.8575, queue:49.980556, delay:0.12233177, throughput:576
REAL_TEST step:8, travel time:799.4790174002047, q_loss:100, rewards:-84.114586, queue:56.15278, delay:0.2438898, throughput:633
REAL_TEST step:10, travel time:799.4790174002047, q_loss:100, rewards:-179.70999, queue:120.00278, delay:0.36468238, throughput:633
REAL_TEST step:12, travel time:772.9421338155515, q_loss:100, rewards:-28.885416, queue:19.280556, delay:0.12143574, throughput:739
REAL_TEST step:14, travel time:595.8417808219178, q_loss:100, rewards:-107.56708, queue:71.85555, delay:0.30025598, throughput:1041
REAL_TEST step:16, travel time:885.6455026455027, q_loss:100, rewards:-13.320417, queue:8.891666, delay:0.12117782, throughput:560
REAL_TEST step:18, travel time:701.4689265536723, q_loss:100, rewards:-101.32543, queue:67.65278, delay:0.2300115, throughput:854
REAL_TEST step:20, travel time:800.976482617587, q_loss:100, rewards:-178.69038, queue:119.327774, delay:0.36387452, throughput:635
REAL_TEST step:22, travel time:799.4790174002047, q_loss:100, rewards:-163.15248, queue:108.99722, delay:0.52307355, throughput:633
REAL_TEST step:24, travel time:447.1756869275604, q_loss:100, rewards:-49.599606, queue:33.038887, delay:0.41495326, throughput:1034
REAL_TEST step:26, travel time:852.9202518363064, q_loss:100, rewards:-152.18459, queue:101.74167, delay:0.46500003, throughput:604
REAL_TEST step:28, travel time:1088.9745222929937, q_loss:100, rewards:-15.6075, queue:10.425, delay:0.12564413, throughput:423
REAL_TEST step:30, travel time:467.63520871143373, q_loss:100, rewards:-84.43877, queue:56.461113, delay:0.31314024, throughput:1229
REAL_TEST step:32, travel time:430.22767593140156, q_loss:100, rewards:-35.190414, queue:23.544445, delay:0.15046051, throughput:1317
REAL_TEST step:34, travel time:557.8673218673218, q_loss:100, rewards:-26.2125, queue:17.547222, delay:0.0806612, throughput:876
REAL_TEST step:36, travel time:456.4072966507177, q_loss:100, rewards:-56.69707, queue:37.922222, delay:0.24720098, throughput:1253
REAL_TEST step:38, travel time:771.7881526104418, q_loss:100, rewards:-53.086666, queue:35.458332, delay:0.33236548, throughput:676
REAL_TEST step:40, travel time:306.07158351409976, q_loss:100, rewards:-59.510822, queue:39.605556, delay:0.2875352, throughput:1538
REAL_TEST step:42, travel time:481.7743553008596, q_loss:100, rewards:-37.21417, queue:24.841667, delay:0.20125023, throughput:1057
REAL_TEST step:44, travel time:532.6995268138801, q_loss:100, rewards:-99.722084, queue:66.59722, delay:0.35208926, throughput:965
REAL_TEST step:46, travel time:292.5104493207941, q_loss:100, rewards:-104.32373, queue:69.67778, delay:0.40840432, throughput:1625
REAL_TEST step:48, travel time:548.0231522707035, q_loss:100, rewards:-21.562502, queue:14.441667, delay:0.20822631, throughput:875
REAL_TEST step:50, travel time:784.4396642182581, q_loss:100, rewards:-38.662495, queue:25.913889, delay:0.13100766, throughput:627
REAL_TEST step:52, travel time:591.3270440251572, q_loss:100, rewards:-0.10375, queue:0.075, delay:0.02551348, throughput:863
REAL_TEST step:54, travel time:1063.7018927444794, q_loss:100, rewards:-15.616665, queue:10.427778, delay:0.12572128, throughput:436
REAL_TEST step:56, travel time:427.7764156450671, q_loss:100, rewards:-87.95665, queue:58.86111, delay:0.35272896, throughput:1279
REAL_TEST step:58, travel time:303.2720588235294, q_loss:100, rewards:-47.276268, queue:31.566668, delay:0.19341344, throughput:1613
REAL_TEST step:60, travel time:854.8884664131813, q_loss:100, rewards:-31.58417, queue:21.069445, delay:0.2565862, throughput:589
REAL_TEST step:62, travel time:380.555223880597, q_loss:100, rewards:-107.030815, queue:71.41111, delay:0.3957677, throughput:1428
REAL_TEST step:64, travel time:831.1203585147247, q_loss:100, rewards:-29.70709, queue:19.744444, delay:0.24517436, throughput:587
REAL_TEST step:66, travel time:464.01685731487055, q_loss:100, rewards:-128.22334, queue:85.780556, delay:0.43836948, throughput:1226
REAL_TEST step:68, travel time:452.5686789151356, q_loss:100, rewards:-3.2637506, queue:2.1527777, delay:0.07708112, throughput:978
REAL_TEST step:70, travel time:408.5735294117647, q_loss:100, rewards:-165.52206, queue:110.566666, delay:0.5696535, throughput:1349
REAL_TEST step:72, travel time:287.90574282147315, q_loss:100, rewards:-62.329155, queue:41.594444, delay:0.4186539, throughput:1400
REAL_TEST step:74, travel time:1063.7018927444794, q_loss:100, rewards:0.0, queue:0.0, delay:0.0, throughput:436
REAL_TEST step:76, travel time:537.9379779099405, q_loss:100, rewards:-50.85417, queue:33.980556, delay:0.37136978, throughput:960
REAL_TEST step:78, travel time:460.58657878969444, q_loss:100, rewards:-116.61375, queue:77.87222, delay:0.3360276, throughput:1251
