Loading cached latent encoders from pretrained/darla/dqn/hz4x4
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz4x4/baseline_v1_darla_s0/model/hz4x4_noise5_dqn_latent_observation -> eval real_setting=combine3
REAL_TEST step:2, travel time:1821.3490384615384, q_loss:100, rewards:-1084.0004, queue:67.756325, delay:1.0998383, throughput:439
REAL_TEST step:4, travel time:1248.4382300884956, q_loss:100, rewards:-873.4986, queue:54.665516, delay:1.0477356, throughput:1134
REAL_TEST step:6, travel time:1044.2122492080252, q_loss:100, rewards:-765.44116, queue:47.81552, delay:1.1094371, throughput:1553
REAL_TEST step:8, travel time:925.2527656721421, q_loss:100, rewards:-643.1517, queue:40.18287, delay:1.0742698, throughput:1736
REAL_TEST step:10, travel time:805.8270197787463, q_loss:100, rewards:-528.07806, queue:32.937923, delay:1.096024, throughput:1969
REAL_TEST step:12, travel time:881.2138786456587, q_loss:100, rewards:-614.4473, queue:38.30397, delay:1.0279895, throughput:1799
REAL_TEST step:14, travel time:684.2420382165606, q_loss:100, rewards:-423.82925, queue:26.43745, delay:1.0313731, throughput:2209
REAL_TEST step:16, travel time:999.2401507365536, q_loss:100, rewards:-605.59973, queue:37.728813, delay:1.0212985, throughput:1618
REAL_TEST step:18, travel time:958.6093432633717, q_loss:100, rewards:-702.2408, queue:43.6817, delay:1.0650033, throughput:1637
REAL_TEST step:20, travel time:837.6530338585317, q_loss:100, rewards:-545.9478, queue:34.03425, delay:0.99773574, throughput:1916
REAL_TEST step:22, travel time:1087.0883584589615, q_loss:100, rewards:-392.7983, queue:24.521572, delay:0.9448132, throughput:1455
REAL_TEST step:24, travel time:881.4403571428571, q_loss:100, rewards:-510.86185, queue:31.719572, delay:1.0323646, throughput:1862
REAL_TEST step:26, travel time:677.8226617499162, q_loss:100, rewards:-417.40942, queue:25.94717, delay:1.0441042, throughput:2188
REAL_TEST step:28, travel time:1092.105828220859, q_loss:100, rewards:-511.5948, queue:31.88991, delay:1.0203483, throughput:1413
REAL_TEST step:30, travel time:741.977366255144, q_loss:100, rewards:-461.2303, queue:28.684874, delay:1.0816344, throughput:2132
REAL_TEST step:32, travel time:1080.532634032634, q_loss:100, rewards:-600.61304, queue:37.525078, delay:1.016391, throughput:1467
REAL_TEST step:34, travel time:917.9878273699742, q_loss:100, rewards:-624.4735, queue:38.85118, delay:1.1010579, throughput:1771
REAL_TEST step:36, travel time:778.8127136021873, q_loss:100, rewards:-529.07117, queue:32.917248, delay:1.0051787, throughput:2010
REAL_TEST step:38, travel time:683.5782041998551, q_loss:100, rewards:-326.3216, queue:20.295824, delay:1.0219127, throughput:2125
REAL_TEST step:40, travel time:997.562452399086, q_loss:100, rewards:-544.1328, queue:33.944233, delay:1.0169504, throughput:1593
REAL_TEST step:42, travel time:806.234199302055, q_loss:100, rewards:-398.31866, queue:24.785362, delay:1.0020988, throughput:1865
REAL_TEST step:44, travel time:813.493938344302, q_loss:100, rewards:-506.7602, queue:31.668478, delay:1.0243356, throughput:1972
REAL_TEST step:46, travel time:907.6334675942878, q_loss:100, rewards:-431.44696, queue:26.990479, delay:0.9923501, throughput:1755
REAL_TEST step:48, travel time:820.9239242685026, q_loss:100, rewards:-444.0599, queue:27.675325, delay:1.0440886, throughput:1915
REAL_TEST step:50, travel time:737.3540787623066, q_loss:100, rewards:-382.29, queue:23.808159, delay:1.0158098, throughput:2083
REAL_TEST step:52, travel time:995.8671544089334, q_loss:100, rewards:-584.1342, queue:36.420105, delay:0.97561866, throughput:1538
REAL_TEST step:54, travel time:949.5520030816641, q_loss:100, rewards:-627.73175, queue:39.257965, delay:1.0498713, throughput:1662
REAL_TEST step:56, travel time:757.5247058823529, q_loss:100, rewards:-382.7072, queue:23.828459, delay:1.0467715, throughput:1884
REAL_TEST step:58, travel time:1039.662230919765, q_loss:100, rewards:-512.5345, queue:32.123016, delay:0.9758028, throughput:1502
REAL_TEST step:60, travel time:709.0247300592129, q_loss:100, rewards:-451.76572, queue:28.306, delay:1.0625216, throughput:2087
REAL_TEST step:62, travel time:913.3214285714286, q_loss:100, rewards:-511.52066, queue:32.05719, delay:1.0304433, throughput:1747
REAL_TEST step:64, travel time:777.3100854700855, q_loss:100, rewards:-369.7779, queue:22.973188, delay:0.96358454, throughput:2049
REAL_TEST step:66, travel time:752.8390501319261, q_loss:100, rewards:-431.43872, queue:26.953293, delay:1.0049825, throughput:1942
REAL_TEST step:68, travel time:991.9917661589132, q_loss:100, rewards:-473.2009, queue:29.448887, delay:0.9805447, throughput:1556
REAL_TEST step:70, travel time:955.6610044313146, q_loss:100, rewards:-569.10657, queue:35.399963, delay:1.0581903, throughput:1693
REAL_TEST step:72, travel time:765.4788937409024, q_loss:100, rewards:-442.07968, queue:27.570795, delay:0.9800941, throughput:1998
REAL_TEST step:74, travel time:767.520737327189, q_loss:100, rewards:-482.88947, queue:30.136961, delay:1.0667216, throughput:2029
REAL_TEST step:76, travel time:877.0883465108285, q_loss:100, rewards:-578.667, queue:36.094307, delay:1.0318552, throughput:1939
REAL_TEST step:78, travel time:719.7450308430432, q_loss:100, rewards:-446.45453, queue:27.73374, delay:1.0501246, throughput:2129
REAL_TEST step:80, travel time:844.6781763325512, q_loss:100, rewards:-492.4223, queue:30.58509, delay:0.9941539, throughput:1986
REAL_TEST step:82, travel time:702.7543980682995, q_loss:100, rewards:-514.92645, queue:32.129704, delay:1.0945476, throughput:2158
REAL_TEST step:84, travel time:759.9558316080055, q_loss:100, rewards:-472.1355, queue:29.3699, delay:1.0201083, throughput:2031
REAL_TEST step:86, travel time:756.4644906743185, q_loss:100, rewards:-379.6484, queue:23.663984, delay:1.02854, throughput:2031
REAL_TEST step:88, travel time:705.0928595373784, q_loss:100, rewards:-409.39352, queue:25.434752, delay:1.0063777, throughput:2161
REAL_TEST step:90, travel time:1032.352268244576, q_loss:100, rewards:-621.6488, queue:38.81551, delay:1.0312699, throughput:1518
REAL_TEST step:92, travel time:738.8800413650465, q_loss:100, rewards:-413.68646, queue:25.720953, delay:0.99457717, throughput:2096
REAL_TEST step:94, travel time:834.2703830109973, q_loss:100, rewards:-475.9992, queue:29.657187, delay:1.0839779, throughput:1847
REAL_TEST step:96, travel time:835.0837294332724, q_loss:100, rewards:-575.0797, queue:35.92757, delay:1.1073488, throughput:1914
REAL_TEST step:98, travel time:989.3549051937346, q_loss:100, rewards:-477.82245, queue:29.89488, delay:0.97853035, throughput:1527
REAL_TEST step:100, travel time:940.6101820884429, q_loss:100, rewards:-624.1046, queue:38.9266, delay:1.045884, throughput:1740
REAL_TEST step:102, travel time:816.6675219941349, q_loss:100, rewards:-430.24466, queue:26.681883, delay:1.034652, throughput:1910
REAL_TEST step:104, travel time:911.9864559819413, q_loss:100, rewards:-612.55743, queue:38.240425, delay:1.0149146, throughput:1693
REAL_TEST step:106, travel time:745.9188049209139, q_loss:100, rewards:-479.66458, queue:29.799881, delay:1.0794413, throughput:2058
REAL_TEST step:108, travel time:934.2071865443426, q_loss:100, rewards:-616.6646, queue:38.447544, delay:1.0478556, throughput:1646
REAL_TEST step:110, travel time:1081.9991631799164, q_loss:100, rewards:-649.6391, queue:40.449062, delay:1.0306921, throughput:1395
REAL_TEST step:112, travel time:1107.9761051373955, q_loss:100, rewards:-600.91736, queue:37.66231, delay:1.0278789, throughput:1386
REAL_TEST step:114, travel time:871.6366972477064, q_loss:100, rewards:-605.2962, queue:37.84707, delay:1.0189555, throughput:1820
REAL_TEST step:116, travel time:907.8924097273397, q_loss:100, rewards:-668.1356, queue:41.70724, delay:1.0840262, throughput:1777
REAL_TEST step:118, travel time:914.8492901346924, q_loss:100, rewards:-420.60452, queue:26.190868, delay:1.0000174, throughput:1771
REAL_TEST step:120, travel time:851.9482394366197, q_loss:100, rewards:-608.34, queue:37.982582, delay:1.0640779, throughput:1871
REAL_TEST step:122, travel time:739.9251040221914, q_loss:100, rewards:-436.08594, queue:27.302267, delay:1.0089079, throughput:2084
REAL_TEST step:124, travel time:691.2086600750085, q_loss:100, rewards:-414.86594, queue:25.783108, delay:1.0307009, throughput:2222
REAL_TEST step:126, travel time:771.7948263642807, q_loss:100, rewards:-404.0041, queue:25.044374, delay:1.053631, throughput:2030
REAL_TEST step:128, travel time:892.0276548672566, q_loss:100, rewards:-643.0578, queue:40.060547, delay:1.1045278, throughput:1842
REAL_TEST step:130, travel time:774.0657011656658, q_loss:100, rewards:-427.96735, queue:26.868114, delay:1.007695, throughput:2048
REAL_TEST step:132, travel time:944.2102564102564, q_loss:100, rewards:-625.4545, queue:39.001514, delay:1.0657225, throughput:1676
REAL_TEST step:134, travel time:804.2110516934047, q_loss:100, rewards:-519.6073, queue:32.447933, delay:1.0921873, throughput:2023
REAL_TEST step:136, travel time:838.9252056843679, q_loss:100, rewards:-552.3985, queue:34.433662, delay:0.98617536, throughput:1850
REAL_TEST step:138, travel time:821.2558620689655, q_loss:100, rewards:-457.34418, queue:28.482384, delay:1.0137254, throughput:1962
REAL_TEST step:140, travel time:729.2993630573249, q_loss:100, rewards:-517.97095, queue:32.279247, delay:1.0646087, throughput:2106
REAL_TEST step:142, travel time:719.8064864864865, q_loss:100, rewards:-375.84744, queue:23.49204, delay:0.9915378, throughput:2102
REAL_TEST step:144, travel time:872.0428909152314, q_loss:100, rewards:-546.64844, queue:33.987705, delay:1.0471586, throughput:1869
REAL_TEST step:146, travel time:722.5890043580288, q_loss:100, rewards:-464.29202, queue:28.839231, delay:1.0772692, throughput:2139
REAL_TEST step:148, travel time:784.4776274713839, q_loss:100, rewards:-565.46063, queue:35.33472, delay:1.0558544, throughput:2037
REAL_TEST step:150, travel time:830.2209642074507, q_loss:100, rewards:-466.02078, queue:29.000006, delay:1.0486243, throughput:1880
REAL_TEST step:152, travel time:772.7901277183294, q_loss:100, rewards:-523.66077, queue:32.585075, delay:1.0289013, throughput:2083
REAL_TEST step:154, travel time:850.3076923076923, q_loss:100, rewards:-456.9528, queue:28.440004, delay:1.0622848, throughput:1882
REAL_TEST step:156, travel time:808.6327039543997, q_loss:100, rewards:-530.4052, queue:33.22956, delay:1.0306882, throughput:1956
REAL_TEST step:158, travel time:732.8396358543417, q_loss:100, rewards:-487.61276, queue:30.550043, delay:1.1114769, throughput:2110
REAL_TEST step:160, travel time:756.3103571428571, q_loss:100, rewards:-469.23465, queue:29.110968, delay:1.0313895, throughput:2072
REAL_TEST step:162, travel time:942.7287808641976, q_loss:100, rewards:-561.993, queue:35.146996, delay:1.04707, throughput:1716
REAL_TEST step:164, travel time:769.7177338250084, q_loss:100, rewards:-448.42154, queue:27.937487, delay:0.9572967, throughput:2113
REAL_TEST step:166, travel time:958.4738058551618, q_loss:100, rewards:-600.8568, queue:37.453175, delay:1.1012878, throughput:1681
REAL_TEST step:168, travel time:901.7028493894165, q_loss:100, rewards:-591.3454, queue:36.928085, delay:1.0036665, throughput:1866
REAL_TEST step:170, travel time:886.6130884041332, q_loss:100, rewards:-571.5094, queue:35.624874, delay:1.0813053, throughput:1803
REAL_TEST step:172, travel time:625.0288300368757, q_loss:100, rewards:-374.64688, queue:23.34332, delay:1.0718762, throughput:2304
REAL_TEST step:174, travel time:797.2651403249631, q_loss:100, rewards:-391.43906, queue:24.525116, delay:1.0206025, throughput:1975
REAL_TEST step:176, travel time:928.9049079754601, q_loss:100, rewards:-580.8802, queue:36.060852, delay:1.0505278, throughput:1652
REAL_TEST step:178, travel time:1005.7990449661759, q_loss:100, rewards:-522.9068, queue:32.650322, delay:0.9777465, throughput:1633
REAL_TEST step:180, travel time:777.8899456521739, q_loss:100, rewards:-508.5335, queue:31.783545, delay:1.0081166, throughput:2013
REAL_TEST step:182, travel time:731.6154877639959, q_loss:100, rewards:-443.4495, queue:27.573503, delay:1.0148011, throughput:2208
REAL_TEST step:184, travel time:812.055414704817, q_loss:100, rewards:-476.24643, queue:29.68847, delay:0.9654609, throughput:1967
REAL_TEST step:186, travel time:706.0341937646665, q_loss:100, rewards:-383.0886, queue:23.735561, delay:1.0835599, throughput:2146
REAL_TEST step:188, travel time:938.8247199132635, q_loss:100, rewards:-369.24097, queue:22.980143, delay:1.0299968, throughput:1741
REAL_TEST step:190, travel time:890.528382720457, q_loss:100, rewards:-536.0686, queue:33.329865, delay:1.0459957, throughput:1806
REAL_TEST step:192, travel time:826.3967391304348, q_loss:100, rewards:-498.45444, queue:30.978428, delay:1.0348777, throughput:1871
REAL_TEST step:194, travel time:649.9668737060041, q_loss:100, rewards:-405.67978, queue:25.224403, delay:1.0797553, throughput:2252
REAL_TEST step:196, travel time:780.5695713281799, q_loss:100, rewards:-496.81406, queue:30.987883, delay:1.1077737, throughput:2069
REAL_TEST step:198, travel time:665.7314595326786, q_loss:100, rewards:-399.00266, queue:24.892567, delay:1.0661967, throughput:2214
Total time taken: 5002.1393530368805
