replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz4x4/baseline_v1_domain_randomization_s0/model/hz4x4_noise5_dqn_domain_randomization -> eval real_setting=noise20
REAL_TEST step:3, travel time:958.7773423583898, q_loss:100, rewards:-1984.3861, queue:123.06689, delay:8.131705, throughput:1720
REAL_TEST step:6, travel time:692.5434126718069, q_loss:100, rewards:-1784.4222, queue:111.7602, delay:8.177789, throughput:2188
REAL_TEST step:9, travel time:615.6037546094535, q_loss:100, rewards:-1731.9497, queue:108.366776, delay:8.045287, throughput:2302
REAL_TEST step:12, travel time:679.4830707341603, q_loss:100, rewards:-1792.3451, queue:111.54536, delay:8.112863, throughput:2183
REAL_TEST step:15, travel time:799.4183707676835, q_loss:100, rewards:-1871.4088, queue:116.34797, delay:8.038813, throughput:1939
REAL_TEST step:18, travel time:909.140127388535, q_loss:100, rewards:-1982.404, queue:122.90827, delay:8.049776, throughput:1701
REAL_TEST step:21, travel time:905.6536496350365, q_loss:100, rewards:-1961.1656, queue:122.42806, delay:8.085929, throughput:1676
REAL_TEST step:24, travel time:603.9597720415688, q_loss:100, rewards:-1721.618, queue:107.66336, delay:8.040113, throughput:2396
REAL_TEST step:27, travel time:659.6077774052967, q_loss:100, rewards:-1770.7255, queue:109.67712, delay:8.113681, throughput:2272
REAL_TEST step:30, travel time:938.6979936642027, q_loss:100, rewards:-1992.6677, queue:124.43138, delay:8.118145, throughput:1664
REAL_TEST step:33, travel time:839.9865906805229, q_loss:100, rewards:-1907.6962, queue:119.3261, delay:7.989711, throughput:1868
REAL_TEST step:36, travel time:769.1329966329967, q_loss:100, rewards:-1870.044, queue:116.00525, delay:8.018114, throughput:2006
REAL_TEST step:39, travel time:918.906532314107, q_loss:100, rewards:-1967.1284, queue:122.35018, delay:8.043653, throughput:1751
REAL_TEST step:42, travel time:1030.1319444444443, q_loss:100, rewards:-2061.92, queue:128.95059, delay:8.175526, throughput:1463
REAL_TEST step:45, travel time:913.2371418709009, q_loss:100, rewards:-1974.2472, queue:122.74175, delay:8.068392, throughput:1706
REAL_TEST step:48, travel time:862.8994301039222, q_loss:100, rewards:-1935.5609, queue:120.50532, delay:8.104027, throughput:1813
REAL_TEST step:51, travel time:805.3927848954821, q_loss:100, rewards:-1900.6111, queue:117.92052, delay:8.062538, throughput:1860
