replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz4x4/baseline_v1_domain_randomization_s0/model/hz4x4_noise5_dqn_domain_randomization -> eval real_setting=dz10
REAL_TEST step:3, travel time:1955.2533980582525, q_loss:100, rewards:-1073.1417, queue:67.19479, delay:0.22526893, throughput:266
REAL_TEST step:6, travel time:1644.7841672890218, q_loss:100, rewards:-1138.2511, queue:71.29844, delay:0.2783447, throughput:512
REAL_TEST step:9, travel time:1696.9653442772458, q_loss:100, rewards:-976.69147, queue:61.164062, delay:0.21267937, throughput:497
REAL_TEST step:12, travel time:1287.60475690801, q_loss:100, rewards:-895.5903, queue:56.063717, delay:0.26450804, throughput:1101
REAL_TEST step:15, travel time:1639.4254385964912, q_loss:100, rewards:-1055.825, queue:66.119965, delay:0.24159588, throughput:550
REAL_TEST step:18, travel time:1644.8464746019713, q_loss:100, rewards:-1120.3806, queue:70.16146, delay:0.279442, throughput:573
REAL_TEST step:21, travel time:1543.159040590406, q_loss:100, rewards:-1058.6758, queue:66.29913, delay:0.26803648, throughput:642
REAL_TEST step:24, travel time:1096.905799530674, q_loss:100, rewards:-741.46387, queue:46.43038, delay:0.29907846, throughput:1358
REAL_TEST step:27, travel time:1713.9216315307058, q_loss:100, rewards:-980.0202, queue:61.382988, delay:0.21818447, throughput:446
REAL_TEST step:30, travel time:1451.2060402684563, q_loss:100, rewards:-1084.1945, queue:67.925865, delay:0.30738488, throughput:681
REAL_TEST step:33, travel time:1423.934361407671, q_loss:100, rewards:-906.707, queue:56.777084, delay:0.2731105, throughput:808
REAL_TEST step:36, travel time:1612.0382165605095, q_loss:100, rewards:-1039.4626, queue:65.10886, delay:0.26564148, throughput:624
REAL_TEST step:39, travel time:1461.5394944707741, q_loss:100, rewards:-935.40137, queue:58.585068, delay:0.26720247, throughput:721
REAL_TEST step:42, travel time:1446.1500701262273, q_loss:100, rewards:-1036.6282, queue:64.91875, delay:0.27099884, throughput:805
REAL_TEST step:45, travel time:1322.3285283271873, q_loss:100, rewards:-958.00165, queue:60.013367, delay:0.30126238, throughput:954
REAL_TEST step:48, travel time:1617.9445716903344, q_loss:100, rewards:-902.5861, queue:56.514755, delay:0.25880978, throughput:608
REAL_TEST step:51, travel time:1438.8407977606719, q_loss:100, rewards:-1027.4136, queue:64.3658, delay:0.30053297, throughput:796
REAL_TEST step:54, travel time:1696.9729481889042, q_loss:100, rewards:-968.9227, queue:60.68125, delay:0.201064, throughput:496
REAL_TEST step:57, travel time:1414.3481324876673, q_loss:100, rewards:-1003.58105, queue:62.86684, delay:0.29306924, throughput:810
REAL_TEST step:60, travel time:1838.5405651777576, q_loss:100, rewards:-1062.248, queue:66.526566, delay:0.20980483, throughput:410
REAL_TEST step:63, travel time:1266.0231310760978, q_loss:100, rewards:-897.1184, queue:56.19184, delay:0.30035347, throughput:1062
REAL_TEST step:66, travel time:1516.5759605216779, q_loss:100, rewards:-1099.9446, queue:68.90191, delay:0.25520816, throughput:691
REAL_TEST step:69, travel time:1525.4731837200457, q_loss:100, rewards:-986.99615, queue:61.803818, delay:0.30709583, throughput:713
REAL_TEST step:72, travel time:1381.4677703416696, q_loss:100, rewards:-975.1542, queue:61.089756, delay:0.2843705, throughput:888
REAL_TEST step:75, travel time:1378.770841263799, q_loss:100, rewards:-889.2014, queue:55.685764, delay:0.29714617, throughput:881
REAL_TEST step:78, travel time:1648.0071798962904, q_loss:100, rewards:-1075.1204, queue:67.340454, delay:0.2940267, throughput:542
REAL_TEST step:81, travel time:1522.2332373508843, q_loss:100, rewards:-941.01355, queue:58.9375, delay:0.25893217, throughput:709
REAL_TEST step:84, travel time:1484.160531309298, q_loss:100, rewards:-981.19476, queue:61.457638, delay:0.27209324, throughput:720
REAL_TEST step:87, travel time:1211.4321153201474, q_loss:100, rewards:-857.6975, queue:53.72066, delay:0.2706662, throughput:1132
REAL_TEST step:90, travel time:1378.9732178022844, q_loss:100, rewards:-868.6614, queue:54.402084, delay:0.2639947, throughput:889
REAL_TEST step:93, travel time:1449.746153846154, q_loss:100, rewards:-1054.5073, queue:66.056946, delay:0.23588973, throughput:767
REAL_TEST step:96, travel time:1350.9705776820954, q_loss:100, rewards:-919.32794, queue:57.57743, delay:0.29165176, throughput:965
REAL_TEST step:99, travel time:1591.982771260997, q_loss:100, rewards:-1119.3467, queue:70.11771, delay:0.2868522, throughput:587
REAL_TEST step:102, travel time:1167.3174656386188, q_loss:100, rewards:-805.9442, queue:50.46302, delay:0.30305374, throughput:1235
