replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz4x4/baseline_v1_domain_randomization_s0/model/hz4x4_noise5_dqn_domain_randomization -> eval real_setting=sensor50
REAL_TEST step:3, travel time:1297.7109529458285, q_loss:100, rewards:-278.42667, queue:17.426043, delay:0.14157829, throughput:1025
REAL_TEST step:6, travel time:1055.2051625879988, q_loss:100, rewards:-236.39279, queue:14.782118, delay:0.15604813, throughput:1448
REAL_TEST step:9, travel time:1143.4377981651376, q_loss:100, rewards:-350.69275, queue:21.923437, delay:0.17054376, throughput:1283
REAL_TEST step:12, travel time:1009.1840429098223, q_loss:100, rewards:-140.74443, queue:8.767882, delay:0.13346146, throughput:1626
REAL_TEST step:15, travel time:1475.4427596664138, q_loss:100, rewards:-284.35806, queue:17.805035, delay:0.10414842, throughput:786
REAL_TEST step:18, travel time:1365.9008147360964, q_loss:100, rewards:-460.64804, queue:28.842709, delay:0.13423592, throughput:874
REAL_TEST step:21, travel time:1223.4278033794162, q_loss:100, rewards:-156.39194, queue:9.777778, delay:0.11273003, throughput:1098
REAL_TEST step:24, travel time:1189.2572009488308, q_loss:100, rewards:-296.085, queue:18.515104, delay:0.15273471, throughput:1243
REAL_TEST step:27, travel time:1141.9021119678177, q_loss:100, rewards:-287.4214, queue:17.978298, delay:0.13880268, throughput:1304
REAL_TEST step:30, travel time:1287.1653764954258, q_loss:100, rewards:-357.7186, queue:22.376736, delay:0.13974652, throughput:1085
REAL_TEST step:33, travel time:1264.457097667062, q_loss:100, rewards:-221.28668, queue:13.852604, delay:0.10749867, throughput:1028
REAL_TEST step:36, travel time:1274.891384512236, q_loss:100, rewards:-310.9745, queue:19.45139, delay:0.15504326, throughput:1176
REAL_TEST step:39, travel time:1124.9068052296345, q_loss:100, rewards:-264.70386, queue:16.571701, delay:0.15668152, throughput:1524
REAL_TEST step:42, travel time:1505.2220054623488, q_loss:100, rewards:-386.63724, queue:24.194098, delay:0.14954837, throughput:738
REAL_TEST step:45, travel time:1146.7904793831713, q_loss:100, rewards:-315.58777, queue:19.757292, delay:0.1502759, throughput:1224
REAL_TEST step:48, travel time:1152.269049224545, q_loss:100, rewards:-448.9178, queue:28.094791, delay:0.16579248, throughput:1418
REAL_TEST step:51, travel time:1271.7869308307265, q_loss:100, rewards:-464.332, queue:29.062326, delay:0.1575863, throughput:1045
REAL_TEST step:54, travel time:1160.2475679302247, q_loss:100, rewards:-432.6358, queue:27.07882, delay:0.14921044, throughput:1320
REAL_TEST step:57, travel time:1476.0736970684038, q_loss:100, rewards:-452.32053, queue:28.315971, delay:0.14254397, throughput:811
REAL_TEST step:60, travel time:1216.8766475160528, q_loss:100, rewards:-273.28665, queue:17.100868, delay:0.14308585, throughput:1109
REAL_TEST step:63, travel time:1316.9271433412403, q_loss:100, rewards:-332.29443, queue:20.799479, delay:0.13938616, throughput:1045
REAL_TEST step:66, travel time:1463.8081543502003, q_loss:100, rewards:-403.10938, queue:25.226042, delay:0.15243904, throughput:762
REAL_TEST step:69, travel time:1308.3533806499813, q_loss:100, rewards:-446.92865, queue:27.97934, delay:0.1733909, throughput:950
REAL_TEST step:72, travel time:1323.9352750809062, q_loss:100, rewards:-435.9883, queue:27.302605, delay:0.17217186, throughput:973
REAL_TEST step:75, travel time:1252.5950963222417, q_loss:100, rewards:-228.02832, queue:14.26684, delay:0.14302322, throughput:1080
REAL_TEST step:78, travel time:1307.9423294383716, q_loss:100, rewards:-321.90585, queue:20.139584, delay:0.1360976, throughput:1014
REAL_TEST step:81, travel time:1194.6492146596859, q_loss:100, rewards:-365.87445, queue:22.912848, delay:0.16004749, throughput:1213
REAL_TEST step:84, travel time:1399.177652733119, q_loss:100, rewards:-409.30276, queue:25.607813, delay:0.1548465, throughput:958
REAL_TEST step:87, travel time:1321.3209660483024, q_loss:100, rewards:-412.26276, queue:25.801216, delay:0.13027644, throughput:891
REAL_TEST step:90, travel time:1207.2507542742205, q_loss:100, rewards:-437.95834, queue:27.413195, delay:0.17296918, throughput:1106
REAL_TEST step:93, travel time:1305.646551724138, q_loss:100, rewards:-435.41415, queue:27.253471, delay:0.12472561, throughput:1009
REAL_TEST step:96, travel time:1271.2808002808003, q_loss:100, rewards:-346.50082, queue:21.696354, delay:0.15289205, throughput:1075
REAL_TEST step:99, travel time:1325.8579003181337, q_loss:100, rewards:-410.78137, queue:25.700348, delay:0.13583308, throughput:954
REAL_TEST step:102, travel time:1569.4312034496277, q_loss:100, rewards:-364.83777, queue:22.843403, delay:0.141495, throughput:622
REAL_TEST step:105, travel time:1527.364315352697, q_loss:100, rewards:-330.00165, queue:20.652256, delay:0.14170958, throughput:695
REAL_TEST step:108, travel time:1331.691958041958, q_loss:100, rewards:-233.98114, queue:14.647917, delay:0.1444414, throughput:1000
REAL_TEST step:111, travel time:1281.5436077057793, q_loss:100, rewards:-470.3678, queue:29.433855, delay:0.16540252, throughput:1069
REAL_TEST step:114, travel time:1263.478734263355, q_loss:100, rewards:-423.23584, queue:26.506424, delay:0.16593973, throughput:1061
REAL_TEST step:117, travel time:1627.8375717801478, q_loss:100, rewards:-535.00085, queue:33.487328, delay:0.1269852, throughput:601
REAL_TEST step:120, travel time:1455.1375505700626, q_loss:100, rewards:-422.31, queue:26.442535, delay:0.13331065, throughput:837
REAL_TEST step:123, travel time:1206.4335281227172, q_loss:100, rewards:-457.56866, queue:28.621702, delay:0.15560804, throughput:1184
REAL_TEST step:126, travel time:1315.0773951585406, q_loss:100, rewards:-451.99002, queue:28.291666, delay:0.1438668, throughput:956
REAL_TEST step:129, travel time:1528.799840827696, q_loss:100, rewards:-518.7814, queue:32.471703, delay:0.14164105, throughput:717
REAL_TEST step:132, travel time:1281.1104895104895, q_loss:100, rewards:-270.7922, queue:16.947569, delay:0.14295538, throughput:1064
REAL_TEST step:135, travel time:1425.257873117298, q_loss:100, rewards:-353.28918, queue:22.09948, delay:0.16413379, throughput:875
REAL_TEST step:138, travel time:1369.193479801559, q_loss:100, rewards:-245.86888, queue:15.394965, delay:0.13626866, throughput:909
REAL_TEST step:141, travel time:1258.8216560509554, q_loss:100, rewards:-530.00635, queue:33.190453, delay:0.17987514, throughput:1027
REAL_TEST step:144, travel time:1475.7087693973294, q_loss:100, rewards:-527.7975, queue:33.065453, delay:0.1687415, throughput:775
REAL_TEST step:147, travel time:1454.3991611324711, q_loss:100, rewards:-370.88916, queue:23.231945, delay:0.15962109, throughput:752
REAL_TEST step:150, travel time:1323.4555944055944, q_loss:100, rewards:-601.7758, queue:37.67934, delay:0.1590449, throughput:1083
REAL_TEST step:153, travel time:1352.7320431708224, q_loss:100, rewards:-499.21744, queue:31.265451, delay:0.15431857, throughput:961
REAL_TEST step:156, travel time:1418.8877405559515, q_loss:100, rewards:-517.4289, queue:32.410416, delay:0.14195085, throughput:851
REAL_TEST step:159, travel time:1466.762391222096, q_loss:100, rewards:-398.36502, queue:24.929167, delay:0.14188588, throughput:795
REAL_TEST step:162, travel time:1348.805344889852, q_loss:100, rewards:-350.47946, queue:21.940104, delay:0.11393016, throughput:938
REAL_TEST step:165, travel time:1324.4155076495133, q_loss:100, rewards:-550.9303, queue:34.48281, delay:0.15586908, throughput:1032
REAL_TEST step:168, travel time:1335.5790389972144, q_loss:100, rewards:-407.91138, queue:25.552431, delay:0.11369658, throughput:1036
REAL_TEST step:171, travel time:1278.0006704659738, q_loss:100, rewards:-339.6475, queue:21.268055, delay:0.13492699, throughput:1051
REAL_TEST step:174, travel time:1623.0044762757386, q_loss:100, rewards:-232.3072, queue:14.538889, delay:0.12626377, throughput:598
REAL_TEST step:177, travel time:1170.7569560844788, q_loss:100, rewards:-252.60777, queue:15.823438, delay:0.13048497, throughput:1285
REAL_TEST step:180, travel time:1489.3881147540983, q_loss:100, rewards:-309.6528, queue:19.390625, delay:0.14449099, throughput:831
REAL_TEST step:183, travel time:1492.7709454265948, q_loss:100, rewards:-433.975, queue:27.178646, delay:0.13769172, throughput:691
REAL_TEST step:186, travel time:1202.9403701165181, q_loss:100, rewards:-395.27197, queue:24.745485, delay:0.15657929, throughput:1096
REAL_TEST step:189, travel time:1703.5451930977815, q_loss:100, rewards:-264.0411, queue:16.530209, delay:0.109405965, throughput:570
REAL_TEST step:192, travel time:1600.8555507929705, q_loss:100, rewards:-657.2433, queue:41.15868, delay:0.17565668, throughput:560
REAL_TEST step:195, travel time:1464.6068222621184, q_loss:100, rewards:-552.92664, queue:34.639236, delay:0.16622607, throughput:744
REAL_TEST step:198, travel time:1524.2057416267942, q_loss:100, rewards:-666.0214, queue:41.71198, delay:0.15803446, throughput:684
REAL_TEST step:201, travel time:1510.4998218738867, q_loss:100, rewards:-397.6164, queue:24.899652, delay:0.13319884, throughput:662
REAL_TEST step:204, travel time:1472.2497376705142, q_loss:100, rewards:-572.19476, queue:35.834026, delay:0.15783657, throughput:756
REAL_TEST step:207, travel time:1169.9510559839089, q_loss:100, rewards:-340.24225, queue:21.288542, delay:0.13985918, throughput:1233
REAL_TEST step:210, travel time:1389.9278676988038, q_loss:100, rewards:-472.76636, queue:29.599306, delay:0.147514, throughput:906
REAL_TEST step:213, travel time:1570.3168193172357, q_loss:100, rewards:-396.18387, queue:24.802778, delay:0.13184978, throughput:629
REAL_TEST step:216, travel time:1228.7428767593547, q_loss:100, rewards:-298.81027, queue:18.703993, delay:0.14144251, throughput:1137
REAL_TEST step:219, travel time:1632.87368009386, q_loss:100, rewards:-762.84436, queue:47.776215, delay:0.16011053, throughput:529
REAL_TEST step:222, travel time:1404.3127979464614, q_loss:100, rewards:-552.0773, queue:34.573612, delay:0.15570383, throughput:843
REAL_TEST step:225, travel time:1238.795571372084, q_loss:100, rewards:-281.69388, queue:17.636631, delay:0.12924214, throughput:1107
REAL_TEST step:228, travel time:1234.805808848362, q_loss:100, rewards:-477.4092, queue:29.888542, delay:0.14282009, throughput:1064
REAL_TEST step:231, travel time:1522.4918359219434, q_loss:100, rewards:-421.37335, queue:26.375174, delay:0.12622495, throughput:742
REAL_TEST step:234, travel time:1324.6242695084222, q_loss:100, rewards:-361.65414, queue:22.631077, delay:0.13371149, throughput:980
REAL_TEST step:237, travel time:1171.6577271203487, q_loss:100, rewards:-439.10165, queue:27.467188, delay:0.1494827, throughput:1199
REAL_TEST step:240, travel time:1234.0298559887601, q_loss:100, rewards:-357.59695, queue:22.382118, delay:0.14397675, throughput:1141
REAL_TEST step:243, travel time:1304.6212973378329, q_loss:100, rewards:-376.37195, queue:23.56198, delay:0.16974972, throughput:1044
REAL_TEST step:246, travel time:1288.551593323217, q_loss:100, rewards:-390.41995, queue:24.448437, delay:0.15330993, throughput:1052
REAL_TEST step:249, travel time:1387.574500188608, q_loss:100, rewards:-362.68973, queue:22.715279, delay:0.12804657, throughput:890
REAL_TEST step:252, travel time:1480.2611226611227, q_loss:100, rewards:-535.2891, queue:33.492012, delay:0.13348757, throughput:745
REAL_TEST step:255, travel time:1600.1203125, q_loss:100, rewards:-611.1486, queue:38.266495, delay:0.1737077, throughput:622
REAL_TEST step:258, travel time:1659.0381268130957, q_loss:100, rewards:-202.65028, queue:12.679167, delay:0.12862843, throughput:559
REAL_TEST step:261, travel time:1862.8306976744186, q_loss:100, rewards:-467.06415, queue:29.24809, delay:0.12833628, throughput:305
REAL_TEST step:264, travel time:1546.5314787701318, q_loss:100, rewards:-528.75946, queue:33.109028, delay:0.16469128, throughput:697
REAL_TEST step:267, travel time:1112.599050203528, q_loss:100, rewards:-256.9461, queue:16.071354, delay:0.1545844, throughput:1279
REAL_TEST step:270, travel time:1525.5821371610846, q_loss:100, rewards:-566.19525, queue:35.437153, delay:0.1360334, throughput:653
REAL_TEST step:273, travel time:1309.0171568627452, q_loss:100, rewards:-444.05585, queue:27.811111, delay:0.16529468, throughput:1014
REAL_TEST step:276, travel time:1144.0238015420719, q_loss:100, rewards:-416.04388, queue:26.040277, delay:0.15495133, throughput:1346
