Loading cached latent encoders from pretrained/lusr/dqn/hz4x4
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz4x4/baseline_v1_lusr_s0/model/hz4x4_noise5_dqn_latent_observation -> eval real_setting=noise20
REAL_TEST step:2, travel time:1481.7139423076924, q_loss:100, rewards:-2316.2156, queue:143.83939, delay:8.150199, throughput:743
REAL_TEST step:4, travel time:1262.033984375, q_loss:100, rewards:-2109.1558, queue:132.3141, delay:8.224138, throughput:1087
REAL_TEST step:6, travel time:1179.9604425075427, q_loss:100, rewards:-2174.6628, queue:136.03705, delay:8.082647, throughput:1189
REAL_TEST step:8, travel time:1234.4310171198388, q_loss:100, rewards:-2222.8735, queue:138.59201, delay:8.15746, throughput:1110
REAL_TEST step:10, travel time:1062.8933227973132, q_loss:100, rewards:-1985.7375, queue:123.88679, delay:8.058484, throughput:1360
REAL_TEST step:12, travel time:1100.7908146161583, q_loss:100, rewards:-2110.2202, queue:130.83305, delay:8.081926, throughput:1337
REAL_TEST step:14, travel time:999.2862889708347, q_loss:100, rewards:-2018.7961, queue:125.87244, delay:8.135686, throughput:1500
REAL_TEST step:16, travel time:941.6754944686558, q_loss:100, rewards:-1969.5403, queue:123.31623, delay:8.075437, throughput:1614
REAL_TEST step:18, travel time:878.6329198793161, q_loss:100, rewards:-1921.1825, queue:119.12418, delay:8.145244, throughput:1770
REAL_TEST step:20, travel time:1145.6695718075027, q_loss:100, rewards:-2067.4644, queue:129.0754, delay:8.1449, throughput:1290
REAL_TEST step:22, travel time:884.687898089172, q_loss:100, rewards:-1921.836, queue:120.35433, delay:8.025103, throughput:1710
REAL_TEST step:24, travel time:692.9014415018438, q_loss:100, rewards:-1789.7903, queue:111.248825, delay:8.036068, throughput:2121
REAL_TEST step:26, travel time:702.8364063023802, q_loss:100, rewards:-1778.3458, queue:110.67494, delay:8.063435, throughput:2077
REAL_TEST step:28, travel time:646.3754609453571, q_loss:100, rewards:-1738.5065, queue:108.38281, delay:8.1871395, throughput:2220
REAL_TEST step:30, travel time:712.7086825343614, q_loss:100, rewards:-1794.6702, queue:111.824265, delay:8.086504, throughput:2146
REAL_TEST step:32, travel time:758.0586657727121, q_loss:100, rewards:-1823.0614, queue:113.369316, delay:8.1261635, throughput:2008
REAL_TEST step:34, travel time:730.6543747904794, q_loss:100, rewards:-1813.4995, queue:112.59667, delay:8.081283, throughput:2086
REAL_TEST step:36, travel time:642.4284277572913, q_loss:100, rewards:-1739.8928, queue:107.9773, delay:8.0948105, throughput:2251
REAL_TEST step:38, travel time:597.2366744887697, q_loss:100, rewards:-1702.4963, queue:105.86614, delay:8.133373, throughput:2362
REAL_TEST step:40, travel time:610.9245725779417, q_loss:100, rewards:-1723.7224, queue:106.835915, delay:8.110657, throughput:2317
REAL_TEST step:42, travel time:628.2323164599396, q_loss:100, rewards:-1730.6486, queue:108.654495, delay:8.058726, throughput:2283
REAL_TEST step:44, travel time:789.0297063903281, q_loss:100, rewards:-1879.45, queue:118.15756, delay:8.112076, throughput:1905
REAL_TEST step:46, travel time:635.1575595038552, q_loss:100, rewards:-1737.9993, queue:109.13162, delay:8.000095, throughput:2255
REAL_TEST step:48, travel time:615.8756285618505, q_loss:100, rewards:-1717.7089, queue:107.17297, delay:8.179497, throughput:2319
REAL_TEST step:50, travel time:618.5269862554476, q_loss:100, rewards:-1734.4259, queue:107.602776, delay:8.075204, throughput:2287
REAL_TEST step:52, travel time:547.7619845792826, q_loss:100, rewards:-1678.1526, queue:105.12847, delay:8.131842, throughput:2440
REAL_TEST step:54, travel time:591.8535031847134, q_loss:100, rewards:-1707.889, queue:106.73368, delay:8.078558, throughput:2358
REAL_TEST step:56, travel time:598.4374790479383, q_loss:100, rewards:-1707.8514, queue:106.39811, delay:8.031596, throughput:2390
REAL_TEST step:58, travel time:665.0877252635158, q_loss:100, rewards:-1778.8448, queue:112.183525, delay:7.97894, throughput:2191
REAL_TEST step:60, travel time:568.6392893060677, q_loss:100, rewards:-1697.5559, queue:106.88463, delay:8.083213, throughput:2407
REAL_TEST step:62, travel time:627.6439825678847, q_loss:100, rewards:-1742.8157, queue:110.47044, delay:8.122774, throughput:2302
REAL_TEST step:64, travel time:568.3570231310761, q_loss:100, rewards:-1697.6846, queue:105.16187, delay:8.156393, throughput:2396
REAL_TEST step:66, travel time:690.8819241982508, q_loss:100, rewards:-1787.2985, queue:112.214714, delay:8.11706, throughput:2068
REAL_TEST step:68, travel time:788.588256880734, q_loss:100, rewards:-1850.8448, queue:115.31635, delay:8.143848, throughput:1956
REAL_TEST step:70, travel time:811.8254143646409, q_loss:100, rewards:-1868.3214, queue:116.3749, delay:8.0281725, throughput:1863
REAL_TEST step:72, travel time:769.9461988304093, q_loss:100, rewards:-1830.2505, queue:114.67348, delay:8.074292, throughput:1890
REAL_TEST step:74, travel time:822.9730363423212, q_loss:100, rewards:-1862.9337, queue:116.53457, delay:8.006625, throughput:1780
REAL_TEST step:76, travel time:802.5373076923076, q_loss:100, rewards:-1854.2532, queue:115.80445, delay:8.136882, throughput:1871
REAL_TEST step:78, travel time:824.2497096399535, q_loss:100, rewards:-1874.9382, queue:116.73635, delay:8.145277, throughput:1800
REAL_TEST step:80, travel time:574.4636272209185, q_loss:100, rewards:-1701.3573, queue:105.71037, delay:8.098479, throughput:2431
REAL_TEST step:82, travel time:610.3094200469326, q_loss:100, rewards:-1726.5616, queue:108.372154, delay:8.090548, throughput:2368
REAL_TEST step:84, travel time:604.2876299027824, q_loss:100, rewards:-1721.2664, queue:107.17439, delay:8.065928, throughput:2371
REAL_TEST step:86, travel time:587.9114984914515, q_loss:100, rewards:-1715.2188, queue:107.344315, delay:8.045207, throughput:2393
REAL_TEST step:88, travel time:577.0070398927254, q_loss:100, rewards:-1704.6924, queue:106.28811, delay:8.094233, throughput:2414
REAL_TEST step:90, travel time:588.0948709353, q_loss:100, rewards:-1711.4802, queue:107.06993, delay:8.002076, throughput:2437
REAL_TEST step:92, travel time:644.08615487764, q_loss:100, rewards:-1755.5823, queue:108.39538, delay:8.061891, throughput:2294
REAL_TEST step:94, travel time:633.0573248407643, q_loss:100, rewards:-1745.9843, queue:109.371895, delay:8.0530615, throughput:2333
REAL_TEST step:96, travel time:795.1291526689063, q_loss:100, rewards:-1857.6504, queue:116.21613, delay:8.071283, throughput:1921
REAL_TEST step:98, travel time:609.6996312437144, q_loss:100, rewards:-1729.2435, queue:108.59311, delay:8.049544, throughput:2357
REAL_TEST step:100, travel time:621.4716728126048, q_loss:100, rewards:-1741.261, queue:108.63934, delay:8.13458, throughput:2311
REAL_TEST step:102, travel time:569.9859202145491, q_loss:100, rewards:-1702.5906, queue:105.33781, delay:8.061234, throughput:2405
REAL_TEST step:104, travel time:518.2484076433121, q_loss:100, rewards:-1661.1239, queue:103.39679, delay:8.116255, throughput:2560
REAL_TEST step:106, travel time:704.4321153201475, q_loss:100, rewards:-1821.3334, queue:113.516556, delay:8.068074, throughput:2143
REAL_TEST step:108, travel time:612.6600737512571, q_loss:100, rewards:-1744.9403, queue:108.4707, delay:8.147978, throughput:2382
REAL_TEST step:110, travel time:583.0717398592021, q_loss:100, rewards:-1714.4777, queue:106.500336, delay:8.100393, throughput:2382
REAL_TEST step:112, travel time:552.9068052296346, q_loss:100, rewards:-1694.9281, queue:106.681206, delay:8.112603, throughput:2472
REAL_TEST step:114, travel time:693.5960442507543, q_loss:100, rewards:-1817.1239, queue:113.76775, delay:8.093287, throughput:2194
REAL_TEST step:116, travel time:615.6604089842441, q_loss:100, rewards:-1745.4584, queue:108.74072, delay:8.010091, throughput:2354
REAL_TEST step:118, travel time:655.8907140462621, q_loss:100, rewards:-1768.6418, queue:109.97315, delay:7.991694, throughput:2303
REAL_TEST step:120, travel time:590.3402614817298, q_loss:100, rewards:-1720.9523, queue:107.68289, delay:8.065676, throughput:2428
REAL_TEST step:122, travel time:774.6508257499157, q_loss:100, rewards:-1881.8104, queue:118.50335, delay:8.204279, throughput:2045
REAL_TEST step:124, travel time:683.0419041233657, q_loss:100, rewards:-1795.5793, queue:111.93982, delay:7.987756, throughput:2300
REAL_TEST step:126, travel time:671.3181361045927, q_loss:100, rewards:-1782.8594, queue:110.41437, delay:8.066849, throughput:2341
REAL_TEST step:128, travel time:708.0120683875293, q_loss:100, rewards:-1823.8247, queue:113.720566, delay:8.211796, throughput:2271
REAL_TEST step:130, travel time:732.0359116022099, q_loss:100, rewards:-1843.2941, queue:116.3456, delay:8.03932, throughput:2208
REAL_TEST step:132, travel time:679.5427422058331, q_loss:100, rewards:-1791.4573, queue:110.79976, delay:8.085321, throughput:2291
REAL_TEST step:134, travel time:622.289306067717, q_loss:100, rewards:-1733.8145, queue:108.88934, delay:8.113633, throughput:2425
REAL_TEST step:136, travel time:749.8431109621187, q_loss:100, rewards:-1868.23, queue:116.18563, delay:8.057317, throughput:2120
REAL_TEST step:138, travel time:692.6362722091853, q_loss:100, rewards:-1810.8607, queue:112.587944, delay:8.073985, throughput:2149
REAL_TEST step:140, travel time:682.0479383171304, q_loss:100, rewards:-1793.6493, queue:111.79217, delay:8.147796, throughput:2308
REAL_TEST step:142, travel time:697.0392222594703, q_loss:100, rewards:-1813.306, queue:113.53173, delay:8.142751, throughput:2249
REAL_TEST step:144, travel time:666.4911163258465, q_loss:100, rewards:-1776.9026, queue:110.39671, delay:8.097437, throughput:2299
REAL_TEST step:146, travel time:778.1961112973516, q_loss:100, rewards:-1885.0616, queue:116.754135, delay:8.092579, throughput:2068
REAL_TEST step:148, travel time:632.0878310425746, q_loss:100, rewards:-1754.4535, queue:110.12814, delay:8.080127, throughput:2378
REAL_TEST step:150, travel time:734.8655715722427, q_loss:100, rewards:-1846.8018, queue:115.39676, delay:8.087129, throughput:2166
REAL_TEST step:152, travel time:703.4844116661079, q_loss:100, rewards:-1810.2673, queue:112.41914, delay:7.9688787, throughput:2246
REAL_TEST step:154, travel time:672.2752262822662, q_loss:100, rewards:-1789.9031, queue:111.10902, delay:8.121185, throughput:2337
REAL_TEST step:156, travel time:786.9282601407979, q_loss:100, rewards:-1893.0591, queue:118.93496, delay:8.063203, throughput:2042
REAL_TEST step:158, travel time:726.6952732148843, q_loss:100, rewards:-1830.6958, queue:115.495476, delay:8.15955, throughput:2177
REAL_TEST step:160, travel time:701.6875628561851, q_loss:100, rewards:-1815.6805, queue:112.679886, delay:8.127506, throughput:2222
REAL_TEST step:162, travel time:678.9269192088501, q_loss:100, rewards:-1794.51, queue:112.570526, delay:8.0284195, throughput:2298
REAL_TEST step:164, travel time:769.0764331210191, q_loss:100, rewards:-1889.4095, queue:117.67194, delay:8.051375, throughput:2031
REAL_TEST step:166, travel time:691.945692256118, q_loss:100, rewards:-1807.4803, queue:112.59367, delay:8.084567, throughput:2302
REAL_TEST step:168, travel time:690.1666107945022, q_loss:100, rewards:-1803.009, queue:112.59701, delay:8.094265, throughput:2284
REAL_TEST step:170, travel time:676.7214213878646, q_loss:100, rewards:-1797.928, queue:112.159584, delay:7.9854274, throughput:2287
REAL_TEST step:172, travel time:785.8276902447201, q_loss:100, rewards:-1891.1155, queue:118.16018, delay:8.091623, throughput:1980
REAL_TEST step:174, travel time:717.0321823667449, q_loss:100, rewards:-1834.5312, queue:115.62688, delay:7.991538, throughput:2164
REAL_TEST step:176, travel time:760.6118002011398, q_loss:100, rewards:-1865.2664, queue:114.688805, delay:8.191417, throughput:2133
REAL_TEST step:178, travel time:608.2024807241032, q_loss:100, rewards:-1735.2628, queue:108.840645, delay:8.088587, throughput:2442
REAL_TEST step:180, travel time:658.4632919879316, q_loss:100, rewards:-1793.5382, queue:112.08214, delay:8.128856, throughput:2283
REAL_TEST step:182, travel time:720.8695943680858, q_loss:100, rewards:-1830.453, queue:114.37872, delay:8.145681, throughput:2268
REAL_TEST step:184, travel time:607.2695273214885, q_loss:100, rewards:-1742.5044, queue:108.62051, delay:8.072126, throughput:2410
REAL_TEST step:186, travel time:615.855179349648, q_loss:100, rewards:-1737.5071, queue:108.0707, delay:8.109039, throughput:2399
REAL_TEST step:188, travel time:696.3365739188736, q_loss:100, rewards:-1808.5593, queue:112.82195, delay:8.075298, throughput:2267
REAL_TEST step:190, travel time:632.6054307743882, q_loss:100, rewards:-1765.0972, queue:109.40618, delay:8.101666, throughput:2373
REAL_TEST step:192, travel time:626.2463962453905, q_loss:100, rewards:-1757.9445, queue:109.3536, delay:8.125213, throughput:2395
REAL_TEST step:194, travel time:733.0177673483071, q_loss:100, rewards:-1833.6323, queue:114.42085, delay:8.166583, throughput:2235
REAL_TEST step:196, travel time:674.4726785115655, q_loss:100, rewards:-1798.2024, queue:112.49867, delay:8.119686, throughput:2303
REAL_TEST step:198, travel time:712.7978545088837, q_loss:100, rewards:-1823.9055, queue:114.4431, delay:8.039206, throughput:2164
Total time taken: 7131.159106731415
