Loading cached latent encoders from pretrained/lusr/dqn/hz4x4
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz4x4/baseline_v1_lusr_s0/model/hz4x4_noise5_dqn_latent_observation -> eval real_setting=dz100
REAL_TEST step:2, travel time:1607.1346855983772, q_loss:100, rewards:-1034.1534, queue:64.78038, delay:0.19697516, throughput:538
REAL_TEST step:4, travel time:1400.5800711743773, q_loss:100, rewards:-883.1573, queue:55.322224, delay:0.26557422, throughput:835
REAL_TEST step:6, travel time:1509.4286713286713, q_loss:100, rewards:-1090.209, queue:68.29305, delay:0.2806776, throughput:678
REAL_TEST step:8, travel time:1504.0878257765085, q_loss:100, rewards:-1051.9891, queue:65.88924, delay:0.31658787, throughput:701
REAL_TEST step:10, travel time:1295.4300395256917, q_loss:100, rewards:-795.5058, queue:49.809376, delay:0.27848396, throughput:1002
REAL_TEST step:12, travel time:1248.5914922349764, q_loss:100, rewards:-883.8119, queue:55.338367, delay:0.28940266, throughput:1145
REAL_TEST step:14, travel time:1306.7661097852028, q_loss:100, rewards:-919.33307, queue:57.575172, delay:0.3031772, throughput:995
REAL_TEST step:16, travel time:1171.8927254441837, q_loss:100, rewards:-800.6306, queue:50.12309, delay:0.3178906, throughput:1215
REAL_TEST step:18, travel time:1221.4197614991483, q_loss:100, rewards:-845.93414, queue:52.96146, delay:0.28555435, throughput:1142
REAL_TEST step:20, travel time:1448.1399848254932, q_loss:100, rewards:-940.4319, queue:58.86927, delay:0.26855275, throughput:779
REAL_TEST step:22, travel time:1085.9963124371438, q_loss:100, rewards:-725.4058, queue:45.422916, delay:0.3332641, throughput:1373
REAL_TEST step:24, travel time:1236.710693932283, q_loss:100, rewards:-889.2908, queue:55.668922, delay:0.28909582, throughput:1052
REAL_TEST step:26, travel time:1039.9832383506537, q_loss:100, rewards:-687.8675, queue:43.047745, delay:0.2891441, throughput:1470
REAL_TEST step:28, travel time:1155.0295005028495, q_loss:100, rewards:-809.8814, queue:50.66684, delay:0.28838733, throughput:1250
