Loading cached latent encoders from pretrained/recon_baseline/dqn/hz4x4
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz4x4/baseline_v1_recon_baseline_s0/model/hz4x4_noise5_dqn_latent_observation -> eval real_setting=dz50
REAL_TEST step:1, travel time:1924.220602526725, q_loss:100, rewards:-1054.6882, queue:66.0375, delay:0.22156975, throughput:298
REAL_TEST step:2, travel time:1503.7362593910636, q_loss:100, rewards:-981.94, queue:61.493576, delay:0.20786878, throughput:641
REAL_TEST step:3, travel time:1285.1501843781427, q_loss:100, rewards:-929.1309, queue:58.16875, delay:0.2708859, throughput:1000
REAL_TEST step:4, travel time:1314.9750988142293, q_loss:100, rewards:-818.3834, queue:51.22604, delay:0.2642012, throughput:1009
REAL_TEST step:5, travel time:1382.43391521197, q_loss:100, rewards:-815.04565, queue:50.992535, delay:0.2825685, throughput:953
REAL_TEST step:6, travel time:1169.7627450980392, q_loss:100, rewards:-697.8408, queue:43.652256, delay:0.28296226, throughput:1265
REAL_TEST step:7, travel time:1092.9587883057416, q_loss:100, rewards:-711.87976, queue:44.513714, delay:0.28881577, throughput:1455
REAL_TEST step:8, travel time:1133.3402614817298, q_loss:100, rewards:-776.08527, queue:48.552776, delay:0.29374352, throughput:1380
REAL_TEST step:9, travel time:1233.6781970649895, q_loss:100, rewards:-834.2545, queue:52.1908, delay:0.299554, throughput:1235
REAL_TEST step:10, travel time:1120.136563876652, q_loss:100, rewards:-767.95886, queue:48.040974, delay:0.31041887, throughput:1344
REAL_TEST step:11, travel time:1038.1947703654039, q_loss:100, rewards:-685.3728, queue:42.859898, delay:0.2807615, throughput:1472
REAL_TEST step:12, travel time:1279.0576441102758, q_loss:100, rewards:-865.8692, queue:54.174133, delay:0.30591872, throughput:1118
REAL_TEST step:13, travel time:1181.2246061012404, q_loss:100, rewards:-830.2794, queue:51.924828, delay:0.28589302, throughput:1273
REAL_TEST step:14, travel time:1077.2956754944687, q_loss:100, rewards:-729.29834, queue:45.589584, delay:0.30686572, throughput:1459
REAL_TEST step:15, travel time:1090.2272879651357, q_loss:100, rewards:-749.885, queue:46.869617, delay:0.2860748, throughput:1447
REAL_TEST step:16, travel time:1047.8223265169293, q_loss:100, rewards:-703.4395, queue:43.977604, delay:0.28005567, throughput:1571
REAL_TEST step:17, travel time:1219.8384177003018, q_loss:100, rewards:-872.2689, queue:54.567707, delay:0.29742596, throughput:1201
REAL_TEST step:18, travel time:1186.9353000335234, q_loss:100, rewards:-834.5592, queue:52.181423, delay:0.28846478, throughput:1354
REAL_TEST step:19, travel time:1320.1642361111112, q_loss:100, rewards:-933.65784, queue:58.437153, delay:0.3053213, throughput:1135
REAL_TEST step:20, travel time:1304.6064814814815, q_loss:100, rewards:-900.05945, queue:56.286285, delay:0.28004846, throughput:1096
REAL_TEST step:21, travel time:956.3617163928931, q_loss:100, rewards:-621.7603, queue:38.826214, delay:0.28325528, throughput:1660
REAL_TEST step:22, travel time:1226.655232761638, q_loss:100, rewards:-836.02966, queue:52.25625, delay:0.27298033, throughput:1299
REAL_TEST step:23, travel time:1180.5639421196715, q_loss:100, rewards:-713.86774, queue:44.639236, delay:0.28138274, throughput:1201
REAL_TEST step:24, travel time:1270.0131578947369, q_loss:100, rewards:-907.8333, queue:56.771873, delay:0.28275934, throughput:1162
REAL_TEST step:25, travel time:1031.204156889038, q_loss:100, rewards:-691.8908, queue:43.220486, delay:0.27789068, throughput:1557
REAL_TEST step:26, travel time:1173.240841777085, q_loss:100, rewards:-708.14777, queue:44.28472, delay:0.27969328, throughput:1195
REAL_TEST step:27, travel time:1142.9078109285954, q_loss:100, rewards:-804.47003, queue:50.258507, delay:0.27301496, throughput:1424
REAL_TEST step:28, travel time:1149.625737898465, q_loss:100, rewards:-677.73914, queue:42.376217, delay:0.2809407, throughput:1224
REAL_TEST step:29, travel time:1162.198793161247, q_loss:100, rewards:-822.73535, queue:51.44913, delay:0.28430876, throughput:1348
REAL_TEST step:30, travel time:1170.4442329653598, q_loss:100, rewards:-717.3069, queue:44.826042, delay:0.28133103, throughput:1257
REAL_TEST step:31, travel time:1180.225947033188, q_loss:100, rewards:-842.0851, queue:52.642014, delay:0.26882556, throughput:1331
REAL_TEST step:32, travel time:1093.5226282266176, q_loss:100, rewards:-749.84564, queue:46.86875, delay:0.2909802, throughput:1414
REAL_TEST step:33, travel time:1140.2480650154798, q_loss:100, rewards:-694.4597, queue:43.383507, delay:0.25600597, throughput:1320
REAL_TEST step:34, travel time:1124.5541401273886, q_loss:100, rewards:-774.5446, queue:48.396008, delay:0.29147434, throughput:1425
REAL_TEST step:35, travel time:963.1837076768354, q_loss:100, rewards:-625.7356, queue:39.06736, delay:0.29103613, throughput:1670
REAL_TEST step:36, travel time:1191.4669795507878, q_loss:100, rewards:-834.2903, queue:52.14375, delay:0.30968872, throughput:1335
REAL_TEST step:37, travel time:1201.0389711613407, q_loss:100, rewards:-744.5958, queue:46.541668, delay:0.25031364, throughput:1160
REAL_TEST step:38, travel time:1029.1753268521622, q_loss:100, rewards:-683.87506, queue:42.715626, delay:0.28591117, throughput:1532
REAL_TEST step:39, travel time:1121.3825008380825, q_loss:100, rewards:-764.2979, queue:47.773613, delay:0.28840575, throughput:1346
REAL_TEST step:40, travel time:1078.0754274220583, q_loss:100, rewards:-727.2461, queue:45.463715, delay:0.29239833, throughput:1451
REAL_TEST step:41, travel time:1330.825730994152, q_loss:100, rewards:-842.5022, queue:52.708855, delay:0.27307194, throughput:985
REAL_TEST step:42, travel time:1074.9778746228628, q_loss:100, rewards:-714.80475, queue:44.700695, delay:0.29691485, throughput:1464
REAL_TEST step:43, travel time:1087.8769694937982, q_loss:100, rewards:-741.7175, queue:46.34236, delay:0.27658603, throughput:1410
REAL_TEST step:44, travel time:1224.8104624715693, q_loss:100, rewards:-774.4467, queue:48.42552, delay:0.28363627, throughput:1171
REAL_TEST step:45, travel time:988.2812604760309, q_loss:100, rewards:-644.41205, queue:40.257637, delay:0.26555797, throughput:1572
REAL_TEST step:46, travel time:1107.216560509554, q_loss:100, rewards:-754.0528, queue:47.134724, delay:0.29433754, throughput:1428
REAL_TEST step:47, travel time:1087.9017767348307, q_loss:100, rewards:-735.77954, queue:45.977432, delay:0.2677552, throughput:1439
REAL_TEST step:48, travel time:1157.0700636942674, q_loss:100, rewards:-799.9573, queue:50.01979, delay:0.2997506, throughput:1352
REAL_TEST step:49, travel time:1031.5005028494804, q_loss:100, rewards:-686.7697, queue:42.922398, delay:0.2864571, throughput:1490
REAL_TEST step:50, travel time:1096.19845792826, q_loss:100, rewards:-739.37506, queue:46.20816, delay:0.29098463, throughput:1452
REAL_TEST step:51, travel time:1377.403666146646, q_loss:100, rewards:-873.7065, queue:54.654167, delay:0.30279368, throughput:895
REAL_TEST step:52, travel time:1086.2789138451224, q_loss:100, rewards:-737.9243, queue:46.112675, delay:0.27425987, throughput:1387
REAL_TEST step:53, travel time:1095.1247066711364, q_loss:100, rewards:-749.9381, queue:46.861805, delay:0.25878614, throughput:1441
REAL_TEST step:54, travel time:1049.1267029972753, q_loss:100, rewards:-686.2436, queue:42.85191, delay:0.28408405, throughput:1482
REAL_TEST step:55, travel time:981.1773382500838, q_loss:100, rewards:-645.93805, queue:40.356422, delay:0.25669792, throughput:1595
REAL_TEST step:56, travel time:1158.1964465303386, q_loss:100, rewards:-794.30225, queue:49.65764, delay:0.29648522, throughput:1288
REAL_TEST step:57, travel time:1059.877639959772, q_loss:100, rewards:-715.49176, queue:44.698437, delay:0.25803435, throughput:1505
REAL_TEST step:58, travel time:1092.7274555816293, q_loss:100, rewards:-743.6553, queue:46.477432, delay:0.28066853, throughput:1419
REAL_TEST step:59, travel time:1034.5464297686892, q_loss:100, rewards:-675.94196, queue:42.242535, delay:0.2854104, throughput:1482
REAL_TEST step:60, travel time:1003.2336573918874, q_loss:100, rewards:-658.0836, queue:41.107464, delay:0.2697784, throughput:1563
REAL_TEST step:61, travel time:1175.3727790814617, q_loss:100, rewards:-818.48645, queue:51.191147, delay:0.29083902, throughput:1230
REAL_TEST step:62, travel time:1054.82769024472, q_loss:100, rewards:-700.50037, queue:43.771526, delay:0.27868566, throughput:1497
REAL_TEST step:63, travel time:1048.0281595709018, q_loss:100, rewards:-707.8392, queue:44.23802, delay:0.27669233, throughput:1487
REAL_TEST step:64, travel time:1406.5075987841944, q_loss:100, rewards:-923.8557, queue:57.809376, delay:0.28876537, throughput:837
REAL_TEST step:65, travel time:1135.3318806570567, q_loss:100, rewards:-777.84064, queue:48.642883, delay:0.29667652, throughput:1359
REAL_TEST step:66, travel time:1189.8890802617982, q_loss:100, rewards:-813.9625, queue:50.88802, delay:0.28194717, throughput:1298
REAL_TEST step:67, travel time:1100.1320817968488, q_loss:100, rewards:-747.5142, queue:46.72778, delay:0.2994366, throughput:1422
REAL_TEST step:68, travel time:1075.8297150610583, q_loss:100, rewards:-730.46094, queue:45.65434, delay:0.2759928, throughput:1427
REAL_TEST step:69, travel time:1112.068387529333, q_loss:100, rewards:-757.9616, queue:47.398438, delay:0.2843808, throughput:1382
REAL_TEST step:70, travel time:1248.0468980797637, q_loss:100, rewards:-811.33307, queue:50.742188, delay:0.29222777, throughput:1137
REAL_TEST step:71, travel time:1108.8887026483405, q_loss:100, rewards:-750.6529, queue:46.923264, delay:0.2943811, throughput:1380
REAL_TEST step:72, travel time:1069.386419320966, q_loss:100, rewards:-701.4493, queue:43.804512, delay:0.29132116, throughput:1440
REAL_TEST step:73, travel time:1068.7529332886356, q_loss:100, rewards:-718.546, queue:44.915104, delay:0.29804727, throughput:1417
REAL_TEST step:74, travel time:1188.0231811697574, q_loss:100, rewards:-796.21875, queue:49.780556, delay:0.28560397, throughput:1226
REAL_TEST step:75, travel time:1083.0489440160911, q_loss:100, rewards:-731.7159, queue:45.749306, delay:0.29066747, throughput:1376
REAL_TEST step:76, travel time:1140.8760942760944, q_loss:100, rewards:-799.77673, queue:49.999653, delay:0.2857159, throughput:1316
REAL_TEST step:77, travel time:1131.5950385517936, q_loss:100, rewards:-780.5347, queue:48.79757, delay:0.2949673, throughput:1378
REAL_TEST step:78, travel time:1068.0707341602413, q_loss:100, rewards:-714.41724, queue:44.624306, delay:0.28258425, throughput:1471
REAL_TEST step:79, travel time:1107.5102246061012, q_loss:100, rewards:-761.92413, queue:47.61493, delay:0.28426355, throughput:1366
REAL_TEST step:80, travel time:1127.5397251089507, q_loss:100, rewards:-773.4764, queue:48.34288, delay:0.27778706, throughput:1390
REAL_TEST step:81, travel time:1127.5900100569895, q_loss:100, rewards:-778.74615, queue:48.68559, delay:0.28787413, throughput:1347
REAL_TEST step:82, travel time:1074.0060341937647, q_loss:100, rewards:-731.11804, queue:45.68524, delay:0.26836386, throughput:1435
REAL_TEST step:83, travel time:1145.2135434126717, q_loss:100, rewards:-789.7259, queue:49.393402, delay:0.2907843, throughput:1349
REAL_TEST step:84, travel time:1129.1639289306067, q_loss:100, rewards:-786.7673, queue:49.1658, delay:0.28692278, throughput:1353
REAL_TEST step:85, travel time:1108.3878645658733, q_loss:100, rewards:-759.91174, queue:47.516495, delay:0.28929275, throughput:1364
REAL_TEST step:86, travel time:1053.0744217230977, q_loss:100, rewards:-707.4467, queue:44.182987, delay:0.270329, throughput:1520
REAL_TEST step:87, travel time:1149.1565538048944, q_loss:100, rewards:-798.03925, queue:49.89132, delay:0.28292143, throughput:1391
REAL_TEST step:88, travel time:1140.8689239021119, q_loss:100, rewards:-786.0716, queue:49.14375, delay:0.29144204, throughput:1307
REAL_TEST step:89, travel time:1066.3003687562857, q_loss:100, rewards:-721.98505, queue:45.11337, delay:0.28485215, throughput:1506
REAL_TEST step:90, travel time:1088.83640630238, q_loss:100, rewards:-737.6667, queue:46.08316, delay:0.27820435, throughput:1447
REAL_TEST step:91, travel time:1051.850486087831, q_loss:100, rewards:-702.50635, queue:43.882465, delay:0.28930598, throughput:1477
REAL_TEST step:92, travel time:1091.316795172645, q_loss:100, rewards:-741.5438, queue:46.318054, delay:0.2837752, throughput:1406
REAL_TEST step:93, travel time:1098.2651692926584, q_loss:100, rewards:-744.1236, queue:46.498436, delay:0.29530457, throughput:1441
REAL_TEST step:94, travel time:1132.460945357023, q_loss:100, rewards:-786.81976, queue:49.16875, delay:0.2762742, throughput:1374
REAL_TEST step:95, travel time:1114.9306067717064, q_loss:100, rewards:-760.4514, queue:47.53229, delay:0.28243685, throughput:1380
REAL_TEST step:96, travel time:1100.2785786121353, q_loss:100, rewards:-748.04443, queue:46.737846, delay:0.27157694, throughput:1396
REAL_TEST step:97, travel time:1020.343949044586, q_loss:100, rewards:-670.15063, queue:41.84844, delay:0.2791467, throughput:1564
REAL_TEST step:98, travel time:1108.963794837412, q_loss:100, rewards:-761.0351, queue:47.55347, delay:0.2741099, throughput:1395
REAL_TEST step:99, travel time:1049.7271203486423, q_loss:100, rewards:-701.3475, queue:43.781944, delay:0.28628808, throughput:1525
REAL_TEST step:100, travel time:1108.2333221589004, q_loss:100, rewards:-763.245, queue:47.70243, delay:0.2765694, throughput:1414
REAL_TEST step:101, travel time:1060.0891719745223, q_loss:100, rewards:-708.6731, queue:44.2625, delay:0.2761935, throughput:1519
REAL_TEST step:102, travel time:1071.8655715722427, q_loss:100, rewards:-726.72614, queue:45.395313, delay:0.2736095, throughput:1468
REAL_TEST step:103, travel time:968.5165940328528, q_loss:100, rewards:-626.86755, queue:39.13177, delay:0.2602279, throughput:1634
REAL_TEST step:104, travel time:1088.018437814281, q_loss:100, rewards:-747.0781, queue:46.670486, delay:0.27133557, throughput:1474
REAL_TEST step:105, travel time:982.4689909487093, q_loss:100, rewards:-640.4909, queue:39.99323, delay:0.27080137, throughput:1630
REAL_TEST step:106, travel time:1024.353000335233, q_loss:100, rewards:-683.6717, queue:42.687675, delay:0.2800622, throughput:1566
