Loading cached latent encoders from pretrained/recon_baseline/dqn/hz4x4
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/hz4x4/baseline_v1_recon_baseline_s0/model/hz4x4_noise5_dqn_latent_observation -> eval real_setting=combine4
REAL_TEST step:1, travel time:1578.6803426510369, q_loss:100, rewards:-979.4066, queue:61.066742, delay:1.6637518, throughput:751
REAL_TEST step:2, travel time:1316.1176470588234, q_loss:100, rewards:-912.354, queue:57.140457, delay:1.6009201, throughput:970
REAL_TEST step:3, travel time:1027.0757626550453, q_loss:100, rewards:-698.37146, queue:43.75393, delay:1.6653603, throughput:1508
REAL_TEST step:4, travel time:1262.5600301091456, q_loss:100, rewards:-800.02014, queue:50.02169, delay:1.5942813, throughput:1108
REAL_TEST step:5, travel time:1222.3472956486376, q_loss:100, rewards:-648.13306, queue:40.53444, delay:1.6424291, throughput:1157
REAL_TEST step:6, travel time:958.5626719056975, q_loss:100, rewards:-689.6681, queue:42.808456, delay:1.5794835, throughput:1540
REAL_TEST step:7, travel time:863.9641300703989, q_loss:100, rewards:-551.60175, queue:34.45, delay:1.5188348, throughput:1833
REAL_TEST step:8, travel time:718.3080791149849, q_loss:100, rewards:-490.06702, queue:30.44548, delay:1.5679647, throughput:2086
REAL_TEST step:9, travel time:781.0988937311431, q_loss:100, rewards:-569.01935, queue:35.135834, delay:1.5539954, throughput:1981
REAL_TEST step:10, travel time:829.5330204492122, q_loss:100, rewards:-507.2718, queue:31.663097, delay:1.5167578, throughput:1921
REAL_TEST step:11, travel time:843.7282934131737, q_loss:100, rewards:-455.61008, queue:28.417807, delay:1.4324168, throughput:1793
REAL_TEST step:12, travel time:729.2313107609789, q_loss:100, rewards:-455.8375, queue:28.246532, delay:1.5814985, throughput:2083
REAL_TEST step:13, travel time:820.5155405405405, q_loss:100, rewards:-546.75085, queue:34.067383, delay:1.6004293, throughput:1951
REAL_TEST step:14, travel time:990.731216931217, q_loss:100, rewards:-618.8692, queue:38.622417, delay:1.5824385, throughput:1715
REAL_TEST step:15, travel time:648.4585987261147, q_loss:100, rewards:-467.29736, queue:29.039371, delay:1.6848514, throughput:2218
REAL_TEST step:16, travel time:891.6445352400409, q_loss:100, rewards:-518.8105, queue:32.348167, delay:1.5123572, throughput:1783
REAL_TEST step:17, travel time:672.7955078779752, q_loss:100, rewards:-495.11823, queue:30.647848, delay:1.6168437, throughput:2217
REAL_TEST step:18, travel time:983.3263940520446, q_loss:100, rewards:-606.06036, queue:37.75028, delay:1.5411967, throughput:1626
REAL_TEST step:19, travel time:901.3037974683544, q_loss:100, rewards:-487.19965, queue:30.40852, delay:1.5593709, throughput:1662
REAL_TEST step:20, travel time:770.922920892495, q_loss:100, rewards:-451.0545, queue:28.098194, delay:1.5247301, throughput:2071
REAL_TEST step:21, travel time:753.5353670801206, q_loss:100, rewards:-492.3687, queue:30.719856, delay:1.5312849, throughput:2130
REAL_TEST step:22, travel time:907.0838533541341, q_loss:100, rewards:-390.1543, queue:24.421072, delay:1.5564796, throughput:1692
REAL_TEST step:23, travel time:761.3053972510895, q_loss:100, rewards:-460.9814, queue:28.938362, delay:1.5077498, throughput:2058
REAL_TEST step:24, travel time:747.1183372443849, q_loss:100, rewards:-444.66025, queue:27.619505, delay:1.5846943, throughput:2099
REAL_TEST step:25, travel time:722.0573426573427, q_loss:100, rewards:-470.1071, queue:29.269352, delay:1.5201957, throughput:2125
REAL_TEST step:26, travel time:1117.2139225655064, q_loss:100, rewards:-677.1278, queue:42.21113, delay:1.5021616, throughput:1375
REAL_TEST step:27, travel time:602.0492792490782, q_loss:100, rewards:-426.31268, queue:26.642681, delay:1.6032007, throughput:2415
REAL_TEST step:28, travel time:942.5601609657948, q_loss:100, rewards:-583.1047, queue:36.439053, delay:1.6183584, throughput:1634
REAL_TEST step:29, travel time:889.592203898051, q_loss:100, rewards:-507.34567, queue:31.732292, delay:1.4638873, throughput:1794
REAL_TEST step:30, travel time:869.9879108424632, q_loss:100, rewards:-659.2899, queue:41.343033, delay:1.6309333, throughput:1820
REAL_TEST step:31, travel time:779.4029520295203, q_loss:100, rewards:-424.7787, queue:26.690771, delay:1.544277, throughput:1948
REAL_TEST step:32, travel time:740.3084677419355, q_loss:100, rewards:-441.13107, queue:27.433537, delay:1.465942, throughput:2080
REAL_TEST step:33, travel time:820.1208178438661, q_loss:100, rewards:-417.0698, queue:26.12775, delay:1.5056174, throughput:1922
REAL_TEST step:34, travel time:932.5350987810004, q_loss:100, rewards:-395.40182, queue:24.515331, delay:1.4720567, throughput:1583
REAL_TEST step:35, travel time:1049.4969939879759, q_loss:100, rewards:-686.8399, queue:42.689903, delay:1.6078675, throughput:1522
REAL_TEST step:36, travel time:851.4124763705104, q_loss:100, rewards:-502.6901, queue:31.364426, delay:1.4626746, throughput:1826
REAL_TEST step:37, travel time:943.7947306331105, q_loss:100, rewards:-714.00806, queue:44.674038, delay:1.6130637, throughput:1663
REAL_TEST step:38, travel time:977.9814471243043, q_loss:100, rewards:-554.1494, queue:34.483627, delay:1.4965363, throughput:1681
REAL_TEST step:39, travel time:991.2333854573886, q_loss:100, rewards:-651.9589, queue:40.60194, delay:1.5570061, throughput:1537
REAL_TEST step:40, travel time:840.8812434509256, q_loss:100, rewards:-508.8595, queue:31.62245, delay:1.4726441, throughput:1930
REAL_TEST step:41, travel time:906.1334338484734, q_loss:100, rewards:-685.2525, queue:42.91764, delay:1.6009884, throughput:1715
REAL_TEST step:42, travel time:1000.3012605042017, q_loss:100, rewards:-631.7288, queue:39.373474, delay:1.5823259, throughput:1519
REAL_TEST step:43, travel time:927.7984886649874, q_loss:100, rewards:-547.9116, queue:34.30254, delay:1.5824636, throughput:1738
