Loading cached latent encoders from pretrained/atc/dqn/ingolstadt1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt1/baseline_v1_atc_s0/model/ingolstadt1_noise5_dqn_latent_observation -> eval real_setting=noise20
REAL_TEST step:2, travel time:130.4313186813187, q_loss:100, rewards:-98.72862, queue:81.52132, delay:8.518408, throughput:1396
REAL_TEST step:4, travel time:155.4346378018318, q_loss:100, rewards:-97.93557, queue:81.606705, delay:8.080208, throughput:1148
REAL_TEST step:6, travel time:118.12024048096193, q_loss:100, rewards:-97.9046, queue:81.45522, delay:8.121603, throughput:1445
REAL_TEST step:8, travel time:67.88513119533528, q_loss:100, rewards:-98.757095, queue:82.02667, delay:8.257437, throughput:1696
REAL_TEST step:10, travel time:44.223323615160346, q_loss:100, rewards:-98.148506, queue:82.021736, delay:8.491205, throughput:1701
REAL_TEST step:12, travel time:55.487448920023354, q_loss:100, rewards:-97.33635, queue:80.64545, delay:8.52781, throughput:1688
REAL_TEST step:14, travel time:55.73465809468147, q_loss:100, rewards:-97.08807, queue:84.81347, delay:8.221722, throughput:1682
REAL_TEST step:16, travel time:50.903790087463555, q_loss:100, rewards:-96.519, queue:80.67344, delay:8.216651, throughput:1695
REAL_TEST step:18, travel time:44.17725947521866, q_loss:100, rewards:-98.10395, queue:82.1556, delay:8.306109, throughput:1697
REAL_TEST step:20, travel time:44.92128279883382, q_loss:100, rewards:-98.23227, queue:84.55846, delay:7.5696616, throughput:1700
REAL_TEST step:22, travel time:45.32303206997084, q_loss:100, rewards:-98.41974, queue:80.348785, delay:8.168668, throughput:1700
REAL_TEST step:24, travel time:44.75860058309038, q_loss:100, rewards:-100.07117, queue:83.26679, delay:8.499674, throughput:1702
REAL_TEST step:26, travel time:46.68163265306122, q_loss:100, rewards:-98.36799, queue:80.80107, delay:8.516717, throughput:1703
REAL_TEST step:28, travel time:44.179008746355684, q_loss:100, rewards:-96.02238, queue:83.24032, delay:7.718605, throughput:1702
REAL_TEST step:30, travel time:48.9603498542274, q_loss:100, rewards:-98.40676, queue:81.172295, delay:8.372074, throughput:1705
REAL_TEST step:32, travel time:42.86880466472303, q_loss:100, rewards:-95.96693, queue:83.72255, delay:8.255283, throughput:1698
REAL_TEST step:34, travel time:48.03405754550793, q_loss:100, rewards:-96.88904, queue:82.23378, delay:8.267295, throughput:1678
REAL_TEST step:36, travel time:54.687134502923975, q_loss:100, rewards:-97.3869, queue:78.971725, delay:8.116963, throughput:1686
REAL_TEST step:38, travel time:74.96228638774308, q_loss:100, rewards:-98.83615, queue:81.101906, delay:8.321961, throughput:1653
REAL_TEST step:40, travel time:93.84569377990431, q_loss:100, rewards:-96.59645, queue:79.40063, delay:7.82948, throughput:1619
REAL_TEST step:42, travel time:99.26070038910505, q_loss:100, rewards:-98.06432, queue:79.50581, delay:7.733728, throughput:1484
REAL_TEST step:44, travel time:106.2239847715736, q_loss:100, rewards:-98.77198, queue:83.11199, delay:8.187573, throughput:1528
REAL_TEST step:46, travel time:65.30529411764707, q_loss:100, rewards:-98.20702, queue:80.87494, delay:7.9938064, throughput:1663
REAL_TEST step:48, travel time:49.778750729713956, q_loss:100, rewards:-100.401245, queue:81.371895, delay:8.138758, throughput:1687
REAL_TEST step:50, travel time:63.25189504373178, q_loss:100, rewards:-99.49507, queue:84.165245, delay:7.6412497, throughput:1701
REAL_TEST step:52, travel time:58.19424882629108, q_loss:100, rewards:-99.73668, queue:85.01938, delay:8.214838, throughput:1669
REAL_TEST step:54, travel time:51.29562682215744, q_loss:100, rewards:-99.02525, queue:80.57634, delay:8.05917, throughput:1691
REAL_TEST step:56, travel time:61.31367924528302, q_loss:100, rewards:-100.45326, queue:84.31637, delay:8.109258, throughput:1663
REAL_TEST step:58, travel time:141.85330713817945, q_loss:100, rewards:-106.93445, queue:88.93146, delay:8.165982, throughput:1465
REAL_TEST step:60, travel time:98.62298987492555, q_loss:100, rewards:-103.860794, queue:84.282295, delay:7.952196, throughput:1625
REAL_TEST step:62, travel time:131.28766233766234, q_loss:100, rewards:-105.180664, queue:86.576805, delay:8.357885, throughput:1494
REAL_TEST step:64, travel time:106.63277880468269, q_loss:100, rewards:-104.94405, queue:84.60621, delay:8.3715315, throughput:1565
REAL_TEST step:66, travel time:101.22896634615384, q_loss:100, rewards:-100.43259, queue:80.70502, delay:8.136544, throughput:1607
REAL_TEST step:68, travel time:126.87516005121638, q_loss:100, rewards:-106.104294, queue:86.08157, delay:8.06608, throughput:1500
REAL_TEST step:70, travel time:119.696, q_loss:100, rewards:-104.51264, queue:83.54169, delay:8.048754, throughput:1429
REAL_TEST step:72, travel time:151.7691745799854, q_loss:100, rewards:-107.5867, queue:88.99133, delay:7.985821, throughput:1298
REAL_TEST step:74, travel time:149.2097222222222, q_loss:100, rewards:-108.11757, queue:88.62398, delay:8.202877, throughput:1375
