Loading cached latent encoders from pretrained/darla/dqn/ingolstadt1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt1/baseline_v1_darla_s0/model/ingolstadt1_noise5_dqn_latent_observation -> eval real_setting=noise3
REAL_TEST step:2, travel time:413.7386058981233, q_loss:100, rewards:-91.96538, queue:85.138626, delay:1.5285875, throughput:654
REAL_TEST step:4, travel time:158.18524727577537, q_loss:100, rewards:-16.187551, queue:13.424654, delay:1.345651, throughput:1138
REAL_TEST step:6, travel time:122.18920812894184, q_loss:100, rewards:-16.549557, queue:13.6892805, delay:1.3241004, throughput:1374
REAL_TEST step:8, travel time:79.58241758241758, q_loss:100, rewards:-16.533754, queue:13.685257, delay:1.3446207, throughput:1582
REAL_TEST step:10, travel time:47.98483965014577, q_loss:100, rewards:-16.223263, queue:13.4738245, delay:1.3695204, throughput:1701
REAL_TEST step:12, travel time:46.114285714285714, q_loss:100, rewards:-16.004414, queue:13.290871, delay:1.372726, throughput:1702
REAL_TEST step:14, travel time:111.05977907732294, q_loss:100, rewards:-16.449173, queue:14.202109, delay:1.3420436, throughput:1484
REAL_TEST step:16, travel time:82.75188442211055, q_loss:100, rewards:-16.144093, queue:13.476466, delay:1.3485162, throughput:1549
REAL_TEST step:18, travel time:53.88862973760933, q_loss:100, rewards:-16.134882, queue:13.583948, delay:1.3493683, throughput:1697
REAL_TEST step:20, travel time:63.927696793002916, q_loss:100, rewards:-16.201702, queue:13.734362, delay:1.2346779, throughput:1700
REAL_TEST step:22, travel time:50.71137026239067, q_loss:100, rewards:-15.895056, queue:12.96175, delay:1.3187003, throughput:1704
REAL_TEST step:24, travel time:44.76384839650146, q_loss:100, rewards:-15.931216, queue:13.303386, delay:1.3598065, throughput:1704
REAL_TEST step:26, travel time:51.57142857142857, q_loss:100, rewards:-16.081581, queue:13.121415, delay:1.379504, throughput:1704
REAL_TEST step:28, travel time:56.451650943396224, q_loss:100, rewards:-15.701572, queue:13.531322, delay:1.2463683, throughput:1666
REAL_TEST step:30, travel time:69.39517078916373, q_loss:100, rewards:-16.40514, queue:13.454275, delay:1.3667756, throughput:1652
REAL_TEST step:32, travel time:56.22267920094007, q_loss:100, rewards:-15.795692, queue:13.725866, delay:1.3339751, throughput:1676
REAL_TEST step:34, travel time:75.86778846153847, q_loss:100, rewards:-16.23785, queue:13.712653, delay:1.3685412, throughput:1617
REAL_TEST step:36, travel time:60.46763848396501, q_loss:100, rewards:-16.064507, queue:12.974057, delay:1.3267833, throughput:1696
REAL_TEST step:38, travel time:40.50612244897959, q_loss:100, rewards:-15.950701, queue:13.04375, delay:1.3285844, throughput:1704
REAL_TEST step:40, travel time:50.53236151603499, q_loss:100, rewards:-15.592082, queue:12.899542, delay:1.2678157, throughput:1698
REAL_TEST step:42, travel time:44.328279883381924, q_loss:100, rewards:-15.96726, queue:12.998121, delay:1.2505884, throughput:1703
REAL_TEST step:44, travel time:47.67428236672525, q_loss:100, rewards:-15.739116, queue:13.215676, delay:1.3199967, throughput:1678
REAL_TEST step:46, travel time:70.75294811320755, q_loss:100, rewards:-16.193817, queue:13.373233, delay:1.3093028, throughput:1651
REAL_TEST step:48, travel time:44.10612244897959, q_loss:100, rewards:-15.960645, queue:13.027003, delay:1.3077495, throughput:1702
