Loading cached latent encoders from pretrained/darla/dqn/ingolstadt1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt1/baseline_v1_darla_s0/model/ingolstadt1_noise5_dqn_latent_observation -> eval real_setting=dz100
REAL_TEST step:2, travel time:450.13370473537606, q_loss:100, rewards:-88.86253, queue:83.42778, delay:0.47423843, throughput:624
REAL_TEST step:4, travel time:158.18524727577537, q_loss:100, rewards:-3.0107439, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:6, travel time:158.18524727577537, q_loss:100, rewards:-3.0107439, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:8, travel time:158.18524727577537, q_loss:100, rewards:-3.0107439, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:10, travel time:154.88435940099833, q_loss:100, rewards:-4.1468525, queue:3.25, delay:0.2797681, throughput:1147
REAL_TEST step:12, travel time:42.19825072886297, q_loss:100, rewards:-3.354167, queue:2.7777777, delay:0.20771293, throughput:1701
REAL_TEST step:14, travel time:158.18524727577537, q_loss:100, rewards:-3.0107439, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:16, travel time:48.349854227405245, q_loss:100, rewards:-2.4467604, queue:1.9972222, delay:0.1942629, throughput:1700
REAL_TEST step:18, travel time:157.38828451882844, q_loss:100, rewards:-4.273149, queue:3.3444445, delay:0.28338665, throughput:1140
REAL_TEST step:20, travel time:41.12769679300292, q_loss:100, rewards:-2.3254619, queue:1.9972222, delay:0.1881577, throughput:1705
REAL_TEST step:22, travel time:58.62274052478134, q_loss:100, rewards:-2.48926, queue:2.0083334, delay:0.20099513, throughput:1694
REAL_TEST step:24, travel time:37.00116618075802, q_loss:100, rewards:-1.7083327, queue:1.4861112, delay:0.16118197, throughput:1705
REAL_TEST step:26, travel time:40.904373177842565, q_loss:100, rewards:-1.6780552, queue:1.4166666, delay:0.16763729, throughput:1701
REAL_TEST step:28, travel time:45.113119533527694, q_loss:100, rewards:-1.7429637, queue:1.4444444, delay:0.16479015, throughput:1701
REAL_TEST step:30, travel time:39.27521865889213, q_loss:100, rewards:-1.7183336, queue:1.4388889, delay:0.16699441, throughput:1703
REAL_TEST step:32, travel time:36.113702623906704, q_loss:100, rewards:-1.455648, queue:1.2194444, delay:0.15425372, throughput:1703
REAL_TEST step:34, travel time:37.09795918367347, q_loss:100, rewards:-1.5395371, queue:1.3083333, delay:0.15926342, throughput:1703
REAL_TEST step:36, travel time:37.80816326530612, q_loss:100, rewards:-1.3288888, queue:1.1472223, delay:0.15270633, throughput:1704
REAL_TEST step:38, travel time:35.924198250728864, q_loss:100, rewards:-1.4483337, queue:1.2305555, delay:0.15431286, throughput:1704
REAL_TEST step:40, travel time:37.32069970845481, q_loss:100, rewards:-1.3671302, queue:1.1388888, delay:0.1562129, throughput:1704
REAL_TEST step:42, travel time:37.38483965014577, q_loss:100, rewards:-1.4010178, queue:1.2111111, delay:0.15325801, throughput:1704
REAL_TEST step:44, travel time:36.523615160349856, q_loss:100, rewards:-1.6573145, queue:1.4194444, delay:0.16212139, throughput:1705
REAL_TEST step:46, travel time:35.667638483965014, q_loss:100, rewards:-1.4041665, queue:1.2361112, delay:0.14719701, throughput:1704
REAL_TEST step:48, travel time:36.84723032069971, q_loss:100, rewards:-1.9011102, queue:1.5666667, delay:0.16813661, throughput:1704
REAL_TEST step:50, travel time:37.42857142857143, q_loss:100, rewards:-1.3919444, queue:1.2222222, delay:0.15356326, throughput:1703
REAL_TEST step:52, travel time:37.47172011661807, q_loss:100, rewards:-1.5426848, queue:1.3027778, delay:0.15848997, throughput:1703
REAL_TEST step:54, travel time:37.08629737609329, q_loss:100, rewards:-1.4462036, queue:1.2583333, delay:0.151418, throughput:1704
REAL_TEST step:56, travel time:36.9131195335277, q_loss:100, rewards:-1.6511115, queue:1.3805555, delay:0.16210341, throughput:1703
REAL_TEST step:58, travel time:38.369679300291544, q_loss:100, rewards:-1.476297, queue:1.2472222, delay:0.16010614, throughput:1704
REAL_TEST step:60, travel time:36.51545189504373, q_loss:100, rewards:-1.6550919, queue:1.3916667, delay:0.16640279, throughput:1704
REAL_TEST step:62, travel time:39.45072886297376, q_loss:100, rewards:-1.3989822, queue:1.1805556, delay:0.16556661, throughput:1704
REAL_TEST step:64, travel time:37.06180758017493, q_loss:100, rewards:-1.4968519, queue:1.2472222, delay:0.16071784, throughput:1705
REAL_TEST step:66, travel time:40.54810495626822, q_loss:100, rewards:-1.5864812, queue:1.3027778, delay:0.16968237, throughput:1699
REAL_TEST step:68, travel time:41.987172011661805, q_loss:100, rewards:-1.6089804, queue:1.275, delay:0.17435351, throughput:1705
REAL_TEST step:70, travel time:37.48338192419825, q_loss:100, rewards:-1.6404631, queue:1.3527777, delay:0.167147, throughput:1705
REAL_TEST step:72, travel time:38.39941690962099, q_loss:100, rewards:-1.4985182, queue:1.2388889, delay:0.16767079, throughput:1702
REAL_TEST step:74, travel time:39.38075801749271, q_loss:100, rewards:-1.3678709, queue:1.1333333, delay:0.1626266, throughput:1703
REAL_TEST step:76, travel time:38.481049562682216, q_loss:100, rewards:-1.2748156, queue:1.075, delay:0.15760231, throughput:1703
REAL_TEST step:78, travel time:39.76209912536443, q_loss:100, rewards:-1.3822223, queue:1.15, delay:0.16140658, throughput:1705
REAL_TEST step:80, travel time:38.523615160349856, q_loss:100, rewards:-1.3931477, queue:1.1694444, delay:0.15855238, throughput:1704
REAL_TEST step:82, travel time:39.33527696793003, q_loss:100, rewards:-1.4061117, queue:1.1805556, delay:0.16293319, throughput:1704
REAL_TEST step:84, travel time:39.19766763848396, q_loss:100, rewards:-1.3642597, queue:1.1388888, delay:0.16190384, throughput:1702
REAL_TEST step:86, travel time:38.76559766763848, q_loss:100, rewards:-1.4041662, queue:1.1472223, delay:0.15857634, throughput:1704
REAL_TEST step:88, travel time:39.14577259475219, q_loss:100, rewards:-1.5747223, queue:1.3333334, delay:0.17175564, throughput:1702
REAL_TEST step:90, travel time:38.95221445221445, q_loss:100, rewards:-1.5199078, queue:1.2722223, delay:0.164547, throughput:1703
REAL_TEST step:92, travel time:37.65539358600583, q_loss:100, rewards:-1.4925007, queue:1.2611111, delay:0.16423056, throughput:1703
REAL_TEST step:94, travel time:38.19533527696793, q_loss:100, rewards:-1.4040743, queue:1.1611111, delay:0.16386741, throughput:1704
REAL_TEST step:96, travel time:38.19533527696793, q_loss:100, rewards:-1.4040743, queue:1.1611111, delay:0.16386741, throughput:1704
REAL_TEST step:98, travel time:40.34285714285714, q_loss:100, rewards:-1.4142596, queue:1.1555556, delay:0.16496998, throughput:1701
REAL_TEST step:100, travel time:38.844314868804666, q_loss:100, rewards:-1.4189825, queue:1.15, delay:0.16495846, throughput:1704
REAL_TEST step:102, travel time:38.49037900874636, q_loss:100, rewards:-1.461759, queue:1.2333333, delay:0.1689819, throughput:1701
REAL_TEST step:104, travel time:39.82740524781341, q_loss:100, rewards:-1.7328715, queue:1.4138889, delay:0.17572539, throughput:1702
REAL_TEST step:106, travel time:39.932944606414, q_loss:100, rewards:-1.604907, queue:1.3305556, delay:0.17021611, throughput:1702
REAL_TEST step:108, travel time:36.79125364431487, q_loss:100, rewards:-1.403426, queue:1.2388889, delay:0.1576464, throughput:1703
REAL_TEST step:110, travel time:36.498542274052475, q_loss:100, rewards:-1.3643514, queue:1.1694444, delay:0.15555567, throughput:1704
REAL_TEST step:112, travel time:37.29679300291545, q_loss:100, rewards:-1.4405562, queue:1.2416667, delay:0.1590043, throughput:1705
REAL_TEST step:114, travel time:37.68862973760933, q_loss:100, rewards:-1.4213886, queue:1.2305555, delay:0.16413054, throughput:1702
REAL_TEST step:116, travel time:36.82507288629738, q_loss:100, rewards:-1.3662956, queue:1.175, delay:0.15964635, throughput:1705
REAL_TEST step:118, travel time:47.97959183673469, q_loss:100, rewards:-1.814445, queue:1.4611111, delay:0.17943293, throughput:1703
REAL_TEST step:120, travel time:36.8134110787172, q_loss:100, rewards:-1.3817595, queue:1.2, delay:0.15631205, throughput:1703
REAL_TEST step:122, travel time:42.601166180758014, q_loss:100, rewards:-1.6913891, queue:1.3333334, delay:0.18561538, throughput:1704
REAL_TEST step:124, travel time:35.85655976676385, q_loss:100, rewards:-1.3819444, queue:1.1972222, delay:0.15344734, throughput:1705
REAL_TEST step:126, travel time:45.993002915451896, q_loss:100, rewards:-1.7962055, queue:1.4, delay:0.1806896, throughput:1701
REAL_TEST step:128, travel time:36.047813411078714, q_loss:100, rewards:-1.3384264, queue:1.1527778, delay:0.15293594, throughput:1705
REAL_TEST step:130, travel time:35.91720116618076, q_loss:100, rewards:-1.4513887, queue:1.2666667, delay:0.1561411, throughput:1704
REAL_TEST step:132, travel time:39.202915451895045, q_loss:100, rewards:-1.4786115, queue:1.2111111, delay:0.17361702, throughput:1705
REAL_TEST step:134, travel time:39.49679300291545, q_loss:100, rewards:-1.627686, queue:1.3916667, delay:0.16501325, throughput:1704
REAL_TEST step:136, travel time:36.33819241982507, q_loss:100, rewards:-1.7266661, queue:1.4472222, delay:0.16711472, throughput:1704
REAL_TEST step:138, travel time:36.23440233236152, q_loss:100, rewards:-1.428148, queue:1.2166667, delay:0.16055804, throughput:1704
REAL_TEST step:140, travel time:36.91603498542274, q_loss:100, rewards:-1.5351856, queue:1.2833333, delay:0.16142355, throughput:1705
REAL_TEST step:142, travel time:37.521282798833816, q_loss:100, rewards:-1.4287034, queue:1.2305555, delay:0.1555887, throughput:1704
REAL_TEST step:144, travel time:36.94227405247813, q_loss:100, rewards:-1.7955555, queue:1.55, delay:0.1681951, throughput:1704
REAL_TEST step:146, travel time:36.946355685131195, q_loss:100, rewards:-1.5900924, queue:1.3583333, delay:0.16199283, throughput:1704
REAL_TEST step:148, travel time:37.27696793002915, q_loss:100, rewards:-1.6882409, queue:1.4722222, delay:0.16222523, throughput:1704
REAL_TEST step:150, travel time:37.439067055393586, q_loss:100, rewards:-1.6760182, queue:1.4444444, delay:0.16086987, throughput:1704
REAL_TEST step:152, travel time:39.24723032069971, q_loss:100, rewards:-1.6927772, queue:1.4388889, delay:0.16560149, throughput:1703
REAL_TEST step:154, travel time:37.601749271137024, q_loss:100, rewards:-1.4500924, queue:1.2388889, delay:0.15674248, throughput:1702
REAL_TEST step:156, travel time:40.291545189504376, q_loss:100, rewards:-1.5055559, queue:1.2277777, delay:0.16440438, throughput:1704
REAL_TEST step:158, travel time:36.589504373177846, q_loss:100, rewards:-1.5631478, queue:1.3694445, delay:0.15944251, throughput:1705
REAL_TEST step:160, travel time:37.76268221574344, q_loss:100, rewards:-1.5911111, queue:1.3722222, delay:0.15596832, throughput:1705
REAL_TEST step:162, travel time:36.40932944606414, q_loss:100, rewards:-1.4580557, queue:1.2694445, delay:0.15194981, throughput:1703
REAL_TEST step:164, travel time:37.93702623906705, q_loss:100, rewards:-2.0883327, queue:1.7972223, delay:0.17509277, throughput:1705
REAL_TEST step:166, travel time:43.391836734693875, q_loss:100, rewards:-1.9281487, queue:1.5222223, delay:0.18347715, throughput:1704
REAL_TEST step:168, travel time:37.822157434402335, q_loss:100, rewards:-1.5036112, queue:1.2916666, delay:0.15472387, throughput:1704
REAL_TEST step:170, travel time:37.49562682215743, q_loss:100, rewards:-2.0848145, queue:1.75, delay:0.16384955, throughput:1702
REAL_TEST step:172, travel time:47.69387755102041, q_loss:100, rewards:-5.508892, queue:4.2694445, delay:0.22241084, throughput:1691
REAL_TEST step:174, travel time:36.480466472303206, q_loss:100, rewards:-1.354629, queue:1.1694444, delay:0.14843951, throughput:1702
REAL_TEST step:176, travel time:36.797084548104955, q_loss:100, rewards:-1.6194438, queue:1.4305556, delay:0.15412411, throughput:1704
REAL_TEST step:178, travel time:41.86705539358601, q_loss:100, rewards:-3.9816701, queue:3.336111, delay:0.18721706, throughput:1704
REAL_TEST step:180, travel time:35.9533527696793, q_loss:100, rewards:-1.2539805, queue:1.0944444, delay:0.14961232, throughput:1705
REAL_TEST step:182, travel time:42.75218658892128, q_loss:100, rewards:-4.883427, queue:4.1138887, delay:0.19333893, throughput:1703
REAL_TEST step:184, travel time:41.32303206997084, q_loss:100, rewards:-3.918611, queue:3.336111, delay:0.17145327, throughput:1701
REAL_TEST step:186, travel time:74.66038961038961, q_loss:100, rewards:-2.593061, queue:2.0222223, delay:0.19787426, throughput:1487
REAL_TEST step:188, travel time:41.28221574344023, q_loss:100, rewards:-3.646205, queue:3.136111, delay:0.17882793, throughput:1701
REAL_TEST step:190, travel time:126.47789634146342, q_loss:100, rewards:-2.6601896, queue:2.0944445, delay:0.18587576, throughput:1259
REAL_TEST step:192, travel time:36.37842565597668, q_loss:100, rewards:-1.3810183, queue:1.2416667, delay:0.14449236, throughput:1705
REAL_TEST step:194, travel time:38.66122448979592, q_loss:100, rewards:-1.4862032, queue:1.2944444, delay:0.15415937, throughput:1698
REAL_TEST step:196, travel time:53.74927113702624, q_loss:100, rewards:-2.1922224, queue:1.7333333, delay:0.19488373, throughput:1700
REAL_TEST step:198, travel time:37.86188811188811, q_loss:100, rewards:-1.555556, queue:1.3472222, delay:0.15765724, throughput:1701
Total time taken: 227.01862955093384
