Loading cached latent encoders from pretrained/darla/dqn/ingolstadt1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt1/baseline_v1_darla_s0/model/ingolstadt1_noise5_dqn_latent_observation -> eval real_setting=combine1
REAL_TEST step:2, travel time:252.15022935779817, q_loss:100, rewards:-44.67299, queue:38.643223, delay:1.1870556, throughput:800
REAL_TEST step:4, travel time:158.18524727577537, q_loss:100, rewards:-13.413459, queue:10.610597, delay:1.1346843, throughput:1138
REAL_TEST step:6, travel time:122.40681502086231, q_loss:100, rewards:-15.057363, queue:12.569995, delay:1.2108862, throughput:1387
REAL_TEST step:8, travel time:67.5248354278875, q_loss:100, rewards:-16.578962, queue:13.736691, delay:1.3439814, throughput:1617
REAL_TEST step:10, travel time:48.542857142857144, q_loss:100, rewards:-16.237322, queue:13.532448, delay:1.3721248, throughput:1691
REAL_TEST step:12, travel time:51.7594862813777, q_loss:100, rewards:-16.175657, queue:13.416193, delay:1.3797779, throughput:1683
REAL_TEST step:14, travel time:51.02507288629737, q_loss:100, rewards:-15.959883, queue:13.86773, delay:1.3304354, throughput:1702
REAL_TEST step:16, travel time:66.76031081888823, q_loss:100, rewards:-15.998257, queue:13.35662, delay:1.3358834, throughput:1630
REAL_TEST step:18, travel time:50.268804664723035, q_loss:100, rewards:-16.29405, queue:13.751198, delay:1.3466804, throughput:1699
REAL_TEST step:20, travel time:42.903206997084546, q_loss:100, rewards:-14.8311825, queue:12.390735, delay:1.126727, throughput:1704
REAL_TEST step:22, travel time:40.92944606413994, q_loss:100, rewards:-14.004243, queue:11.654811, delay:1.1543236, throughput:1704
REAL_TEST step:24, travel time:45.74577259475219, q_loss:100, rewards:-13.431277, queue:10.774808, delay:1.1406865, throughput:1704
REAL_TEST step:26, travel time:64.48949824970829, q_loss:100, rewards:-16.381752, queue:13.360882, delay:1.3853638, throughput:1680
REAL_TEST step:28, travel time:50.90064289888954, q_loss:100, rewards:-15.912817, queue:13.774556, delay:1.2516184, throughput:1677
REAL_TEST step:30, travel time:128.93887704335467, q_loss:100, rewards:-14.680718, queue:12.364955, delay:1.1878814, throughput:1355
REAL_TEST step:32, travel time:42.12434325744308, q_loss:100, rewards:-14.53077, queue:12.6479845, delay:1.2246865, throughput:1687
REAL_TEST step:34, travel time:58.513799177921314, q_loss:100, rewards:-16.233667, queue:13.741893, delay:1.3578976, throughput:1670
REAL_TEST step:36, travel time:51.777259475218656, q_loss:100, rewards:-15.946197, queue:12.857376, delay:1.3076918, throughput:1692
REAL_TEST step:38, travel time:40.44723032069971, q_loss:100, rewards:-16.033834, queue:13.161977, delay:1.3313062, throughput:1702
REAL_TEST step:40, travel time:117.00261096605745, q_loss:100, rewards:-13.610566, queue:11.330718, delay:1.11484, throughput:1476
REAL_TEST step:42, travel time:43.08862973760933, q_loss:100, rewards:-16.03987, queue:13.045208, delay:1.2500186, throughput:1699
REAL_TEST step:44, travel time:41.3801749271137, q_loss:100, rewards:-15.83515, queue:13.341036, delay:1.3139484, throughput:1698
REAL_TEST step:46, travel time:66.39176470588235, q_loss:100, rewards:-16.00342, queue:13.167597, delay:1.30797, throughput:1664
REAL_TEST step:48, travel time:43.05539358600583, q_loss:100, rewards:-15.992569, queue:13.08951, delay:1.304295, throughput:1705
REAL_TEST step:50, travel time:57.374927113702626, q_loss:100, rewards:-15.756885, queue:13.290956, delay:1.2455677, throughput:1704
REAL_TEST step:52, travel time:51.1693028705331, q_loss:100, rewards:-16.31908, queue:13.873407, delay:1.3313508, throughput:1681
REAL_TEST step:54, travel time:94.52254478072885, q_loss:100, rewards:-14.896462, queue:12.307581, delay:1.2003791, throughput:1565
REAL_TEST step:56, travel time:47.36443148688047, q_loss:100, rewards:-16.156214, queue:13.598251, delay:1.3032986, throughput:1705
REAL_TEST step:58, travel time:122.69113573407202, q_loss:100, rewards:-16.63691, queue:13.866555, delay:1.3352833, throughput:1388
REAL_TEST step:60, travel time:96.13817034700315, q_loss:100, rewards:-16.718483, queue:13.744064, delay:1.3111131, throughput:1531
REAL_TEST step:62, travel time:74.40142942227516, q_loss:100, rewards:-15.035392, queue:12.197135, delay:1.2553242, throughput:1629
REAL_TEST step:64, travel time:106.78870558375634, q_loss:100, rewards:-16.817429, queue:13.431672, delay:1.3724828, throughput:1523
REAL_TEST step:66, travel time:120.88127544097694, q_loss:100, rewards:-16.526459, queue:13.209893, delay:1.3284678, throughput:1423
REAL_TEST step:68, travel time:81.5020600353149, q_loss:100, rewards:-15.132543, queue:12.154901, delay:1.2076356, throughput:1664
REAL_TEST step:70, travel time:103.600129617628, q_loss:100, rewards:-15.331187, queue:12.1029215, delay:1.2133832, throughput:1490
REAL_TEST step:72, travel time:112.80065573770491, q_loss:100, rewards:-16.33998, queue:13.622057, delay:1.299602, throughput:1469
REAL_TEST step:74, travel time:124.12011371712865, q_loss:100, rewards:-14.527977, queue:12.169092, delay:1.1713362, throughput:1354
REAL_TEST step:76, travel time:127.94028776978418, q_loss:100, rewards:-16.343348, queue:14.073901, delay:1.3542398, throughput:1336
REAL_TEST step:78, travel time:125.86312849162012, q_loss:100, rewards:-15.445204, queue:12.842459, delay:1.2272745, throughput:1376
REAL_TEST step:80, travel time:113.01426718547341, q_loss:100, rewards:-16.800001, queue:14.129307, delay:1.3464935, throughput:1488
REAL_TEST step:82, travel time:87.99395039322444, q_loss:100, rewards:-14.964861, queue:11.652311, delay:1.1914728, throughput:1599
REAL_TEST step:84, travel time:104.53034947884733, q_loss:100, rewards:-16.391582, queue:14.106066, delay:1.351519, throughput:1579
REAL_TEST step:86, travel time:108.3458792991564, q_loss:100, rewards:-16.53884, queue:14.05543, delay:1.3087687, throughput:1487
REAL_TEST step:88, travel time:70.48470588235294, q_loss:100, rewards:-16.118128, queue:13.969162, delay:1.4221313, throughput:1658
REAL_TEST step:90, travel time:104.74296675191816, q_loss:100, rewards:-16.135397, queue:13.568658, delay:1.3935019, throughput:1511
REAL_TEST step:92, travel time:68.80755608028335, q_loss:100, rewards:-16.251867, queue:13.290071, delay:1.36363, throughput:1654
REAL_TEST step:94, travel time:96.81724581724582, q_loss:100, rewards:-14.902836, queue:12.324943, delay:1.2920511, throughput:1504
REAL_TEST step:96, travel time:135.2620638455828, q_loss:100, rewards:-16.88325, queue:14.049229, delay:1.289838, throughput:1292
REAL_TEST step:98, travel time:126.1371588523443, q_loss:100, rewards:-16.593416, queue:13.62534, delay:1.3437537, throughput:1375
REAL_TEST step:100, travel time:103.59328599096192, q_loss:100, rewards:-16.256126, queue:13.412484, delay:1.3476872, throughput:1503
REAL_TEST step:102, travel time:140.3603744149766, q_loss:100, rewards:-14.771481, queue:12.050554, delay:1.1988713, throughput:1229
REAL_TEST step:104, travel time:87.56721698113208, q_loss:100, rewards:-16.409895, queue:13.154789, delay:1.3523766, throughput:1650
REAL_TEST step:106, travel time:81.24381625441696, q_loss:100, rewards:-14.65516, queue:12.217449, delay:1.2247001, throughput:1659
REAL_TEST step:108, travel time:109.9322033898305, q_loss:100, rewards:-16.463682, queue:13.261663, delay:1.3520706, throughput:1480
REAL_TEST step:110, travel time:71.3856554967666, q_loss:100, rewards:-16.30199, queue:13.1969, delay:1.354018, throughput:1671
REAL_TEST step:112, travel time:142.85714285714286, q_loss:100, rewards:-16.928999, queue:13.529811, delay:1.3422832, throughput:1242
REAL_TEST step:114, travel time:113.48811096433289, q_loss:100, rewards:-14.910201, queue:12.317492, delay:1.1811041, throughput:1467
REAL_TEST step:116, travel time:105.27132777421424, q_loss:100, rewards:-16.39426, queue:13.3688545, delay:1.3255805, throughput:1513
REAL_TEST step:118, travel time:119.39428959891231, q_loss:100, rewards:-16.655252, queue:14.163437, delay:1.3464433, throughput:1419
REAL_TEST step:120, travel time:120.8988300068823, q_loss:100, rewards:-16.924551, queue:13.747948, delay:1.4313755, throughput:1404
REAL_TEST step:122, travel time:86.24705882352941, q_loss:100, rewards:-13.5011635, queue:11.0003395, delay:1.1077181, throughput:1672
REAL_TEST step:124, travel time:145.3896103896104, q_loss:100, rewards:-16.997272, queue:14.197924, delay:1.3380266, throughput:1255
REAL_TEST step:126, travel time:119.32961992136305, q_loss:100, rewards:-16.571938, queue:13.527187, delay:1.3257015, throughput:1471
REAL_TEST step:128, travel time:114.61907894736842, q_loss:100, rewards:-15.410217, queue:12.548735, delay:1.2551887, throughput:1463
REAL_TEST step:130, travel time:105.69899244332494, q_loss:100, rewards:-16.334702, queue:14.392878, delay:1.346683, throughput:1535
REAL_TEST step:132, travel time:110.13592852584557, q_loss:100, rewards:-15.362167, queue:12.699656, delay:1.2722206, throughput:1516
REAL_TEST step:134, travel time:115.63903743315508, q_loss:100, rewards:-16.558138, queue:13.774929, delay:1.3233745, throughput:1441
REAL_TEST step:136, travel time:50.65772594752187, q_loss:100, rewards:-12.578781, queue:9.762971, delay:1.0493655, throughput:1690
REAL_TEST step:138, travel time:111.65081433224756, q_loss:100, rewards:-16.93266, queue:13.481829, delay:1.3527138, throughput:1484
REAL_TEST step:140, travel time:61.38470588235294, q_loss:100, rewards:-16.49031, queue:13.275761, delay:1.3197203, throughput:1667
REAL_TEST step:142, travel time:68.83801169590643, q_loss:100, rewards:-15.165226, queue:11.746707, delay:1.2549548, throughput:1674
REAL_TEST step:144, travel time:64.76474056603773, q_loss:100, rewards:-16.379385, queue:13.215644, delay:1.2824259, throughput:1661
REAL_TEST step:146, travel time:76.02409638554217, q_loss:100, rewards:-16.130714, queue:13.079971, delay:1.3450359, throughput:1611
REAL_TEST step:148, travel time:109.49354838709678, q_loss:100, rewards:-16.865162, queue:13.826939, delay:1.2794924, throughput:1500
REAL_TEST step:150, travel time:116.39842209072978, q_loss:100, rewards:-14.589662, queue:12.198878, delay:1.1791043, throughput:1468
REAL_TEST step:152, travel time:120.36056718433491, q_loss:100, rewards:-16.586178, queue:13.629626, delay:1.3284632, throughput:1427
REAL_TEST step:154, travel time:124.07425399028452, q_loss:100, rewards:-16.577127, queue:13.506547, delay:1.3237253, throughput:1390
REAL_TEST step:156, travel time:89.10087719298245, q_loss:100, rewards:-14.739233, queue:12.002791, delay:1.225801, throughput:1550
REAL_TEST step:158, travel time:99.6077806122449, q_loss:100, rewards:-15.177249, queue:12.285153, delay:1.2006259, throughput:1514
REAL_TEST step:160, travel time:110.18597370068879, q_loss:100, rewards:-16.524996, queue:14.067377, delay:1.3611487, throughput:1543
REAL_TEST step:162, travel time:107.96458467482293, q_loss:100, rewards:-16.954243, queue:13.786968, delay:1.372326, throughput:1498
