Loading cached latent encoders from pretrained/lusr/dqn/ingolstadt1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt1/baseline_v1_lusr_s0/model/ingolstadt1_noise5_dqn_latent_observation -> eval real_setting=noise10
REAL_TEST step:2, travel time:264.8833792470156, q_loss:100, rewards:-105.01148, queue:93.81273, delay:4.426554, throughput:1003
REAL_TEST step:4, travel time:158.18524727577537, q_loss:100, rewards:-49.53869, queue:41.23687, delay:4.1190395, throughput:1138
REAL_TEST step:6, travel time:159.50041631973355, q_loss:100, rewards:-50.30811, queue:41.774685, delay:4.151754, throughput:1144
REAL_TEST step:8, travel time:155.51386623164763, q_loss:100, rewards:-50.771873, queue:42.142452, delay:4.2111034, throughput:1170
REAL_TEST step:10, travel time:126.61603375527426, q_loss:100, rewards:-50.144222, queue:41.85788, delay:4.308338, throughput:1375
REAL_TEST step:12, travel time:88.66364186327888, q_loss:100, rewards:-49.92742, queue:41.331642, delay:4.3276024, throughput:1619
REAL_TEST step:14, travel time:64.37368421052632, q_loss:100, rewards:-49.45711, queue:43.109867, delay:4.1698627, throughput:1669
REAL_TEST step:16, travel time:120.44498269896194, q_loss:100, rewards:-49.310688, queue:41.182583, delay:4.183114, throughput:1387
REAL_TEST step:18, travel time:66.16863207547169, q_loss:100, rewards:-52.28877, queue:43.400135, delay:4.259581, throughput:1658
REAL_TEST step:20, travel time:112.97258485639686, q_loss:100, rewards:-49.46633, queue:42.33408, delay:3.8387196, throughput:1479
REAL_TEST step:22, travel time:70.64839650145773, q_loss:100, rewards:-51.69408, queue:41.992115, delay:4.1873517, throughput:1680
REAL_TEST step:24, travel time:93.99756246191346, q_loss:100, rewards:-51.26288, queue:42.588993, delay:4.347146, throughput:1589
REAL_TEST step:26, travel time:59.777842565597666, q_loss:100, rewards:-51.10345, queue:41.749527, delay:4.352934, throughput:1681
REAL_TEST step:28, travel time:53.033819241982506, q_loss:100, rewards:-49.92329, queue:43.048332, delay:3.9413514, throughput:1698
REAL_TEST step:30, travel time:108.96989109545163, q_loss:100, rewards:-50.23808, queue:41.282646, delay:4.263245, throughput:1511
REAL_TEST step:32, travel time:54.68338192419825, q_loss:100, rewards:-49.86973, queue:43.28084, delay:4.2141466, throughput:1687
REAL_TEST step:34, travel time:66.18, q_loss:100, rewards:-49.434933, queue:41.948647, delay:4.195622, throughput:1657
REAL_TEST step:36, travel time:50.27479579929988, q_loss:100, rewards:-49.69651, queue:40.28482, delay:4.1208572, throughput:1689
REAL_TEST step:38, travel time:52.53469387755102, q_loss:100, rewards:-50.04139, queue:41.073483, delay:4.2097406, throughput:1691
REAL_TEST step:40, travel time:71.15660490137478, q_loss:100, rewards:-49.124084, queue:40.454094, delay:3.9789977, throughput:1642
REAL_TEST step:42, travel time:58.56330597889801, q_loss:100, rewards:-50.348953, queue:40.75594, delay:3.9366663, throughput:1672
REAL_TEST step:44, travel time:56.95596007046389, q_loss:100, rewards:-50.478607, queue:42.36017, delay:4.1642437, throughput:1673
REAL_TEST step:46, travel time:67.92119089316988, q_loss:100, rewards:-49.47177, queue:40.85283, delay:4.063668, throughput:1691
REAL_TEST step:48, travel time:109.97922077922078, q_loss:100, rewards:-49.884277, queue:40.49333, delay:4.1238556, throughput:1484
REAL_TEST step:50, travel time:69.05847953216374, q_loss:100, rewards:-49.937424, queue:42.136112, delay:3.8819675, throughput:1682
REAL_TEST step:52, travel time:125.0973630831643, q_loss:100, rewards:-50.276577, queue:42.823223, delay:4.1584334, throughput:1425
REAL_TEST step:54, travel time:78.59351032448377, q_loss:100, rewards:-51.03627, queue:41.414604, delay:4.1056714, throughput:1654
REAL_TEST step:56, travel time:111.47198969735994, q_loss:100, rewards:-50.686382, queue:42.45522, delay:4.125608, throughput:1498
REAL_TEST step:58, travel time:90.33155397390273, q_loss:100, rewards:-51.528606, queue:43.05231, delay:4.144154, throughput:1628
REAL_TEST step:60, travel time:79.28891509433963, q_loss:100, rewards:-51.47115, queue:41.92759, delay:4.050843, throughput:1651
REAL_TEST step:62, travel time:112.29680365296804, q_loss:100, rewards:-49.781837, queue:41.29693, delay:4.2100873, throughput:1477
REAL_TEST step:64, travel time:81.19385342789599, q_loss:100, rewards:-51.920837, queue:41.849857, delay:4.2547474, throughput:1637
REAL_TEST step:66, travel time:116.42406692406692, q_loss:100, rewards:-51.262184, queue:41.245235, delay:4.149974, throughput:1494
REAL_TEST step:68, travel time:107.2658072437078, q_loss:100, rewards:-51.697857, queue:42.088917, delay:4.0857916, throughput:1586
REAL_TEST step:70, travel time:124.11080523055746, q_loss:100, rewards:-50.139957, queue:40.26733, delay:4.0647287, throughput:1398
REAL_TEST step:72, travel time:71.89208211143695, q_loss:100, rewards:-50.482025, queue:42.043785, delay:4.036124, throughput:1668
REAL_TEST step:74, travel time:108.36146095717883, q_loss:100, rewards:-51.59155, queue:42.37404, delay:4.163434, throughput:1531
REAL_TEST step:76, travel time:82.98939304655273, q_loss:100, rewards:-52.57913, queue:45.04055, delay:4.2697244, throughput:1665
REAL_TEST step:78, travel time:120.98175675675675, q_loss:100, rewards:-49.55549, queue:42.431465, delay:4.046284, throughput:1431
REAL_TEST step:80, travel time:117.96993987975952, q_loss:100, rewards:-50.29581, queue:42.39539, delay:4.117579, throughput:1444
REAL_TEST step:82, travel time:117.14090019569471, q_loss:100, rewards:-51.667747, queue:40.970623, delay:4.0181346, throughput:1478
REAL_TEST step:84, travel time:112.35753846153847, q_loss:100, rewards:-51.57932, queue:44.62377, delay:4.1888447, throughput:1572
REAL_TEST step:86, travel time:124.4067679558011, q_loss:100, rewards:-49.99526, queue:42.65247, delay:4.035608, throughput:1396
REAL_TEST step:88, travel time:94.77501516070346, q_loss:100, rewards:-51.144676, queue:44.56026, delay:4.466945, throughput:1591
REAL_TEST step:90, travel time:118.44605263157895, q_loss:100, rewards:-49.13068, queue:41.47175, delay:4.3031764, throughput:1466
REAL_TEST step:92, travel time:95.5008965929468, q_loss:100, rewards:-52.149136, queue:42.770454, delay:4.286462, throughput:1624
