Loading cached latent encoders from pretrained/lusr/dqn/ingolstadt1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt1/baseline_v1_lusr_s0/model/ingolstadt1_noise5_dqn_latent_observation -> eval real_setting=sensor20
REAL_TEST step:2, travel time:450.13370473537606, q_loss:100, rewards:-44.065117, queue:38.572224, delay:0.3091886, throughput:624
REAL_TEST step:4, travel time:158.18524727577537, q_loss:100, rewards:-1.3445406, queue:1.0111111, delay:0.15032823, throughput:1138
REAL_TEST step:6, travel time:158.18524727577537, q_loss:100, rewards:-2.98269, queue:2.3527777, delay:0.26283526, throughput:1138
REAL_TEST step:8, travel time:158.18524727577537, q_loss:100, rewards:-3.0043552, queue:2.3777778, delay:0.27704784, throughput:1138
REAL_TEST step:10, travel time:158.18524727577537, q_loss:100, rewards:-2.9551897, queue:2.3416667, delay:0.24673775, throughput:1138
REAL_TEST step:12, travel time:143.3675, q_loss:100, rewards:-2.4324126, queue:1.8333334, delay:0.16315751, throughput:1150
REAL_TEST step:14, travel time:50.46122448979592, q_loss:100, rewards:-2.8224075, queue:2.5305555, delay:0.12944065, throughput:1700
REAL_TEST step:16, travel time:158.18524727577537, q_loss:100, rewards:-3.0107439, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:18, travel time:44.158600583090376, q_loss:100, rewards:-2.93861, queue:2.536111, delay:0.16473787, throughput:1699
REAL_TEST step:20, travel time:46.439067055393586, q_loss:100, rewards:-2.7918513, queue:2.3055556, delay:0.17190637, throughput:1697
REAL_TEST step:22, travel time:157.39564124057, q_loss:100, rewards:-2.7478762, queue:2.1305556, delay:0.2466082, throughput:1138
REAL_TEST step:24, travel time:52.23615160349854, q_loss:100, rewards:-1.453704, queue:1.1944444, delay:0.12578134, throughput:1700
REAL_TEST step:26, travel time:157.5968147527242, q_loss:100, rewards:-2.870006, queue:2.2638888, delay:0.2460342, throughput:1138
REAL_TEST step:28, travel time:52.4069970845481, q_loss:100, rewards:-2.0498145, queue:1.6611111, delay:0.19005851, throughput:1704
REAL_TEST step:30, travel time:59.580778301886795, q_loss:100, rewards:-0.33361122, queue:0.2611111, delay:0.08714094, throughput:1669
REAL_TEST step:32, travel time:42.17725947521866, q_loss:100, rewards:-1.6891665, queue:1.4388889, delay:0.16061914, throughput:1702
REAL_TEST step:34, travel time:154.4501257334451, q_loss:100, rewards:-2.7954679, queue:2.1861112, delay:0.28385815, throughput:1139
REAL_TEST step:36, travel time:54.14868804664723, q_loss:100, rewards:-3.0925906, queue:2.3444445, delay:0.17736518, throughput:1694
REAL_TEST step:38, travel time:157.66471081307628, q_loss:100, rewards:-1.655926, queue:1.325, delay:0.1774104, throughput:1138
REAL_TEST step:40, travel time:51.21457725947522, q_loss:100, rewards:-2.3162043, queue:1.7833333, delay:0.13394222, throughput:1695
REAL_TEST step:42, travel time:50.82565597667639, q_loss:100, rewards:-1.6429629, queue:1.325, delay:0.13734654, throughput:1705
REAL_TEST step:44, travel time:157.39564124057, q_loss:100, rewards:-2.7943575, queue:2.1694446, delay:0.27781045, throughput:1138
REAL_TEST step:46, travel time:94.06413994169097, q_loss:100, rewards:-1.0596292, queue:0.79444444, delay:0.105264485, throughput:1673
REAL_TEST step:48, travel time:143.18438003220612, q_loss:100, rewards:-0.43777794, queue:0.3638889, delay:0.09406675, throughput:1189
REAL_TEST step:50, travel time:44.83206997084548, q_loss:100, rewards:-1.7182416, queue:1.4305556, delay:0.14235114, throughput:1704
REAL_TEST step:52, travel time:49.605830903790086, q_loss:100, rewards:-2.1006486, queue:1.6694444, delay:0.19355288, throughput:1705
