Loading cached latent encoders from pretrained/lusr/dqn/ingolstadt1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt1/baseline_v1_lusr_s0/model/ingolstadt1_noise5_dqn_latent_observation -> eval real_setting=combine2
REAL_TEST step:2, travel time:420.93224932249325, q_loss:100, rewards:-49.86264, queue:42.83069, delay:1.202705, throughput:650
REAL_TEST step:4, travel time:158.18524727577537, q_loss:100, rewards:-13.413459, queue:10.610597, delay:1.1346843, throughput:1138
REAL_TEST step:6, travel time:158.18524727577537, q_loss:100, rewards:-15.025199, queue:12.561354, delay:1.2572099, throughput:1138
REAL_TEST step:8, travel time:158.18524727577537, q_loss:100, rewards:-16.342249, queue:13.572439, delay:1.3780143, throughput:1138
REAL_TEST step:10, travel time:157.19416666666666, q_loss:100, rewards:-14.774357, queue:12.4292755, delay:1.2543924, throughput:1144
REAL_TEST step:12, travel time:48.89679300291545, q_loss:100, rewards:-12.591354, queue:10.303098, delay:1.1100024, throughput:1674
REAL_TEST step:14, travel time:42.559766763848394, q_loss:100, rewards:-15.794003, queue:13.878862, delay:1.221305, throughput:1705
REAL_TEST step:16, travel time:157.1946975973488, q_loss:100, rewards:-16.867174, queue:14.047895, delay:1.3796653, throughput:1151
REAL_TEST step:18, travel time:41.416909620991255, q_loss:100, rewards:-17.159147, queue:14.508121, delay:1.3466834, throughput:1704
REAL_TEST step:20, travel time:151.0839445802771, q_loss:100, rewards:-15.366189, queue:12.6896105, delay:1.1637391, throughput:1173
REAL_TEST step:22, travel time:44.052478134110785, q_loss:100, rewards:-14.853027, queue:12.532084, delay:1.1630846, throughput:1702
REAL_TEST step:24, travel time:133.95824175824177, q_loss:100, rewards:-10.790165, queue:8.508192, delay:0.8901104, throughput:1312
REAL_TEST step:26, travel time:53.61924198250729, q_loss:100, rewards:-16.332264, queue:13.409231, delay:1.3844162, throughput:1673
REAL_TEST step:28, travel time:43.886880466472306, q_loss:100, rewards:-16.131449, queue:13.955929, delay:1.2423648, throughput:1697
REAL_TEST step:30, travel time:50.25555555555555, q_loss:100, rewards:-13.899385, queue:11.59091, delay:1.182661, throughput:1682
REAL_TEST step:32, travel time:51.029737609329445, q_loss:100, rewards:-11.779275, queue:10.084727, delay:0.9927087, throughput:1690
REAL_TEST step:34, travel time:40.16793002915452, q_loss:100, rewards:-15.949025, queue:13.667509, delay:1.3316107, throughput:1704
REAL_TEST step:36, travel time:46.48746355685131, q_loss:100, rewards:-16.15083, queue:13.17043, delay:1.3096156, throughput:1698
REAL_TEST step:38, travel time:111.58508604206502, q_loss:100, rewards:-16.502058, queue:13.469648, delay:1.3595847, throughput:1515
REAL_TEST step:40, travel time:40.95685131195335, q_loss:100, rewards:-12.3753395, queue:10.085116, delay:0.99859154, throughput:1698
REAL_TEST step:42, travel time:49.828371278458846, q_loss:100, rewards:-14.2493925, queue:11.652437, delay:1.128015, throughput:1679
REAL_TEST step:44, travel time:77.7299880525687, q_loss:100, rewards:-13.512596, queue:11.006592, delay:1.0923762, throughput:1620
REAL_TEST step:46, travel time:48.159766763848395, q_loss:100, rewards:-12.992246, queue:10.408625, delay:1.0800747, throughput:1703
REAL_TEST step:48, travel time:101.2905824039653, q_loss:100, rewards:-14.901566, queue:12.335084, delay:1.2448033, throughput:1559
REAL_TEST step:50, travel time:42.57842565597667, q_loss:100, rewards:-14.336314, queue:12.2223835, delay:1.108515, throughput:1701
REAL_TEST step:52, travel time:55.42605633802817, q_loss:100, rewards:-14.662221, queue:12.674608, delay:1.1938044, throughput:1666
REAL_TEST step:54, travel time:99.73257287705957, q_loss:100, rewards:-14.9523325, queue:12.35925, delay:1.2039005, throughput:1521
REAL_TEST step:56, travel time:41.88804664723032, q_loss:100, rewards:-16.406502, queue:13.825764, delay:1.3081251, throughput:1699
REAL_TEST step:58, travel time:85.63420427553444, q_loss:100, rewards:-14.927136, queue:12.564958, delay:1.207263, throughput:1654
REAL_TEST step:60, travel time:104.73414477898783, q_loss:100, rewards:-15.576985, queue:12.678418, delay:1.1833682, throughput:1505
REAL_TEST step:62, travel time:46.863556851311955, q_loss:100, rewards:-15.018995, queue:12.388424, delay:1.2327574, throughput:1702
REAL_TEST step:64, travel time:46.94402332361516, q_loss:100, rewards:-16.488626, queue:13.31984, delay:1.3528478, throughput:1688
REAL_TEST step:66, travel time:58.29446064139942, q_loss:100, rewards:-14.5294695, queue:11.490709, delay:1.2033647, throughput:1697
REAL_TEST step:68, travel time:44.80583090379009, q_loss:100, rewards:-14.512814, queue:11.667529, delay:1.1922138, throughput:1699
REAL_TEST step:70, travel time:139.90022172949003, q_loss:100, rewards:-13.5663805, queue:10.882476, delay:1.0459297, throughput:1301
REAL_TEST step:72, travel time:54.7667638483965, q_loss:100, rewards:-16.2142, queue:13.540171, delay:1.2894074, throughput:1682
REAL_TEST step:74, travel time:128.06435643564356, q_loss:100, rewards:-12.932947, queue:11.139969, delay:1.0434457, throughput:1362
REAL_TEST step:76, travel time:48.19183673469388, q_loss:100, rewards:-13.8793335, queue:12.009199, delay:1.1650348, throughput:1703
REAL_TEST step:78, travel time:57.431338028169016, q_loss:100, rewards:-14.965875, queue:12.581173, delay:1.2134429, throughput:1664
REAL_TEST step:80, travel time:59.00592417061611, q_loss:100, rewards:-14.3840065, queue:12.173343, delay:1.1937132, throughput:1663
REAL_TEST step:82, travel time:153.85608552631578, q_loss:100, rewards:-13.655756, queue:10.351521, delay:1.0773742, throughput:1162
REAL_TEST step:84, travel time:75.26842105263158, q_loss:100, rewards:-16.284533, queue:14.013478, delay:1.3479971, throughput:1683
REAL_TEST step:86, travel time:57.399645808736715, q_loss:100, rewards:-15.93371, queue:13.60446, delay:1.2899326, throughput:1649
REAL_TEST step:88, travel time:59.712853773584904, q_loss:100, rewards:-15.85439, queue:13.827767, delay:1.4124844, throughput:1661
REAL_TEST step:90, travel time:53.45823529411765, q_loss:100, rewards:-15.714181, queue:13.2862835, delay:1.3736835, throughput:1672
REAL_TEST step:92, travel time:46.262390670553934, q_loss:100, rewards:-16.124846, queue:13.301093, delay:1.351663, throughput:1702
REAL_TEST step:94, travel time:75.61922141119221, q_loss:100, rewards:-14.901134, queue:12.335193, delay:1.2948866, throughput:1592
REAL_TEST step:96, travel time:59.21247792819305, q_loss:100, rewards:-13.4430275, queue:10.978447, delay:1.0343539, throughput:1658
REAL_TEST step:98, travel time:52.303790087463554, q_loss:100, rewards:-16.300953, queue:13.431884, delay:1.3327324, throughput:1690
REAL_TEST step:100, travel time:59.494103773584904, q_loss:100, rewards:-16.060452, queue:13.29217, delay:1.3408151, throughput:1651
REAL_TEST step:102, travel time:50.11603498542274, q_loss:100, rewards:-13.2950115, queue:10.767494, delay:1.0944058, throughput:1700
REAL_TEST step:104, travel time:68.74543311726576, q_loss:100, rewards:-16.397932, queue:13.107065, delay:1.3515846, throughput:1665
REAL_TEST step:106, travel time:90.8663766314481, q_loss:100, rewards:-14.796285, queue:12.30357, delay:1.2300462, throughput:1559
REAL_TEST step:108, travel time:40.1667638483965, q_loss:100, rewards:-15.857533, queue:12.934428, delay:1.3283566, throughput:1703
REAL_TEST step:110, travel time:66.2822910578609, q_loss:100, rewards:-16.359737, queue:13.176507, delay:1.3581836, throughput:1685
REAL_TEST step:112, travel time:144.68217665615143, q_loss:100, rewards:-16.960554, queue:13.567415, delay:1.34192, throughput:1215
REAL_TEST step:114, travel time:44.54402332361516, q_loss:100, rewards:-12.434518, queue:10.589241, delay:1.0155984, throughput:1701
REAL_TEST step:116, travel time:45.89854227405248, q_loss:100, rewards:-15.829297, queue:12.949943, delay:1.3120948, throughput:1675
REAL_TEST step:118, travel time:42.75801749271137, q_loss:100, rewards:-13.250177, queue:11.251981, delay:1.048756, throughput:1703
REAL_TEST step:120, travel time:77.11038186157518, q_loss:100, rewards:-16.653078, queue:13.522921, delay:1.4176964, throughput:1622
REAL_TEST step:122, travel time:100.18650306748467, q_loss:100, rewards:-13.500293, queue:10.937542, delay:1.1070852, throughput:1575
REAL_TEST step:124, travel time:84.29710144927536, q_loss:100, rewards:-16.491655, queue:13.822382, delay:1.3292054, throughput:1614
REAL_TEST step:126, travel time:125.90751043115438, q_loss:100, rewards:-16.73756, queue:13.747969, delay:1.3223468, throughput:1384
REAL_TEST step:128, travel time:50.6332361516035, q_loss:100, rewards:-14.875697, queue:12.067425, delay:1.2351367, throughput:1697
REAL_TEST step:130, travel time:56.45102639296188, q_loss:100, rewards:-16.406654, queue:14.509138, delay:1.3390971, throughput:1661
REAL_TEST step:132, travel time:112.92852501624431, q_loss:100, rewards:-12.249654, queue:10.330704, delay:1.0465597, throughput:1484
REAL_TEST step:134, travel time:61.909305064782096, q_loss:100, rewards:-15.141232, queue:12.490674, delay:1.2209486, throughput:1661
REAL_TEST step:136, travel time:41.13469387755102, q_loss:100, rewards:-11.046989, queue:8.941315, delay:0.9065761, throughput:1697
REAL_TEST step:138, travel time:56.19194865810969, q_loss:100, rewards:-14.699497, queue:11.793238, delay:1.188335, throughput:1681
REAL_TEST step:140, travel time:50.25834797891037, q_loss:100, rewards:-16.29505, queue:13.167654, delay:1.3234957, throughput:1681
REAL_TEST step:142, travel time:58.51825677267373, q_loss:100, rewards:-14.924892, queue:11.642665, delay:1.2363394, throughput:1657
REAL_TEST step:144, travel time:50.55451895043732, q_loss:100, rewards:-16.587967, queue:13.554232, delay:1.2840939, throughput:1702
REAL_TEST step:146, travel time:113.91490765171504, q_loss:100, rewards:-16.671606, queue:13.586024, delay:1.3534851, throughput:1464
REAL_TEST step:148, travel time:67.3940455341506, q_loss:100, rewards:-16.767704, queue:13.846982, delay:1.2828761, throughput:1677
REAL_TEST step:150, travel time:49.605247813411076, q_loss:100, rewards:-14.189748, queue:11.889909, delay:1.1664947, throughput:1698
REAL_TEST step:152, travel time:48.524781341107875, q_loss:100, rewards:-16.4258, queue:13.62712, delay:1.3287432, throughput:1703
REAL_TEST step:154, travel time:52.88304093567251, q_loss:100, rewards:-13.80162, queue:11.595482, delay:1.1384286, throughput:1674
REAL_TEST step:156, travel time:48.57142857142857, q_loss:100, rewards:-14.580075, queue:12.030113, delay:1.2278514, throughput:1703
REAL_TEST step:158, travel time:61.21968365553603, q_loss:100, rewards:-15.012672, queue:12.163, delay:1.1934751, throughput:1677
REAL_TEST step:160, travel time:84.94847213900539, q_loss:100, rewards:-15.2019825, queue:12.855519, delay:1.2549208, throughput:1615
REAL_TEST step:162, travel time:45.904373177842565, q_loss:100, rewards:-14.772744, queue:12.42969, delay:1.2006497, throughput:1692
REAL_TEST step:164, travel time:43.99067055393586, q_loss:100, rewards:-14.975182, queue:12.575446, delay:1.253123, throughput:1698
REAL_TEST step:166, travel time:120.71118644067796, q_loss:100, rewards:-16.625679, queue:14.286075, delay:1.2822331, throughput:1422
REAL_TEST step:168, travel time:41.87638483965014, q_loss:100, rewards:-12.710765, queue:10.427475, delay:1.0429066, throughput:1701
REAL_TEST step:170, travel time:62.2332361516035, q_loss:100, rewards:-14.935874, queue:12.346888, delay:1.1874616, throughput:1672
REAL_TEST step:172, travel time:46.992419825072886, q_loss:100, rewards:-13.5479, queue:10.79675, delay:1.0720519, throughput:1699
REAL_TEST step:174, travel time:44.92944606413994, q_loss:100, rewards:-16.151947, queue:13.996377, delay:1.2896665, throughput:1700
REAL_TEST step:176, travel time:81.42040094339623, q_loss:100, rewards:-14.949424, queue:11.974751, delay:1.2158831, throughput:1656
REAL_TEST step:178, travel time:42.99650145772595, q_loss:100, rewards:-16.058323, queue:13.807224, delay:1.2786663, throughput:1696
REAL_TEST step:180, travel time:42.72419825072886, q_loss:100, rewards:-15.419219, queue:12.763803, delay:1.1952845, throughput:1696
REAL_TEST step:182, travel time:52.04195804195804, q_loss:100, rewards:-16.561312, queue:13.654847, delay:1.3343806, throughput:1700
REAL_TEST step:184, travel time:68.51563421828908, q_loss:100, rewards:-14.699065, queue:12.329388, delay:1.1713461, throughput:1661
