Loading cached latent encoders from pretrained/recon_baseline/dqn/ingolstadt1
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt1/baseline_v1_recon_baseline_s0/model/ingolstadt1_noise5_dqn_latent_observation -> eval real_setting=noise10
REAL_TEST step:1, travel time:304.2966573816156, q_loss:100, rewards:-64.11971, queue:51.763786, delay:4.3959537, throughput:653
REAL_TEST step:2, travel time:450.13370473537606, q_loss:100, rewards:-117.55363, queue:106.468414, delay:4.2181587, throughput:624
REAL_TEST step:3, travel time:158.18524727577537, q_loss:100, rewards:-49.684624, queue:41.270954, delay:4.1510277, throughput:1138
REAL_TEST step:4, travel time:153.25325732899023, q_loss:100, rewards:-50.681656, queue:42.03886, delay:4.2094884, throughput:1173
REAL_TEST step:5, travel time:125.79242636746143, q_loss:100, rewards:-50.15419, queue:41.86323, delay:4.313065, throughput:1373
REAL_TEST step:6, travel time:101.0185303514377, q_loss:100, rewards:-49.842606, queue:41.243755, delay:4.3382354, throughput:1511
REAL_TEST step:7, travel time:86.2424789410349, q_loss:100, rewards:-49.721516, queue:43.451237, delay:4.1754436, throughput:1613
REAL_TEST step:8, travel time:88.55327102803739, q_loss:100, rewards:-49.037685, queue:40.922535, delay:4.1757135, throughput:1558
REAL_TEST step:9, travel time:50.53177842565598, q_loss:100, rewards:-49.531536, queue:41.361988, delay:4.2066894, throughput:1697
REAL_TEST step:10, travel time:47.91545189504373, q_loss:100, rewards:-49.19479, queue:42.203453, delay:3.8346097, throughput:1703
REAL_TEST step:11, travel time:46.39650145772595, q_loss:100, rewards:-49.555996, queue:40.441124, delay:4.1375523, throughput:1705
REAL_TEST step:12, travel time:42.10845481049563, q_loss:100, rewards:-50.127335, queue:41.68183, delay:4.3060555, throughput:1698
REAL_TEST step:13, travel time:41.14927113702624, q_loss:100, rewards:-49.82564, queue:40.877247, delay:4.3115945, throughput:1702
REAL_TEST step:14, travel time:41.95743440233236, q_loss:100, rewards:-49.1623, queue:42.57032, delay:3.9086409, throughput:1703
REAL_TEST step:15, travel time:42.83498542274052, q_loss:100, rewards:-50.459892, queue:41.786697, delay:4.237308, throughput:1700
REAL_TEST step:16, travel time:42.51545189504373, q_loss:100, rewards:-48.82387, queue:42.651554, delay:4.1771116, throughput:1697
REAL_TEST step:17, travel time:43.16268221574344, q_loss:100, rewards:-50.57334, queue:43.10839, delay:4.1975756, throughput:1703
REAL_TEST step:18, travel time:41.435568513119534, q_loss:100, rewards:-50.06043, queue:40.747093, delay:4.1113524, throughput:1695
REAL_TEST step:19, travel time:44.55043731778426, q_loss:100, rewards:-50.736248, queue:41.86792, delay:4.1977654, throughput:1694
REAL_TEST step:20, travel time:41.76209912536443, q_loss:100, rewards:-49.21604, queue:40.60939, delay:3.9431634, throughput:1701
REAL_TEST step:21, travel time:44.119533527696795, q_loss:100, rewards:-51.275738, queue:41.527767, delay:3.9265087, throughput:1703
REAL_TEST step:22, travel time:46.932944606414, q_loss:100, rewards:-51.49251, queue:43.38347, delay:4.1317196, throughput:1703
REAL_TEST step:23, travel time:43.583090379008745, q_loss:100, rewards:-50.416916, queue:41.714386, delay:4.041626, throughput:1699
REAL_TEST step:24, travel time:46.601166180758014, q_loss:100, rewards:-51.944874, queue:42.48795, delay:4.128026, throughput:1700
REAL_TEST step:25, travel time:43.30087463556851, q_loss:100, rewards:-49.685455, queue:42.2022, delay:3.8491259, throughput:1701
