Loading cached latent encoders from pretrained/recon_baseline/dqn/ingolstadt1
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt1/baseline_v1_recon_baseline_s0/model/ingolstadt1_noise5_dqn_latent_observation -> eval real_setting=combine2
REAL_TEST step:1, travel time:301.91970802919707, q_loss:100, rewards:-31.671633, queue:24.328497, delay:1.2258734, throughput:626
REAL_TEST step:2, travel time:450.13370473537606, q_loss:100, rewards:-52.07155, queue:45.107033, delay:1.1712328, throughput:624
REAL_TEST step:3, travel time:158.18524727577537, q_loss:100, rewards:-15.025199, queue:12.561354, delay:1.2572099, throughput:1138
REAL_TEST step:4, travel time:158.3603002502085, q_loss:100, rewards:-16.732279, queue:13.855614, delay:1.3779482, throughput:1142
REAL_TEST step:5, travel time:142.20137299771167, q_loss:100, rewards:-15.361682, queue:12.882183, delay:1.2446728, throughput:1258
REAL_TEST step:6, travel time:120.67786154900617, q_loss:100, rewards:-13.646007, queue:11.07558, delay:1.1475949, throughput:1404
REAL_TEST step:7, travel time:103.58462492250464, q_loss:100, rewards:-15.465199, queue:13.291741, delay:1.2542167, throughput:1562
REAL_TEST step:8, travel time:100.03943115707821, q_loss:100, rewards:-16.176836, queue:13.450769, delay:1.3598207, throughput:1502
REAL_TEST step:9, travel time:49.924198250728864, q_loss:100, rewards:-16.221418, queue:13.535345, delay:1.347718, throughput:1697
REAL_TEST step:10, travel time:54.709037900874634, q_loss:100, rewards:-14.831944, queue:12.300668, delay:1.1398771, throughput:1703
REAL_TEST step:11, travel time:41.06763848396501, q_loss:100, rewards:-14.201965, queue:11.8557005, delay:1.1647073, throughput:1702
REAL_TEST step:12, travel time:44.32361516034985, q_loss:100, rewards:-10.130692, queue:8.078873, delay:0.8351664, throughput:1700
REAL_TEST step:13, travel time:41.18134110787172, q_loss:100, rewards:-16.132437, queue:13.30585, delay:1.3635803, throughput:1703
REAL_TEST step:14, travel time:41.540524781341105, q_loss:100, rewards:-16.12436, queue:13.907413, delay:1.2486619, throughput:1703
REAL_TEST step:15, travel time:49.94927113702624, q_loss:100, rewards:-13.826161, queue:11.504358, delay:1.1841872, throughput:1693
REAL_TEST step:16, travel time:42.885131195335276, q_loss:100, rewards:-12.141265, queue:10.564788, delay:0.9826513, throughput:1693
REAL_TEST step:17, travel time:41.35393586005831, q_loss:100, rewards:-16.847141, queue:14.43576, delay:1.3348209, throughput:1702
REAL_TEST step:18, travel time:39.75801749271137, q_loss:100, rewards:-16.20376, queue:13.237656, delay:1.3147521, throughput:1701
REAL_TEST step:19, travel time:40.76618075801749, q_loss:100, rewards:-16.790894, queue:14.015847, delay:1.3330786, throughput:1704
REAL_TEST step:20, travel time:40.95568513119534, q_loss:100, rewards:-11.944499, queue:9.72937, delay:0.9865239, throughput:1702
REAL_TEST step:21, travel time:41.66064139941691, q_loss:100, rewards:-15.541667, queue:12.809285, delay:1.1295236, throughput:1699
REAL_TEST step:22, travel time:45.37900874635569, q_loss:100, rewards:-15.174796, queue:12.628695, delay:1.0793859, throughput:1701
REAL_TEST step:23, travel time:53.00291545189504, q_loss:100, rewards:-14.054827, queue:11.212114, delay:1.0979965, throughput:1696
REAL_TEST step:24, travel time:41.93760932944606, q_loss:100, rewards:-15.470442, queue:13.08215, delay:1.2170556, throughput:1699
REAL_TEST step:25, travel time:41.78833819241982, q_loss:100, rewards:-14.672193, queue:12.673462, delay:1.1094843, throughput:1696
REAL_TEST step:26, travel time:41.92069970845481, q_loss:100, rewards:-15.660645, queue:13.53939, delay:1.1884383, throughput:1700
REAL_TEST step:27, travel time:39.47230320699708, q_loss:100, rewards:-14.397933, queue:12.012378, delay:1.1534194, throughput:1702
REAL_TEST step:28, travel time:43.14577259475219, q_loss:100, rewards:-17.891777, queue:15.232097, delay:1.3186799, throughput:1702
REAL_TEST step:29, travel time:41.11078717201166, q_loss:100, rewards:-15.098312, queue:12.953216, delay:1.1715208, throughput:1703
REAL_TEST step:30, travel time:45.626239067055394, q_loss:100, rewards:-16.997328, queue:13.983974, delay:1.17305, throughput:1700
REAL_TEST step:31, travel time:42.116618075801746, q_loss:100, rewards:-15.852716, queue:13.06921, delay:1.2347801, throughput:1703
REAL_TEST step:32, travel time:42.032069970845484, q_loss:100, rewards:-17.381994, queue:14.2806225, delay:1.3524708, throughput:1700
REAL_TEST step:33, travel time:53.46530612244898, q_loss:100, rewards:-15.512314, queue:12.33579, delay:1.1960037, throughput:1699
REAL_TEST step:34, travel time:50.80524781341108, q_loss:100, rewards:-16.041475, queue:13.010332, delay:1.1935244, throughput:1700
REAL_TEST step:35, travel time:38.776093294460644, q_loss:100, rewards:-13.457475, queue:10.938412, delay:1.0382754, throughput:1703
REAL_TEST step:36, travel time:41.326530612244895, q_loss:100, rewards:-17.160969, queue:14.392735, delay:1.2822728, throughput:1705
REAL_TEST step:37, travel time:40.50204081632653, q_loss:100, rewards:-13.246884, queue:11.455917, delay:1.0409935, throughput:1700
REAL_TEST step:38, travel time:49.745337995338, q_loss:100, rewards:-14.065478, queue:12.127935, delay:1.1552452, throughput:1700
REAL_TEST step:39, travel time:41.63556851311953, q_loss:100, rewards:-14.4321, queue:12.118913, delay:1.185861, throughput:1703
REAL_TEST step:40, travel time:45.21516034985423, q_loss:100, rewards:-15.790967, queue:13.542554, delay:1.1903675, throughput:1702
REAL_TEST step:41, travel time:62.86530612244898, q_loss:100, rewards:-15.789012, queue:11.88101, delay:1.0778874, throughput:1703
REAL_TEST step:42, travel time:41.18950437317784, q_loss:100, rewards:-17.299244, queue:15.080113, delay:1.3350158, throughput:1686
REAL_TEST step:43, travel time:44.053061224489795, q_loss:100, rewards:-17.606815, queue:15.133477, delay:1.3009185, throughput:1701
REAL_TEST step:44, travel time:41.20583090379009, q_loss:100, rewards:-16.609306, queue:14.442936, delay:1.4047471, throughput:1701
REAL_TEST step:45, travel time:41.29446064139942, q_loss:100, rewards:-16.429295, queue:13.9111805, delay:1.3773919, throughput:1697
REAL_TEST step:46, travel time:40.10320699708455, q_loss:100, rewards:-16.30918, queue:13.420416, delay:1.3440505, throughput:1704
REAL_TEST step:47, travel time:39.7271137026239, q_loss:100, rewards:-14.983529, queue:12.337617, delay:1.2689413, throughput:1705
REAL_TEST step:48, travel time:45.15909090909091, q_loss:100, rewards:-15.342326, queue:12.61657, delay:1.0507833, throughput:1703
REAL_TEST step:49, travel time:42.922448979591834, q_loss:100, rewards:-17.202915, queue:14.211711, delay:1.3417091, throughput:1695
