Loading cached latent encoders from pretrained/vae_embedding/dqn/ingolstadt1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt1/baseline_v1_vae_s0/model/ingolstadt1_noise5_dqn_latent_observation -> eval real_setting=sensor20
REAL_TEST step:2, travel time:450.13370473537606, q_loss:100, rewards:-44.065117, queue:38.572224, delay:0.3091886, throughput:624
REAL_TEST step:4, travel time:158.18524727577537, q_loss:100, rewards:-1.3445406, queue:1.0111111, delay:0.15032823, throughput:1138
REAL_TEST step:6, travel time:44.5399416909621, q_loss:100, rewards:-4.896113, queue:3.8444445, delay:0.20919997, throughput:1691
REAL_TEST step:8, travel time:45.64548104956268, q_loss:100, rewards:-3.3622205, queue:2.636111, delay:0.2031669, throughput:1700
REAL_TEST step:10, travel time:49.713119533527696, q_loss:100, rewards:-2.1816673, queue:1.7222222, delay:0.16409379, throughput:1703
REAL_TEST step:12, travel time:59.66180758017493, q_loss:100, rewards:-4.144351, queue:3.1833334, delay:0.15182129, throughput:1682
REAL_TEST step:14, travel time:97.64067373674361, q_loss:100, rewards:-1.3570372, queue:1.0916667, delay:0.124436885, throughput:1556
REAL_TEST step:16, travel time:43.009912536443146, q_loss:100, rewards:-1.8012053, queue:1.4527777, delay:0.18038385, throughput:1705
REAL_TEST step:18, travel time:45.32186588921283, q_loss:100, rewards:-2.6726851, queue:2.1416667, delay:0.17091951, throughput:1698
REAL_TEST step:20, travel time:46.345772594752184, q_loss:100, rewards:-0.92759246, queue:0.7777778, delay:0.13192014, throughput:1705
REAL_TEST step:22, travel time:42.42448979591837, q_loss:100, rewards:-1.9757404, queue:1.6305555, delay:0.15051869, throughput:1699
REAL_TEST step:24, travel time:56.67755102040816, q_loss:100, rewards:-1.792963, queue:1.3944445, delay:0.120952256, throughput:1694
REAL_TEST step:26, travel time:43.178425655976675, q_loss:100, rewards:-1.6926851, queue:1.3416667, delay:0.14765352, throughput:1703
REAL_TEST step:28, travel time:41.15160349854227, q_loss:100, rewards:-1.54963, queue:1.3027778, delay:0.17820172, throughput:1702
REAL_TEST step:30, travel time:145.54538152610442, q_loss:100, rewards:-2.1464853, queue:1.6472223, delay:0.16253066, throughput:1190
REAL_TEST step:32, travel time:42.21516034985423, q_loss:100, rewards:-1.5349076, queue:1.2666667, delay:0.16246699, throughput:1702
REAL_TEST step:34, travel time:39.60058309037901, q_loss:100, rewards:-1.5568519, queue:1.3111111, delay:0.17336363, throughput:1705
REAL_TEST step:36, travel time:44.67405247813411, q_loss:100, rewards:-1.0991662, queue:0.86388886, delay:0.1543594, throughput:1705
REAL_TEST step:38, travel time:39.90728862973761, q_loss:100, rewards:-1.4915746, queue:1.2527778, delay:0.15154114, throughput:1704
REAL_TEST step:40, travel time:135.47063688999174, q_loss:100, rewards:-1.2688919, queue:0.9611111, delay:0.16383411, throughput:1160
REAL_TEST step:42, travel time:46.23965014577259, q_loss:100, rewards:-1.1920371, queue:0.99722224, delay:0.133725, throughput:1703
REAL_TEST step:44, travel time:43.05014577259475, q_loss:100, rewards:-1.589353, queue:1.3083333, delay:0.16519308, throughput:1703
REAL_TEST step:46, travel time:58.66530612244898, q_loss:100, rewards:-0.9133333, queue:0.70555556, delay:0.10420152, throughput:1702
REAL_TEST step:48, travel time:135.8261562998405, q_loss:100, rewards:-1.8293525, queue:1.4361111, delay:0.17127267, throughput:1197
REAL_TEST step:50, travel time:42.23426573426573, q_loss:100, rewards:-1.9924088, queue:1.7027777, delay:0.14853004, throughput:1699
REAL_TEST step:52, travel time:40.1265306122449, q_loss:100, rewards:-1.5906476, queue:1.3666667, delay:0.17614108, throughput:1705
REAL_TEST step:54, travel time:42.156268221574344, q_loss:100, rewards:-1.7133342, queue:1.4361111, delay:0.1761009, throughput:1704
REAL_TEST step:56, travel time:38.56851311953353, q_loss:100, rewards:-1.6350005, queue:1.4111111, delay:0.16639803, throughput:1703
REAL_TEST step:58, travel time:41.78483965014577, q_loss:100, rewards:-1.623241, queue:1.3583333, delay:0.16623667, throughput:1702
REAL_TEST step:60, travel time:124.66896024464832, q_loss:100, rewards:-1.3237983, queue:1.0638889, delay:0.14998192, throughput:1253
REAL_TEST step:62, travel time:38.774344023323614, q_loss:100, rewards:-1.7197223, queue:1.4805555, delay:0.17495114, throughput:1699
REAL_TEST step:64, travel time:39.466472303207, q_loss:100, rewards:-1.1429626, queue:0.975, delay:0.107049495, throughput:1704
REAL_TEST step:66, travel time:144.3015625, q_loss:100, rewards:-0.9605538, queue:0.75277776, delay:0.13067497, throughput:1223
REAL_TEST step:68, travel time:42.57842565597667, q_loss:100, rewards:-0.95333296, queue:0.7972222, delay:0.11512947, throughput:1704
REAL_TEST step:70, travel time:38.76093294460642, q_loss:100, rewards:-1.4999999, queue:1.2416667, delay:0.16226476, throughput:1700
REAL_TEST step:72, travel time:37.68454810495627, q_loss:100, rewards:-1.6070367, queue:1.4444444, delay:0.13916339, throughput:1703
REAL_TEST step:74, travel time:43.4868804664723, q_loss:100, rewards:-1.5536116, queue:1.2694445, delay:0.14619257, throughput:1702
REAL_TEST step:76, travel time:90.66808769792935, q_loss:100, rewards:-1.2935191, queue:1.0638889, delay:0.1586257, throughput:1590
REAL_TEST step:78, travel time:43.43148688046647, q_loss:100, rewards:-0.9062036, queue:0.775, delay:0.11293228, throughput:1702
REAL_TEST step:80, travel time:43.201166180758015, q_loss:100, rewards:-1.3878707, queue:1.1305555, delay:0.15369664, throughput:1705
REAL_TEST step:82, travel time:47.65947521865889, q_loss:100, rewards:-1.1815735, queue:0.9638889, delay:0.1122764, throughput:1698
REAL_TEST step:84, travel time:44.352769679300295, q_loss:100, rewards:-1.8249085, queue:1.4777777, delay:0.18659015, throughput:1705
REAL_TEST step:86, travel time:41.91545189504373, q_loss:100, rewards:-1.0133328, queue:0.83055556, delay:0.10892481, throughput:1703
REAL_TEST step:88, travel time:36.899125364431484, q_loss:100, rewards:-1.523148, queue:1.3111111, delay:0.17107034, throughput:1703
REAL_TEST step:90, travel time:35.34810495626822, q_loss:100, rewards:-0.9806478, queue:0.8361111, delay:0.109633826, throughput:1704
REAL_TEST step:92, travel time:41.31545189504373, q_loss:100, rewards:-1.5300925, queue:1.2555555, delay:0.1389999, throughput:1702
REAL_TEST step:94, travel time:157.84570475396163, q_loss:100, rewards:-1.8006504, queue:1.4138889, delay:0.1479788, throughput:1142
REAL_TEST step:96, travel time:37.815743440233234, q_loss:100, rewards:-0.789259, queue:0.64166665, delay:0.10202858, throughput:1702
REAL_TEST step:98, travel time:41.756268221574345, q_loss:100, rewards:-1.7198166, queue:1.3833333, delay:0.18878615, throughput:1701
REAL_TEST step:100, travel time:42.643148688046644, q_loss:100, rewards:-1.6543523, queue:1.3722222, delay:0.18738256, throughput:1702
REAL_TEST step:102, travel time:158.2118432026689, q_loss:100, rewards:-0.38370383, queue:0.34444445, delay:0.09374405, throughput:1145
REAL_TEST step:104, travel time:42.99125364431487, q_loss:100, rewards:-1.4904633, queue:1.2416667, delay:0.16820455, throughput:1704
REAL_TEST step:106, travel time:39.10845481049563, q_loss:100, rewards:-1.1806479, queue:0.94166666, delay:0.13538578, throughput:1703
REAL_TEST step:108, travel time:44.95393586005831, q_loss:100, rewards:-1.0697218, queue:0.90555555, delay:0.10650504, throughput:1701
REAL_TEST step:110, travel time:41.8600583090379, q_loss:100, rewards:-1.616019, queue:1.3444444, delay:0.15330383, throughput:1705
REAL_TEST step:112, travel time:42.82390670553936, q_loss:100, rewards:-1.6198156, queue:1.3333334, delay:0.18059866, throughput:1704
REAL_TEST step:114, travel time:41.46180758017493, q_loss:100, rewards:-0.84944457, queue:0.6805556, delay:0.10889169, throughput:1703
REAL_TEST step:116, travel time:36.96209912536443, q_loss:100, rewards:-1.2682407, queue:1.0861111, delay:0.15777814, throughput:1702
REAL_TEST step:118, travel time:43.53061224489796, q_loss:100, rewards:-1.3630553, queue:1.1222222, delay:0.12148318, throughput:1704
REAL_TEST step:120, travel time:37.36034985422741, q_loss:100, rewards:-1.3368511, queue:1.1388888, delay:0.16586027, throughput:1701
REAL_TEST step:122, travel time:156.98407376362113, q_loss:100, rewards:-1.3587986, queue:1.0583333, delay:0.137638, throughput:1138
REAL_TEST step:124, travel time:39.02390670553936, q_loss:100, rewards:-1.1772221, queue:1.0055555, delay:0.10813977, throughput:1704
REAL_TEST step:126, travel time:37.84198250728863, q_loss:100, rewards:-1.298704, queue:1.1166667, delay:0.14521171, throughput:1704
REAL_TEST step:128, travel time:38.76268221574344, q_loss:100, rewards:-1.0740738, queue:0.86944443, delay:0.13228694, throughput:1703
REAL_TEST step:130, travel time:37.162099125364435, q_loss:100, rewards:-1.549722, queue:1.3305556, delay:0.17692412, throughput:1703
REAL_TEST step:132, travel time:104.20039421813404, q_loss:100, rewards:-1.0883353, queue:0.8361111, delay:0.1472014, throughput:1475
REAL_TEST step:134, travel time:35.33469387755102, q_loss:100, rewards:-1.1046289, queue:0.9305556, delay:0.12508447, throughput:1704
REAL_TEST step:136, travel time:44.04956268221574, q_loss:100, rewards:-1.2035177, queue:0.99444443, delay:0.1362409, throughput:1704
REAL_TEST step:138, travel time:37.81468531468531, q_loss:100, rewards:-1.3050004, queue:1.1111112, delay:0.15026197, throughput:1704
REAL_TEST step:140, travel time:38.93061224489796, q_loss:100, rewards:-1.5884259, queue:1.3555555, delay:0.17793576, throughput:1701
REAL_TEST step:142, travel time:35.49650349650349, q_loss:100, rewards:-1.1371294, queue:0.975, delay:0.11727782, throughput:1697
REAL_TEST step:144, travel time:37.247668997668995, q_loss:100, rewards:-1.5602773, queue:1.3277777, delay:0.15359737, throughput:1704
REAL_TEST step:146, travel time:37.70495626822157, q_loss:100, rewards:-1.4487964, queue:1.2388889, delay:0.16724735, throughput:1701
REAL_TEST step:148, travel time:45.57900874635568, q_loss:100, rewards:-1.5432422, queue:1.2722223, delay:0.13570993, throughput:1704
REAL_TEST step:150, travel time:41.33857808857809, q_loss:100, rewards:-1.1408329, queue:0.93333334, delay:0.14653097, throughput:1702
REAL_TEST step:152, travel time:43.53294460641399, q_loss:100, rewards:-1.7783345, queue:1.4888889, delay:0.18543927, throughput:1704
REAL_TEST step:154, travel time:133.08947804473902, q_loss:100, rewards:-1.391392, queue:1.0888889, delay:0.15407398, throughput:1159
REAL_TEST step:156, travel time:50.44723032069971, q_loss:100, rewards:-1.4623151, queue:1.2555555, delay:0.13323697, throughput:1703
REAL_TEST step:158, travel time:35.708454810495624, q_loss:100, rewards:-1.1549067, queue:0.9861111, delay:0.124541275, throughput:1704
REAL_TEST step:160, travel time:37.61399416909621, q_loss:100, rewards:-1.4843516, queue:1.2444445, delay:0.16580589, throughput:1696
REAL_TEST step:162, travel time:43.93002915451895, q_loss:100, rewards:-1.2909262, queue:1.0388889, delay:0.14862348, throughput:1704
REAL_TEST step:164, travel time:42.65947521865889, q_loss:100, rewards:-1.4326848, queue:1.1194445, delay:0.15832826, throughput:1705
