Loading cached latent encoders from pretrained/atc/dqn/ingolstadt7
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt7/baseline_v1_atc_s0/model/ingolstadt7_noise5_dqn_latent_observation -> eval real_setting=dz10
REAL_TEST step:2, travel time:1915.9345794392523, q_loss:100, rewards:-78.514626, queue:10.763095, delay:0.28791204, throughput:195
REAL_TEST step:4, travel time:1688.3964421855146, q_loss:100, rewards:-136.41771, queue:18.204762, delay:0.29573447, throughput:309
REAL_TEST step:6, travel time:1404.9128878281622, q_loss:100, rewards:-132.40472, queue:17.160318, delay:0.27856097, throughput:402
REAL_TEST step:8, travel time:336.4140708915145, q_loss:100, rewards:-68.77179, queue:9.464683, delay:0.17674531, throughput:1540
REAL_TEST step:10, travel time:403.98144593730007, q_loss:100, rewards:-65.56206, queue:9.342064, delay:0.17645736, throughput:1309
REAL_TEST step:12, travel time:343.015769439913, q_loss:100, rewards:-69.36061, queue:9.50635, delay:0.16358127, throughput:1540
REAL_TEST step:14, travel time:407.3406451612903, q_loss:100, rewards:-64.07175, queue:8.9547615, delay:0.18563655, throughput:1303
REAL_TEST step:16, travel time:167.83419913419914, q_loss:100, rewards:-11.218687, queue:1.6115079, delay:0.10862349, throughput:2165
REAL_TEST step:18, travel time:906.664364640884, q_loss:100, rewards:-153.01962, queue:20.888096, delay:0.30911508, throughput:868
REAL_TEST step:20, travel time:266.6152149944873, q_loss:100, rewards:-34.73174, queue:4.0920634, delay:0.14335887, throughput:1645
REAL_TEST step:22, travel time:809.9461942257218, q_loss:100, rewards:-150.79648, queue:20.669048, delay:0.29396567, throughput:945
REAL_TEST step:24, travel time:595.4265208475734, q_loss:100, rewards:-113.345634, queue:14.302381, delay:0.18752316, throughput:984
REAL_TEST step:26, travel time:673.2073619631902, q_loss:100, rewards:-160.48814, queue:21.224207, delay:0.29148057, throughput:1047
REAL_TEST step:28, travel time:688.5982658959538, q_loss:100, rewards:-127.98674, queue:16.267857, delay:0.21475472, throughput:890
REAL_TEST step:30, travel time:576.7964309319233, q_loss:100, rewards:-121.63489, queue:15.24881, delay:0.21061377, throughput:1040
REAL_TEST step:32, travel time:543.2862211709048, q_loss:100, rewards:-123.854355, queue:15.959524, delay:0.2375364, throughput:1209
REAL_TEST step:34, travel time:581.9856262833675, q_loss:100, rewards:-119.90856, queue:14.960714, delay:0.21472563, throughput:979
REAL_TEST step:36, travel time:822.245591116917, q_loss:100, rewards:-164.35928, queue:20.926191, delay:0.2943019, throughput:962
REAL_TEST step:38, travel time:462.47597693786037, q_loss:100, rewards:-88.64422, queue:12.634523, delay:0.21261594, throughput:1279
REAL_TEST step:40, travel time:676.8505917159763, q_loss:100, rewards:-109.958466, queue:13.864285, delay:0.20270357, throughput:891
REAL_TEST step:42, travel time:640.2322834645669, q_loss:100, rewards:-123.06235, queue:15.876985, delay:0.22120748, throughput:1049
REAL_TEST step:44, travel time:682.4029411764706, q_loss:100, rewards:-109.59858, queue:14.008333, delay:0.20350094, throughput:897
REAL_TEST step:46, travel time:665.3612491128459, q_loss:100, rewards:-115.239204, queue:14.703175, delay:0.20176463, throughput:963
REAL_TEST step:48, travel time:671.8078457446809, q_loss:100, rewards:-142.5733, queue:18.967857, delay:0.25523677, throughput:1059
REAL_TEST step:50, travel time:672.2457438934123, q_loss:100, rewards:-110.6304, queue:13.939285, delay:0.18987401, throughput:904
REAL_TEST step:52, travel time:590.7791245791245, q_loss:100, rewards:-120.718925, queue:15.188492, delay:0.20428792, throughput:995
REAL_TEST step:54, travel time:588.8270013568521, q_loss:100, rewards:-113.048515, queue:14.3714285, delay:0.1742939, throughput:1008
REAL_TEST step:56, travel time:599.8060810810811, q_loss:100, rewards:-124.33463, queue:15.549603, delay:0.18870896, throughput:983
REAL_TEST step:58, travel time:579.0167560321715, q_loss:100, rewards:-117.90938, queue:14.769444, delay:0.19393545, throughput:1007
REAL_TEST step:60, travel time:611.2352941176471, q_loss:100, rewards:-131.88457, queue:16.815475, delay:0.2271636, throughput:996
REAL_TEST step:62, travel time:589.68200270636, q_loss:100, rewards:-118.60747, queue:14.943651, delay:0.18361086, throughput:998
REAL_TEST step:64, travel time:578.1921249151392, q_loss:100, rewards:-123.56234, queue:15.478174, delay:0.2120868, throughput:997
REAL_TEST step:66, travel time:574.529810298103, q_loss:100, rewards:-116.01522, queue:14.6702385, delay:0.17233159, throughput:1033
REAL_TEST step:68, travel time:600.8856140350878, q_loss:100, rewards:-119.38844, queue:14.922619, delay:0.21080175, throughput:952
REAL_TEST step:70, travel time:621.1353436185133, q_loss:100, rewards:-119.51887, queue:15.167857, delay:0.20882079, throughput:926
REAL_TEST step:72, travel time:611.0869565217391, q_loss:100, rewards:-119.34031, queue:14.996825, delay:0.21198009, throughput:954
REAL_TEST step:74, travel time:612.7026647966339, q_loss:100, rewards:-117.91848, queue:15.042064, delay:0.19384906, throughput:933
REAL_TEST step:76, travel time:590.5709342560554, q_loss:100, rewards:-118.52398, queue:14.818651, delay:0.2011816, throughput:978
REAL_TEST step:78, travel time:644.1660649819495, q_loss:100, rewards:-115.189606, queue:14.650397, delay:0.1823332, throughput:929
REAL_TEST step:80, travel time:704.3372606774668, q_loss:100, rewards:-125.00037, queue:15.972222, delay:0.21637854, throughput:875
REAL_TEST step:82, travel time:679.0588668138337, q_loss:100, rewards:-113.07064, queue:14.544841, delay:0.18508552, throughput:884
REAL_TEST step:84, travel time:633.055078683834, q_loss:100, rewards:-116.83817, queue:14.798412, delay:0.18331562, throughput:938
REAL_TEST step:86, travel time:692.4259121370067, q_loss:100, rewards:-113.65142, queue:14.550397, delay:0.20123456, throughput:868
REAL_TEST step:88, travel time:689.6360266864344, q_loss:100, rewards:-112.85143, queue:14.418651, delay:0.19945598, throughput:893
REAL_TEST step:90, travel time:663.8709912536443, q_loss:100, rewards:-114.13436, queue:14.663492, delay:0.18841368, throughput:901
REAL_TEST step:92, travel time:583.9203664552501, q_loss:100, rewards:-114.89662, queue:14.37619, delay:0.18342118, throughput:971
REAL_TEST step:94, travel time:622.6591865357643, q_loss:100, rewards:-119.87276, queue:15.437698, delay:0.19771841, throughput:926
REAL_TEST step:96, travel time:636.5338181818182, q_loss:100, rewards:-118.95683, queue:14.950793, delay:0.20198165, throughput:893
REAL_TEST step:98, travel time:605.4152661064426, q_loss:100, rewards:-119.02852, queue:15.1170635, delay:0.20461218, throughput:955
REAL_TEST step:100, travel time:582.9397337070778, q_loss:100, rewards:-117.87398, queue:14.696825, delay:0.18424912, throughput:988
REAL_TEST step:102, travel time:618.6058091286307, q_loss:100, rewards:-121.298004, queue:15.527381, delay:0.20431542, throughput:948
REAL_TEST step:104, travel time:620.7591036414566, q_loss:100, rewards:-126.31202, queue:15.926587, delay:0.20844385, throughput:932
REAL_TEST step:106, travel time:606.1072931276298, q_loss:100, rewards:-120.66018, queue:15.163095, delay:0.20987551, throughput:961
REAL_TEST step:108, travel time:687.2950819672132, q_loss:100, rewards:-121.687454, queue:15.579365, delay:0.18568458, throughput:813
REAL_TEST step:110, travel time:602.1514726507714, q_loss:100, rewards:-118.16455, queue:14.8972225, delay:0.19143231, throughput:965
REAL_TEST step:112, travel time:595.818245614035, q_loss:100, rewards:-116.89998, queue:14.857142, delay:0.18891862, throughput:968
REAL_TEST step:114, travel time:594.1058906030855, q_loss:100, rewards:-119.09175, queue:14.975794, delay:0.19232705, throughput:982
REAL_TEST step:116, travel time:602.8378947368421, q_loss:100, rewards:-116.880005, queue:14.844444, delay:0.17800167, throughput:952
