Loading cached latent encoders from pretrained/atc/dqn/ingolstadt7
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt7/baseline_v1_atc_s0/model/ingolstadt7_noise5_dqn_latent_observation -> eval real_setting=combine2
REAL_TEST step:2, travel time:1366.1058467741937, q_loss:100, rewards:-180.86342, queue:23.769672, delay:1.2408297, throughput:477
REAL_TEST step:4, travel time:1599.8141891891892, q_loss:100, rewards:-209.60898, queue:28.25856, delay:1.1485888, throughput:328
REAL_TEST step:6, travel time:604.016748080949, q_loss:100, rewards:-186.71495, queue:24.032583, delay:1.1938465, throughput:994
REAL_TEST step:8, travel time:567.5303941215765, q_loss:100, rewards:-155.51033, queue:20.693926, delay:1.2286116, throughput:1152
REAL_TEST step:10, travel time:673.5654596100278, q_loss:100, rewards:-172.64507, queue:22.26346, delay:1.1684507, throughput:1000
REAL_TEST step:12, travel time:544.4301712779974, q_loss:100, rewards:-185.56847, queue:24.119417, delay:1.215261, throughput:1139
REAL_TEST step:14, travel time:387.0082938388626, q_loss:100, rewards:-158.76555, queue:20.604122, delay:1.2419074, throughput:1407
REAL_TEST step:16, travel time:180.3963963963964, q_loss:100, rewards:-108.89954, queue:14.811716, delay:1.1597923, throughput:2096
REAL_TEST step:18, travel time:400.9608967674661, q_loss:100, rewards:-173.71594, queue:22.611763, delay:1.1818724, throughput:1549
REAL_TEST step:20, travel time:484.1716335540839, q_loss:100, rewards:-185.83266, queue:24.384996, delay:1.2562497, throughput:1462
REAL_TEST step:22, travel time:423.9458874458874, q_loss:100, rewards:-167.09592, queue:22.089691, delay:1.1826789, throughput:1469
REAL_TEST step:24, travel time:207.89143598615917, q_loss:100, rewards:-139.57585, queue:18.25065, delay:1.1702247, throughput:2136
REAL_TEST step:26, travel time:380.3097744360902, q_loss:100, rewards:-174.55682, queue:22.888824, delay:1.13274, throughput:1633
REAL_TEST step:28, travel time:591.2116468378209, q_loss:100, rewards:-175.23473, queue:22.607609, delay:1.1836201, throughput:1119
REAL_TEST step:30, travel time:391.17821258593335, q_loss:100, rewards:-158.98009, queue:20.71939, delay:1.1578567, throughput:1540
REAL_TEST step:32, travel time:334.2659949622166, q_loss:100, rewards:-144.15758, queue:18.94212, delay:1.1390463, throughput:1707
REAL_TEST step:34, travel time:305.25388349514566, q_loss:100, rewards:-156.93993, queue:20.40172, delay:1.0979849, throughput:1742
REAL_TEST step:36, travel time:316.88407758231847, q_loss:100, rewards:-162.0511, queue:21.083567, delay:1.1848853, throughput:1939
REAL_TEST step:38, travel time:275.81029929577466, q_loss:100, rewards:-135.79099, queue:17.607544, delay:1.0882624, throughput:1974
REAL_TEST step:40, travel time:398.936877076412, q_loss:100, rewards:-177.88489, queue:23.170916, delay:1.1862003, throughput:1453
REAL_TEST step:42, travel time:252.19533655961285, q_loss:100, rewards:-157.87967, queue:20.984581, delay:1.1956171, throughput:2027
REAL_TEST step:44, travel time:176.75725190839694, q_loss:100, rewards:-140.40436, queue:19.028034, delay:1.2069132, throughput:2466
REAL_TEST step:46, travel time:206.01480592236894, q_loss:100, rewards:-147.42351, queue:19.235323, delay:1.0578005, throughput:2287
REAL_TEST step:48, travel time:147.1283512064343, q_loss:100, rewards:-121.38087, queue:16.886856, delay:1.1703964, throughput:2816
REAL_TEST step:50, travel time:324.7663594470046, q_loss:100, rewards:-171.07527, queue:22.872469, delay:1.1137025, throughput:1898
REAL_TEST step:52, travel time:125.73946629213484, q_loss:100, rewards:-110.74911, queue:15.000062, delay:1.1145386, throughput:2739
REAL_TEST step:54, travel time:143.9825970548862, q_loss:100, rewards:-117.82419, queue:15.588832, delay:1.0819689, throughput:2839
REAL_TEST step:56, travel time:154.19563636363637, q_loss:100, rewards:-120.63062, queue:16.101276, delay:1.1318204, throughput:2581
REAL_TEST step:58, travel time:152.21026722925458, q_loss:100, rewards:-122.62189, queue:16.81521, delay:1.1666046, throughput:2671
REAL_TEST step:60, travel time:126.64553734061931, q_loss:100, rewards:-119.97816, queue:15.643453, delay:1.1730366, throughput:2629
REAL_TEST step:62, travel time:205.68334022323273, q_loss:100, rewards:-135.47237, queue:18.574436, delay:1.1578844, throughput:2237
REAL_TEST step:64, travel time:199.05856747130986, q_loss:100, rewards:-104.423874, queue:14.366432, delay:1.0210636, throughput:2336
REAL_TEST step:66, travel time:203.23584905660377, q_loss:100, rewards:-116.58329, queue:16.045597, delay:1.1818548, throughput:2255
REAL_TEST step:68, travel time:311.98547008547007, q_loss:100, rewards:-150.83119, queue:20.248905, delay:1.1998966, throughput:2047
REAL_TEST step:70, travel time:233.78439101300748, q_loss:100, rewards:-128.70427, queue:17.665674, delay:1.1710161, throughput:2236
REAL_TEST step:72, travel time:177.22662266226624, q_loss:100, rewards:-134.83377, queue:18.140245, delay:1.199853, throughput:2564
REAL_TEST step:74, travel time:252.56225596529285, q_loss:100, rewards:-144.51549, queue:20.11416, delay:1.2539223, throughput:2059
REAL_TEST step:76, travel time:396.27883650952856, q_loss:100, rewards:-163.48131, queue:22.671896, delay:1.1874783, throughput:1651
REAL_TEST step:78, travel time:194.84707287933094, q_loss:100, rewards:-145.46066, queue:20.098783, delay:1.2512903, throughput:2305
REAL_TEST step:80, travel time:157.1590421729807, q_loss:100, rewards:-133.5774, queue:18.55542, delay:1.2299888, throughput:2612
REAL_TEST step:82, travel time:186.22973492124473, q_loss:100, rewards:-135.20905, queue:18.548073, delay:1.1937056, throughput:2395
REAL_TEST step:84, travel time:172.89455782312925, q_loss:100, rewards:-117.53203, queue:16.399714, delay:1.0632566, throughput:2482
REAL_TEST step:86, travel time:187.49145808502186, q_loss:100, rewards:-131.1158, queue:18.59477, delay:1.1389198, throughput:2328
REAL_TEST step:88, travel time:148.77915632754343, q_loss:100, rewards:-124.52448, queue:16.845854, delay:1.1183586, throughput:2693
