replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt7/baseline_v1_domain_randomization_s0/model/ingolstadt7_noise5_dqn_domain_randomization -> eval real_setting=noise10
REAL_TEST step:3, travel time:262.7224199288256, q_loss:100, rewards:-386.07394, queue:53.16864, delay:4.1765056, throughput:2501
REAL_TEST step:6, travel time:221.08262994224788, q_loss:100, rewards:-376.70828, queue:51.91681, delay:4.0367117, throughput:2086
REAL_TEST step:9, travel time:167.28677563150075, q_loss:100, rewards:-361.65433, queue:49.946598, delay:4.0985346, throughput:2525
REAL_TEST step:12, travel time:240.49047840222946, q_loss:100, rewards:-378.6789, queue:51.829155, delay:4.130769, throughput:1970
REAL_TEST step:15, travel time:226.10616740088105, q_loss:100, rewards:-375.7838, queue:51.06219, delay:4.0495663, throughput:2072
REAL_TEST step:18, travel time:243.8462242562929, q_loss:100, rewards:-378.69153, queue:51.462605, delay:4.0662785, throughput:1992
REAL_TEST step:21, travel time:225.60368183397014, q_loss:100, rewards:-364.80377, queue:49.79677, delay:4.0826015, throughput:2638
REAL_TEST step:24, travel time:334.1763535031847, q_loss:100, rewards:-404.93256, queue:54.22249, delay:4.088074, throughput:2205
REAL_TEST step:27, travel time:208.44772117962466, q_loss:100, rewards:-394.22165, queue:52.801964, delay:4.113709, throughput:2409
REAL_TEST step:30, travel time:801.0021008403361, q_loss:100, rewards:-441.54028, queue:58.76831, delay:4.176543, throughput:894
REAL_TEST step:33, travel time:612.0765706806283, q_loss:100, rewards:-421.34454, queue:57.19067, delay:4.063669, throughput:1053
REAL_TEST step:36, travel time:441.1044456347081, q_loss:100, rewards:-415.8525, queue:55.446014, delay:4.1171627, throughput:1452
REAL_TEST step:39, travel time:529.1176148796499, q_loss:100, rewards:-396.10086, queue:54.433792, delay:4.0878587, throughput:1469
REAL_TEST step:42, travel time:214.73591427583824, q_loss:100, rewards:-365.36646, queue:50.221275, delay:4.1347256, throughput:2675
REAL_TEST step:45, travel time:191.69535283993116, q_loss:100, rewards:-359.31754, queue:49.13701, delay:4.11919, throughput:2687
REAL_TEST step:48, travel time:166.43739038933708, q_loss:100, rewards:-354.50095, queue:49.066185, delay:4.1490946, throughput:2666
REAL_TEST step:51, travel time:328.58431743032594, q_loss:100, rewards:-398.8891, queue:53.69889, delay:4.0819235, throughput:1826
REAL_TEST step:54, travel time:119.01700680272108, q_loss:100, rewards:-349.27145, queue:47.653843, delay:4.109145, throughput:2839
REAL_TEST step:57, travel time:337.15670955882354, q_loss:100, rewards:-398.6955, queue:53.55646, delay:4.10851, throughput:1847
REAL_TEST step:60, travel time:150.72748498999334, q_loss:100, rewards:-368.48358, queue:49.898834, delay:4.0912747, throughput:2863
REAL_TEST step:63, travel time:449.1781701444623, q_loss:100, rewards:-416.5139, queue:56.40937, delay:4.1576223, throughput:1449
REAL_TEST step:66, travel time:584.8310322156476, q_loss:100, rewards:-423.71518, queue:56.615135, delay:4.093578, throughput:1065
REAL_TEST step:69, travel time:600.233355306526, q_loss:100, rewards:-421.1771, queue:56.442753, delay:4.1251893, throughput:1052
REAL_TEST step:72, travel time:551.4309045226131, q_loss:100, rewards:-422.05637, queue:56.68411, delay:4.070423, throughput:1120
REAL_TEST step:75, travel time:571.9113924050633, q_loss:100, rewards:-419.651, queue:56.54406, delay:4.084538, throughput:1101
REAL_TEST step:78, travel time:411.6754604280737, q_loss:100, rewards:-409.463, queue:55.480507, delay:4.090336, throughput:1655
REAL_TEST step:81, travel time:317.1113427856547, q_loss:100, rewards:-401.85828, queue:54.301426, delay:4.0595183, throughput:2060
REAL_TEST step:84, travel time:566.9354640442532, q_loss:100, rewards:-422.98645, queue:56.419895, delay:4.1106424, throughput:1158
REAL_TEST step:87, travel time:180.74207650273223, q_loss:100, rewards:-379.74365, queue:51.29173, delay:4.112942, throughput:2598
REAL_TEST step:90, travel time:634.3275529865125, q_loss:100, rewards:-417.69727, queue:56.134033, delay:4.127949, throughput:1142
REAL_TEST step:93, travel time:602.0619136960601, q_loss:100, rewards:-424.0286, queue:56.689632, delay:4.033762, throughput:1126
REAL_TEST step:96, travel time:448.1802597402597, q_loss:100, rewards:-410.70837, queue:54.748585, delay:4.071956, throughput:1507
REAL_TEST step:99, travel time:574.9239001189061, q_loss:100, rewards:-422.53497, queue:57.144135, delay:4.1520233, throughput:1236
REAL_TEST step:102, travel time:659.4435883324161, q_loss:100, rewards:-452.62384, queue:59.3427, delay:4.094765, throughput:1278
REAL_TEST step:105, travel time:582.7704615384615, q_loss:100, rewards:-424.00244, queue:56.710423, delay:4.1684084, throughput:1165
REAL_TEST step:108, travel time:319.5362586605081, q_loss:100, rewards:-402.13068, queue:53.850124, delay:4.0649953, throughput:1838
REAL_TEST step:111, travel time:312.25128205128203, q_loss:100, rewards:-399.78857, queue:54.465874, delay:4.110104, throughput:1855
REAL_TEST step:114, travel time:490.2211652794293, q_loss:100, rewards:-415.99405, queue:55.47566, delay:4.006568, throughput:1255
REAL_TEST step:117, travel time:529.9824458747805, q_loss:100, rewards:-424.46454, queue:57.045677, delay:4.075513, throughput:1252
REAL_TEST step:120, travel time:588.4309967141293, q_loss:100, rewards:-439.51227, queue:60.092194, delay:4.113503, throughput:1398
REAL_TEST step:123, travel time:390.56773526370216, q_loss:100, rewards:-409.84424, queue:55.50107, delay:4.0782986, throughput:1587
REAL_TEST step:126, travel time:533.9862935465449, q_loss:100, rewards:-424.92032, queue:57.418823, delay:4.047346, throughput:1299
REAL_TEST step:129, travel time:385.5767676767677, q_loss:100, rewards:-407.5081, queue:55.37846, delay:4.1236973, throughput:1640
REAL_TEST step:132, travel time:139.5916967509025, q_loss:100, rewards:-364.99817, queue:49.31701, delay:4.0443892, throughput:2649
REAL_TEST step:135, travel time:251.12913263321664, q_loss:100, rewards:-399.5615, queue:54.044884, delay:4.090948, throughput:2263
REAL_TEST step:138, travel time:129.21543624161075, q_loss:100, rewards:-362.37967, queue:49.604088, delay:4.101876, throughput:2864
REAL_TEST step:141, travel time:275.5332559938128, q_loss:100, rewards:-413.27808, queue:55.80459, delay:4.1173186, throughput:2338
REAL_TEST step:144, travel time:572.9637939826619, q_loss:100, rewards:-438.6952, queue:58.641457, delay:4.197256, throughput:1481
REAL_TEST step:147, travel time:637.5416899832121, q_loss:100, rewards:-442.5764, queue:58.59763, delay:4.153674, throughput:1298
REAL_TEST step:150, travel time:369.2096412556054, q_loss:100, rewards:-407.10837, queue:55.43162, delay:4.191155, throughput:2239
REAL_TEST step:153, travel time:166.9433621933622, q_loss:100, rewards:-378.99664, queue:51.116234, delay:4.1029596, throughput:2635
REAL_TEST step:156, travel time:339.0206648697215, q_loss:100, rewards:-408.3076, queue:54.55346, delay:4.1101665, throughput:1871
REAL_TEST step:159, travel time:148.39883201648917, q_loss:100, rewards:-374.2282, queue:49.26279, delay:4.0746913, throughput:2773
REAL_TEST step:162, travel time:133.37747175141243, q_loss:100, rewards:-360.16794, queue:48.571148, delay:4.149661, throughput:2709
REAL_TEST step:165, travel time:175.05972639305972, q_loss:100, rewards:-379.55405, queue:53.650814, delay:4.168889, throughput:2816
REAL_TEST step:168, travel time:137.02442244224423, q_loss:100, rewards:-367.54773, queue:50.553173, delay:4.0616846, throughput:2901
REAL_TEST step:171, travel time:149.25482887156895, q_loss:100, rewards:-366.22278, queue:50.565575, delay:4.085014, throughput:2825
REAL_TEST step:174, travel time:143.37392739273926, q_loss:100, rewards:-365.1487, queue:49.94256, delay:4.1004133, throughput:2894
REAL_TEST step:177, travel time:719.5570934256056, q_loss:100, rewards:-460.5397, queue:63.41012, delay:4.153517, throughput:1207
REAL_TEST step:180, travel time:444.0665064102564, q_loss:100, rewards:-433.62234, queue:59.3726, delay:4.1480017, throughput:1994
REAL_TEST step:183, travel time:348.1476793248945, q_loss:100, rewards:-419.30508, queue:57.1422, delay:4.201442, throughput:2346
REAL_TEST step:186, travel time:249.56474681097797, q_loss:100, rewards:-395.60965, queue:54.66349, delay:4.1816497, throughput:2411
REAL_TEST step:189, travel time:103.13762376237624, q_loss:100, rewards:-350.24463, queue:48.086422, delay:4.0365496, throughput:2939
REAL_TEST step:192, travel time:389.89096185737975, q_loss:100, rewards:-429.7054, queue:58.716778, delay:4.118263, throughput:1925
