replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt7/baseline_v1_domain_randomization_s0/model/ingolstadt7_noise5_dqn_domain_randomization -> eval real_setting=dz100
REAL_TEST step:3, travel time:1376.2371382636657, q_loss:100, rewards:-197.68646, queue:25.878174, delay:0.3744814, throughput:512
REAL_TEST step:6, travel time:810.9508670520231, q_loss:100, rewards:-137.88596, queue:17.543255, delay:0.2698608, throughput:857
REAL_TEST step:9, travel time:409.1693925233645, q_loss:100, rewards:-72.6865, queue:10.363492, delay:0.23813963, throughput:1414
REAL_TEST step:12, travel time:484.77421815408087, q_loss:100, rewards:-59.30642, queue:8.386905, delay:0.18950424, throughput:1077
REAL_TEST step:15, travel time:365.2507817385866, q_loss:100, rewards:-50.975224, queue:7.06627, delay:0.18849207, throughput:1371
REAL_TEST step:18, travel time:590.6997282608696, q_loss:100, rewards:-82.78681, queue:12.025, delay:0.23703165, throughput:1090
REAL_TEST step:21, travel time:873.4794117647059, q_loss:100, rewards:-99.6875, queue:14.370635, delay:0.27354854, throughput:857
REAL_TEST step:24, travel time:1601.0068027210884, q_loss:100, rewards:-157.19263, queue:21.207937, delay:0.31231287, throughput:353
REAL_TEST step:27, travel time:1193.7271844660195, q_loss:100, rewards:-154.08977, queue:20.730556, delay:0.31816262, throughput:556
REAL_TEST step:30, travel time:1579.2427937915743, q_loss:100, rewards:-172.84425, queue:23.564285, delay:0.32362378, throughput:389
REAL_TEST step:33, travel time:909.5055679287306, q_loss:100, rewards:-130.88837, queue:16.891666, delay:0.27701676, throughput:808
REAL_TEST step:36, travel time:700.890612244898, q_loss:100, rewards:-106.136856, queue:14.048412, delay:0.2485804, throughput:855
REAL_TEST step:39, travel time:1160.825484764543, q_loss:100, rewards:-137.05704, queue:18.714682, delay:0.32053015, throughput:601
REAL_TEST step:42, travel time:1022.3537696768849, q_loss:100, rewards:-128.38838, queue:16.8623, delay:0.30153567, throughput:758
REAL_TEST step:45, travel time:1017.9438943894389, q_loss:100, rewards:-123.213715, queue:16.349604, delay:0.26745173, throughput:743
REAL_TEST step:48, travel time:1497.7303225806452, q_loss:100, rewards:-101.52181, queue:13.371825, delay:0.31722808, throughput:390
REAL_TEST step:51, travel time:511.43264563106794, q_loss:100, rewards:-73.97897, queue:10.696032, delay:0.24670742, throughput:1294
REAL_TEST step:54, travel time:721.3499353169469, q_loss:100, rewards:-95.94539, queue:12.878175, delay:0.27146035, throughput:1122
REAL_TEST step:57, travel time:757.4788617886179, q_loss:100, rewards:-58.306778, queue:8.099603, delay:0.24845062, throughput:906
REAL_TEST step:60, travel time:975.6804979253112, q_loss:100, rewards:-88.75892, queue:11.93254, delay:0.28505105, throughput:767
REAL_TEST step:63, travel time:672.7638081395348, q_loss:100, rewards:-79.618385, queue:11.088889, delay:0.29768002, throughput:1020
REAL_TEST step:66, travel time:1234.4714566929133, q_loss:100, rewards:-144.36375, queue:18.728174, delay:0.28991172, throughput:537
