replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt7/baseline_v1_domain_randomization_s0/model/ingolstadt7_noise5_dqn_domain_randomization -> eval real_setting=sensor70
REAL_TEST step:3, travel time:1973.7218390804599, q_loss:100, rewards:-40.9149, queue:4.465476, delay:0.1294834, throughput:196
REAL_TEST step:6, travel time:1063.10085054678, q_loss:100, rewards:-18.10921, queue:2.5527778, delay:0.07777426, throughput:440
REAL_TEST step:9, travel time:1142.0, q_loss:100, rewards:-28.204487, queue:3.363492, delay:0.08510032, throughput:731
REAL_TEST step:12, travel time:758.3615560640732, q_loss:100, rewards:-19.3177, queue:2.4753969, delay:0.07842966, throughput:666
REAL_TEST step:15, travel time:448.62657757980696, q_loss:100, rewards:-16.912241, queue:2.1281745, delay:0.07050604, throughput:1112
REAL_TEST step:18, travel time:1012.5477386934673, q_loss:100, rewards:-2.0038888, queue:0.29087302, delay:0.016053373, throughput:513
REAL_TEST step:21, travel time:693.035739814153, q_loss:100, rewards:-16.92915, queue:2.3880951, delay:0.059387814, throughput:1058
REAL_TEST step:24, travel time:1729.1721419185283, q_loss:100, rewards:-31.365145, queue:3.7142856, delay:0.079948895, throughput:273
REAL_TEST step:27, travel time:1309.0995762711864, q_loss:100, rewards:-73.25033, queue:9.517858, delay:0.09683392, throughput:443
REAL_TEST step:30, travel time:1661.8651685393259, q_loss:100, rewards:-47.03237, queue:6.4888887, delay:0.07137572, throughput:360
REAL_TEST step:33, travel time:1260.138364779874, q_loss:100, rewards:-54.287006, queue:7.1242065, delay:0.08888718, throughput:437
REAL_TEST step:36, travel time:1007.5265017667845, q_loss:100, rewards:-51.284286, queue:6.672222, delay:0.09704842, throughput:541
REAL_TEST step:39, travel time:1078.2772887323943, q_loss:100, rewards:-32.77213, queue:4.7103176, delay:0.08976773, throughput:642
REAL_TEST step:42, travel time:1521.7548682703323, q_loss:100, rewards:-22.162443, queue:3.1107142, delay:0.070123434, throughput:371
REAL_TEST step:45, travel time:682.8888238736102, q_loss:100, rewards:-28.582611, queue:4.206746, delay:0.06844469, throughput:1218
REAL_TEST step:48, travel time:1775.1448382126348, q_loss:100, rewards:-19.299263, queue:2.5857143, delay:0.06518327, throughput:231
REAL_TEST step:51, travel time:1280.8272300469484, q_loss:100, rewards:-33.324112, queue:4.775397, delay:0.027252967, throughput:536
REAL_TEST step:54, travel time:1840.0844155844156, q_loss:100, rewards:-45.0911, queue:6.3416667, delay:0.1584458, throughput:220
REAL_TEST step:57, travel time:1602.848751835536, q_loss:100, rewards:-20.739195, queue:2.9757936, delay:0.09395041, throughput:277
REAL_TEST step:60, travel time:1438.8914209115283, q_loss:100, rewards:-36.75689, queue:3.9047618, delay:0.10799821, throughput:359
REAL_TEST step:63, travel time:1879.920676202861, q_loss:100, rewards:-39.744247, queue:5.902381, delay:0.10697494, throughput:164
REAL_TEST step:66, travel time:1930.1593625498008, q_loss:100, rewards:-28.206282, queue:3.5059524, delay:0.08755873, throughput:159
REAL_TEST step:69, travel time:1699.9441624365481, q_loss:100, rewards:-55.24604, queue:7.172619, delay:0.083703585, throughput:248
REAL_TEST step:72, travel time:1380.3702950152594, q_loss:100, rewards:-47.1076, queue:5.4952383, delay:0.09766182, throughput:364
REAL_TEST step:75, travel time:1186.9552401746726, q_loss:100, rewards:-10.76421, queue:1.468254, delay:0.057343233, throughput:490
REAL_TEST step:78, travel time:1227.4163701067616, q_loss:100, rewards:-38.767048, queue:4.7079363, delay:0.061557915, throughput:403
REAL_TEST step:81, travel time:1075.6902356902358, q_loss:100, rewards:-26.495445, queue:3.1801586, delay:0.07332544, throughput:640
REAL_TEST step:84, travel time:1162.0978135788262, q_loss:100, rewards:-31.19893, queue:4.3, delay:0.0445331, throughput:436
REAL_TEST step:87, travel time:985.2228796844181, q_loss:100, rewards:-39.499134, queue:5.029365, delay:0.06902541, throughput:591
REAL_TEST step:90, travel time:1448.7099879663056, q_loss:100, rewards:-39.269165, queue:5.1845236, delay:0.1015823, throughput:333
REAL_TEST step:93, travel time:1632.9919571045577, q_loss:100, rewards:-39.745358, queue:5.6583333, delay:0.10950135, throughput:323
REAL_TEST step:96, travel time:1714.2255639097743, q_loss:100, rewards:-18.374117, queue:2.8035715, delay:0.066611096, throughput:255
REAL_TEST step:99, travel time:1483.4839901477833, q_loss:100, rewards:-33.35187, queue:4.6325397, delay:0.09297712, throughput:359
REAL_TEST step:102, travel time:1551.6766666666667, q_loss:100, rewards:-45.55926, queue:5.8218255, delay:0.0763137, throughput:399
REAL_TEST step:105, travel time:1141.0771001150747, q_loss:100, rewards:-32.64956, queue:4.21746, delay:0.066181995, throughput:458
REAL_TEST step:108, travel time:662.4411098527746, q_loss:100, rewards:-31.209673, queue:4.5226192, delay:0.123285085, throughput:1288
REAL_TEST step:111, travel time:919.2157534246576, q_loss:100, rewards:-34.82325, queue:5.2103176, delay:0.09414017, throughput:794
REAL_TEST step:114, travel time:1186.8839848675914, q_loss:100, rewards:-6.9913893, queue:1.0134921, delay:0.03693699, throughput:393
REAL_TEST step:117, travel time:1152.2318460192475, q_loss:100, rewards:-29.55152, queue:3.7285714, delay:0.09977388, throughput:596
REAL_TEST step:120, travel time:687.9846889952153, q_loss:100, rewards:-6.774025, queue:0.76865077, delay:0.041660696, throughput:791
REAL_TEST step:123, travel time:717.3721461187215, q_loss:100, rewards:-9.885454, queue:1.4527777, delay:0.05507362, throughput:831
REAL_TEST step:126, travel time:511.83687943262413, q_loss:100, rewards:-6.9393167, queue:1.0063492, delay:0.04687187, throughput:955
REAL_TEST step:129, travel time:885.9240080699395, q_loss:100, rewards:-49.83125, queue:6.423016, delay:0.14888617, throughput:933
REAL_TEST step:132, travel time:1565.2943037974683, q_loss:100, rewards:-62.50573, queue:8.547222, delay:0.108767994, throughput:328
REAL_TEST step:135, travel time:1852.6863636363637, q_loss:100, rewards:-81.75309, queue:10.965476, delay:0.12266951, throughput:233
REAL_TEST step:138, travel time:1767.3651685393259, q_loss:100, rewards:-69.16473, queue:8.291667, delay:0.10840527, throughput:269
