Loading cached latent encoders from pretrained/lusr/dqn/ingolstadt7
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt7/baseline_v1_lusr_s0/model/ingolstadt7_noise5_dqn_latent_observation -> eval real_setting=dz10
REAL_TEST step:2, travel time:1803.5816831683169, q_loss:100, rewards:-145.34996, queue:19.526587, delay:0.34322998, throughput:287
REAL_TEST step:4, travel time:1012.5477386934673, q_loss:100, rewards:-106.11575, queue:14.028571, delay:0.25494185, throughput:513
REAL_TEST step:6, travel time:1161.1589958158995, q_loss:100, rewards:-121.132805, queue:15.894841, delay:0.2687004, throughput:545
REAL_TEST step:8, travel time:1110.6215909090909, q_loss:100, rewards:-99.56157, queue:12.988889, delay:0.25916147, throughput:523
REAL_TEST step:10, travel time:975.5672043010753, q_loss:100, rewards:-127.39964, queue:16.239683, delay:0.2708367, throughput:618
REAL_TEST step:12, travel time:1012.5477386934673, q_loss:100, rewards:-106.11575, queue:14.028571, delay:0.25494185, throughput:513
REAL_TEST step:14, travel time:1174.5907752698724, q_loss:100, rewards:-121.52664, queue:16.123413, delay:0.27629435, throughput:570
REAL_TEST step:16, travel time:1729.1721419185283, q_loss:100, rewards:-133.96848, queue:18.276587, delay:0.32806942, throughput:273
REAL_TEST step:18, travel time:1610.6315789473683, q_loss:100, rewards:-160.3852, queue:21.764286, delay:0.3425431, throughput:355
REAL_TEST step:20, travel time:944.2151799687011, q_loss:100, rewards:-165.65346, queue:23.147223, delay:0.32016373, throughput:766
REAL_TEST step:22, travel time:1128.9477533960292, q_loss:100, rewards:-118.92422, queue:15.500793, delay:0.2653611, throughput:563
REAL_TEST step:24, travel time:1205.2877637130803, q_loss:100, rewards:-175.22638, queue:24.624603, delay:0.35718408, throughput:632
REAL_TEST step:26, travel time:943.9765554553652, q_loss:100, rewards:-118.88048, queue:15.031746, delay:0.22337209, throughput:628
REAL_TEST step:28, travel time:1242.6320987654321, q_loss:100, rewards:-193.54857, queue:27.151983, delay:0.35240197, throughput:627
REAL_TEST step:30, travel time:917.6586046511628, q_loss:100, rewards:-107.338295, queue:13.400794, delay:0.20241466, throughput:680
REAL_TEST step:32, travel time:1240.546956521739, q_loss:100, rewards:-168.61497, queue:22.98254, delay:0.32433358, throughput:578
REAL_TEST step:34, travel time:962.4055415617129, q_loss:100, rewards:-100.47869, queue:12.963889, delay:0.21515426, throughput:520
REAL_TEST step:36, travel time:1266.9780701754387, q_loss:100, rewards:-160.75462, queue:21.557539, delay:0.31975868, throughput:578
REAL_TEST step:38, travel time:1023.7191235059761, q_loss:100, rewards:-118.922745, queue:15.480556, delay:0.22622044, throughput:618
REAL_TEST step:40, travel time:932.155159038014, q_loss:100, rewards:-128.3724, queue:16.24008, delay:0.2641202, throughput:771
REAL_TEST step:42, travel time:1158.5982575024202, q_loss:100, rewards:-147.34204, queue:19.52143, delay:0.2738154, throughput:571
REAL_TEST step:44, travel time:825.3311451495259, q_loss:100, rewards:-124.9336, queue:15.619047, delay:0.2237428, throughput:843
REAL_TEST step:46, travel time:641.8680310515173, q_loss:100, rewards:-132.88303, queue:17.819048, delay:0.25606766, throughput:1027
REAL_TEST step:48, travel time:1528.1030818278427, q_loss:100, rewards:-147.65604, queue:19.623016, delay:0.30701673, throughput:395
REAL_TEST step:50, travel time:720.1956912028726, q_loss:100, rewards:-104.67151, queue:13.546429, delay:0.1742515, throughput:775
REAL_TEST step:52, travel time:925.7993827160494, q_loss:100, rewards:-129.71632, queue:16.419048, delay:0.25765195, throughput:768
REAL_TEST step:54, travel time:868.1339366515837, q_loss:100, rewards:-122.147125, queue:15.899206, delay:0.22924773, throughput:694
REAL_TEST step:56, travel time:914.1958365458751, q_loss:100, rewards:-125.37054, queue:15.894444, delay:0.251273, throughput:775
REAL_TEST step:58, travel time:567.174197773412, q_loss:100, rewards:-95.806816, queue:13.149206, delay:0.22786926, throughput:1153
REAL_TEST step:60, travel time:524.1441228588304, q_loss:100, rewards:-80.98776, queue:10.384523, delay:0.19823897, throughput:1204
REAL_TEST step:62, travel time:462.1565594059406, q_loss:100, rewards:-70.3793, queue:9.980952, delay:0.19572492, throughput:1279
REAL_TEST step:64, travel time:1075.627731092437, q_loss:100, rewards:-124.31574, queue:16.848413, delay:0.2945078, throughput:697
REAL_TEST step:66, travel time:396.51785714285717, q_loss:100, rewards:-58.99291, queue:8.342857, delay:0.17408524, throughput:1382
REAL_TEST step:68, travel time:376.7708681135225, q_loss:100, rewards:-58.078896, queue:7.446429, delay:0.18434156, throughput:1885
REAL_TEST step:70, travel time:811.3897058823529, q_loss:100, rewards:-117.99989, queue:15.990873, delay:0.23185103, throughput:901
REAL_TEST step:72, travel time:693.4037974683545, q_loss:100, rewards:-102.589836, queue:12.981746, delay:0.23064929, throughput:1010
REAL_TEST step:74, travel time:616.4973297730307, q_loss:100, rewards:-108.49062, queue:14.509921, delay:0.21570788, throughput:1070
REAL_TEST step:76, travel time:807.7649930264993, q_loss:100, rewards:-111.46931, queue:14.538095, delay:0.25278142, throughput:969
REAL_TEST step:78, travel time:1313.2614583333334, q_loss:100, rewards:-133.11615, queue:17.86111, delay:0.27592978, throughput:499
REAL_TEST step:80, travel time:847.1249122807018, q_loss:100, rewards:-143.28639, queue:19.031746, delay:0.2717834, throughput:844
REAL_TEST step:82, travel time:416.39406779661016, q_loss:100, rewards:-72.87972, queue:9.576191, delay:0.18082845, throughput:1364
REAL_TEST step:84, travel time:511.67617538299, q_loss:100, rewards:-76.68905, queue:11.038889, delay:0.22420785, throughput:1406
REAL_TEST step:86, travel time:1163.8734061930784, q_loss:100, rewards:-142.80878, queue:19.119047, delay:0.29437846, throughput:636
REAL_TEST step:88, travel time:773.765284609979, q_loss:100, rewards:-114.76282, queue:14.476587, delay:0.2482658, throughput:896
REAL_TEST step:90, travel time:863.800290486565, q_loss:100, rewards:-140.04793, queue:19.329762, delay:0.31341773, throughput:872
REAL_TEST step:92, travel time:1204.6934931506848, q_loss:100, rewards:-149.1976, queue:20.809525, delay:0.3295046, throughput:596
REAL_TEST step:94, travel time:319.1798969072165, q_loss:100, rewards:-72.40678, queue:9.628968, delay:0.18032591, throughput:1635
REAL_TEST step:96, travel time:864.6561378320172, q_loss:100, rewards:-122.45424, queue:16.720238, delay:0.27697337, throughput:872
REAL_TEST step:98, travel time:973.6919934640523, q_loss:100, rewards:-115.86695, queue:15.571428, delay:0.2757481, throughput:751
REAL_TEST step:100, travel time:684.5571095571096, q_loss:100, rewards:-156.65216, queue:20.538492, delay:0.29420426, throughput:1068
REAL_TEST step:102, travel time:581.5139664804469, q_loss:100, rewards:-87.828026, queue:11.411508, delay:0.20231618, throughput:1061
REAL_TEST step:104, travel time:1052.917054263566, q_loss:100, rewards:-133.11201, queue:18.852777, delay:0.31432486, throughput:725
REAL_TEST step:106, travel time:513.2492625368732, q_loss:100, rewards:-87.051636, queue:10.936111, delay:0.14163657, throughput:1040
REAL_TEST step:108, travel time:1652.8865979381444, q_loss:100, rewards:-156.16212, queue:21.448412, delay:0.3317304, throughput:342
REAL_TEST step:110, travel time:422.1737150292778, q_loss:100, rewards:-76.69083, queue:9.680555, delay:0.16858526, throughput:1266
REAL_TEST step:112, travel time:1568.9411764705883, q_loss:100, rewards:-153.3583, queue:20.632936, delay:0.32339773, throughput:351
REAL_TEST step:114, travel time:822.1626831148805, q_loss:100, rewards:-98.82414, queue:12.939683, delay:0.24635339, throughput:908
REAL_TEST step:116, travel time:826.4125984251968, q_loss:100, rewards:-115.27914, queue:15.093651, delay:0.23940831, throughput:822
REAL_TEST step:118, travel time:748.5605143721634, q_loss:100, rewards:-108.239975, queue:13.809127, delay:0.19504993, throughput:877
REAL_TEST step:120, travel time:766.0607651912978, q_loss:100, rewards:-122.474335, queue:15.762698, delay:0.20780256, throughput:836
REAL_TEST step:122, travel time:1471.3752808988763, q_loss:100, rewards:-132.80486, queue:17.379763, delay:0.26601234, throughput:413
REAL_TEST step:124, travel time:387.46209587513937, q_loss:100, rewards:-76.23558, queue:9.86746, delay:0.16756378, throughput:1449
REAL_TEST step:126, travel time:664.0471014492754, q_loss:100, rewards:-112.06129, queue:14.179762, delay:0.20352641, throughput:952
REAL_TEST step:128, travel time:291.3850746268657, q_loss:100, rewards:-55.439804, queue:7.2472224, delay:0.14862801, throughput:1691
REAL_TEST step:130, travel time:703.2488921713442, q_loss:100, rewards:-113.12554, queue:14.528571, delay:0.20884942, throughput:913
REAL_TEST step:132, travel time:415.0709265175719, q_loss:100, rewards:-74.44318, queue:9.486508, delay:0.17706703, throughput:1304
REAL_TEST step:134, travel time:627.8260254596888, q_loss:100, rewards:-106.80757, queue:13.597222, delay:0.22263545, throughput:985
REAL_TEST step:136, travel time:692.5064655172414, q_loss:100, rewards:-99.481834, queue:12.988492, delay:0.22309577, throughput:977
REAL_TEST step:138, travel time:641.1067415730337, q_loss:100, rewards:-108.9069, queue:13.942857, delay:0.22110838, throughput:999
REAL_TEST step:140, travel time:243.88755020080322, q_loss:100, rewards:-57.715157, queue:7.5400796, delay:0.16054979, throughput:1983
REAL_TEST step:142, travel time:996.6027164685909, q_loss:100, rewards:-106.79745, queue:14.254365, delay:0.25472453, throughput:708
REAL_TEST step:144, travel time:1442.3807106598986, q_loss:100, rewards:-175.5099, queue:23.40873, delay:0.33016905, throughput:443
REAL_TEST step:146, travel time:693.0123010130246, q_loss:100, rewards:-106.515335, queue:13.542064, delay:0.19509888, throughput:937
REAL_TEST step:148, travel time:1003.0093109869646, q_loss:100, rewards:-113.86253, queue:14.811905, delay:0.23815085, throughput:678
REAL_TEST step:150, travel time:596.1471594798084, q_loss:100, rewards:-101.768074, queue:13.100794, delay:0.21213424, throughput:1051
REAL_TEST step:152, travel time:1505.8083067092653, q_loss:100, rewards:-165.31789, queue:22.161112, delay:0.32596228, throughput:413
REAL_TEST step:154, travel time:719.1909959072306, q_loss:100, rewards:-106.07203, queue:13.813889, delay:0.2313602, throughput:995
REAL_TEST step:156, travel time:743.3780219780219, q_loss:100, rewards:-117.26391, queue:15.155556, delay:0.22560778, throughput:895
REAL_TEST step:158, travel time:1464.3103057757644, q_loss:100, rewards:-128.17795, queue:16.83492, delay:0.2615492, throughput:411
REAL_TEST step:160, travel time:744.7056659308315, q_loss:100, rewards:-125.469025, queue:16.373413, delay:0.22369389, throughput:875
REAL_TEST step:162, travel time:1579.9539700805524, q_loss:100, rewards:-156.82213, queue:20.888096, delay:0.27866814, throughput:358
REAL_TEST step:164, travel time:817.36719337848, q_loss:100, rewards:-135.21722, queue:17.823412, delay:0.25653094, throughput:804
REAL_TEST step:166, travel time:1513.244212962963, q_loss:100, rewards:-148.32169, queue:19.74603, delay:0.27014196, throughput:373
REAL_TEST step:168, travel time:688.278549382716, q_loss:100, rewards:-109.29099, queue:13.754762, delay:0.17150533, throughput:863
REAL_TEST step:170, travel time:708.0270863836017, q_loss:100, rewards:-122.4639, queue:15.770635, delay:0.23582682, throughput:892
REAL_TEST step:172, travel time:511.11240310077517, q_loss:100, rewards:-84.151215, queue:10.888095, delay:0.20332882, throughput:1184
REAL_TEST step:174, travel time:752.2577842143374, q_loss:100, rewards:-117.98406, queue:15.26627, delay:0.24190544, throughput:893
REAL_TEST step:176, travel time:1325.6257796257796, q_loss:100, rewards:-130.85445, queue:17.204365, delay:0.288455, throughput:480
REAL_TEST step:178, travel time:785.5, q_loss:100, rewards:-114.70052, queue:14.606746, delay:0.22850482, throughput:897
REAL_TEST step:180, travel time:1144.0641025641025, q_loss:100, rewards:-135.27632, queue:17.951984, delay:0.28012195, throughput:664
REAL_TEST step:182, travel time:863.6019862490451, q_loss:100, rewards:-120.64739, queue:15.291667, delay:0.23644984, throughput:795
REAL_TEST step:184, travel time:854.298751950078, q_loss:100, rewards:-129.62166, queue:17.299603, delay:0.273294, throughput:817
REAL_TEST step:186, travel time:1403.3462389380531, q_loss:100, rewards:-130.52803, queue:17.121826, delay:0.27843946, throughput:438
REAL_TEST step:188, travel time:766.5674074074074, q_loss:100, rewards:-117.6701, queue:15.562302, delay:0.22559786, throughput:886
REAL_TEST step:190, travel time:701.0768072289156, q_loss:100, rewards:-109.39867, queue:13.768254, delay:0.20354992, throughput:858
REAL_TEST step:192, travel time:1428.1408296943232, q_loss:100, rewards:-149.93883, queue:20.158333, delay:0.31984118, throughput:423
REAL_TEST step:194, travel time:678.7492603550296, q_loss:100, rewards:-106.50598, queue:13.628968, delay:0.19963922, throughput:927
REAL_TEST step:196, travel time:850.9473684210526, q_loss:100, rewards:-133.49886, queue:17.63254, delay:0.25569, throughput:772
REAL_TEST step:198, travel time:1406.5022421524664, q_loss:100, rewards:-138.67534, queue:18.425795, delay:0.29355562, throughput:417
Total time taken: 2642.136315345764
