Loading cached latent encoders from pretrained/recon_baseline/dqn/ingolstadt7
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt7/baseline_v1_recon_baseline_s0/model/ingolstadt7_noise5_dqn_latent_observation -> eval real_setting=dz10
REAL_TEST step:1, travel time:584.7480916030535, q_loss:100, rewards:-91.3108, queue:12.298809, delay:0.26083884, throughput:1411
REAL_TEST step:2, travel time:1495.9119496855346, q_loss:100, rewards:-125.88233, queue:17.164682, delay:0.31587785, throughput:390
REAL_TEST step:3, travel time:779.7231270358307, q_loss:100, rewards:-112.01302, queue:15.073413, delay:0.24733582, throughput:866
REAL_TEST step:4, travel time:831.8906009244993, q_loss:100, rewards:-123.56643, queue:15.539286, delay:0.23826507, throughput:772
REAL_TEST step:5, travel time:346.3382443216697, q_loss:100, rewards:-66.46652, queue:9.535317, delay:0.16230024, throughput:1395
REAL_TEST step:6, travel time:771.1138581652569, q_loss:100, rewards:-124.520874, queue:17.191668, delay:0.2635597, throughput:977
REAL_TEST step:7, travel time:827.3834788448623, q_loss:100, rewards:-159.86266, queue:20.37262, delay:0.253709, throughput:933
REAL_TEST step:8, travel time:631.7583988563259, q_loss:100, rewards:-126.12153, queue:15.900397, delay:0.20745885, throughput:922
REAL_TEST step:9, travel time:625.4377104377104, q_loss:100, rewards:-127.81162, queue:16.321032, delay:0.22324301, throughput:1017
REAL_TEST step:10, travel time:1157.1266233766235, q_loss:100, rewards:-126.73859, queue:16.39127, delay:0.23609398, throughput:536
REAL_TEST step:11, travel time:230.9198131568704, q_loss:100, rewards:-87.52168, queue:11.535317, delay:0.18806519, throughput:2314
REAL_TEST step:12, travel time:460.44959677419354, q_loss:100, rewards:-101.197464, queue:13.440476, delay:0.23952138, throughput:1672
REAL_TEST step:13, travel time:628.0336370007008, q_loss:100, rewards:-128.5165, queue:16.135317, delay:0.2103333, throughput:938
REAL_TEST step:14, travel time:156.42640264026403, q_loss:100, rewards:-48.44958, queue:6.8777776, delay:0.16045623, throughput:2911
REAL_TEST step:15, travel time:186.27548980407838, q_loss:100, rewards:-71.93856, queue:9.422222, delay:0.15658276, throughput:2390
REAL_TEST step:16, travel time:666.8709677419355, q_loss:100, rewards:-150.77243, queue:19.50238, delay:0.2073868, throughput:1006
REAL_TEST step:17, travel time:849.9033095392602, q_loss:100, rewards:-190.71121, queue:25.573809, delay:0.30108124, throughput:919
REAL_TEST step:18, travel time:583.9669260700389, q_loss:100, rewards:-127.780945, queue:17.036112, delay:0.22950318, throughput:1134
REAL_TEST step:19, travel time:197.96299521114497, q_loss:100, rewards:-43.38435, queue:5.281349, delay:0.14868473, throughput:2143
REAL_TEST step:20, travel time:721.9054497701904, q_loss:100, rewards:-150.75719, queue:19.82619, delay:0.27965602, throughput:1036
REAL_TEST step:21, travel time:299.9759384023099, q_loss:100, rewards:-63.324203, queue:8.205953, delay:0.16879407, throughput:1845
REAL_TEST step:22, travel time:613.5907590759076, q_loss:100, rewards:-115.63017, queue:14.782539, delay:0.20307618, throughput:1049
REAL_TEST step:23, travel time:643.6144067796611, q_loss:100, rewards:-118.50907, queue:15.063095, delay:0.21478151, throughput:953
REAL_TEST step:24, travel time:639.9696169088508, q_loss:100, rewards:-130.05807, queue:16.634523, delay:0.24107248, throughput:1043
REAL_TEST step:25, travel time:585.2211668928087, q_loss:100, rewards:-118.48378, queue:14.894048, delay:0.19414918, throughput:1000
REAL_TEST step:26, travel time:585.3437308868502, q_loss:100, rewards:-134.7338, queue:17.437302, delay:0.24155082, throughput:1128
REAL_TEST step:27, travel time:600.7581081081081, q_loss:100, rewards:-122.44198, queue:15.334127, delay:0.2058797, throughput:1033
REAL_TEST step:28, travel time:617.047619047619, q_loss:100, rewards:-133.4654, queue:17.384127, delay:0.23415627, throughput:1061
REAL_TEST step:29, travel time:576.4192229038855, q_loss:100, rewards:-115.07818, queue:14.366667, delay:0.17775765, throughput:1021
REAL_TEST step:30, travel time:605.9709412507897, q_loss:100, rewards:-136.17415, queue:17.465477, delay:0.23705578, throughput:1081
REAL_TEST step:31, travel time:601.1090146750524, q_loss:100, rewards:-119.76439, queue:14.950397, delay:0.18899062, throughput:961
REAL_TEST step:32, travel time:828.6222222222223, q_loss:100, rewards:-123.84156, queue:16.311905, delay:0.22256775, throughput:900
REAL_TEST step:33, travel time:602.7510944340213, q_loss:100, rewards:-136.81578, queue:17.842064, delay:0.23127207, throughput:1089
REAL_TEST step:34, travel time:580.8407557354926, q_loss:100, rewards:-118.896286, queue:14.88373, delay:0.18339917, throughput:1011
REAL_TEST step:35, travel time:593.3456019962571, q_loss:100, rewards:-136.20892, queue:17.786112, delay:0.2392735, throughput:1132
REAL_TEST step:36, travel time:521.3221864951769, q_loss:100, rewards:-109.21493, queue:13.80873, delay:0.18398137, throughput:1162
REAL_TEST step:37, travel time:612.8504615384616, q_loss:100, rewards:-139.0705, queue:18.15119, delay:0.2333615, throughput:1125
REAL_TEST step:38, travel time:623.187708750835, q_loss:100, rewards:-128.40924, queue:16.021032, delay:0.20934182, throughput:980
REAL_TEST step:39, travel time:727.5216522318455, q_loss:100, rewards:-165.84674, queue:22.01111, delay:0.26550078, throughput:1021
REAL_TEST step:40, travel time:619.9962985811228, q_loss:100, rewards:-140.00876, queue:18.334127, delay:0.25277606, throughput:1097
REAL_TEST step:41, travel time:120.31997002622705, q_loss:100, rewards:-26.961771, queue:4.001984, delay:0.11815403, throughput:2475
REAL_TEST step:42, travel time:577.6149461684611, q_loss:100, rewards:-126.33867, queue:16.318651, delay:0.2250973, throughput:1125
REAL_TEST step:43, travel time:585.0943652410048, q_loss:100, rewards:-124.808975, queue:15.724206, delay:0.20125084, throughput:1001
REAL_TEST step:44, travel time:711.796104686549, q_loss:100, rewards:-170.92978, queue:23.065079, delay:0.28984725, throughput:1102
REAL_TEST step:45, travel time:624.85375, q_loss:100, rewards:-127.18365, queue:16.840477, delay:0.24550857, throughput:1113
REAL_TEST step:46, travel time:649.736490993996, q_loss:100, rewards:-131.85963, queue:17.055555, delay:0.23826253, throughput:1030
REAL_TEST step:47, travel time:643.874387254902, q_loss:100, rewards:-155.04295, queue:20.72857, delay:0.25718144, throughput:1113
REAL_TEST step:48, travel time:940.8737174427782, q_loss:100, rewards:-147.73029, queue:19.439285, delay:0.2370839, throughput:730
REAL_TEST step:49, travel time:190.95022796352583, q_loss:100, rewards:-61.378315, queue:8.135318, delay:0.1674213, throughput:2522
REAL_TEST step:50, travel time:652.0817369093231, q_loss:100, rewards:-145.33372, queue:18.99762, delay:0.2427018, throughput:1049
REAL_TEST step:51, travel time:727.9069767441861, q_loss:100, rewards:-165.06783, queue:22.212301, delay:0.27565143, throughput:998
REAL_TEST step:52, travel time:632.7229235880399, q_loss:100, rewards:-124.35557, queue:16.149206, delay:0.2232752, throughput:1046
REAL_TEST step:53, travel time:604.1131815044859, q_loss:100, rewards:-111.98991, queue:14.490079, delay:0.19808017, throughput:1024
REAL_TEST step:54, travel time:575.5268079800499, q_loss:100, rewards:-125.01552, queue:16.429365, delay:0.23075433, throughput:1125
REAL_TEST step:55, travel time:709.5879765395895, q_loss:100, rewards:-117.14512, queue:15.175397, delay:0.21507643, throughput:933
REAL_TEST step:56, travel time:635.6222791293213, q_loss:100, rewards:-132.55992, queue:17.25754, delay:0.24416587, throughput:1074
REAL_TEST step:57, travel time:122.45389344262296, q_loss:100, rewards:-36.561882, queue:5.4007936, delay:0.14255087, throughput:2741
REAL_TEST step:58, travel time:763.9138062547673, q_loss:100, rewards:-117.82882, queue:15.299603, delay:0.21595198, throughput:912
REAL_TEST step:59, travel time:726.4576868829337, q_loss:100, rewards:-125.283, queue:16.909523, delay:0.23436718, throughput:1009
REAL_TEST step:60, travel time:568.2621160409557, q_loss:100, rewards:-118.96695, queue:14.939285, delay:0.20480138, throughput:1027
REAL_TEST step:61, travel time:579.8289562289563, q_loss:100, rewards:-117.462814, queue:14.940476, delay:0.20668627, throughput:1043
REAL_TEST step:62, travel time:988.6520241171404, q_loss:100, rewards:-125.2601, queue:16.546032, delay:0.23094255, throughput:732
REAL_TEST step:63, travel time:573.501713502399, q_loss:100, rewards:-114.507065, queue:14.35873, delay:0.18296105, throughput:1015
REAL_TEST step:64, travel time:582.8852348993289, q_loss:100, rewards:-122.53483, queue:15.463492, delay:0.20700568, throughput:1020
REAL_TEST step:65, travel time:627.0621908127208, q_loss:100, rewards:-116.58846, queue:14.546825, delay:0.19181919, throughput:955
REAL_TEST step:66, travel time:649.6508279337653, q_loss:100, rewards:-116.544304, queue:14.605952, delay:0.1877438, throughput:952
REAL_TEST step:67, travel time:669.2282913165266, q_loss:100, rewards:-111.68649, queue:14.613095, delay:0.21077283, throughput:1019
REAL_TEST step:68, travel time:761.8959891230455, q_loss:100, rewards:-147.75174, queue:19.114683, delay:0.2589621, throughput:927
REAL_TEST step:69, travel time:797.23947972456, q_loss:100, rewards:-120.47351, queue:15.843651, delay:0.2428196, throughput:889
REAL_TEST step:70, travel time:724.4612748457848, q_loss:100, rewards:-153.23613, queue:19.8, delay:0.25360346, throughput:940
REAL_TEST step:71, travel time:627.8611481975968, q_loss:100, rewards:-121.468315, queue:15.635715, delay:0.23494704, throughput:1038
REAL_TEST step:72, travel time:754.6196440342782, q_loss:100, rewards:-168.74852, queue:22.14246, delay:0.26477835, throughput:972
REAL_TEST step:73, travel time:746.7311901504788, q_loss:100, rewards:-143.91617, queue:18.888493, delay:0.25714737, throughput:954
