Loading cached latent encoders from pretrained/recon_baseline/dqn/ingolstadt7
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt7/baseline_v1_recon_baseline_s0/model/ingolstadt7_noise5_dqn_latent_observation -> eval real_setting=sensor5
REAL_TEST step:1, travel time:562.3238434163701, q_loss:100, rewards:-92.63624, queue:12.92619, delay:0.26690596, throughput:1529
REAL_TEST step:2, travel time:1004.5547098001903, q_loss:100, rewards:-92.661, queue:12.233334, delay:0.29643315, throughput:649
REAL_TEST step:3, travel time:749.949111470113, q_loss:100, rewards:-109.66993, queue:14.841666, delay:0.24203496, throughput:844
REAL_TEST step:4, travel time:683.7077592458303, q_loss:100, rewards:-61.529873, queue:8.094841, delay:0.20274565, throughput:918
REAL_TEST step:5, travel time:346.1217712177122, q_loss:100, rewards:-68.01754, queue:9.747222, delay:0.15907, throughput:1393
REAL_TEST step:6, travel time:797.0172299536117, q_loss:100, rewards:-125.631714, queue:17.257936, delay:0.2944501, throughput:924
REAL_TEST step:7, travel time:357.27662129703765, q_loss:100, rewards:-65.329185, queue:8.142858, delay:0.21860747, throughput:2009
REAL_TEST step:8, travel time:156.52413242919823, q_loss:100, rewards:-17.881126, queue:2.3650794, delay:0.11942477, throughput:2392
REAL_TEST step:9, travel time:99.19128043990574, q_loss:100, rewards:-10.589056, queue:1.4253968, delay:0.09568218, throughput:2457
REAL_TEST step:10, travel time:284.6587795765878, q_loss:100, rewards:-48.58369, queue:6.8829365, delay:0.18676215, throughput:2029
REAL_TEST step:11, travel time:99.6936083868786, q_loss:100, rewards:-12.598983, queue:1.7174603, delay:0.103239395, throughput:2863
REAL_TEST step:12, travel time:506.71409574468083, q_loss:100, rewards:-85.58451, queue:11.790873, delay:0.24144128, throughput:1628
REAL_TEST step:13, travel time:98.18605504587156, q_loss:100, rewards:-14.825259, queue:1.840873, delay:0.0997063, throughput:2633
REAL_TEST step:14, travel time:78.89207920792079, q_loss:100, rewards:-8.146501, queue:1.1630952, delay:0.094425425, throughput:2959
REAL_TEST step:15, travel time:99.33627019089575, q_loss:100, rewards:-13.513059, queue:1.8337301, delay:0.107115366, throughput:2649
REAL_TEST step:16, travel time:163.6361665221162, q_loss:100, rewards:-26.497, queue:3.5011904, delay:0.12065955, throughput:2205
REAL_TEST step:17, travel time:837.9123045547246, q_loss:100, rewards:-149.88336, queue:18.600397, delay:0.31272998, throughput:891
REAL_TEST step:18, travel time:177.45983044004845, q_loss:100, rewards:-21.344517, queue:2.8154762, delay:0.12413195, throughput:2335
REAL_TEST step:19, travel time:290.9990641085634, q_loss:100, rewards:-53.049545, queue:7.338889, delay:0.15700886, throughput:1777
REAL_TEST step:20, travel time:284.9773936170213, q_loss:100, rewards:-64.203804, queue:8.717064, delay:0.18982482, throughput:2005
REAL_TEST step:21, travel time:149.81262868908718, q_loss:100, rewards:-17.55148, queue:2.4797618, delay:0.115843974, throughput:2778
REAL_TEST step:22, travel time:186.99461158509206, q_loss:100, rewards:-22.959486, queue:3.243254, delay:0.14237314, throughput:2099
REAL_TEST step:23, travel time:197.23759461732547, q_loss:100, rewards:-29.482195, queue:4.167857, delay:0.13628036, throughput:2187
REAL_TEST step:24, travel time:104.78244972577697, q_loss:100, rewards:-20.356382, queue:2.6095238, delay:0.11912161, throughput:2656
REAL_TEST step:25, travel time:198.80100334448161, q_loss:100, rewards:-48.62744, queue:6.5829363, delay:0.15285069, throughput:2198
REAL_TEST step:26, travel time:98.09326047358834, q_loss:100, rewards:-14.920998, queue:1.8908731, delay:0.105272405, throughput:2650
REAL_TEST step:27, travel time:105.04666160849773, q_loss:100, rewards:-16.53794, queue:2.1880953, delay:0.110942625, throughput:2564
REAL_TEST step:28, travel time:105.08648255813954, q_loss:100, rewards:-19.360128, queue:2.5896826, delay:0.113539085, throughput:2659
REAL_TEST step:29, travel time:107.30525164113786, q_loss:100, rewards:-18.301445, queue:2.359127, delay:0.10456984, throughput:2648
REAL_TEST step:30, travel time:99.5322046374678, q_loss:100, rewards:-17.51605, queue:2.322619, delay:0.11369308, throughput:2634
REAL_TEST step:31, travel time:112.18047673098751, q_loss:100, rewards:-16.000006, queue:1.965873, delay:0.1041181, throughput:2555
REAL_TEST step:32, travel time:829.792072774529, q_loss:100, rewards:-122.85254, queue:16.03254, delay:0.29542232, throughput:943
REAL_TEST step:33, travel time:94.60996001454016, q_loss:100, rewards:-14.466835, queue:1.7821429, delay:0.09971695, throughput:2661
REAL_TEST step:34, travel time:119.34303215926494, q_loss:100, rewards:-21.043167, queue:2.6956348, delay:0.11817369, throughput:2493
REAL_TEST step:35, travel time:102.9906015037594, q_loss:100, rewards:-17.188492, queue:2.0781746, delay:0.10015101, throughput:2567
