Loading cached latent encoders from pretrained/vae_embedding/dqn/ingolstadt7
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/ingolstadt7/baseline_v1_vae_s0/model/ingolstadt7_noise5_dqn_latent_observation -> eval real_setting=noise3
REAL_TEST step:2, travel time:493.50054525627047, q_loss:100, rewards:-156.13797, queue:21.093607, delay:1.3533505, throughput:1537
REAL_TEST step:4, travel time:1463.449723756906, q_loss:100, rewards:-185.42348, queue:25.673893, delay:1.347187, throughput:413
REAL_TEST step:6, travel time:1370.1307189542483, q_loss:100, rewards:-227.13129, queue:30.470018, delay:1.3666958, throughput:492
REAL_TEST step:8, travel time:882.6070287539936, q_loss:100, rewards:-202.53427, queue:26.78477, delay:1.343812, throughput:838
REAL_TEST step:10, travel time:872.3638535031847, q_loss:100, rewards:-202.87788, queue:26.480742, delay:1.3168185, throughput:839
REAL_TEST step:12, travel time:775.8337129840546, q_loss:100, rewards:-212.0297, queue:27.339376, delay:1.3227035, throughput:819
REAL_TEST step:14, travel time:530.7491898898251, q_loss:100, rewards:-197.17773, queue:25.670202, delay:1.3050162, throughput:1122
REAL_TEST step:16, travel time:607.2698529411765, q_loss:100, rewards:-203.91113, queue:26.248697, delay:1.3050843, throughput:944
REAL_TEST step:18, travel time:589.9376285126799, q_loss:100, rewards:-203.3424, queue:26.356426, delay:1.3132508, throughput:1001
REAL_TEST step:20, travel time:455.9287733182589, q_loss:100, rewards:-193.10785, queue:24.945805, delay:1.328385, throughput:1303
REAL_TEST step:22, travel time:427.7293274531422, q_loss:100, rewards:-190.56935, queue:25.157032, delay:1.2969168, throughput:1495
REAL_TEST step:24, travel time:344.2681420483788, q_loss:100, rewards:-178.89601, queue:23.427095, delay:1.3020868, throughput:1628
REAL_TEST step:26, travel time:442.18687982359427, q_loss:100, rewards:-193.09525, queue:25.25483, delay:1.2978625, throughput:1394
REAL_TEST step:28, travel time:480.1071856287425, q_loss:100, rewards:-198.27858, queue:25.73738, delay:1.3123475, throughput:1296
REAL_TEST step:30, travel time:528.1394882087305, q_loss:100, rewards:-217.50462, queue:28.063892, delay:1.3528028, throughput:1422
REAL_TEST step:32, travel time:407.83891454965357, q_loss:100, rewards:-186.2342, queue:24.654995, delay:1.3123198, throughput:1442
REAL_TEST step:34, travel time:454.380980507974, q_loss:100, rewards:-190.64467, queue:24.82417, delay:1.2942053, throughput:1311
REAL_TEST step:36, travel time:517.6579283887468, q_loss:100, rewards:-197.02808, queue:25.50294, delay:1.3045557, throughput:1138
REAL_TEST step:38, travel time:450.0764525993884, q_loss:100, rewards:-186.71696, queue:24.354765, delay:1.2970085, throughput:1241
REAL_TEST step:40, travel time:510.93758043758044, q_loss:100, rewards:-199.35907, queue:25.731909, delay:1.2950753, throughput:1145
REAL_TEST step:42, travel time:580.7251184834123, q_loss:100, rewards:-201.71092, queue:26.440847, delay:1.3228712, throughput:991
REAL_TEST step:44, travel time:616.2460881934566, q_loss:100, rewards:-201.27045, queue:26.17939, delay:1.3034339, throughput:936
REAL_TEST step:46, travel time:587.689226519337, q_loss:100, rewards:-202.3917, queue:26.411568, delay:1.3237138, throughput:982
