Loading cached latent encoders from pretrained/atc/dqn/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_16/baseline_v1_atc_s0/model/tempe_16_noise5_dqn_latent_observation -> eval real_setting=noise3
REAL_TEST step:2, travel time:1424.6069603779042, q_loss:100, rewards:-2950.1396, queue:228.4757, delay:1.5160567, throughput:4802
REAL_TEST step:4, travel time:583.2199480583726, q_loss:100, rewards:-1621.1559, queue:134.99055, delay:1.504729, throughput:12439
REAL_TEST step:6, travel time:708.0932855984869, q_loss:100, rewards:-1810.8971, queue:141.24664, delay:1.5097209, throughput:10529
REAL_TEST step:8, travel time:475.7749727371865, q_loss:100, rewards:-1478.4722, queue:121.3995, delay:1.4713612, throughput:14558
REAL_TEST step:10, travel time:419.06315186246417, q_loss:100, rewards:-1219.9236, queue:96.819534, delay:1.462599, throughput:14463
REAL_TEST step:12, travel time:361.28936125323065, q_loss:100, rewards:-1073.9404, queue:89.10722, delay:1.4518657, throughput:16015
REAL_TEST step:14, travel time:322.09644939056705, q_loss:100, rewards:-1021.41956, queue:80.31717, delay:1.4255512, throughput:16301
REAL_TEST step:16, travel time:293.0526924694994, q_loss:100, rewards:-882.3477, queue:76.04125, delay:1.4100941, throughput:16568
REAL_TEST step:18, travel time:453.43959656748024, q_loss:100, rewards:-1292.7329, queue:114.76521, delay:1.3997043, throughput:14309
REAL_TEST step:20, travel time:376.71445571485236, q_loss:100, rewards:-989.4224, queue:77.91009, delay:1.4138016, throughput:14650
REAL_TEST step:22, travel time:532.9470078215, q_loss:100, rewards:-1500.09, queue:117.095955, delay:1.4201127, throughput:12514
REAL_TEST step:24, travel time:366.9005497251374, q_loss:100, rewards:-1089.538, queue:83.484245, delay:1.4128004, throughput:14807
REAL_TEST step:26, travel time:307.42769660507093, q_loss:100, rewards:-955.54443, queue:72.11558, delay:1.3642539, throughput:15889
REAL_TEST step:28, travel time:396.4761393799063, q_loss:100, rewards:-1203.2659, queue:93.17535, delay:1.39879, throughput:14017
REAL_TEST step:30, travel time:224.49405118976205, q_loss:100, rewards:-686.85425, queue:52.1944, delay:1.3786335, throughput:17904
REAL_TEST step:32, travel time:380.55242908005056, q_loss:100, rewards:-1148.2723, queue:81.144295, delay:1.4147415, throughput:13988
REAL_TEST step:34, travel time:284.9269272529859, q_loss:100, rewards:-879.4577, queue:68.47094, delay:1.37418, throughput:15996
REAL_TEST step:36, travel time:276.9009086975335, q_loss:100, rewards:-909.67847, queue:64.276924, delay:1.3838831, throughput:16161
REAL_TEST step:38, travel time:465.0235720761559, q_loss:100, rewards:-1402.4055, queue:99.48361, delay:1.4192659, throughput:12966
REAL_TEST step:40, travel time:327.2427621820579, q_loss:100, rewards:-1040.8445, queue:77.28201, delay:1.4131179, throughput:15365
REAL_TEST step:42, travel time:413.39628395549784, q_loss:100, rewards:-1212.519, queue:91.581665, delay:1.3958746, throughput:14596
REAL_TEST step:44, travel time:222.45350456444376, q_loss:100, rewards:-712.2394, queue:57.56161, delay:1.362619, throughput:17692
REAL_TEST step:46, travel time:382.04963469790096, q_loss:100, rewards:-1108.0579, queue:80.624626, delay:1.3887906, throughput:14692
REAL_TEST step:48, travel time:170.24051517571885, q_loss:100, rewards:-549.8225, queue:39.797707, delay:1.3746419, throughput:18802
REAL_TEST step:50, travel time:259.98941742949364, q_loss:100, rewards:-837.9644, queue:57.943707, delay:1.3725197, throughput:16372
REAL_TEST step:52, travel time:169.217598333416, q_loss:100, rewards:-524.3242, queue:38.386837, delay:1.3607278, throughput:18938
REAL_TEST step:54, travel time:305.187043696197, q_loss:100, rewards:-1032.9136, queue:77.51838, delay:1.380203, throughput:16175
REAL_TEST step:56, travel time:189.2876525774236, q_loss:100, rewards:-617.8843, queue:44.02783, delay:1.361965, throughput:18287
REAL_TEST step:58, travel time:148.1501328609389, q_loss:100, rewards:-479.14474, queue:34.185883, delay:1.3468665, throughput:19020
REAL_TEST step:60, travel time:282.7363229666361, q_loss:100, rewards:-983.5378, queue:67.00248, delay:1.3879886, throughput:16653
REAL_TEST step:62, travel time:301.0824786786138, q_loss:100, rewards:-1062.2825, queue:72.96891, delay:1.3743737, throughput:16585
REAL_TEST step:64, travel time:269.712727663461, q_loss:100, rewards:-925.1322, queue:65.62844, delay:1.3831284, throughput:16671
REAL_TEST step:66, travel time:153.6169004346108, q_loss:100, rewards:-488.40338, queue:36.85165, delay:1.3516458, throughput:19267
REAL_TEST step:68, travel time:172.86057354858116, q_loss:100, rewards:-561.0829, queue:41.261936, delay:1.3648368, throughput:18540
REAL_TEST step:70, travel time:444.2616600320837, q_loss:100, rewards:-1352.3127, queue:96.39628, delay:1.4116802, throughput:13605
REAL_TEST step:72, travel time:162.17896215999198, q_loss:100, rewards:-520.8842, queue:39.302826, delay:1.3578831, throughput:18917
REAL_TEST step:74, travel time:214.9680781099813, q_loss:100, rewards:-671.79626, queue:49.966274, delay:1.3759562, throughput:17839
REAL_TEST step:76, travel time:196.12276740919125, q_loss:100, rewards:-603.874, queue:47.005318, delay:1.359185, throughput:18775
REAL_TEST step:78, travel time:318.48550056913655, q_loss:100, rewards:-904.69556, queue:75.56978, delay:1.3792362, throughput:15847
REAL_TEST step:80, travel time:253.2067552142783, q_loss:100, rewards:-833.4539, queue:60.128975, delay:1.3828833, throughput:17166
REAL_TEST step:82, travel time:276.1686985516307, q_loss:100, rewards:-822.9607, queue:70.055466, delay:1.3603162, throughput:16890
REAL_TEST step:84, travel time:211.84757877781135, q_loss:100, rewards:-666.1236, queue:52.183773, delay:1.3635399, throughput:18388
REAL_TEST step:86, travel time:238.04394189161343, q_loss:100, rewards:-701.2139, queue:56.357964, delay:1.373351, throughput:17680
REAL_TEST step:88, travel time:271.85797268302895, q_loss:100, rewards:-879.2724, queue:64.569695, delay:1.3869455, throughput:16986
REAL_TEST step:90, travel time:373.4923780487805, q_loss:100, rewards:-1106.18, queue:81.643074, delay:1.4116242, throughput:14828
REAL_TEST step:92, travel time:415.8092922427935, q_loss:100, rewards:-1274.7769, queue:95.377365, delay:1.394949, throughput:14433
REAL_TEST step:94, travel time:245.5159993735971, q_loss:100, rewards:-779.95807, queue:61.27273, delay:1.3756936, throughput:17105
REAL_TEST step:96, travel time:379.51425779004256, q_loss:100, rewards:-1198.416, queue:87.55815, delay:1.3960004, throughput:14701
REAL_TEST step:98, travel time:229.40964866282118, q_loss:100, rewards:-736.2562, queue:53.678726, delay:1.3598707, throughput:17638
REAL_TEST step:100, travel time:426.8085370173574, q_loss:100, rewards:-1329.7817, queue:98.77794, delay:1.3936206, throughput:14338
REAL_TEST step:102, travel time:246.35151201860947, q_loss:100, rewards:-779.33777, queue:55.655796, delay:1.3744487, throughput:17579
REAL_TEST step:104, travel time:366.31356597845604, q_loss:100, rewards:-1238.1917, queue:89.8629, delay:1.4022267, throughput:15612
REAL_TEST step:106, travel time:358.5236950933274, q_loss:100, rewards:-1092.4248, queue:79.54533, delay:1.3940696, throughput:15198
REAL_TEST step:108, travel time:243.51711207351855, q_loss:100, rewards:-772.23645, queue:54.065712, delay:1.3754077, throughput:17192
REAL_TEST step:110, travel time:296.70486782720826, q_loss:100, rewards:-996.6741, queue:67.345695, delay:1.4029425, throughput:15958
REAL_TEST step:112, travel time:362.9642363606213, q_loss:100, rewards:-1025.4067, queue:82.393715, delay:1.390436, throughput:14505
REAL_TEST step:114, travel time:412.4509407469812, q_loss:100, rewards:-1258.3055, queue:98.53146, delay:1.3899407, throughput:14417
REAL_TEST step:116, travel time:252.92157486999895, q_loss:100, rewards:-764.6992, queue:58.235123, delay:1.370152, throughput:17029
REAL_TEST step:118, travel time:477.1200325354404, q_loss:100, rewards:-1430.7468, queue:113.47996, delay:1.4214025, throughput:13511
REAL_TEST step:120, travel time:266.0315079945658, q_loss:100, rewards:-786.3573, queue:64.948906, delay:1.3612648, throughput:16767
REAL_TEST step:122, travel time:372.33950684931506, q_loss:100, rewards:-1040.886, queue:92.24993, delay:1.3743111, throughput:15342
REAL_TEST step:124, travel time:257.2522494729806, q_loss:100, rewards:-746.74585, queue:62.835514, delay:1.3715464, throughput:17220
REAL_TEST step:126, travel time:356.4518121241671, q_loss:100, rewards:-1091.4417, queue:88.28735, delay:1.3623232, throughput:15219
REAL_TEST step:128, travel time:240.2105398325543, q_loss:100, rewards:-707.5522, queue:58.971714, delay:1.3635631, throughput:17311
REAL_TEST step:130, travel time:390.74162331487383, q_loss:100, rewards:-1183.8805, queue:93.974525, delay:1.3926629, throughput:14554
REAL_TEST step:132, travel time:370.094869913652, q_loss:100, rewards:-1061.1041, queue:83.39255, delay:1.3810607, throughput:14797
REAL_TEST step:134, travel time:451.31796438245635, q_loss:100, rewards:-1307.4292, queue:104.33797, delay:1.4161264, throughput:13029
REAL_TEST step:136, travel time:239.437168791647, q_loss:100, rewards:-747.24567, queue:53.015152, delay:1.3693007, throughput:17115
REAL_TEST step:138, travel time:289.9343077417282, q_loss:100, rewards:-948.8104, queue:69.470505, delay:1.3868308, throughput:15867
REAL_TEST step:140, travel time:181.7099479614005, q_loss:100, rewards:-565.6271, queue:42.37742, delay:1.3516362, throughput:18294
REAL_TEST step:142, travel time:207.4223688959934, q_loss:100, rewards:-623.9362, queue:48.116016, delay:1.3565238, throughput:17786
REAL_TEST step:144, travel time:243.2263799875956, q_loss:100, rewards:-742.39026, queue:57.788853, delay:1.3692797, throughput:17426
REAL_TEST step:146, travel time:262.98556477805846, q_loss:100, rewards:-778.7693, queue:64.98761, delay:1.3674109, throughput:17109
REAL_TEST step:148, travel time:270.04828603022486, q_loss:100, rewards:-746.1264, queue:64.315926, delay:1.3674217, throughput:16661
REAL_TEST step:150, travel time:304.14294114502593, q_loss:100, rewards:-883.6556, queue:71.38976, delay:1.3853315, throughput:16039
REAL_TEST step:152, travel time:197.026463878327, q_loss:100, rewards:-623.237, queue:45.464943, delay:1.3526645, throughput:17740
REAL_TEST step:154, travel time:174.77589021528416, q_loss:100, rewards:-546.42804, queue:41.09938, delay:1.3553827, throughput:18330
REAL_TEST step:156, travel time:408.2457961266381, q_loss:100, rewards:-1203.1925, queue:89.6199, delay:1.410699, throughput:14000
REAL_TEST step:158, travel time:275.2054533925174, q_loss:100, rewards:-818.53625, queue:65.36885, delay:1.4060776, throughput:16870
REAL_TEST step:160, travel time:433.98111425873464, q_loss:100, rewards:-1224.5461, queue:97.59822, delay:1.4072963, throughput:13640
REAL_TEST step:162, travel time:333.4630520799914, q_loss:100, rewards:-972.4764, queue:81.942276, delay:1.3893305, throughput:15804
REAL_TEST step:164, travel time:241.74075032341526, q_loss:100, rewards:-727.2092, queue:58.79668, delay:1.3761494, throughput:17217
REAL_TEST step:166, travel time:217.53541220829513, q_loss:100, rewards:-656.79565, queue:49.6348, delay:1.3812753, throughput:17813
REAL_TEST step:168, travel time:308.5396600566572, q_loss:100, rewards:-934.1639, queue:73.419815, delay:1.3754387, throughput:15989
