Loading cached latent encoders from pretrained/atc/dqn/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_16/baseline_v1_atc_s0/model/tempe_16_noise5_dqn_latent_observation -> eval real_setting=sensor50
REAL_TEST step:2, travel time:1693.1113315696648, q_loss:100, rewards:-1778.6859, queue:136.46077, delay:0.33997586, throughput:3345
REAL_TEST step:4, travel time:578.0701862208838, q_loss:100, rewards:-798.6554, queue:67.61719, delay:0.31878307, throughput:12478
REAL_TEST step:6, travel time:909.6162166368376, q_loss:100, rewards:-1056.965, queue:82.22101, delay:0.28412017, throughput:8012
REAL_TEST step:8, travel time:579.428798305982, q_loss:100, rewards:-660.737, queue:55.355904, delay:0.23938742, throughput:12855
REAL_TEST step:10, travel time:481.1490621915104, q_loss:100, rewards:-660.58075, queue:52.969273, delay:0.25547972, throughput:13607
REAL_TEST step:12, travel time:438.86711453383583, q_loss:100, rewards:-529.6945, queue:43.74896, delay:0.22897786, throughput:14800
REAL_TEST step:14, travel time:358.66602860637, q_loss:100, rewards:-611.68805, queue:48.48854, delay:0.24824674, throughput:16035
REAL_TEST step:16, travel time:437.2048717079236, q_loss:100, rewards:-495.26642, queue:43.01962, delay:0.22310588, throughput:14473
REAL_TEST step:18, travel time:769.3594510546242, q_loss:100, rewards:-675.20874, queue:56.355034, delay:0.18236221, throughput:10320
REAL_TEST step:20, travel time:371.83947963800904, q_loss:100, rewards:-207.39244, queue:17.492708, delay:0.14898926, throughput:15077
REAL_TEST step:22, travel time:379.3523798957062, q_loss:100, rewards:-404.6171, queue:35.064236, delay:0.18054686, throughput:14997
REAL_TEST step:24, travel time:614.5605616605617, q_loss:100, rewards:-753.6176, queue:63.65972, delay:0.21737535, throughput:11842
REAL_TEST step:26, travel time:377.4458380202475, q_loss:100, rewards:-541.8475, queue:40.566666, delay:0.22310795, throughput:14943
REAL_TEST step:28, travel time:351.04697950666167, q_loss:100, rewards:-373.97202, queue:34.358852, delay:0.19952092, throughput:16106
REAL_TEST step:30, travel time:353.9536145812001, q_loss:100, rewards:-338.54376, queue:31.128645, delay:0.18138784, throughput:16744
REAL_TEST step:32, travel time:635.3449389574317, q_loss:100, rewards:-676.45416, queue:58.777084, delay:0.21734966, throughput:11633
REAL_TEST step:34, travel time:486.78387171740644, q_loss:100, rewards:-664.48267, queue:54.790104, delay:0.23015267, throughput:13607
REAL_TEST step:36, travel time:736.0264254975793, q_loss:100, rewards:-632.33307, queue:53.58993, delay:0.17505284, throughput:10558
REAL_TEST step:38, travel time:475.645934484666, q_loss:100, rewards:-636.72406, queue:46.57934, delay:0.23456106, throughput:12686
REAL_TEST step:40, travel time:473.400744197035, q_loss:100, rewards:-559.75995, queue:44.824825, delay:0.20924418, throughput:13229
REAL_TEST step:42, travel time:484.49912393411984, q_loss:100, rewards:-558.66516, queue:49.101387, delay:0.21786897, throughput:13348
REAL_TEST step:44, travel time:283.6122752898628, q_loss:100, rewards:-374.78348, queue:34.93177, delay:0.21953592, throughput:16562
REAL_TEST step:46, travel time:505.4561981593001, q_loss:100, rewards:-644.01044, queue:49.88559, delay:0.22231573, throughput:13558
REAL_TEST step:48, travel time:290.5657483096175, q_loss:100, rewards:-346.77676, queue:34.13073, delay:0.17110698, throughput:17845
REAL_TEST step:50, travel time:611.2438459129345, q_loss:100, rewards:-616.99634, queue:49.850346, delay:0.17598107, throughput:12171
REAL_TEST step:52, travel time:373.47946059266815, q_loss:100, rewards:-496.00815, queue:40.452602, delay:0.21423154, throughput:15025
REAL_TEST step:54, travel time:484.62826074708437, q_loss:100, rewards:-568.0298, queue:41.99618, delay:0.21568063, throughput:14059
REAL_TEST step:56, travel time:400.28729313080936, q_loss:100, rewards:-352.6936, queue:30.848959, delay:0.16303714, throughput:14985
REAL_TEST step:58, travel time:414.36331240454774, q_loss:100, rewards:-336.37634, queue:28.282812, delay:0.15797001, throughput:14616
REAL_TEST step:60, travel time:212.6399861228131, q_loss:100, rewards:-187.6397, queue:17.220486, delay:0.16735643, throughput:18267
REAL_TEST step:62, travel time:738.473534846885, q_loss:100, rewards:-644.60626, queue:52.289238, delay:0.16801982, throughput:9957
REAL_TEST step:64, travel time:553.5160843373494, q_loss:100, rewards:-583.7628, queue:49.333508, delay:0.2068879, throughput:12798
REAL_TEST step:66, travel time:436.3273048836148, q_loss:100, rewards:-535.6038, queue:49.515102, delay:0.16949272, throughput:13995
REAL_TEST step:68, travel time:492.9224001407707, q_loss:100, rewards:-553.05566, queue:47.776043, delay:0.21815228, throughput:13398
REAL_TEST step:70, travel time:297.567993588031, q_loss:100, rewards:-250.70903, queue:25.157118, delay:0.16143763, throughput:16397
REAL_TEST step:72, travel time:437.49670670282836, q_loss:100, rewards:-500.47223, queue:47.24531, delay:0.1607869, throughput:14164
REAL_TEST step:74, travel time:505.32388464382547, q_loss:100, rewards:-663.4577, queue:57.44896, delay:0.20603181, throughput:12793
REAL_TEST step:76, travel time:566.0726215049727, q_loss:100, rewards:-608.1332, queue:47.625694, delay:0.2238512, throughput:12270
REAL_TEST step:78, travel time:369.8143911044585, q_loss:100, rewards:-384.55673, queue:33.419617, delay:0.18922077, throughput:15469
REAL_TEST step:80, travel time:506.6760499173742, q_loss:100, rewards:-618.97253, queue:53.165627, delay:0.20858113, throughput:12982
REAL_TEST step:82, travel time:543.4979273347964, q_loss:100, rewards:-643.9902, queue:54.54566, delay:0.19109438, throughput:12854
REAL_TEST step:84, travel time:286.86984998943586, q_loss:100, rewards:-278.70367, queue:25.72691, delay:0.1695998, throughput:16431
REAL_TEST step:86, travel time:890.0463892202962, q_loss:100, rewards:-1054.8336, queue:90.25, delay:0.22703844, throughput:8836
REAL_TEST step:88, travel time:372.6898770599006, q_loss:100, rewards:-471.53802, queue:43.928993, delay:0.20876414, throughput:15552
REAL_TEST step:90, travel time:750.5868045848476, q_loss:100, rewards:-578.4286, queue:49.976387, delay:0.21365234, throughput:10021
REAL_TEST step:92, travel time:567.989396063136, q_loss:100, rewards:-652.02075, queue:48.07795, delay:0.21161972, throughput:12787
REAL_TEST step:94, travel time:373.4650327487851, q_loss:100, rewards:-421.19504, queue:40.569443, delay:0.1857331, throughput:15641
REAL_TEST step:96, travel time:520.8915719978588, q_loss:100, rewards:-738.54913, queue:65.92917, delay:0.20471273, throughput:13255
REAL_TEST step:98, travel time:551.501326579836, q_loss:100, rewards:-551.62054, queue:49.37934, delay:0.18652166, throughput:12754
REAL_TEST step:100, travel time:612.8928058900606, q_loss:100, rewards:-769.8976, queue:61.200172, delay:0.23216633, throughput:11453
REAL_TEST step:102, travel time:575.1273485131268, q_loss:100, rewards:-719.5315, queue:65.70087, delay:0.21902823, throughput:12642
REAL_TEST step:104, travel time:616.8635532866956, q_loss:100, rewards:-682.52106, queue:57.912846, delay:0.18973261, throughput:11883
REAL_TEST step:106, travel time:486.11685936762626, q_loss:100, rewards:-598.2935, queue:57.393578, delay:0.17346981, throughput:13890
REAL_TEST step:108, travel time:589.4343007592456, q_loss:100, rewards:-910.6246, queue:84.23489, delay:0.22136943, throughput:12238
REAL_TEST step:110, travel time:370.6545737934, q_loss:100, rewards:-462.1186, queue:44.97101, delay:0.16723606, throughput:15766
REAL_TEST step:112, travel time:756.3530522341096, q_loss:100, rewards:-647.208, queue:49.52795, delay:0.19689514, throughput:9855
REAL_TEST step:114, travel time:388.7163618279273, q_loss:100, rewards:-460.77847, queue:46.20469, delay:0.19531386, throughput:15111
REAL_TEST step:116, travel time:598.6943002052892, q_loss:100, rewards:-642.7877, queue:54.10868, delay:0.19141176, throughput:12604
REAL_TEST step:118, travel time:514.1639041293676, q_loss:100, rewards:-755.3662, queue:72.55885, delay:0.22969964, throughput:13426
