Loading cached latent encoders from pretrained/darla/dqn/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_16/baseline_v1_darla_s0/model/tempe_16_noise5_dqn_latent_observation -> eval real_setting=noise10
REAL_TEST step:2, travel time:796.6661632560598, q_loss:100, rewards:-2267.84, queue:164.4732, delay:4.2511415, throughput:9401
REAL_TEST step:4, travel time:477.4577027888908, q_loss:100, rewards:-1871.2554, queue:148.92842, delay:4.257094, throughput:13840
REAL_TEST step:6, travel time:378.54949650580534, q_loss:100, rewards:-1618.961, queue:123.13078, delay:4.2511067, throughput:15254
REAL_TEST step:8, travel time:297.8221517967449, q_loss:100, rewards:-1450.1829, queue:105.82181, delay:4.2393394, throughput:16552
REAL_TEST step:10, travel time:237.95409767344373, q_loss:100, rewards:-1291.3553, queue:96.77627, delay:4.2307596, throughput:17121
REAL_TEST step:12, travel time:277.4013406854795, q_loss:100, rewards:-1335.1813, queue:100.60809, delay:4.224839, throughput:16530
REAL_TEST step:14, travel time:224.12985918286395, q_loss:100, rewards:-1203.5636, queue:89.79333, delay:4.162564, throughput:18371
REAL_TEST step:16, travel time:227.92101296352126, q_loss:100, rewards:-1231.2434, queue:92.46953, delay:4.186597, throughput:18164
REAL_TEST step:18, travel time:642.4147791058575, q_loss:100, rewards:-2187.343, queue:160.59724, delay:4.2050834, throughput:11381
REAL_TEST step:20, travel time:283.6685599023303, q_loss:100, rewards:-1354.425, queue:97.89627, delay:4.1939073, throughput:16609
REAL_TEST step:22, travel time:397.27251060861477, q_loss:100, rewards:-1578.6239, queue:113.259415, delay:4.1886964, throughput:14167
REAL_TEST step:24, travel time:422.471181892428, q_loss:100, rewards:-1659.738, queue:119.69008, delay:4.221645, throughput:14044
REAL_TEST step:26, travel time:465.7639901173564, q_loss:100, rewards:-1726.4163, queue:124.414505, delay:4.151767, throughput:13120
REAL_TEST step:28, travel time:473.64958851556213, q_loss:100, rewards:-1716.1188, queue:123.722244, delay:4.200476, throughput:13268
REAL_TEST step:30, travel time:432.3784002994759, q_loss:100, rewards:-1671.3191, queue:117.61768, delay:4.2429695, throughput:13255
REAL_TEST step:32, travel time:526.1316024496045, q_loss:100, rewards:-1834.9486, queue:130.48036, delay:4.231543, throughput:12094
REAL_TEST step:34, travel time:591.4353519909592, q_loss:100, rewards:-1966.4275, queue:141.85002, delay:4.211649, throughput:11176
REAL_TEST step:36, travel time:637.0576242978989, q_loss:100, rewards:-1959.0513, queue:140.64502, delay:4.1804595, throughput:10644
REAL_TEST step:38, travel time:664.1517672996231, q_loss:100, rewards:-2049.269, queue:147.39313, delay:4.2467623, throughput:10173
REAL_TEST step:40, travel time:623.1020224407813, q_loss:100, rewards:-1946.827, queue:140.1019, delay:4.2321806, throughput:10708
REAL_TEST step:42, travel time:688.4440271558573, q_loss:100, rewards:-2020.9944, queue:145.65416, delay:4.189036, throughput:9898
REAL_TEST step:44, travel time:688.6679421768707, q_loss:100, rewards:-2060.439, queue:147.02087, delay:4.211306, throughput:10132
