Loading cached latent encoders from pretrained/darla/dqn/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_16/baseline_v1_darla_s0/model/tempe_16_noise5_dqn_latent_observation -> eval real_setting=dz20
REAL_TEST step:2, travel time:1283.3454647781634, q_loss:100, rewards:-2343.3662, queue:183.52257, delay:0.5869523, throughput:5557
REAL_TEST step:4, travel time:712.2641217436162, q_loss:100, rewards:-1592.1243, queue:134.7283, delay:0.54088575, throughput:11023
REAL_TEST step:6, travel time:604.8754246186153, q_loss:100, rewards:-1454.127, queue:114.56371, delay:0.52919155, throughput:12307
REAL_TEST step:8, travel time:613.9251709059555, q_loss:100, rewards:-1484.4364, queue:113.19531, delay:0.5155565, throughput:12518
REAL_TEST step:10, travel time:767.9840115326649, q_loss:100, rewards:-1756.8989, queue:141.19044, delay:0.52340865, throughput:10320
REAL_TEST step:12, travel time:603.793246786468, q_loss:100, rewards:-1543.4587, queue:122.12187, delay:0.5044781, throughput:11884
REAL_TEST step:14, travel time:825.1532713019269, q_loss:100, rewards:-1743.5077, queue:137.70435, delay:0.5245779, throughput:9291
REAL_TEST step:16, travel time:816.5204852824185, q_loss:100, rewards:-1934.0386, queue:157.94357, delay:0.50257766, throughput:10030
REAL_TEST step:18, travel time:1097.3978840125392, q_loss:100, rewards:-2158.3662, queue:179.30226, delay:0.46893665, throughput:6945
REAL_TEST step:20, travel time:548.1234064252932, q_loss:100, rewards:-1306.3795, queue:118.37292, delay:0.38274541, throughput:13136
REAL_TEST step:22, travel time:981.4162672476398, q_loss:100, rewards:-1993.0826, queue:169.10815, delay:0.43734673, throughput:7989
REAL_TEST step:24, travel time:876.2867589074485, q_loss:100, rewards:-2137.8716, queue:174.19809, delay:0.43417633, throughput:8854
REAL_TEST step:26, travel time:978.6239651416122, q_loss:100, rewards:-2219.8413, queue:186.85677, delay:0.45829666, throughput:8195
REAL_TEST step:28, travel time:838.5956011334503, q_loss:100, rewards:-2065.9817, queue:170.30763, delay:0.4549247, throughput:9402
REAL_TEST step:30, travel time:737.9548675391, q_loss:100, rewards:-1717.6646, queue:149.32674, delay:0.4203657, throughput:10798
REAL_TEST step:32, travel time:670.9668433378529, q_loss:100, rewards:-1689.0386, queue:149.90277, delay:0.4013732, throughput:11637
REAL_TEST step:34, travel time:653.5085220204031, q_loss:100, rewards:-1481.761, queue:134.92326, delay:0.38846174, throughput:11529
REAL_TEST step:36, travel time:616.5430349733255, q_loss:100, rewards:-1536.5764, queue:135.4047, delay:0.4009601, throughput:12379
