Loading cached latent encoders from pretrained/darla/dqn/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_16/baseline_v1_darla_s0/model/tempe_16_noise5_dqn_latent_observation -> eval real_setting=sensor50
REAL_TEST step:2, travel time:909.3388041237114, q_loss:100, rewards:-1041.248, queue:78.06615, delay:0.35566148, throughput:8162
REAL_TEST step:4, travel time:587.3495533615421, q_loss:100, rewards:-892.38934, queue:80.3868, delay:0.30921867, throughput:12742
REAL_TEST step:6, travel time:390.8682504222743, q_loss:100, rewards:-500.45547, queue:41.033333, delay:0.25707513, throughput:15472
REAL_TEST step:8, travel time:550.0663974343746, q_loss:100, rewards:-620.4296, queue:53.2283, delay:0.2438108, throughput:13014
REAL_TEST step:10, travel time:334.29615789473684, q_loss:100, rewards:-435.90607, queue:36.071354, delay:0.24684049, throughput:16406
REAL_TEST step:12, travel time:505.76850777442564, q_loss:100, rewards:-718.5857, queue:55.29705, delay:0.24300672, throughput:13751
REAL_TEST step:14, travel time:398.7074932446477, q_loss:100, rewards:-504.55676, queue:42.85104, delay:0.23276861, throughput:16203
REAL_TEST step:16, travel time:318.76030447390224, q_loss:100, rewards:-456.4711, queue:38.661285, delay:0.20117368, throughput:16624
REAL_TEST step:18, travel time:667.972388797364, q_loss:100, rewards:-460.57523, queue:41.801216, delay:0.1650247, throughput:11190
REAL_TEST step:20, travel time:555.0193357333643, q_loss:100, rewards:-391.18326, queue:37.528473, delay:0.160442, throughput:13353
REAL_TEST step:22, travel time:496.4066083461402, q_loss:100, rewards:-464.60544, queue:37.65156, delay:0.1807407, throughput:13727
REAL_TEST step:24, travel time:468.104162857317, q_loss:100, rewards:-603.2035, queue:47.85677, delay:0.22054355, throughput:13452
REAL_TEST step:26, travel time:731.743506078055, q_loss:100, rewards:-679.9705, queue:60.358505, delay:0.21057552, throughput:10948
REAL_TEST step:28, travel time:301.2608001596328, q_loss:100, rewards:-270.50412, queue:26.182465, delay:0.18880989, throughput:17312
REAL_TEST step:30, travel time:243.867177459219, q_loss:100, rewards:-194.43294, queue:17.954687, delay:0.15995437, throughput:18954
REAL_TEST step:32, travel time:515.0281037491725, q_loss:100, rewards:-458.6016, queue:40.15521, delay:0.18798701, throughput:13148
REAL_TEST step:34, travel time:530.5681297591779, q_loss:100, rewards:-456.27475, queue:39.751217, delay:0.20856176, throughput:12644
REAL_TEST step:36, travel time:568.4455592716462, q_loss:100, rewards:-478.49155, queue:39.10087, delay:0.18857007, throughput:12198
