replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_16/baseline_v1_domain_randomization_s0/model/tempe_16_noise5_dqn_domain_randomization -> eval real_setting=noise3
REAL_TEST step:3, travel time:274.4003114456268, q_loss:100, rewards:-906.3388, queue:69.635826, delay:1.3931335, throughput:17396
REAL_TEST step:6, travel time:302.28709746442706, q_loss:100, rewards:-979.9981, queue:72.05032, delay:1.4375165, throughput:16677
REAL_TEST step:9, travel time:537.7911308736931, q_loss:100, rewards:-1474.4479, queue:114.07643, delay:1.4652147, throughput:12611
REAL_TEST step:12, travel time:378.7908116052474, q_loss:100, rewards:-1168.8435, queue:92.42746, delay:1.440983, throughput:14732
REAL_TEST step:15, travel time:400.10633721250895, q_loss:100, rewards:-1224.0083, queue:92.19624, delay:1.4570777, throughput:14502
REAL_TEST step:18, travel time:419.89509907309764, q_loss:100, rewards:-1202.7479, queue:98.56173, delay:1.4354614, throughput:14586
REAL_TEST step:21, travel time:183.17230178650524, q_loss:100, rewards:-602.5503, queue:51.069965, delay:1.395573, throughput:19052
REAL_TEST step:24, travel time:172.05280958593033, q_loss:100, rewards:-570.26434, queue:42.812393, delay:1.4131825, throughput:19649
REAL_TEST step:27, travel time:422.5175097276265, q_loss:100, rewards:-1092.276, queue:85.92072, delay:1.4205518, throughput:13352
REAL_TEST step:30, travel time:588.8251675450582, q_loss:100, rewards:-1494.5979, queue:114.40311, delay:1.4510081, throughput:11645
REAL_TEST step:33, travel time:467.32263532602553, q_loss:100, rewards:-1231.5062, queue:101.6421, delay:1.4085542, throughput:13634
REAL_TEST step:36, travel time:585.1310928852437, q_loss:100, rewards:-1508.8306, queue:116.14774, delay:1.449618, throughput:11455
REAL_TEST step:39, travel time:614.7263488165883, q_loss:100, rewards:-1485.4257, queue:116.37847, delay:1.4340417, throughput:11157
REAL_TEST step:42, travel time:515.2557693460409, q_loss:100, rewards:-1374.2657, queue:107.593834, delay:1.4425215, throughput:13361
REAL_TEST step:45, travel time:243.3491826846281, q_loss:100, rewards:-777.40466, queue:59.788086, delay:1.428293, throughput:16796
REAL_TEST step:48, travel time:143.10105645585352, q_loss:100, rewards:-440.20007, queue:33.52055, delay:1.3791263, throughput:19976
REAL_TEST step:51, travel time:212.61633793903596, q_loss:100, rewards:-658.7623, queue:47.415955, delay:1.4047158, throughput:17586
REAL_TEST step:54, travel time:161.60422035299266, q_loss:100, rewards:-503.68738, queue:39.794655, delay:1.3749659, throughput:19454
REAL_TEST step:57, travel time:322.684712161647, q_loss:100, rewards:-1054.2573, queue:77.51098, delay:1.4302677, throughput:15992
REAL_TEST step:60, travel time:192.87863256369425, q_loss:100, rewards:-665.4314, queue:49.887314, delay:1.3977801, throughput:18675
REAL_TEST step:63, travel time:281.72561811304206, q_loss:100, rewards:-837.84656, queue:59.38497, delay:1.3981588, throughput:16206
REAL_TEST step:66, travel time:561.957659588285, q_loss:100, rewards:-1600.6785, queue:118.57385, delay:1.4524294, throughput:12311
REAL_TEST step:69, travel time:159.3142928786359, q_loss:100, rewards:-490.82867, queue:34.835884, delay:1.3689996, throughput:19029
REAL_TEST step:72, travel time:560.9378665807284, q_loss:100, rewards:-1539.4786, queue:116.69097, delay:1.4469854, throughput:11821
REAL_TEST step:75, travel time:376.3735513853756, q_loss:100, rewards:-1079.0634, queue:80.57034, delay:1.4133233, throughput:14791
REAL_TEST step:78, travel time:325.62006096508884, q_loss:100, rewards:-1005.92737, queue:71.08697, delay:1.4170892, throughput:15502
REAL_TEST step:81, travel time:304.17922948073704, q_loss:100, rewards:-866.68756, queue:68.122665, delay:1.399761, throughput:15828
REAL_TEST step:84, travel time:177.41530678041764, q_loss:100, rewards:-551.9275, queue:45.926075, delay:1.3715839, throughput:18562
REAL_TEST step:87, travel time:355.8373665679316, q_loss:100, rewards:-1075.9648, queue:77.013596, delay:1.3969651, throughput:15402
REAL_TEST step:90, travel time:415.13415731685365, q_loss:100, rewards:-1285.3856, queue:93.15312, delay:1.4321413, throughput:13909
REAL_TEST step:93, travel time:476.75485074626863, q_loss:100, rewards:-1438.1965, queue:106.617546, delay:1.4306545, throughput:12732
REAL_TEST step:96, travel time:262.55394764843584, q_loss:100, rewards:-742.611, queue:61.033573, delay:1.40166, throughput:16139
REAL_TEST step:99, travel time:449.74661270455744, q_loss:100, rewards:-1232.8906, queue:102.7944, delay:1.4251785, throughput:13350
REAL_TEST step:102, travel time:315.1322387893003, q_loss:100, rewards:-937.9303, queue:70.79138, delay:1.4293029, throughput:15878
REAL_TEST step:105, travel time:406.4751908396947, q_loss:100, rewards:-1105.2158, queue:83.81839, delay:1.4012362, throughput:14071
REAL_TEST step:108, travel time:295.21076849843973, q_loss:100, rewards:-905.79645, queue:70.102745, delay:1.4173199, throughput:16202
REAL_TEST step:111, travel time:285.3679825755513, q_loss:100, rewards:-965.71735, queue:68.68415, delay:1.429003, throughput:16408
REAL_TEST step:114, travel time:471.5374414502099, q_loss:100, rewards:-1391.0786, queue:105.10332, delay:1.4607419, throughput:13327
