replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_16/baseline_v1_domain_randomization_s0/model/tempe_16_noise5_dqn_domain_randomization -> eval real_setting=dz10
REAL_TEST step:3, travel time:587.786904613854, q_loss:100, rewards:-1496.2051, queue:113.69444, delay:0.46917555, throughput:12279
REAL_TEST step:6, travel time:974.9659853208113, q_loss:100, rewards:-2164.9563, queue:166.65018, delay:0.55673647, throughput:7621
REAL_TEST step:9, travel time:515.0123410852714, q_loss:100, rewards:-1452.9, queue:110.18871, delay:0.52091885, throughput:12934
REAL_TEST step:12, travel time:418.00197060976296, q_loss:100, rewards:-1182.2489, queue:94.802605, delay:0.5150139, throughput:14718
REAL_TEST step:15, travel time:918.985883424408, q_loss:100, rewards:-1983.269, queue:155.36528, delay:0.55439776, throughput:8363
REAL_TEST step:18, travel time:751.7824614497766, q_loss:100, rewards:-1694.782, queue:131.47188, delay:0.5465678, throughput:9622
REAL_TEST step:21, travel time:779.390491641391, q_loss:100, rewards:-1792.4368, queue:141.78923, delay:0.57677937, throughput:9944
REAL_TEST step:24, travel time:684.6743466526233, q_loss:100, rewards:-1689.3965, queue:132.79897, delay:0.536995, throughput:10902
REAL_TEST step:27, travel time:615.7605308332232, q_loss:100, rewards:-1625.4847, queue:127.21215, delay:0.5279836, throughput:11490
REAL_TEST step:30, travel time:743.2591700892225, q_loss:100, rewards:-1855.4948, queue:139.24583, delay:0.5343991, throughput:10175
REAL_TEST step:33, travel time:410.82066817667044, q_loss:100, rewards:-1105.0815, queue:89.67639, delay:0.49931014, throughput:14625
REAL_TEST step:36, travel time:535.6907919908175, q_loss:100, rewards:-1259.3073, queue:97.588196, delay:0.50664926, throughput:12341
REAL_TEST step:39, travel time:395.6729244402985, q_loss:100, rewards:-1024.8298, queue:83.311806, delay:0.49252126, throughput:14334
REAL_TEST step:42, travel time:968.1295128488097, q_loss:100, rewards:-2033.065, queue:156.15399, delay:0.58316314, throughput:7975
REAL_TEST step:45, travel time:714.0180422781742, q_loss:100, rewards:-1682.4563, queue:137.69202, delay:0.50956005, throughput:10459
REAL_TEST step:48, travel time:851.8506368746887, q_loss:100, rewards:-1941.0082, queue:151.41545, delay:0.56489766, throughput:9336
REAL_TEST step:51, travel time:776.4796397214653, q_loss:100, rewards:-1872.2592, queue:142.06128, delay:0.5764779, throughput:9399
REAL_TEST step:54, travel time:615.152543401724, q_loss:100, rewards:-1541.2319, queue:122.81632, delay:0.5445882, throughput:12150
REAL_TEST step:57, travel time:956.2275187189562, q_loss:100, rewards:-2062.2798, queue:164.81146, delay:0.5823882, throughput:8198
REAL_TEST step:60, travel time:359.19859015310055, q_loss:100, rewards:-992.75903, queue:81.42882, delay:0.48106062, throughput:15465
REAL_TEST step:63, travel time:892.2467073078949, q_loss:100, rewards:-2074.4895, queue:157.41823, delay:0.57845247, throughput:8659
REAL_TEST step:66, travel time:925.6450962830273, q_loss:100, rewards:-2178.2756, queue:165.89583, delay:0.5848624, throughput:8518
REAL_TEST step:69, travel time:672.072267687434, q_loss:100, rewards:-1629.5934, queue:121.69636, delay:0.51363766, throughput:11131
REAL_TEST step:72, travel time:606.5830999937776, q_loss:100, rewards:-1559.2903, queue:123.47986, delay:0.5021111, throughput:12230
REAL_TEST step:75, travel time:875.9768041237113, q_loss:100, rewards:-1891.6741, queue:160.25607, delay:0.5644975, throughput:8972
REAL_TEST step:78, travel time:574.8955270566156, q_loss:100, rewards:-1334.1876, queue:104.36736, delay:0.5201347, throughput:12129
REAL_TEST step:81, travel time:858.406876566416, q_loss:100, rewards:-1893.4034, queue:142.39566, delay:0.52407134, throughput:8515
REAL_TEST step:84, travel time:572.7403993855606, q_loss:100, rewards:-1482.4286, queue:110.130554, delay:0.5275631, throughput:12474
REAL_TEST step:87, travel time:744.5195246179966, q_loss:100, rewards:-1639.6573, queue:138.07222, delay:0.46169853, throughput:10084
REAL_TEST step:90, travel time:711.0240844372033, q_loss:100, rewards:-1656.0662, queue:122.69063, delay:0.5665906, throughput:10086
REAL_TEST step:93, travel time:515.4534567229178, q_loss:100, rewards:-1431.8689, queue:113.365974, delay:0.5007102, throughput:13117
REAL_TEST step:96, travel time:541.1412967549375, q_loss:100, rewards:-1488.5642, queue:114.51267, delay:0.54177976, throughput:12458
REAL_TEST step:99, travel time:955.4690782660157, q_loss:100, rewards:-2152.943, queue:168.39653, delay:0.5807062, throughput:8380
REAL_TEST step:102, travel time:759.6069910897875, q_loss:100, rewards:-1750.3071, queue:135.80486, delay:0.56548584, throughput:9975
REAL_TEST step:105, travel time:486.62429829226494, q_loss:100, rewards:-1308.4468, queue:108.82622, delay:0.50103724, throughput:13623
REAL_TEST step:108, travel time:832.3217238962859, q_loss:100, rewards:-1853.6423, queue:142.01962, delay:0.5845337, throughput:9230
REAL_TEST step:111, travel time:594.4157483341876, q_loss:100, rewards:-1477.8533, queue:117.65677, delay:0.5328181, throughput:11972
REAL_TEST step:114, travel time:849.6423941525306, q_loss:100, rewards:-1929.8661, queue:153.26007, delay:0.5662024, throughput:9411
REAL_TEST step:117, travel time:693.3839273137062, q_loss:100, rewards:-1664.3356, queue:128.83368, delay:0.53300756, throughput:10351
REAL_TEST step:120, travel time:414.23502060035315, q_loss:100, rewards:-1103.983, queue:82.59462, delay:0.5029487, throughput:14139
REAL_TEST step:123, travel time:571.7003626473255, q_loss:100, rewards:-1492.8225, queue:117.94288, delay:0.51723236, throughput:12196
REAL_TEST step:126, travel time:1056.0160904365046, q_loss:100, rewards:-2087.6682, queue:162.22362, delay:0.5633959, throughput:7112
REAL_TEST step:129, travel time:565.4972515595084, q_loss:100, rewards:-1435.9244, queue:118.24045, delay:0.51369476, throughput:12551
REAL_TEST step:132, travel time:835.8113557027855, q_loss:100, rewards:-1811.4106, queue:140.33698, delay:0.53304106, throughput:9428
REAL_TEST step:135, travel time:854.303958529689, q_loss:100, rewards:-1908.4408, queue:145.64444, delay:0.5606378, throughput:8611
REAL_TEST step:138, travel time:699.1443144528463, q_loss:100, rewards:-1658.7705, queue:131.40816, delay:0.5113873, throughput:10747
REAL_TEST step:141, travel time:705.2715151515151, q_loss:100, rewards:-1589.0056, queue:123.51545, delay:0.5162049, throughput:10147
REAL_TEST step:144, travel time:619.2121455323703, q_loss:100, rewards:-1356.9596, queue:106.542885, delay:0.5366512, throughput:11529
REAL_TEST step:147, travel time:708.2327475353623, q_loss:100, rewards:-1567.6296, queue:123.61667, delay:0.51990175, throughput:10171
REAL_TEST step:150, travel time:545.2524374340185, q_loss:100, rewards:-1468.4752, queue:120.1066, delay:0.5066864, throughput:12619
REAL_TEST step:153, travel time:987.2439446366782, q_loss:100, rewards:-2016.6566, queue:150.0809, delay:0.55199975, throughput:7230
REAL_TEST step:156, travel time:582.575889838323, q_loss:100, rewards:-1392.3683, queue:114.74132, delay:0.49986207, throughput:12463
REAL_TEST step:159, travel time:902.8189387631519, q_loss:100, rewards:-1992.841, queue:156.08733, delay:0.5230157, throughput:8536
REAL_TEST step:162, travel time:506.8272290690274, q_loss:100, rewards:-1267.5494, queue:109.109375, delay:0.48773673, throughput:13637
REAL_TEST step:165, travel time:825.2765820980616, q_loss:100, rewards:-1779.6653, queue:133.4717, delay:0.5244104, throughput:9228
REAL_TEST step:168, travel time:743.2089683074848, q_loss:100, rewards:-1759.8314, queue:147.34305, delay:0.5041382, throughput:10377
REAL_TEST step:171, travel time:719.3808603812467, q_loss:100, rewards:-1734.4099, queue:143.40295, delay:0.5127907, throughput:10839
REAL_TEST step:174, travel time:661.6859351484471, q_loss:100, rewards:-1666.7382, queue:126.00729, delay:0.5419063, throughput:10725
