replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_16/baseline_v1_domain_randomization_s0/model/tempe_16_noise5_dqn_domain_randomization -> eval real_setting=combine3
REAL_TEST step:3, travel time:374.68390390057147, q_loss:100, rewards:-1101.6426, queue:83.15862, delay:1.1255417, throughput:15491
REAL_TEST step:6, travel time:421.2238747112839, q_loss:100, rewards:-944.8281, queue:73.238106, delay:1.1304301, throughput:14546
REAL_TEST step:9, travel time:271.67678038044335, q_loss:100, rewards:-791.3444, queue:56.623924, delay:1.1575056, throughput:17030
REAL_TEST step:12, travel time:264.50620138742903, q_loss:100, rewards:-592.6465, queue:45.852898, delay:1.1464593, throughput:17028
REAL_TEST step:15, travel time:357.88437122921147, q_loss:100, rewards:-931.0278, queue:72.0163, delay:1.1267178, throughput:16438
REAL_TEST step:18, travel time:350.6377039718768, q_loss:100, rewards:-760.0376, queue:60.097927, delay:1.1328559, throughput:16358
REAL_TEST step:21, travel time:458.41061290696325, q_loss:100, rewards:-1129.6384, queue:86.696335, delay:1.0955263, throughput:14325
REAL_TEST step:24, travel time:395.58160894699876, q_loss:100, rewards:-970.02155, queue:72.88954, delay:1.1665301, throughput:15394
REAL_TEST step:27, travel time:369.61788890753485, q_loss:100, rewards:-834.1269, queue:66.30421, delay:1.0851251, throughput:15245
REAL_TEST step:30, travel time:358.80568360856626, q_loss:100, rewards:-804.1127, queue:54.509842, delay:1.0738026, throughput:15024
REAL_TEST step:33, travel time:297.3599872570882, q_loss:100, rewards:-699.5552, queue:53.78432, delay:1.10048, throughput:16725
REAL_TEST step:36, travel time:302.05935153954954, q_loss:100, rewards:-738.7954, queue:51.66695, delay:1.105154, throughput:16355
REAL_TEST step:39, travel time:192.13182261208576, q_loss:100, rewards:-473.7133, queue:37.860874, delay:1.07049, throughput:19060
REAL_TEST step:42, travel time:330.96236910994764, q_loss:100, rewards:-904.05115, queue:69.68997, delay:1.1778324, throughput:16177
REAL_TEST step:45, travel time:257.38191258758883, q_loss:100, rewards:-685.06244, queue:51.39231, delay:1.115599, throughput:17815
REAL_TEST step:48, travel time:278.30811028375933, q_loss:100, rewards:-629.16833, queue:49.025585, delay:1.164591, throughput:17638
REAL_TEST step:51, travel time:234.7990420870274, q_loss:100, rewards:-553.0996, queue:42.001526, delay:1.0936396, throughput:18083
REAL_TEST step:54, travel time:313.66103118765096, q_loss:100, rewards:-711.7704, queue:56.67397, delay:1.111799, throughput:16535
REAL_TEST step:57, travel time:338.6520390758257, q_loss:100, rewards:-675.68353, queue:57.349155, delay:1.1028036, throughput:16748
REAL_TEST step:60, travel time:173.2115345835854, q_loss:100, rewards:-466.82648, queue:35.031403, delay:1.1555293, throughput:18627
REAL_TEST step:63, travel time:455.4974824355972, q_loss:100, rewards:-1049.0001, queue:75.5828, delay:1.1059656, throughput:14125
REAL_TEST step:66, travel time:224.2704913943627, q_loss:100, rewards:-538.1973, queue:44.7304, delay:1.1316004, throughput:18290
REAL_TEST step:69, travel time:307.0084281500211, q_loss:100, rewards:-763.86, queue:56.719585, delay:1.1282189, throughput:16697
REAL_TEST step:72, travel time:332.9792491683827, q_loss:100, rewards:-738.6644, queue:60.443203, delay:1.0454406, throughput:16404
REAL_TEST step:75, travel time:446.86578503095103, q_loss:100, rewards:-939.1808, queue:77.385, delay:1.1545056, throughput:14608
REAL_TEST step:78, travel time:255.23989703989704, q_loss:100, rewards:-609.94885, queue:48.317677, delay:1.2089086, throughput:17550
REAL_TEST step:81, travel time:282.667686303465, q_loss:100, rewards:-770.2858, queue:57.573795, delay:1.0529784, throughput:17082
REAL_TEST step:84, travel time:158.94264807673292, q_loss:100, rewards:-404.66208, queue:30.866905, delay:1.1069305, throughput:19136
REAL_TEST step:87, travel time:271.6619827854402, q_loss:100, rewards:-540.6291, queue:41.045555, delay:1.002765, throughput:17324
