Loading cached latent encoders from pretrained/lusr/dqn/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_16/baseline_v1_lusr_s0/model/tempe_16_noise5_dqn_latent_observation -> eval real_setting=noise3
REAL_TEST step:2, travel time:1040.6283855225702, q_loss:100, rewards:-2303.9417, queue:174.42885, delay:1.5415146, throughput:7061
REAL_TEST step:4, travel time:444.3890671273445, q_loss:100, rewards:-1317.7415, queue:98.61007, delay:1.491207, throughput:13544
REAL_TEST step:6, travel time:498.4004500121625, q_loss:100, rewards:-1352.8273, queue:107.95304, delay:1.4892354, throughput:13264
REAL_TEST step:8, travel time:382.68955239489645, q_loss:100, rewards:-1193.4707, queue:96.946465, delay:1.473626, throughput:15997
REAL_TEST step:10, travel time:442.28849587145726, q_loss:100, rewards:-1371.0564, queue:107.122925, delay:1.4961026, throughput:14623
REAL_TEST step:12, travel time:357.39292423293676, q_loss:100, rewards:-1039.7775, queue:87.85906, delay:1.4607232, throughput:16242
REAL_TEST step:14, travel time:419.7943778698623, q_loss:100, rewards:-1251.4944, queue:98.41884, delay:1.4636583, throughput:14798
REAL_TEST step:16, travel time:338.68896955249755, q_loss:100, rewards:-1126.2161, queue:85.00879, delay:1.4865085, throughput:16123
REAL_TEST step:18, travel time:457.0009205842641, q_loss:100, rewards:-1398.5728, queue:102.14212, delay:1.4711188, throughput:13528
REAL_TEST step:20, travel time:408.8797475616753, q_loss:100, rewards:-1219.8601, queue:97.17064, delay:1.491253, throughput:14350
REAL_TEST step:22, travel time:272.5462977856415, q_loss:100, rewards:-863.85675, queue:73.06033, delay:1.4168946, throughput:16720
REAL_TEST step:24, travel time:344.22465611212044, q_loss:100, rewards:-1027.1381, queue:84.47391, delay:1.4320971, throughput:16104
REAL_TEST step:26, travel time:324.9456675207865, q_loss:100, rewards:-1022.6897, queue:82.630295, delay:1.4018551, throughput:16270
REAL_TEST step:28, travel time:192.07709817893902, q_loss:100, rewards:-627.4976, queue:48.420757, delay:1.3658338, throughput:18690
REAL_TEST step:30, travel time:331.2733749862984, q_loss:100, rewards:-1045.5245, queue:76.417564, delay:1.4332573, throughput:15615
REAL_TEST step:32, travel time:277.6492463417318, q_loss:100, rewards:-951.4334, queue:65.324524, delay:1.4066122, throughput:16002
REAL_TEST step:34, travel time:302.6108443485298, q_loss:100, rewards:-964.63715, queue:75.083145, delay:1.3905196, throughput:16125
REAL_TEST step:36, travel time:199.87597178602687, q_loss:100, rewards:-661.90295, queue:49.09195, delay:1.3634261, throughput:17887
REAL_TEST step:38, travel time:199.50569452918447, q_loss:100, rewards:-676.52765, queue:52.780354, delay:1.3815348, throughput:18132
REAL_TEST step:40, travel time:231.4863109048724, q_loss:100, rewards:-768.92017, queue:58.5361, delay:1.3994696, throughput:17593
REAL_TEST step:42, travel time:235.16750307251127, q_loss:100, rewards:-793.8722, queue:61.86773, delay:1.3686824, throughput:17595
REAL_TEST step:44, travel time:195.74228523769807, q_loss:100, rewards:-652.00055, queue:48.259983, delay:1.3667439, throughput:17789
REAL_TEST step:46, travel time:232.01561380157673, q_loss:100, rewards:-763.1883, queue:57.757042, delay:1.3634875, throughput:17766
REAL_TEST step:48, travel time:169.83038745755943, q_loss:100, rewards:-570.43207, queue:42.527027, delay:1.3705114, throughput:18671
REAL_TEST step:50, travel time:180.2554389557205, q_loss:100, rewards:-643.3496, queue:46.16523, delay:1.3590401, throughput:18271
REAL_TEST step:52, travel time:244.4710271716756, q_loss:100, rewards:-750.3127, queue:57.88379, delay:1.3751929, throughput:17397
REAL_TEST step:54, travel time:201.98398310758614, q_loss:100, rewards:-641.16595, queue:51.136627, delay:1.3666204, throughput:17919
REAL_TEST step:56, travel time:192.32304243721026, q_loss:100, rewards:-636.1601, queue:48.29131, delay:1.3718857, throughput:18317
REAL_TEST step:58, travel time:198.46601344072232, q_loss:100, rewards:-647.91034, queue:49.01645, delay:1.3601232, throughput:17993
REAL_TEST step:60, travel time:197.4598187003463, q_loss:100, rewards:-670.59125, queue:50.802147, delay:1.372369, throughput:18171
REAL_TEST step:62, travel time:181.0752863324001, q_loss:100, rewards:-595.3077, queue:44.63721, delay:1.3530142, throughput:18412
REAL_TEST step:64, travel time:207.7601828547948, q_loss:100, rewards:-667.2253, queue:52.215027, delay:1.3697286, throughput:17934
REAL_TEST step:66, travel time:168.7288656160314, q_loss:100, rewards:-559.25366, queue:40.810364, delay:1.3532048, throughput:18786
REAL_TEST step:68, travel time:215.52309462781818, q_loss:100, rewards:-710.6048, queue:54.302853, delay:1.3824203, throughput:17504
REAL_TEST step:70, travel time:184.85285848172447, q_loss:100, rewards:-605.8587, queue:44.564213, delay:1.3616573, throughput:18873
REAL_TEST step:72, travel time:157.434582278481, q_loss:100, rewards:-592.45435, queue:39.529972, delay:1.3541255, throughput:18740
REAL_TEST step:74, travel time:171.13391513692446, q_loss:100, rewards:-590.6931, queue:42.96067, delay:1.3732511, throughput:18673
REAL_TEST step:76, travel time:150.18776051534672, q_loss:100, rewards:-433.56165, queue:35.522125, delay:1.341336, throughput:20049
REAL_TEST step:78, travel time:139.04840927409796, q_loss:100, rewards:-405.70776, queue:30.322927, delay:1.3598933, throughput:19829
REAL_TEST step:80, travel time:162.19605030363888, q_loss:100, rewards:-540.94525, queue:39.8381, delay:1.3543692, throughput:19667
REAL_TEST step:82, travel time:194.97838860671249, q_loss:100, rewards:-593.2516, queue:42.55313, delay:1.364477, throughput:18608
REAL_TEST step:84, travel time:154.2069581161938, q_loss:100, rewards:-517.92725, queue:37.46368, delay:1.3477281, throughput:19581
