Loading cached latent encoders from pretrained/lusr/dqn/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_16/baseline_v1_lusr_s0/model/tempe_16_noise5_dqn_latent_observation -> eval real_setting=dz10
REAL_TEST step:2, travel time:1194.571941186767, q_loss:100, rewards:-2500.0906, queue:196.21962, delay:0.6401166, throughput:6222
REAL_TEST step:4, travel time:1026.0595408291986, q_loss:100, rewards:-2148.284, queue:165.62483, delay:0.60966355, throughput:7260
REAL_TEST step:6, travel time:645.3509492392621, q_loss:100, rewards:-1418.7094, queue:117.52361, delay:0.5438543, throughput:11085
REAL_TEST step:8, travel time:829.5900157501883, q_loss:100, rewards:-1896.9983, queue:150.97205, delay:0.57132554, throughput:9682
REAL_TEST step:10, travel time:811.7452862529997, q_loss:100, rewards:-2048.999, queue:162.36008, delay:0.57403266, throughput:9833
REAL_TEST step:12, travel time:900.7525618969257, q_loss:100, rewards:-2016.3354, queue:160.06128, delay:0.58399004, throughput:8649
REAL_TEST step:14, travel time:815.9270124219244, q_loss:100, rewards:-1763.4493, queue:148.38853, delay:0.5421826, throughput:9681
REAL_TEST step:16, travel time:794.7420833333333, q_loss:100, rewards:-1973.9684, queue:154.16006, delay:0.5658299, throughput:9740
REAL_TEST step:18, travel time:1237.06518904824, q_loss:100, rewards:-2416.7944, queue:183.5552, delay:0.57086605, throughput:5731
REAL_TEST step:20, travel time:1030.8606434155142, q_loss:100, rewards:-2269.915, queue:185.98819, delay:0.59013474, throughput:7714
REAL_TEST step:22, travel time:1145.0025443060185, q_loss:100, rewards:-2284.5183, queue:182.63281, delay:0.5352819, throughput:6438
REAL_TEST step:24, travel time:1400.7465952850569, q_loss:100, rewards:-2527.606, queue:196.71545, delay:0.5697534, throughput:4895
REAL_TEST step:26, travel time:1104.2998037710092, q_loss:100, rewards:-2180.8896, queue:176.48628, delay:0.5083637, throughput:6764
REAL_TEST step:28, travel time:1621.1874192158552, q_loss:100, rewards:-2594.8074, queue:206.84305, delay:0.5241936, throughput:3677
REAL_TEST step:30, travel time:1041.0482742166375, q_loss:100, rewards:-2298.6428, queue:181.00659, delay:0.52252656, throughput:7409
REAL_TEST step:32, travel time:1781.0331968573641, q_loss:100, rewards:-3097.9497, queue:236.5875, delay:0.5567718, throughput:2880
REAL_TEST step:34, travel time:1296.3162298850575, q_loss:100, rewards:-2641.4697, queue:204.77882, delay:0.52286893, throughput:5541
REAL_TEST step:36, travel time:1372.9593198647042, q_loss:100, rewards:-2617.4324, queue:205.4408, delay:0.5278186, throughput:5171
REAL_TEST step:38, travel time:1102.7521897207073, q_loss:100, rewards:-2334.6042, queue:185.24913, delay:0.4991402, throughput:6848
REAL_TEST step:40, travel time:1109.9984905660378, q_loss:100, rewards:-2304.9976, queue:178.88768, delay:0.48431218, throughput:6674
REAL_TEST step:42, travel time:1109.2025653839746, q_loss:100, rewards:-2302.7004, queue:187.95209, delay:0.4964959, throughput:6788
REAL_TEST step:44, travel time:1209.507622860063, q_loss:100, rewards:-2441.7893, queue:193.06285, delay:0.5040819, throughput:6068
REAL_TEST step:46, travel time:1145.0230940934066, q_loss:100, rewards:-2240.2112, queue:179.28473, delay:0.47878397, throughput:6438
REAL_TEST step:48, travel time:1225.9392565729827, q_loss:100, rewards:-2215.463, queue:173.81944, delay:0.47899908, throughput:5876
REAL_TEST step:50, travel time:1020.5561124598637, q_loss:100, rewards:-2225.157, queue:183.87083, delay:0.46238208, throughput:7585
REAL_TEST step:52, travel time:935.3254328587918, q_loss:100, rewards:-1947.7748, queue:152.8625, delay:0.46377918, throughput:8265
REAL_TEST step:54, travel time:1171.103126268778, q_loss:100, rewards:-2504.7024, queue:206.94357, delay:0.461303, throughput:6463
REAL_TEST step:56, travel time:1052.4094090835097, q_loss:100, rewards:-2185.627, queue:170.00642, delay:0.48137757, throughput:7333
REAL_TEST step:58, travel time:1063.8444873963115, q_loss:100, rewards:-2310.9731, queue:185.121, delay:0.47857603, throughput:7299
REAL_TEST step:60, travel time:983.7410015649452, q_loss:100, rewards:-1982.7323, queue:164.88403, delay:0.44664866, throughput:7888
REAL_TEST step:62, travel time:1127.0655071521458, q_loss:100, rewards:-2402.7815, queue:193.55069, delay:0.4897784, throughput:6658
REAL_TEST step:64, travel time:1045.806694214876, q_loss:100, rewards:-2006.9786, queue:165.15399, delay:0.4607846, throughput:7078
REAL_TEST step:66, travel time:904.5325802349068, q_loss:100, rewards:-2017.164, queue:167.86719, delay:0.4558581, throughput:8643
REAL_TEST step:68, travel time:1123.8006821759664, q_loss:100, rewards:-2138.2983, queue:165.70035, delay:0.46621525, throughput:6567
REAL_TEST step:70, travel time:1118.8746803069055, q_loss:100, rewards:-2455.234, queue:195.61354, delay:0.46852255, throughput:6583
REAL_TEST step:72, travel time:1131.0182347401765, q_loss:100, rewards:-2185.0823, queue:173.61961, delay:0.4764044, throughput:6506
REAL_TEST step:74, travel time:1274.812505663797, q_loss:100, rewards:-2524.2834, queue:199.48647, delay:0.47894517, throughput:5735
REAL_TEST step:76, travel time:943.9408844765343, q_loss:100, rewards:-2272.2156, queue:180.1882, delay:0.46356365, throughput:8432
REAL_TEST step:78, travel time:1289.786176711954, q_loss:100, rewards:-2565.729, queue:202.76805, delay:0.5099941, throughput:5568
REAL_TEST step:80, travel time:1087.4938909774437, q_loss:100, rewards:-2308.4004, queue:189.06667, delay:0.47525278, throughput:7139
REAL_TEST step:82, travel time:1405.0532127558306, q_loss:100, rewards:-2738.8542, queue:214.89531, delay:0.5135933, throughput:4652
REAL_TEST step:84, travel time:1078.0620395177496, q_loss:100, rewards:-2309.1096, queue:182.24913, delay:0.48675013, throughput:6938
REAL_TEST step:86, travel time:1262.9439525487837, q_loss:100, rewards:-2627.5085, queue:202.8165, delay:0.50905883, throughput:5588
REAL_TEST step:88, travel time:1055.5914463963225, q_loss:100, rewards:-2435.9062, queue:190.49913, delay:0.47874722, throughput:7136
REAL_TEST step:90, travel time:1172.5435831180018, q_loss:100, rewards:-2577.952, queue:196.5592, delay:0.49883804, throughput:6317
REAL_TEST step:92, travel time:1062.155510534846, q_loss:100, rewards:-2479.7683, queue:195.3618, delay:0.4676768, throughput:7165
REAL_TEST step:94, travel time:1091.5017851346965, q_loss:100, rewards:-2515.3093, queue:192.95555, delay:0.4988912, throughput:7006
REAL_TEST step:96, travel time:1266.8784719101125, q_loss:100, rewards:-2673.6897, queue:208.17691, delay:0.50417817, throughput:5573
REAL_TEST step:98, travel time:1492.1551808646211, q_loss:100, rewards:-2760.624, queue:217.6493, delay:0.5172551, throughput:4425
REAL_TEST step:100, travel time:1070.5888791243908, q_loss:100, rewards:-2471.6924, queue:192.87361, delay:0.47615895, throughput:7177
REAL_TEST step:102, travel time:1186.1296764628935, q_loss:100, rewards:-2401.3604, queue:194.9316, delay:0.46803504, throughput:6360
REAL_TEST step:104, travel time:859.6221752442046, q_loss:100, rewards:-1994.9467, queue:158.97014, delay:0.4487666, throughput:9047
REAL_TEST step:106, travel time:962.3086986994782, q_loss:100, rewards:-2267.639, queue:177.63177, delay:0.47292897, throughput:7863
REAL_TEST step:108, travel time:656.4656535368679, q_loss:100, rewards:-1726.1642, queue:132.25746, delay:0.40976503, throughput:10924
REAL_TEST step:110, travel time:844.9628711010898, q_loss:100, rewards:-2019.6069, queue:153.14098, delay:0.44745708, throughput:9018
REAL_TEST step:112, travel time:773.9080733174759, q_loss:100, rewards:-1911.5378, queue:151.31337, delay:0.4534116, throughput:9828
REAL_TEST step:114, travel time:1026.0056857472148, q_loss:100, rewards:-2334.605, queue:186.16216, delay:0.48225662, throughput:7584
REAL_TEST step:116, travel time:1421.9968823070928, q_loss:100, rewards:-2568.6914, queue:200.00711, delay:0.5015692, throughput:4743
REAL_TEST step:118, travel time:1359.9386039482383, q_loss:100, rewards:-2612.5898, queue:201.67014, delay:0.53262705, throughput:5037
REAL_TEST step:120, travel time:1622.6758753613876, q_loss:100, rewards:-2703.337, queue:209.94879, delay:0.5219678, throughput:3572
REAL_TEST step:122, travel time:1365.7044982044981, q_loss:100, rewards:-2485.58, queue:196.01562, delay:0.49606714, throughput:4882
REAL_TEST step:124, travel time:1228.3856047925292, q_loss:100, rewards:-2471.9148, queue:195.7217, delay:0.50111574, throughput:5956
REAL_TEST step:126, travel time:1385.5512333965844, q_loss:100, rewards:-2488.3362, queue:197.78836, delay:0.5028112, throughput:4871
REAL_TEST step:128, travel time:1214.5622458690198, q_loss:100, rewards:-2600.792, queue:205.1658, delay:0.49162918, throughput:6181
REAL_TEST step:130, travel time:1577.138717819283, q_loss:100, rewards:-2850.1265, queue:223.72969, delay:0.51774263, throughput:3754
REAL_TEST step:132, travel time:1082.074952007345, q_loss:100, rewards:-2390.8472, queue:189.42587, delay:0.4571408, throughput:6995
REAL_TEST step:134, travel time:1661.1096549605816, q_loss:100, rewards:-3011.343, queue:235.7705, delay:0.5543395, throughput:3427
REAL_TEST step:136, travel time:1015.7431808984217, q_loss:100, rewards:-2252.5715, queue:178.19183, delay:0.45342606, throughput:7545
