Loading cached latent encoders from pretrained/lusr/dqn/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_16/baseline_v1_lusr_s0/model/tempe_16_noise5_dqn_latent_observation -> eval real_setting=combine3
REAL_TEST step:2, travel time:1052.0571100352836, q_loss:100, rewards:-1887.3177, queue:138.44797, delay:1.2399257, throughput:7279
REAL_TEST step:4, travel time:551.7235884567127, q_loss:100, rewards:-1140.6427, queue:94.37244, delay:1.1654664, throughput:12602
REAL_TEST step:6, travel time:590.4940024638527, q_loss:100, rewards:-1212.262, queue:101.75206, delay:1.2056094, throughput:11998
REAL_TEST step:8, travel time:690.4385073146541, q_loss:100, rewards:-1369.9056, queue:111.43876, delay:1.2211899, throughput:11516
REAL_TEST step:10, travel time:599.2406163113994, q_loss:100, rewards:-1300.4347, queue:106.07144, delay:1.1685511, throughput:12729
REAL_TEST step:12, travel time:723.1878066330869, q_loss:100, rewards:-1511.9231, queue:117.044, delay:1.2032487, throughput:11024
REAL_TEST step:14, travel time:502.00179977502813, q_loss:100, rewards:-1086.8392, queue:95.70267, delay:1.1061949, throughput:14191
REAL_TEST step:16, travel time:688.7214072353137, q_loss:100, rewards:-1516.3116, queue:115.03627, delay:1.2150488, throughput:10925
REAL_TEST step:18, travel time:830.6347247875877, q_loss:100, rewards:-1552.5435, queue:121.08578, delay:1.1382917, throughput:9249
REAL_TEST step:20, travel time:633.9408233276158, q_loss:100, rewards:-1258.9359, queue:97.87575, delay:1.123466, throughput:12081
REAL_TEST step:22, travel time:733.7181773155028, q_loss:100, rewards:-1462.1208, queue:112.39116, delay:1.1412085, throughput:10241
REAL_TEST step:24, travel time:845.386476818405, q_loss:100, rewards:-1674.743, queue:136.1762, delay:1.1611426, throughput:9531
REAL_TEST step:26, travel time:637.1093681370396, q_loss:100, rewards:-1258.0168, queue:97.85026, delay:1.1271151, throughput:11947
REAL_TEST step:28, travel time:762.5592251294814, q_loss:100, rewards:-1509.7401, queue:124.513214, delay:1.1874635, throughput:10648
REAL_TEST step:30, travel time:710.2656260291116, q_loss:100, rewards:-1402.3739, queue:111.50286, delay:1.1589519, throughput:10938
REAL_TEST step:32, travel time:731.6903900281463, q_loss:100, rewards:-1433.6035, queue:109.83064, delay:1.1999545, throughput:10358
REAL_TEST step:34, travel time:866.761447725108, q_loss:100, rewards:-1667.7177, queue:133.10204, delay:1.11538, throughput:9131
REAL_TEST step:36, travel time:563.7596658711217, q_loss:100, rewards:-1030.7876, queue:80.65476, delay:1.1217681, throughput:13079
REAL_TEST step:38, travel time:560.6337975394991, q_loss:100, rewards:-1338.4598, queue:98.16161, delay:1.1390771, throughput:12751
REAL_TEST step:40, travel time:659.6447341478397, q_loss:100, rewards:-1273.0209, queue:97.58365, delay:1.1927686, throughput:11131
REAL_TEST step:42, travel time:544.096607757087, q_loss:100, rewards:-1335.7766, queue:102.96061, delay:1.1161094, throughput:13260
REAL_TEST step:44, travel time:869.0203853046595, q_loss:100, rewards:-1480.0427, queue:113.98437, delay:1.1502002, throughput:9022
REAL_TEST step:46, travel time:514.0801772009734, q_loss:100, rewards:-1231.9172, queue:96.309364, delay:1.1279151, throughput:13075
REAL_TEST step:48, travel time:644.4395181957971, q_loss:100, rewards:-1440.4236, queue:114.355774, delay:1.0627308, throughput:11938
REAL_TEST step:50, travel time:394.1192292699226, q_loss:100, rewards:-979.3075, queue:78.25738, delay:1.1268572, throughput:15253
REAL_TEST step:52, travel time:521.9175128494421, q_loss:100, rewards:-1216.6387, queue:86.9109, delay:1.2194519, throughput:13164
REAL_TEST step:54, travel time:396.48243532611843, q_loss:100, rewards:-1030.926, queue:76.407715, delay:1.0487871, throughput:14800
REAL_TEST step:56, travel time:560.1751541307028, q_loss:100, rewards:-1274.2643, queue:101.17912, delay:1.1360015, throughput:12774
REAL_TEST step:58, travel time:488.1924382804857, q_loss:100, rewards:-936.13727, queue:78.03834, delay:1.0119363, throughput:14197
REAL_TEST step:60, travel time:570.2197576887232, q_loss:100, rewards:-1234.1573, queue:92.738075, delay:1.1523442, throughput:12689
REAL_TEST step:62, travel time:537.9961026501978, q_loss:100, rewards:-1152.7673, queue:84.000984, delay:1.008771, throughput:13408
REAL_TEST step:64, travel time:491.7950548802077, q_loss:100, rewards:-1198.076, queue:94.740135, delay:1.1345106, throughput:13628
REAL_TEST step:66, travel time:847.6098763667549, q_loss:100, rewards:-1542.8479, queue:124.64828, delay:1.1114682, throughput:9532
REAL_TEST step:68, travel time:395.42300111862784, q_loss:100, rewards:-917.1702, queue:80.88455, delay:1.1454138, throughput:15794
REAL_TEST step:70, travel time:697.3644877922749, q_loss:100, rewards:-1403.8262, queue:113.308495, delay:1.1418976, throughput:11382
REAL_TEST step:72, travel time:856.5931101479599, q_loss:100, rewards:-1409.712, queue:116.56918, delay:1.130113, throughput:9255
REAL_TEST step:74, travel time:489.041362666966, q_loss:100, rewards:-1098.3955, queue:91.434006, delay:1.0489256, throughput:14299
REAL_TEST step:76, travel time:454.1154062254186, q_loss:100, rewards:-1191.3406, queue:100.50412, delay:1.2197378, throughput:14779
REAL_TEST step:78, travel time:401.7076898412868, q_loss:100, rewards:-1066.0326, queue:83.35342, delay:1.0961899, throughput:15778
REAL_TEST step:80, travel time:538.0931629468229, q_loss:100, rewards:-1160.6775, queue:102.888466, delay:1.1148127, throughput:13240
REAL_TEST step:82, travel time:495.983034983035, q_loss:100, rewards:-1196.6473, queue:91.71967, delay:1.0705477, throughput:13980
REAL_TEST step:84, travel time:428.54168340122783, q_loss:100, rewards:-981.5911, queue:88.01147, delay:1.0850583, throughput:14735
REAL_TEST step:86, travel time:636.9678937528206, q_loss:100, rewards:-1534.6427, queue:116.02806, delay:1.1499811, throughput:11750
REAL_TEST step:88, travel time:513.2608342519, q_loss:100, rewards:-1289.7328, queue:108.01259, delay:1.2067798, throughput:13954
REAL_TEST step:90, travel time:484.82216718266255, q_loss:100, rewards:-1068.6107, queue:83.78808, delay:1.0765952, throughput:13244
REAL_TEST step:92, travel time:504.02204183207914, q_loss:100, rewards:-1096.9819, queue:87.09579, delay:1.140901, throughput:13693
REAL_TEST step:94, travel time:602.1412396480331, q_loss:100, rewards:-1369.3392, queue:104.901855, delay:1.1043762, throughput:12000
REAL_TEST step:96, travel time:462.18719695220506, q_loss:100, rewards:-1214.6002, queue:98.99874, delay:1.156988, throughput:14290
REAL_TEST step:98, travel time:432.2042048635889, q_loss:100, rewards:-1040.555, queue:88.124016, delay:1.1489596, throughput:15076
REAL_TEST step:100, travel time:580.0220794095189, q_loss:100, rewards:-1284.1139, queue:102.31142, delay:1.146346, throughput:12425
REAL_TEST step:102, travel time:459.6831677704194, q_loss:100, rewards:-1094.8901, queue:90.50244, delay:1.1284649, throughput:14576
REAL_TEST step:104, travel time:540.7952900772722, q_loss:100, rewards:-1306.5326, queue:105.72849, delay:1.1260581, throughput:12976
REAL_TEST step:106, travel time:527.2425651111508, q_loss:100, rewards:-1222.6285, queue:103.21156, delay:1.1571082, throughput:13279
REAL_TEST step:108, travel time:443.9295219029675, q_loss:100, rewards:-1059.4989, queue:86.16531, delay:1.0850691, throughput:14199
REAL_TEST step:110, travel time:481.8187248639697, q_loss:100, rewards:-1028.4423, queue:86.774445, delay:1.088945, throughput:14064
REAL_TEST step:112, travel time:398.6289859780196, q_loss:100, rewards:-953.6782, queue:79.224045, delay:1.1015401, throughput:15857
REAL_TEST step:114, travel time:465.3291997998109, q_loss:100, rewards:-1196.717, queue:99.44005, delay:1.1368494, throughput:14760
REAL_TEST step:116, travel time:424.6802733109501, q_loss:100, rewards:-1071.2089, queue:81.586105, delay:1.1137315, throughput:14390
REAL_TEST step:118, travel time:492.16267133275005, q_loss:100, rewards:-1206.6901, queue:99.21799, delay:1.1949406, throughput:13887
REAL_TEST step:120, travel time:507.2076989726451, q_loss:100, rewards:-1196.8975, queue:92.486115, delay:1.1149886, throughput:13220
REAL_TEST step:122, travel time:469.77741151977796, q_loss:100, rewards:-1216.078, queue:94.1867, delay:1.1539301, throughput:14249
REAL_TEST step:124, travel time:511.99230260388475, q_loss:100, rewards:-1008.98193, queue:82.61048, delay:1.0794588, throughput:13607
REAL_TEST step:126, travel time:405.34927157265594, q_loss:100, rewards:-1060.1268, queue:83.51477, delay:1.0564504, throughput:15954
REAL_TEST step:128, travel time:501.3971289015964, q_loss:100, rewards:-1179.992, queue:102.2732, delay:1.1278298, throughput:13804
REAL_TEST step:130, travel time:518.852168238714, q_loss:100, rewards:-1172.4376, queue:95.23397, delay:1.0346769, throughput:13779
REAL_TEST step:132, travel time:499.39062029055395, q_loss:100, rewards:-1196.8334, queue:93.80903, delay:1.112943, throughput:13385
REAL_TEST step:134, travel time:599.7471373442146, q_loss:100, rewards:-1436.7144, queue:116.969734, delay:1.1698085, throughput:12270
REAL_TEST step:136, travel time:427.4378904710981, q_loss:100, rewards:-1118.691, queue:88.29749, delay:1.1294996, throughput:14841
REAL_TEST step:138, travel time:718.1141274238228, q_loss:100, rewards:-1528.3406, queue:118.214485, delay:1.1492193, throughput:10637
REAL_TEST step:140, travel time:403.60208379516735, q_loss:100, rewards:-996.96716, queue:79.793434, delay:1.1392007, throughput:15355
REAL_TEST step:142, travel time:522.3894579215334, q_loss:100, rewards:-1213.6302, queue:98.69581, delay:1.1623666, throughput:13660
REAL_TEST step:144, travel time:472.6813731204103, q_loss:100, rewards:-1256.2634, queue:97.9038, delay:1.137917, throughput:14060
REAL_TEST step:146, travel time:412.41958751870055, q_loss:100, rewards:-1154.5251, queue:95.675476, delay:1.1391699, throughput:15838
REAL_TEST step:148, travel time:413.1368624207334, q_loss:100, rewards:-1054.3602, queue:79.40733, delay:1.1355973, throughput:15297
REAL_TEST step:150, travel time:487.1516555155258, q_loss:100, rewards:-1131.8654, queue:92.66632, delay:1.1109205, throughput:14335
REAL_TEST step:152, travel time:577.3066516347238, q_loss:100, rewards:-1450.283, queue:116.080444, delay:1.1542377, throughput:12725
REAL_TEST step:154, travel time:385.98805340829233, q_loss:100, rewards:-1029.3491, queue:85.745735, delay:1.0764896, throughput:15766
REAL_TEST step:156, travel time:505.99755373056087, q_loss:100, rewards:-1366.1736, queue:112.73542, delay:1.1818341, throughput:13903
REAL_TEST step:158, travel time:553.9989471076427, q_loss:100, rewards:-1476.8774, queue:109.60521, delay:1.196412, throughput:12914
REAL_TEST step:160, travel time:374.77578428830697, q_loss:100, rewards:-1009.8061, queue:81.267586, delay:1.1012013, throughput:16752
