Loading cached latent encoders from pretrained/recon_baseline/dqn/tempe_16
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_16/baseline_v1_recon_baseline_s0/model/tempe_16_noise5_dqn_latent_observation -> eval real_setting=noise3
REAL_TEST step:1, travel time:914.4190355707694, q_loss:100, rewards:-2238.362, queue:171.65366, delay:1.4799641, throughput:8711
REAL_TEST step:2, travel time:1010.1986743415315, q_loss:100, rewards:-2137.5486, queue:164.17952, delay:1.5171878, throughput:7063
REAL_TEST step:3, travel time:722.1926023048788, q_loss:100, rewards:-1792.0814, queue:137.96214, delay:1.5234752, throughput:10306
REAL_TEST step:4, travel time:389.06961674789545, q_loss:100, rewards:-1261.607, queue:93.32387, delay:1.4922888, throughput:15262
REAL_TEST step:5, travel time:343.10801637754554, q_loss:100, rewards:-1107.7051, queue:90.363815, delay:1.466476, throughput:15788
REAL_TEST step:6, travel time:358.33141289437583, q_loss:100, rewards:-1181.0797, queue:93.794685, delay:1.4630216, throughput:15569
REAL_TEST step:7, travel time:343.0640407007238, q_loss:100, rewards:-1147.0979, queue:90.76436, delay:1.4477807, throughput:16163
REAL_TEST step:8, travel time:196.63945406929895, q_loss:100, rewards:-693.1445, queue:50.97426, delay:1.443575, throughput:18268
REAL_TEST step:9, travel time:279.35268437191417, q_loss:100, rewards:-946.67377, queue:77.88586, delay:1.4360423, throughput:16923
REAL_TEST step:10, travel time:251.55935532611434, q_loss:100, rewards:-862.4866, queue:68.77699, delay:1.4354963, throughput:17453
REAL_TEST step:11, travel time:299.95185774946924, q_loss:100, rewards:-798.5578, queue:70.61013, delay:1.4122894, throughput:16564
REAL_TEST step:12, travel time:217.18483412322274, q_loss:100, rewards:-750.5934, queue:61.84078, delay:1.4042828, throughput:18435
REAL_TEST step:13, travel time:289.43461420854146, q_loss:100, rewards:-1017.9652, queue:86.03426, delay:1.3750541, throughput:17130
REAL_TEST step:14, travel time:205.43700340522133, q_loss:100, rewards:-669.7328, queue:57.084713, delay:1.3803787, throughput:18292
REAL_TEST step:15, travel time:206.44645402270606, q_loss:100, rewards:-658.8701, queue:58.48976, delay:1.3751193, throughput:18328
REAL_TEST step:16, travel time:298.1004975640095, q_loss:100, rewards:-973.4842, queue:82.77615, delay:1.3849171, throughput:16959
REAL_TEST step:17, travel time:286.91307497283594, q_loss:100, rewards:-916.1344, queue:79.236565, delay:1.3740834, throughput:17080
REAL_TEST step:18, travel time:262.1300052273915, q_loss:100, rewards:-850.24286, queue:71.795494, delay:1.360001, throughput:17146
REAL_TEST step:19, travel time:196.84238161761164, q_loss:100, rewards:-611.6852, queue:52.92756, delay:1.3705059, throughput:18578
REAL_TEST step:20, travel time:207.88431391523127, q_loss:100, rewards:-670.7932, queue:56.681393, delay:1.3729887, throughput:18336
REAL_TEST step:21, travel time:153.73705676311118, q_loss:100, rewards:-451.44836, queue:37.438618, delay:1.3448116, throughput:19550
REAL_TEST step:22, travel time:218.9811923001375, q_loss:100, rewards:-623.4404, queue:53.989513, delay:1.3603003, throughput:18484
REAL_TEST step:23, travel time:144.78720974495621, q_loss:100, rewards:-453.2651, queue:37.558212, delay:1.3397107, throughput:19709
REAL_TEST step:24, travel time:180.63573718715605, q_loss:100, rewards:-567.6769, queue:50.028896, delay:1.3556017, throughput:19444
REAL_TEST step:25, travel time:263.0615947795639, q_loss:100, rewards:-689.0143, queue:56.86046, delay:1.3698093, throughput:17038
REAL_TEST step:26, travel time:172.43014617780972, q_loss:100, rewards:-521.8019, queue:43.863125, delay:1.3585929, throughput:19372
REAL_TEST step:27, travel time:194.51525059782344, q_loss:100, rewards:-562.49963, queue:47.873264, delay:1.3556315, throughput:18635
REAL_TEST step:28, travel time:140.66940161267507, q_loss:100, rewards:-424.3339, queue:34.90296, delay:1.3523242, throughput:19965
REAL_TEST step:29, travel time:184.33839541547277, q_loss:100, rewards:-526.0941, queue:44.828316, delay:1.3416628, throughput:19267
REAL_TEST step:30, travel time:211.36378342854255, q_loss:100, rewards:-606.14874, queue:50.3207, delay:1.3569361, throughput:18277
REAL_TEST step:31, travel time:136.28983568972106, q_loss:100, rewards:-425.4589, queue:34.78477, delay:1.3341914, throughput:19884
REAL_TEST step:32, travel time:194.79338678352673, q_loss:100, rewards:-562.55206, queue:45.874382, delay:1.3504395, throughput:18693
REAL_TEST step:33, travel time:126.03326923076924, q_loss:100, rewards:-380.87015, queue:30.048811, delay:1.3422374, throughput:19906
REAL_TEST step:34, travel time:140.31696622175107, q_loss:100, rewards:-447.2138, queue:32.87606, delay:1.3490168, throughput:19569
REAL_TEST step:35, travel time:150.24149297140087, q_loss:100, rewards:-477.815, queue:34.05399, delay:1.3499007, throughput:19581
REAL_TEST step:36, travel time:109.95940626926543, q_loss:100, rewards:-332.4958, queue:24.066986, delay:1.3414276, throughput:20353
REAL_TEST step:37, travel time:164.125, q_loss:100, rewards:-513.96234, queue:37.80555, delay:1.3674674, throughput:19239
REAL_TEST step:38, travel time:107.79371474617244, q_loss:100, rewards:-330.5856, queue:23.993685, delay:1.3416812, throughput:20407
REAL_TEST step:39, travel time:119.10448541290506, q_loss:100, rewards:-371.04037, queue:27.272043, delay:1.3474905, throughput:19959
REAL_TEST step:40, travel time:172.53030448104175, q_loss:100, rewards:-553.77875, queue:43.01244, delay:1.3521488, throughput:19460
REAL_TEST step:41, travel time:149.1833014354067, q_loss:100, rewards:-483.44873, queue:34.177544, delay:1.3417315, throughput:19933
REAL_TEST step:42, travel time:105.72182664008355, q_loss:100, rewards:-316.36896, queue:22.908108, delay:1.3497537, throughput:20439
REAL_TEST step:43, travel time:102.48324374853938, q_loss:100, rewards:-295.84396, queue:21.34795, delay:1.3445636, throughput:20811
REAL_TEST step:44, travel time:166.23758434875478, q_loss:100, rewards:-508.39505, queue:36.17123, delay:1.3702601, throughput:19631
REAL_TEST step:45, travel time:144.7630422319893, q_loss:100, rewards:-453.36752, queue:31.47862, delay:1.368793, throughput:19947
REAL_TEST step:46, travel time:125.76786053581607, q_loss:100, rewards:-382.25433, queue:29.772749, delay:1.3439026, throughput:20117
REAL_TEST step:47, travel time:155.3113025897757, q_loss:100, rewards:-492.78543, queue:38.182407, delay:1.348392, throughput:19468
REAL_TEST step:48, travel time:109.84158972676572, q_loss:100, rewards:-344.15552, queue:24.053516, delay:1.3476608, throughput:20364
REAL_TEST step:49, travel time:102.68341000844991, q_loss:100, rewards:-304.88293, queue:21.772827, delay:1.336817, throughput:20716
REAL_TEST step:50, travel time:160.52441999521645, q_loss:100, rewards:-512.6826, queue:36.089085, delay:1.3510373, throughput:19817
REAL_TEST step:51, travel time:96.10899653979239, q_loss:100, rewards:-287.27594, queue:20.333103, delay:1.3371943, throughput:20781
REAL_TEST step:52, travel time:99.00952603315433, q_loss:100, rewards:-287.6334, queue:20.568773, delay:1.3331902, throughput:20787
REAL_TEST step:53, travel time:107.12291442725616, q_loss:100, rewards:-323.04187, queue:23.034912, delay:1.3491218, throughput:20733
REAL_TEST step:54, travel time:130.237845251608, q_loss:100, rewards:-379.709, queue:27.845898, delay:1.3416787, throughput:20365
REAL_TEST step:55, travel time:111.7908693403545, q_loss:100, rewards:-331.73056, queue:24.316427, delay:1.3484054, throughput:20585
REAL_TEST step:56, travel time:153.9210084839189, q_loss:100, rewards:-471.4489, queue:35.67237, delay:1.3534191, throughput:19298
REAL_TEST step:57, travel time:106.55071103393252, q_loss:100, rewards:-306.60333, queue:22.059378, delay:1.3399142, throughput:20649
REAL_TEST step:58, travel time:101.84141817328012, q_loss:100, rewards:-305.53528, queue:21.983803, delay:1.3354487, throughput:20637
REAL_TEST step:59, travel time:109.4940713314899, q_loss:100, rewards:-331.255, queue:23.509104, delay:1.3646125, throughput:20636
REAL_TEST step:60, travel time:100.1827129396399, q_loss:100, rewards:-304.63965, queue:21.219227, delay:1.3349359, throughput:20872
REAL_TEST step:61, travel time:100.25344649723343, q_loss:100, rewards:-299.386, queue:20.967567, delay:1.328943, throughput:20788
REAL_TEST step:62, travel time:127.6587104180618, q_loss:100, rewards:-406.33203, queue:31.557774, delay:1.350003, throughput:19946
REAL_TEST step:63, travel time:100.81066082171338, q_loss:100, rewards:-296.9887, queue:21.03827, delay:1.3243382, throughput:20853
REAL_TEST step:64, travel time:96.14163271041168, q_loss:100, rewards:-291.4963, queue:20.332027, delay:1.33771, throughput:20796
REAL_TEST step:65, travel time:106.73672400897532, q_loss:100, rewards:-313.11566, queue:22.48855, delay:1.3449337, throughput:20719
REAL_TEST step:66, travel time:129.34662664379647, q_loss:100, rewards:-404.6179, queue:31.072737, delay:1.3462117, throughput:20049
REAL_TEST step:67, travel time:102.60897345548508, q_loss:100, rewards:-315.23984, queue:22.015717, delay:1.3555772, throughput:20665
REAL_TEST step:68, travel time:107.46354166666667, q_loss:100, rewards:-313.1605, queue:22.569254, delay:1.3373717, throughput:20491
REAL_TEST step:69, travel time:111.84742895805142, q_loss:100, rewards:-368.93213, queue:25.297972, delay:1.346664, throughput:19940
REAL_TEST step:70, travel time:136.40248671412814, q_loss:100, rewards:-461.28506, queue:32.174763, delay:1.3478109, throughput:19060
REAL_TEST step:71, travel time:137.99990134175218, q_loss:100, rewards:-481.20953, queue:33.0391, delay:1.3410194, throughput:19338
REAL_TEST step:72, travel time:137.85344358072982, q_loss:100, rewards:-464.6066, queue:32.64453, delay:1.3507826, throughput:19263
REAL_TEST step:73, travel time:141.42032160103548, q_loss:100, rewards:-491.09152, queue:34.263058, delay:1.348077, throughput:19087
REAL_TEST step:74, travel time:140.33841147759208, q_loss:100, rewards:-495.00778, queue:34.717472, delay:1.3582077, throughput:19291
REAL_TEST step:75, travel time:133.81220355731224, q_loss:100, rewards:-469.40823, queue:32.302402, delay:1.3551575, throughput:19357
REAL_TEST step:76, travel time:176.9728225112607, q_loss:100, rewards:-591.10394, queue:45.255802, delay:1.3469125, throughput:18481
REAL_TEST step:77, travel time:161.75594263311996, q_loss:100, rewards:-523.3057, queue:36.508476, delay:1.3585489, throughput:18756
REAL_TEST step:78, travel time:136.9412780656304, q_loss:100, rewards:-467.11633, queue:32.559853, delay:1.3486642, throughput:19351
REAL_TEST step:79, travel time:158.28891550631332, q_loss:100, rewards:-548.81323, queue:40.46594, delay:1.380295, throughput:18889
REAL_TEST step:80, travel time:136.54221305436866, q_loss:100, rewards:-461.63467, queue:31.919943, delay:1.3581426, throughput:19441
REAL_TEST step:81, travel time:176.60784511954708, q_loss:100, rewards:-575.2009, queue:44.68075, delay:1.3460752, throughput:18513
REAL_TEST step:82, travel time:132.05735685424264, q_loss:100, rewards:-463.76205, queue:32.003952, delay:1.359131, throughput:19341
REAL_TEST step:83, travel time:132.4548862907602, q_loss:100, rewards:-438.83615, queue:30.50561, delay:1.3494523, throughput:19326
REAL_TEST step:84, travel time:129.65880954739032, q_loss:100, rewards:-448.80603, queue:30.926563, delay:1.3422539, throughput:19289
