Loading cached latent encoders from pretrained/recon_baseline/dqn/tempe_16
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_16/baseline_v1_recon_baseline_s0/model/tempe_16_noise5_dqn_latent_observation -> eval real_setting=dz100
REAL_TEST step:1, travel time:880.491520633126, q_loss:100, rewards:-2083.3682, queue:165.94357, delay:0.53427047, throughput:9549
REAL_TEST step:2, travel time:1086.92971905574, q_loss:100, rewards:-2136.754, queue:161.65886, delay:0.5733813, throughput:6512
REAL_TEST step:3, travel time:742.685588939112, q_loss:100, rewards:-1698.664, queue:133.3422, delay:0.5838863, throughput:10606
REAL_TEST step:4, travel time:534.4205667543091, q_loss:100, rewards:-1347.3706, queue:106.80504, delay:0.51042354, throughput:13634
REAL_TEST step:5, travel time:367.3413137893594, q_loss:100, rewards:-986.7434, queue:83.073784, delay:0.4674955, throughput:15408
REAL_TEST step:6, travel time:504.68729022152604, q_loss:100, rewards:-1319.846, queue:109.25712, delay:0.49005646, throughput:13930
REAL_TEST step:7, travel time:579.2560817194143, q_loss:100, rewards:-1440.6393, queue:118.729164, delay:0.5113014, throughput:12931
REAL_TEST step:8, travel time:448.50724958494743, q_loss:100, rewards:-1121.7556, queue:87.44462, delay:0.4964181, throughput:14945
REAL_TEST step:9, travel time:474.999558718076, q_loss:100, rewards:-1252.822, queue:103.09948, delay:0.48503006, throughput:14330
REAL_TEST step:10, travel time:383.52295879191195, q_loss:100, rewards:-995.6261, queue:86.88333, delay:0.44346368, throughput:16067
REAL_TEST step:11, travel time:429.7652900634938, q_loss:100, rewards:-1044.7709, queue:87.94444, delay:0.45811093, throughput:14872
REAL_TEST step:12, travel time:406.02036524058684, q_loss:100, rewards:-1033.2458, queue:85.92239, delay:0.45342806, throughput:16360
REAL_TEST step:13, travel time:438.17123756382585, q_loss:100, rewards:-1201.569, queue:105.03472, delay:0.40828535, throughput:15378
REAL_TEST step:14, travel time:580.4027385484466, q_loss:100, rewards:-1431.625, queue:119.11632, delay:0.46336246, throughput:12348
REAL_TEST step:15, travel time:409.11334958028704, q_loss:100, rewards:-1063.9795, queue:96.43542, delay:0.39309153, throughput:15059
REAL_TEST step:16, travel time:422.45083622430485, q_loss:100, rewards:-1095.136, queue:96.39618, delay:0.37711003, throughput:16001
REAL_TEST step:17, travel time:562.2116762803705, q_loss:100, rewards:-1285.5542, queue:109.90903, delay:0.41749164, throughput:13015
REAL_TEST step:18, travel time:371.9548532731377, q_loss:100, rewards:-986.7665, queue:90.71597, delay:0.344601, throughput:16672
REAL_TEST step:19, travel time:549.4815999069822, q_loss:100, rewards:-1251.8989, queue:109.814064, delay:0.3874543, throughput:13163
REAL_TEST step:20, travel time:433.2381201044386, q_loss:100, rewards:-1168.209, queue:102.02396, delay:0.3779595, throughput:15817
REAL_TEST step:21, travel time:653.1075774683227, q_loss:100, rewards:-1506.9224, queue:123.07118, delay:0.45669496, throughput:11744
REAL_TEST step:22, travel time:534.8029487610719, q_loss:100, rewards:-1306.2731, queue:113.08889, delay:0.40638766, throughput:14309
REAL_TEST step:23, travel time:591.0911171333936, q_loss:100, rewards:-1399.2417, queue:113.16458, delay:0.4400512, throughput:12974
REAL_TEST step:24, travel time:449.60165731087943, q_loss:100, rewards:-1179.0369, queue:101.025696, delay:0.37693757, throughput:15164
REAL_TEST step:25, travel time:472.6772995868849, q_loss:100, rewards:-1259.667, queue:106.49635, delay:0.39797142, throughput:15793
REAL_TEST step:26, travel time:364.0121875645528, q_loss:100, rewards:-880.87537, queue:67.35347, delay:0.36631858, throughput:16800
REAL_TEST step:27, travel time:489.3639918488737, q_loss:100, rewards:-1155.933, queue:100.05955, delay:0.3784309, throughput:14600
REAL_TEST step:28, travel time:536.0922390819601, q_loss:100, rewards:-1209.4323, queue:104.77465, delay:0.4170077, throughput:14895
REAL_TEST step:29, travel time:441.1358975693541, q_loss:100, rewards:-1093.5847, queue:96.56615, delay:0.37424606, throughput:15846
REAL_TEST step:30, travel time:481.3337460661404, q_loss:100, rewards:-1268.5492, queue:105.238716, delay:0.4079612, throughput:15875
REAL_TEST step:31, travel time:534.5264200045259, q_loss:100, rewards:-1308.1035, queue:116.04948, delay:0.40306395, throughput:14251
REAL_TEST step:32, travel time:539.8797817379694, q_loss:100, rewards:-1268.8971, queue:108.21129, delay:0.428416, throughput:13737
REAL_TEST step:33, travel time:469.46130685119647, q_loss:100, rewards:-1299.4342, queue:112.35729, delay:0.39765128, throughput:15362
REAL_TEST step:34, travel time:527.7807407407407, q_loss:100, rewards:-1163.5145, queue:101.97761, delay:0.3927152, throughput:14319
