Loading cached latent encoders from pretrained/recon_baseline/dqn/tempe_16
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_16/baseline_v1_recon_baseline_s0/model/tempe_16_noise5_dqn_latent_observation -> eval real_setting=sensor70
REAL_TEST step:1, travel time:1178.2351110726943, q_loss:100, rewards:-873.2403, queue:65.90399, delay:0.21467958, throughput:6431
REAL_TEST step:2, travel time:1242.1561734213008, q_loss:100, rewards:-587.8378, queue:44.397915, delay:0.19337748, throughput:5511
REAL_TEST step:3, travel time:770.7297544409613, q_loss:100, rewards:-348.95413, queue:23.773438, delay:0.13577996, throughput:10727
REAL_TEST step:4, travel time:522.5705728409422, q_loss:100, rewards:-536.8804, queue:41.344097, delay:0.19995329, throughput:13498
REAL_TEST step:5, travel time:440.6733519358214, q_loss:100, rewards:-285.91965, queue:24.236458, delay:0.14281854, throughput:14267
REAL_TEST step:6, travel time:556.353021721541, q_loss:100, rewards:-407.69305, queue:34.559376, delay:0.15027848, throughput:12547
REAL_TEST step:7, travel time:445.6739839646116, q_loss:100, rewards:-333.84314, queue:27.182638, delay:0.13555792, throughput:14889
REAL_TEST step:8, travel time:477.1782418362518, q_loss:100, rewards:-501.19614, queue:36.93316, delay:0.20353965, throughput:13113
REAL_TEST step:9, travel time:410.1493920402807, q_loss:100, rewards:-184.8286, queue:17.710417, delay:0.082272574, throughput:15217
REAL_TEST step:10, travel time:575.6740359897173, q_loss:100, rewards:-271.6574, queue:20.273785, delay:0.12003405, throughput:11842
REAL_TEST step:11, travel time:689.4129007087587, q_loss:100, rewards:-267.34375, queue:22.566494, delay:0.123497285, throughput:11247
REAL_TEST step:12, travel time:485.9272946133012, q_loss:100, rewards:-492.79727, queue:42.947918, delay:0.15163721, throughput:13331
REAL_TEST step:13, travel time:684.050839964633, q_loss:100, rewards:-394.76602, queue:32.058853, delay:0.14107569, throughput:11288
REAL_TEST step:14, travel time:455.3118567434113, q_loss:100, rewards:-336.96164, queue:30.476042, delay:0.14112335, throughput:13830
