Loading cached latent encoders from pretrained/vae_embedding/dqn/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_16/baseline_v1_vae_s0/model/tempe_16_noise5_dqn_latent_observation -> eval real_setting=sensor50
REAL_TEST step:2, travel time:1494.4266392237578, q_loss:100, rewards:-1510.9906, queue:117.41563, delay:0.36310396, throughput:4218
REAL_TEST step:4, travel time:517.1205263157894, q_loss:100, rewards:-810.89905, queue:69.229, delay:0.31177515, throughput:13578
REAL_TEST step:6, travel time:517.597174382626, q_loss:100, rewards:-730.33734, queue:56.23125, delay:0.27628967, throughput:13529
REAL_TEST step:8, travel time:426.3440059568131, q_loss:100, rewards:-425.18402, queue:35.027256, delay:0.23535873, throughput:14521
REAL_TEST step:10, travel time:693.4006945371979, q_loss:100, rewards:-855.53015, queue:69.774826, delay:0.28525838, throughput:10986
REAL_TEST step:12, travel time:680.902474623499, q_loss:100, rewards:-948.5054, queue:72.23177, delay:0.2611858, throughput:10692
REAL_TEST step:14, travel time:278.6216470327969, q_loss:100, rewards:-323.8687, queue:27.167534, delay:0.22852878, throughput:16180
REAL_TEST step:16, travel time:839.1343250929775, q_loss:100, rewards:-855.4821, queue:66.119095, delay:0.26236036, throughput:9134
REAL_TEST step:18, travel time:986.0930369621958, q_loss:100, rewards:-654.6006, queue:49.081078, delay:0.19278128, throughput:7792
REAL_TEST step:20, travel time:458.516786360717, q_loss:100, rewards:-332.75885, queue:27.068924, delay:0.16677661, throughput:14517
REAL_TEST step:22, travel time:521.5252355518214, q_loss:100, rewards:-436.199, queue:35.93073, delay:0.1854789, throughput:12998
REAL_TEST step:24, travel time:367.7273780622379, q_loss:100, rewards:-512.00867, queue:42.961113, delay:0.22097151, throughput:15595
REAL_TEST step:26, travel time:319.08758737555604, q_loss:100, rewards:-277.55524, queue:22.005383, delay:0.18203756, throughput:16809
REAL_TEST step:28, travel time:344.7524700380006, q_loss:100, rewards:-325.442, queue:26.486631, delay:0.19573835, throughput:14954
REAL_TEST step:30, travel time:535.2406542056075, q_loss:100, rewards:-542.25867, queue:36.65191, delay:0.20175438, throughput:12507
REAL_TEST step:32, travel time:445.7114672494385, q_loss:100, rewards:-445.54715, queue:33.83906, delay:0.19155943, throughput:14031
REAL_TEST step:34, travel time:805.9740854749804, q_loss:100, rewards:-906.93665, queue:66.76684, delay:0.24905547, throughput:9740
REAL_TEST step:36, travel time:618.2246713070379, q_loss:100, rewards:-468.5766, queue:38.25382, delay:0.18999685, throughput:11953
REAL_TEST step:38, travel time:649.3026438155972, q_loss:100, rewards:-711.5776, queue:55.70156, delay:0.2533697, throughput:11391
REAL_TEST step:40, travel time:547.1835093011564, q_loss:100, rewards:-494.91995, queue:35.448784, delay:0.19846569, throughput:12790
