Loading cached latent encoders from pretrained/vae_embedding/dqn/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_16/baseline_v1_vae_s0/model/tempe_16_noise5_dqn_latent_observation -> eval real_setting=combine2
REAL_TEST step:2, travel time:948.6677797513322, q_loss:100, rewards:-2064.585, queue:169.76854, delay:1.3330315, throughput:8549
REAL_TEST step:4, travel time:433.5178035663742, q_loss:100, rewards:-1159.0807, queue:98.27081, delay:1.3200632, throughput:14577
REAL_TEST step:6, travel time:314.34866436880657, q_loss:100, rewards:-1033.0494, queue:77.56121, delay:1.3908538, throughput:16212
REAL_TEST step:8, travel time:391.8342562227837, q_loss:100, rewards:-1148.2496, queue:89.49905, delay:1.3705295, throughput:15750
REAL_TEST step:10, travel time:396.7968016592075, q_loss:100, rewards:-1111.8527, queue:87.7206, delay:1.2781491, throughput:15370
REAL_TEST step:12, travel time:369.6588292003642, q_loss:100, rewards:-1084.3303, queue:83.997375, delay:1.3012811, throughput:15749
REAL_TEST step:14, travel time:243.69222261324217, q_loss:100, rewards:-618.245, queue:50.005936, delay:1.2254581, throughput:17761
REAL_TEST step:16, travel time:407.35143211547137, q_loss:100, rewards:-1136.9421, queue:89.04996, delay:1.2901723, throughput:15071
REAL_TEST step:18, travel time:381.6150402357475, q_loss:100, rewards:-993.67377, queue:73.04335, delay:1.2120838, throughput:15475
REAL_TEST step:20, travel time:338.3906444906445, q_loss:100, rewards:-862.3803, queue:67.34868, delay:1.2208731, throughput:16812
REAL_TEST step:22, travel time:410.1840082286704, q_loss:100, rewards:-1095.0217, queue:85.26539, delay:1.2482033, throughput:15662
REAL_TEST step:24, travel time:378.8988946513699, q_loss:100, rewards:-1017.54395, queue:78.05542, delay:1.2390261, throughput:16160
REAL_TEST step:26, travel time:349.22378326794615, q_loss:100, rewards:-812.46405, queue:64.18283, delay:1.2108485, throughput:16619
REAL_TEST step:28, travel time:340.49097861797816, q_loss:100, rewards:-974.89984, queue:72.57732, delay:1.3064374, throughput:16505
REAL_TEST step:30, travel time:300.8741749607124, q_loss:100, rewards:-853.2454, queue:66.713326, delay:1.2946172, throughput:17127
REAL_TEST step:32, travel time:411.862536458896, q_loss:100, rewards:-999.3408, queue:80.986565, delay:1.2726431, throughput:15908
REAL_TEST step:34, travel time:250.81973239229526, q_loss:100, rewards:-724.5726, queue:54.05868, delay:1.1822255, throughput:18761
REAL_TEST step:36, travel time:293.32582575033933, q_loss:100, rewards:-658.5792, queue:52.137424, delay:1.2386936, throughput:17750
REAL_TEST step:38, travel time:558.6537063281779, q_loss:100, rewards:-1377.1014, queue:100.29045, delay:1.303422, throughput:13010
REAL_TEST step:40, travel time:247.89384361019256, q_loss:100, rewards:-686.804, queue:54.18817, delay:1.2465419, throughput:18890
REAL_TEST step:42, travel time:496.7582902607585, q_loss:100, rewards:-1248.595, queue:91.40895, delay:1.2390258, throughput:14100
REAL_TEST step:44, travel time:404.97502819397454, q_loss:100, rewards:-1062.4355, queue:79.346214, delay:1.2288588, throughput:16145
REAL_TEST step:46, travel time:357.09364837398374, q_loss:100, rewards:-1036.3884, queue:78.377335, delay:1.2727122, throughput:17231
REAL_TEST step:48, travel time:273.900496265477, q_loss:100, rewards:-837.0528, queue:63.622505, delay:1.2034857, throughput:18338
REAL_TEST step:50, travel time:522.506823639665, q_loss:100, rewards:-1349.9934, queue:102.69112, delay:1.2787979, throughput:14022
REAL_TEST step:52, travel time:281.9948106861426, q_loss:100, rewards:-907.3925, queue:67.4703, delay:1.3018422, throughput:18916
REAL_TEST step:54, travel time:454.00394255139395, q_loss:100, rewards:-1247.0454, queue:94.27678, delay:1.2445235, throughput:15251
REAL_TEST step:56, travel time:401.717489792494, q_loss:100, rewards:-865.5109, queue:67.725914, delay:1.2070448, throughput:15330
REAL_TEST step:58, travel time:530.7635146930463, q_loss:100, rewards:-1262.4824, queue:96.69212, delay:1.2030593, throughput:14028
REAL_TEST step:60, travel time:321.8150054031802, q_loss:100, rewards:-908.7803, queue:69.47664, delay:1.2940062, throughput:17336
REAL_TEST step:62, travel time:428.59109622879726, q_loss:100, rewards:-1084.4187, queue:82.77721, delay:1.1566434, throughput:15594
