Loading cached latent encoders from pretrained/darla/dqn/tempe_1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_1x1/baseline_v1_darla_s0/model/tempe_1x1_noise5_dqn_latent_observation -> eval real_setting=noise10
REAL_TEST step:2, travel time:838.3200672645739, q_loss:100, rewards:-246.22116, queue:403.85898, delay:4.3368473, throughput:959
REAL_TEST step:4, travel time:1264.8411697247707, q_loss:100, rewards:-362.35812, queue:602.2146, delay:4.411814, throughput:649
REAL_TEST step:6, travel time:1137.6924816280384, q_loss:100, rewards:-338.9238, queue:547.8939, delay:4.3963923, throughput:768
REAL_TEST step:8, travel time:484.12023000522737, q_loss:100, rewards:-157.63239, queue:237.05011, delay:4.4700933, throughput:1462
REAL_TEST step:10, travel time:394.92995295347623, q_loss:100, rewards:-131.00043, queue:195.22624, delay:4.212716, throughput:1542
REAL_TEST step:12, travel time:495.23680083638266, q_loss:100, rewards:-162.52162, queue:243.35147, delay:4.2261243, throughput:1473
REAL_TEST step:14, travel time:337.99111343439625, q_loss:100, rewards:-112.00467, queue:167.70213, delay:4.2967105, throughput:1607
REAL_TEST step:16, travel time:187.36696288552014, q_loss:100, rewards:-57.380966, queue:93.408195, delay:4.1951923, throughput:1803
REAL_TEST step:18, travel time:427.4103502352326, q_loss:100, rewards:-136.92537, queue:207.88416, delay:4.298621, throughput:1499
REAL_TEST step:20, travel time:421.94197595399896, q_loss:100, rewards:-129.27756, queue:212.64684, delay:4.1482186, throughput:1393
REAL_TEST step:22, travel time:173.9048614741244, q_loss:100, rewards:-54.24738, queue:86.41456, delay:4.1782274, throughput:1820
REAL_TEST step:24, travel time:247.44851019341348, q_loss:100, rewards:-74.242836, queue:117.048645, delay:4.232973, throughput:1739
REAL_TEST step:26, travel time:264.97281756403555, q_loss:100, rewards:-80.933525, queue:123.592186, delay:4.2425714, throughput:1729
REAL_TEST step:28, travel time:178.98745426032409, q_loss:100, rewards:-57.043922, queue:90.225395, delay:4.3313484, throughput:1826
REAL_TEST step:30, travel time:241.18557239937272, q_loss:100, rewards:-76.37079, queue:119.216934, delay:4.3038664, throughput:1718
REAL_TEST step:32, travel time:369.43753267119706, q_loss:100, rewards:-122.27341, queue:182.00345, delay:4.3362803, throughput:1614
REAL_TEST step:34, travel time:201.00052273915315, q_loss:100, rewards:-65.74281, queue:99.775024, delay:4.256264, throughput:1815
REAL_TEST step:36, travel time:189.1144798745426, q_loss:100, rewards:-59.848183, queue:95.11965, delay:4.304464, throughput:1822
REAL_TEST step:38, travel time:240.3199163617355, q_loss:100, rewards:-74.33822, queue:114.56276, delay:4.2304187, throughput:1758
REAL_TEST step:40, travel time:205.3894406691061, q_loss:100, rewards:-65.37435, queue:103.52911, delay:4.213823, throughput:1798
REAL_TEST step:42, travel time:195.97961317302665, q_loss:100, rewards:-61.831463, queue:97.692566, delay:4.278768, throughput:1815
REAL_TEST step:44, travel time:189.83951907997908, q_loss:100, rewards:-59.352036, queue:92.896255, delay:4.265874, throughput:1834
REAL_TEST step:46, travel time:198.56194458964976, q_loss:100, rewards:-63.6724, queue:97.71747, delay:4.311686, throughput:1829
REAL_TEST step:48, travel time:199.35859905906952, q_loss:100, rewards:-61.859776, queue:99.96659, delay:4.1574225, throughput:1809
REAL_TEST step:50, travel time:187.935703084161, q_loss:100, rewards:-59.656185, queue:92.61531, delay:4.1990223, throughput:1807
REAL_TEST step:52, travel time:186.69681129116572, q_loss:100, rewards:-59.258934, queue:92.1994, delay:4.109944, throughput:1806
REAL_TEST step:54, travel time:210.48405645582855, q_loss:100, rewards:-67.85861, queue:104.78315, delay:4.052668, throughput:1798
REAL_TEST step:56, travel time:212.2890747516989, q_loss:100, rewards:-66.20492, queue:101.19023, delay:4.2077103, throughput:1794
REAL_TEST step:58, travel time:210.20752744380553, q_loss:100, rewards:-67.013535, queue:104.18477, delay:4.274882, throughput:1812
REAL_TEST step:60, travel time:233.6074228959749, q_loss:100, rewards:-71.767, queue:112.27285, delay:4.240721, throughput:1772
REAL_TEST step:62, travel time:204.68792472556194, q_loss:100, rewards:-65.880905, queue:101.749435, delay:4.099144, throughput:1797
REAL_TEST step:64, travel time:228.2263460533194, q_loss:100, rewards:-68.65766, queue:104.53954, delay:4.2254324, throughput:1794
REAL_TEST step:66, travel time:212.44171458442239, q_loss:100, rewards:-68.99, queue:104.27748, delay:4.309869, throughput:1793
REAL_TEST step:68, travel time:238.84422373235756, q_loss:100, rewards:-71.74096, queue:113.58249, delay:4.1385326, throughput:1764
REAL_TEST step:70, travel time:254.71719811813904, q_loss:100, rewards:-77.00104, queue:116.91745, delay:4.320883, throughput:1778
REAL_TEST step:72, travel time:211.31364349189755, q_loss:100, rewards:-68.034, queue:104.3272, delay:4.2114115, throughput:1803
REAL_TEST step:74, travel time:205.82017773131207, q_loss:100, rewards:-66.205025, queue:99.66892, delay:4.3059735, throughput:1791
REAL_TEST step:76, travel time:217.06116048092002, q_loss:100, rewards:-70.592, queue:104.93482, delay:4.2852273, throughput:1802
REAL_TEST step:78, travel time:240.96497647673812, q_loss:100, rewards:-73.38838, queue:115.03854, delay:4.273708, throughput:1759
REAL_TEST step:80, travel time:234.29796131730268, q_loss:100, rewards:-76.082214, queue:113.80383, delay:4.3029275, throughput:1781
REAL_TEST step:82, travel time:223.41244119184526, q_loss:100, rewards:-72.25347, queue:109.02572, delay:4.310014, throughput:1812
REAL_TEST step:84, travel time:261.74960794563515, q_loss:100, rewards:-77.38598, queue:123.16817, delay:4.357808, throughput:1766
REAL_TEST step:86, travel time:258.91688447464713, q_loss:100, rewards:-77.41627, queue:118.7274, delay:4.216801, throughput:1759
REAL_TEST step:88, travel time:213.61108207004705, q_loss:100, rewards:-68.24686, queue:100.5037, delay:4.260295, throughput:1804
REAL_TEST step:90, travel time:216.00784108729744, q_loss:100, rewards:-68.25374, queue:104.01917, delay:4.182927, throughput:1804
REAL_TEST step:92, travel time:265.9038159958181, q_loss:100, rewards:-78.89456, queue:122.45341, delay:4.2249994, throughput:1788
REAL_TEST step:94, travel time:212.17407213800314, q_loss:100, rewards:-67.47031, queue:102.07614, delay:4.223825, throughput:1791
REAL_TEST step:96, travel time:208.8964976476738, q_loss:100, rewards:-67.475815, queue:101.88421, delay:4.140354, throughput:1801
REAL_TEST step:98, travel time:231.67276529012022, q_loss:100, rewards:-71.8011, queue:110.093704, delay:4.2018933, throughput:1805
REAL_TEST step:100, travel time:231.41871406168323, q_loss:100, rewards:-70.89363, queue:111.14914, delay:4.1963587, throughput:1791
REAL_TEST step:102, travel time:237.76529012023, q_loss:100, rewards:-75.11063, queue:114.29294, delay:4.2700424, throughput:1792
REAL_TEST step:104, travel time:264.2023000522739, q_loss:100, rewards:-83.10633, queue:125.68694, delay:4.3617816, throughput:1766
REAL_TEST step:106, travel time:243.41139571353895, q_loss:100, rewards:-76.11178, queue:116.35323, delay:4.244948, throughput:1740
REAL_TEST step:108, travel time:250.84265551489807, q_loss:100, rewards:-79.21838, queue:122.16114, delay:4.242953, throughput:1763
