Loading cached latent encoders from pretrained/darla/dqn/tempe_1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_1x1/baseline_v1_darla_s0/model/tempe_1x1_noise5_dqn_latent_observation -> eval real_setting=combine1
REAL_TEST step:2, travel time:1418.4180945853325, q_loss:100, rewards:-267.44437, queue:425.91736, delay:1.2662613, throughput:446
REAL_TEST step:4, travel time:1253.868, q_loss:100, rewards:-322.286, queue:537.429, delay:1.5376446, throughput:654
REAL_TEST step:6, travel time:1072.740056022409, q_loss:100, rewards:-307.5443, queue:497.93234, delay:1.6213343, throughput:801
REAL_TEST step:8, travel time:861.6350855745721, q_loss:100, rewards:-238.48206, queue:353.0523, delay:1.6427426, throughput:952
REAL_TEST step:10, travel time:357.1913225300575, q_loss:100, rewards:-89.12701, queue:130.11847, delay:1.4173906, throughput:1628
REAL_TEST step:12, travel time:365.8923157344485, q_loss:100, rewards:-72.40853, queue:107.030174, delay:1.2552186, throughput:1622
REAL_TEST step:14, travel time:341.3047569262938, q_loss:100, rewards:-85.75175, queue:126.28173, delay:1.5340621, throughput:1608
REAL_TEST step:16, travel time:257.83585990590694, q_loss:100, rewards:-37.182995, queue:59.94376, delay:1.3230639, throughput:1721
REAL_TEST step:18, travel time:619.5122843700993, q_loss:100, rewards:-178.54543, queue:284.015, delay:1.5488743, throughput:1174
REAL_TEST step:20, travel time:418.4338734971249, q_loss:100, rewards:-101.06959, queue:167.99211, delay:1.4778756, throughput:1584
REAL_TEST step:22, travel time:174.77051751176162, q_loss:100, rewards:-20.822992, queue:33.438698, delay:1.3558736, throughput:1827
REAL_TEST step:24, travel time:288.83585990590694, q_loss:100, rewards:-58.172977, queue:93.247345, delay:1.5072064, throughput:1702
REAL_TEST step:26, travel time:305.0308416100366, q_loss:100, rewards:-69.24215, queue:104.6073, delay:1.5030546, throughput:1624
REAL_TEST step:28, travel time:166.95295347621536, q_loss:100, rewards:-20.603708, queue:32.7031, delay:1.4768126, throughput:1825
REAL_TEST step:30, travel time:168.43335075797177, q_loss:100, rewards:-20.580843, queue:32.47279, delay:1.3815149, throughput:1817
REAL_TEST step:32, travel time:850.6125892277742, q_loss:100, rewards:-213.677, queue:315.4335, delay:1.4783225, throughput:938
REAL_TEST step:34, travel time:173.3925771040251, q_loss:100, rewards:-22.75341, queue:35.391464, delay:1.4516057, throughput:1823
REAL_TEST step:36, travel time:638.3407973784817, q_loss:100, rewards:-136.64827, queue:214.56578, delay:1.4180555, throughput:1227
REAL_TEST step:38, travel time:316.89492943021435, q_loss:100, rewards:-68.120964, queue:111.67247, delay:1.4888718, throughput:1688
REAL_TEST step:40, travel time:176.1495033978045, q_loss:100, rewards:-22.491264, queue:35.923195, delay:1.3571718, throughput:1814
REAL_TEST step:42, travel time:199.25718766335598, q_loss:100, rewards:-29.058914, queue:47.44796, delay:1.4011778, throughput:1811
REAL_TEST step:44, travel time:183.96811291165707, q_loss:100, rewards:-24.737125, queue:38.818947, delay:1.4021819, throughput:1825
REAL_TEST step:46, travel time:184.7036069001568, q_loss:100, rewards:-26.349312, queue:40.54873, delay:1.4703069, throughput:1810
REAL_TEST step:48, travel time:205.26450601150026, q_loss:100, rewards:-31.347546, queue:51.264664, delay:1.4421644, throughput:1808
REAL_TEST step:50, travel time:182.8254051228437, q_loss:100, rewards:-21.359268, queue:34.043995, delay:1.343996, throughput:1830
REAL_TEST step:52, travel time:167.54103502352325, q_loss:100, rewards:-20.478998, queue:32.51635, delay:1.3920249, throughput:1815
REAL_TEST step:54, travel time:854.4853689567431, q_loss:100, rewards:-167.35347, queue:259.7363, delay:1.4232209, throughput:935
REAL_TEST step:56, travel time:226.09147935180346, q_loss:100, rewards:-30.654676, queue:46.018, delay:1.3428187, throughput:1815
REAL_TEST step:58, travel time:173.63199163617355, q_loss:100, rewards:-22.203768, queue:35.607224, delay:1.4471208, throughput:1817
REAL_TEST step:60, travel time:175.89179299529536, q_loss:100, rewards:-22.180855, queue:35.17683, delay:1.3722696, throughput:1815
REAL_TEST step:62, travel time:217.60533193936226, q_loss:100, rewards:-35.665558, queue:57.14272, delay:1.4114407, throughput:1806
REAL_TEST step:64, travel time:194.4861474124412, q_loss:100, rewards:-24.906168, queue:38.309727, delay:1.3386334, throughput:1819
REAL_TEST step:66, travel time:180.27339257710403, q_loss:100, rewards:-23.552624, queue:36.92605, delay:1.3834304, throughput:1830
REAL_TEST step:68, travel time:183.7851542080502, q_loss:100, rewards:-22.477058, queue:35.355164, delay:1.3170346, throughput:1813
REAL_TEST step:70, travel time:200.337689492943, q_loss:100, rewards:-26.396214, queue:40.704556, delay:1.3699527, throughput:1816
REAL_TEST step:72, travel time:230.51646628332463, q_loss:100, rewards:-31.254183, queue:47.9664, delay:1.2920285, throughput:1778
REAL_TEST step:74, travel time:177.5906952430737, q_loss:100, rewards:-22.1007, queue:34.56284, delay:1.4067667, throughput:1820
REAL_TEST step:76, travel time:181.56874019864088, q_loss:100, rewards:-24.741879, queue:38.136406, delay:1.453757, throughput:1823
REAL_TEST step:78, travel time:261.1505488761108, q_loss:100, rewards:-50.09178, queue:81.33619, delay:1.474339, throughput:1783
REAL_TEST step:80, travel time:174.29430214323054, q_loss:100, rewards:-21.911533, queue:33.854397, delay:1.3790324, throughput:1815
REAL_TEST step:82, travel time:179.05070569785676, q_loss:100, rewards:-22.805817, queue:35.770237, delay:1.3852497, throughput:1824
REAL_TEST step:84, travel time:185.15891270256142, q_loss:100, rewards:-25.932339, queue:39.69495, delay:1.4141313, throughput:1810
REAL_TEST step:86, travel time:327.4432828018819, q_loss:100, rewards:-68.32736, queue:110.52786, delay:1.3929285, throughput:1703
REAL_TEST step:88, travel time:180.46994249869314, q_loss:100, rewards:-23.858927, queue:36.265095, delay:1.3870778, throughput:1820
REAL_TEST step:90, travel time:179.832723470988, q_loss:100, rewards:-21.09457, queue:33.043, delay:1.2115419, throughput:1826
REAL_TEST step:92, travel time:232.17250392054365, q_loss:100, rewards:-38.806034, queue:62.38081, delay:1.3233092, throughput:1775
REAL_TEST step:94, travel time:188.8060637741767, q_loss:100, rewards:-26.696983, queue:41.85224, delay:1.4416556, throughput:1811
REAL_TEST step:96, travel time:179.93518034500784, q_loss:100, rewards:-24.713984, queue:37.84115, delay:1.4047061, throughput:1821
REAL_TEST step:98, travel time:200.72556194458966, q_loss:100, rewards:-25.591578, queue:40.602985, delay:1.2774607, throughput:1819
REAL_TEST step:100, travel time:186.46889702038683, q_loss:100, rewards:-25.27182, queue:40.60375, delay:1.3682246, throughput:1826
REAL_TEST step:102, travel time:187.00313643491899, q_loss:100, rewards:-24.16445, queue:37.5407, delay:1.3654883, throughput:1797
REAL_TEST step:104, travel time:183.9048614741244, q_loss:100, rewards:-26.035357, queue:40.025234, delay:1.474071, throughput:1809
REAL_TEST step:106, travel time:204.8813382122321, q_loss:100, rewards:-26.342472, queue:41.882023, delay:1.2861071, throughput:1782
REAL_TEST step:108, travel time:186.9749085206482, q_loss:100, rewards:-24.106663, queue:38.10602, delay:1.3038205, throughput:1805
REAL_TEST step:110, travel time:186.7051751176163, q_loss:100, rewards:-24.330568, queue:38.627193, delay:1.4078624, throughput:1821
REAL_TEST step:112, travel time:445.6476738107684, q_loss:100, rewards:-109.83285, queue:178.84938, delay:1.3806617, throughput:1594
REAL_TEST step:114, travel time:183.86095138525874, q_loss:100, rewards:-26.18784, queue:40.148804, delay:1.4599044, throughput:1805
REAL_TEST step:116, travel time:1450.4993160054719, q_loss:100, rewards:-311.44836, queue:501.44727, delay:1.4186485, throughput:412
REAL_TEST step:118, travel time:184.6858337689493, q_loss:100, rewards:-26.06058, queue:40.70588, delay:1.4592606, throughput:1817
REAL_TEST step:120, travel time:187.639832723471, q_loss:100, rewards:-27.151491, queue:41.567318, delay:1.3288733, throughput:1791
REAL_TEST step:122, travel time:184.64558285415578, q_loss:100, rewards:-23.897854, queue:37.288998, delay:1.2262595, throughput:1805
REAL_TEST step:124, travel time:184.1035023523262, q_loss:100, rewards:-25.705168, queue:40.029747, delay:1.4176365, throughput:1815
REAL_TEST step:126, travel time:211.84526921066387, q_loss:100, rewards:-29.666824, queue:47.578712, delay:1.3904227, throughput:1791
REAL_TEST step:128, travel time:421.85938316779925, q_loss:100, rewards:-104.63418, queue:172.0505, delay:1.426335, throughput:1508
REAL_TEST step:130, travel time:183.78567694720334, q_loss:100, rewards:-25.878683, queue:40.198685, delay:1.4541153, throughput:1819
REAL_TEST step:132, travel time:441.67024280067756, q_loss:100, rewards:-72.716064, queue:103.14268, delay:1.2896438, throughput:1445
REAL_TEST step:134, travel time:175.7302665969681, q_loss:100, rewards:-21.663198, queue:33.10779, delay:1.3013818, throughput:1829
REAL_TEST step:136, travel time:388.5023523261892, q_loss:100, rewards:-91.3615, queue:149.84349, delay:1.3297738, throughput:1611
REAL_TEST step:138, travel time:181.66387872451648, q_loss:100, rewards:-24.221987, queue:36.966805, delay:1.3490877, throughput:1809
REAL_TEST step:140, travel time:283.5446941975954, q_loss:100, rewards:-55.89909, queue:89.91959, delay:1.3685257, throughput:1721
REAL_TEST step:142, travel time:181.30684788290642, q_loss:100, rewards:-22.524078, queue:34.876656, delay:1.2384951, throughput:1816
REAL_TEST step:144, travel time:184.67537898588606, q_loss:100, rewards:-26.095762, queue:40.09586, delay:1.3454206, throughput:1818
REAL_TEST step:146, travel time:408.00784108729744, q_loss:100, rewards:-91.47057, queue:149.3046, delay:1.2266128, throughput:1592
REAL_TEST step:148, travel time:186.11343439623627, q_loss:100, rewards:-26.888266, queue:42.091904, delay:1.4316243, throughput:1800
