replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_1x1/baseline_v1_domain_randomization_s0/model/tempe_1x1_noise5_dqn_domain_randomization -> eval real_setting=noise20
REAL_TEST step:3, travel time:185.03920543648718, q_loss:100, rewards:-104.73457, queue:161.91005, delay:8.215909, throughput:1808
REAL_TEST step:6, travel time:189.09095661265027, q_loss:100, rewards:-104.43681, queue:168.53738, delay:8.297406, throughput:1811
REAL_TEST step:9, travel time:283.28802927339257, q_loss:100, rewards:-127.27765, queue:203.02667, delay:8.315241, throughput:1693
REAL_TEST step:12, travel time:272.5190799790904, q_loss:100, rewards:-123.31358, queue:198.90567, delay:8.560867, throughput:1748
REAL_TEST step:15, travel time:418.80397281756404, q_loss:100, rewards:-163.13242, queue:261.88025, delay:8.132256, throughput:1585
REAL_TEST step:18, travel time:1621.8971389645776, q_loss:100, rewards:-441.46362, queue:695.26776, delay:8.194446, throughput:296
REAL_TEST step:21, travel time:1168.156172839506, q_loss:100, rewards:-359.76544, queue:562.0812, delay:8.431817, throughput:548
REAL_TEST step:24, travel time:1345.9404228058936, q_loss:100, rewards:-396.4322, queue:624.55035, delay:8.28006, throughput:426
REAL_TEST step:27, travel time:1194.9217391304348, q_loss:100, rewards:-364.6688, queue:570.98883, delay:8.3377285, throughput:514
REAL_TEST step:30, travel time:535.980658651333, q_loss:100, rewards:-207.02956, queue:325.11526, delay:8.008566, throughput:1319
REAL_TEST step:33, travel time:239.8855201254574, q_loss:100, rewards:-114.57844, queue:183.72179, delay:8.146129, throughput:1766
REAL_TEST step:36, travel time:302.8003136434919, q_loss:100, rewards:-130.90927, queue:206.75813, delay:8.215836, throughput:1635
REAL_TEST step:39, travel time:194.59383167799268, q_loss:100, rewards:-106.23532, queue:163.11882, delay:8.2053, throughput:1799
REAL_TEST step:42, travel time:235.807109252483, q_loss:100, rewards:-114.74828, queue:184.26561, delay:8.498488, throughput:1772
REAL_TEST step:45, travel time:285.48562467328804, q_loss:100, rewards:-126.574585, queue:204.99013, delay:8.367223, throughput:1753
REAL_TEST step:48, travel time:240.53423941453215, q_loss:100, rewards:-115.051765, queue:181.57063, delay:8.370816, throughput:1767
REAL_TEST step:51, travel time:240.35598536330372, q_loss:100, rewards:-116.31402, queue:183.42993, delay:8.327276, throughput:1792
REAL_TEST step:54, travel time:250.8604286461056, q_loss:100, rewards:-119.038864, queue:194.91103, delay:8.439286, throughput:1743
REAL_TEST step:57, travel time:321.83272347098796, q_loss:100, rewards:-133.9516, queue:213.58757, delay:8.259089, throughput:1728
