Loading cached latent encoders from pretrained/lusr/dqn/tempe_1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_1x1/baseline_v1_lusr_s0/model/tempe_1x1_noise5_dqn_latent_observation -> eval real_setting=dz10
REAL_TEST step:2, travel time:1311.7137229152988, q_loss:100, rewards:-341.77478, queue:519.96387, delay:0.75734544, throughput:598
REAL_TEST step:4, travel time:1962.4063656550704, q_loss:100, rewards:-460.2465, queue:717.7833, delay:0.75748944, throughput:157
REAL_TEST step:6, travel time:1197.864553314121, q_loss:100, rewards:-331.327, queue:538.4472, delay:0.76202315, throughput:738
REAL_TEST step:8, travel time:1197.864553314121, q_loss:100, rewards:-331.327, queue:538.4472, delay:0.76202315, throughput:738
REAL_TEST step:10, travel time:411.0893883951908, q_loss:100, rewards:-99.67174, queue:152.18611, delay:0.570393, throughput:1543
REAL_TEST step:12, travel time:413.84997386304235, q_loss:100, rewards:-100.83761, queue:153.53055, delay:0.59212136, throughput:1540
REAL_TEST step:14, travel time:411.75588081547306, q_loss:100, rewards:-99.880196, queue:152.47778, delay:0.57606626, throughput:1543
REAL_TEST step:16, travel time:254.00731834814428, q_loss:100, rewards:-38.066372, queue:64.11667, delay:0.46626028, throughput:1719
REAL_TEST step:18, travel time:465.8144276006273, q_loss:100, rewards:-108.33309, queue:180.86667, delay:0.61840725, throughput:1586
REAL_TEST step:20, travel time:257.88499738630424, q_loss:100, rewards:-39.22678, queue:65.83611, delay:0.45920545, throughput:1718
REAL_TEST step:22, travel time:879.3855421686746, q_loss:100, rewards:-234.50348, queue:376.56946, delay:0.6116213, throughput:1061
REAL_TEST step:24, travel time:206.38630423418715, q_loss:100, rewards:-22.451378, queue:37.60278, delay:0.4255257, throughput:1778
REAL_TEST step:26, travel time:391.9027705175118, q_loss:100, rewards:-85.643684, queue:143.37778, delay:0.49384716, throughput:1564
REAL_TEST step:28, travel time:1313.5112391930836, q_loss:100, rewards:-357.621, queue:597.41943, delay:0.76376784, throughput:624
REAL_TEST step:30, travel time:1793.8380177514794, q_loss:100, rewards:-419.8932, queue:650.5417, delay:0.7609709, throughput:298
REAL_TEST step:32, travel time:1313.5112391930836, q_loss:100, rewards:-357.621, queue:597.41943, delay:0.76376784, throughput:624
REAL_TEST step:34, travel time:1945.662739322533, q_loss:100, rewards:-458.17834, queue:715.04443, delay:0.75527173, throughput:164
REAL_TEST step:36, travel time:1258.1337175792507, q_loss:100, rewards:-340.61243, queue:568.7305, delay:0.703334, throughput:681
REAL_TEST step:38, travel time:1150.7977011494254, q_loss:100, rewards:-309.55023, queue:516.9056, delay:0.61002827, throughput:773
REAL_TEST step:40, travel time:361.3335075797177, q_loss:100, rewards:-73.68742, queue:123.19444, delay:0.5345118, throughput:1646
REAL_TEST step:42, travel time:460.34343962362783, q_loss:100, rewards:-109.21953, queue:180.84445, delay:0.530509, throughput:1486
REAL_TEST step:44, travel time:169.4343962362781, q_loss:100, rewards:-9.992665, queue:16.119444, delay:0.41865402, throughput:1829
REAL_TEST step:46, travel time:159.45164662833247, q_loss:100, rewards:-6.4640837, queue:10.830556, delay:0.37532568, throughput:1835
REAL_TEST step:48, travel time:714.3319884726225, q_loss:100, rewards:-174.956, queue:290.62222, delay:0.50255036, throughput:1236
REAL_TEST step:50, travel time:492.4830109775222, q_loss:100, rewards:-120.35523, queue:200.63889, delay:0.46325392, throughput:1464
REAL_TEST step:52, travel time:1503.6523350630096, q_loss:100, rewards:-344.70813, queue:534.1556, delay:0.5821398, throughput:493
REAL_TEST step:54, travel time:672.2806916426513, q_loss:100, rewards:-161.8101, queue:269.5, delay:0.45758435, throughput:1264
REAL_TEST step:56, travel time:154.71667537898588, q_loss:100, rewards:-4.8176227, queue:8.447222, delay:0.3631679, throughput:1831
REAL_TEST step:58, travel time:158.77313120752746, q_loss:100, rewards:-6.100167, queue:10.708333, delay:0.41780394, throughput:1828
REAL_TEST step:60, travel time:1497.4240111034005, q_loss:100, rewards:-365.62183, queue:573.32776, delay:0.5607595, throughput:386
