Loading cached latent encoders from pretrained/recon_baseline/dqn/tempe_1x1
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_1x1/baseline_v1_recon_baseline_s0/model/tempe_1x1_noise5_dqn_latent_observation -> eval real_setting=noise10
REAL_TEST step:1, travel time:246.64558285415578, q_loss:100, rewards:-77.74894, queue:115.78167, delay:4.268357, throughput:1683
REAL_TEST step:2, travel time:1693.7977695167285, q_loss:100, rewards:-411.55, queue:638.6818, delay:4.400337, throughput:380
REAL_TEST step:3, travel time:1311.7137229152988, q_loss:100, rewards:-358.66034, queue:548.6559, delay:4.4006014, throughput:598
REAL_TEST step:4, travel time:1197.864553314121, q_loss:100, rewards:-349.4199, queue:567.4597, delay:4.521986, throughput:738
REAL_TEST step:5, travel time:629.9654992158912, q_loss:100, rewards:-201.22168, queue:316.4382, delay:4.2507043, throughput:1292
REAL_TEST step:6, travel time:414.13225300575016, q_loss:100, rewards:-131.28326, queue:201.57649, delay:4.212396, throughput:1540
REAL_TEST step:7, travel time:1309.514121037464, q_loss:100, rewards:-373.50925, queue:620.5676, delay:4.420866, throughput:626
REAL_TEST step:8, travel time:992.196027182436, q_loss:100, rewards:-308.1876, queue:512.8542, delay:4.322316, throughput:910
REAL_TEST step:9, travel time:1313.5112391930836, q_loss:100, rewards:-374.33966, queue:619.6858, delay:4.3795443, throughput:624
REAL_TEST step:10, travel time:640.8910081743869, q_loss:100, rewards:-211.23921, queue:309.60806, delay:4.188819, throughput:1256
REAL_TEST step:11, travel time:325.13748039728176, q_loss:100, rewards:-94.82164, queue:156.20447, delay:4.2327604, throughput:1616
REAL_TEST step:12, travel time:465.3418714061683, q_loss:100, rewards:-150.935, queue:227.22287, delay:4.2929845, throughput:1451
REAL_TEST step:13, travel time:692.9472033455306, q_loss:100, rewards:-219.1935, queue:349.8193, delay:4.3014545, throughput:1235
REAL_TEST step:14, travel time:321.9707266074229, q_loss:100, rewards:-100.01807, queue:156.9194, delay:4.382899, throughput:1627
REAL_TEST step:15, travel time:494.70412963931, q_loss:100, rewards:-156.85313, queue:249.87419, delay:4.3403068, throughput:1373
REAL_TEST step:16, travel time:390.95347621536854, q_loss:100, rewards:-124.18765, queue:189.34575, delay:4.3575325, throughput:1531
REAL_TEST step:17, travel time:336.2660742289597, q_loss:100, rewards:-109.06494, queue:163.34238, delay:4.3240595, throughput:1631
REAL_TEST step:18, travel time:476.49660219550447, q_loss:100, rewards:-154.811, queue:233.75381, delay:4.414052, throughput:1484
REAL_TEST step:19, travel time:254.72138003136436, q_loss:100, rewards:-75.58904, queue:120.260994, delay:4.249157, throughput:1728
REAL_TEST step:20, travel time:363.1709357030842, q_loss:100, rewards:-115.92431, queue:178.81412, delay:4.278928, throughput:1601
REAL_TEST step:21, travel time:289.18975431259804, q_loss:100, rewards:-87.11858, queue:138.25829, delay:4.343551, throughput:1690
REAL_TEST step:22, travel time:341.4228959749085, q_loss:100, rewards:-105.150604, queue:163.48688, delay:4.3561535, throughput:1635
REAL_TEST step:23, travel time:221.40512284370098, q_loss:100, rewards:-68.16539, queue:109.10484, delay:4.349605, throughput:1773
REAL_TEST step:24, travel time:212.62310507056978, q_loss:100, rewards:-65.54229, queue:108.89332, delay:4.1772585, throughput:1765
REAL_TEST step:25, travel time:387.91374803972815, q_loss:100, rewards:-119.32453, queue:193.9161, delay:4.250668, throughput:1584
REAL_TEST step:26, travel time:221.61630946157868, q_loss:100, rewards:-67.490746, queue:108.51261, delay:4.136109, throughput:1773
