Loading cached latent encoders from pretrained/vae_embedding/dqn/tempe_1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/tempe_1x1/baseline_v1_vae_s0/model/tempe_1x1_noise5_dqn_latent_observation -> eval real_setting=dz20
REAL_TEST step:2, travel time:1151.8391930835735, q_loss:100, rewards:-308.90695, queue:516.325, delay:0.586265, throughput:769
REAL_TEST step:4, travel time:1313.5112391930836, q_loss:100, rewards:-357.621, queue:597.41943, delay:0.76376784, throughput:624
REAL_TEST step:6, travel time:1313.5112391930836, q_loss:100, rewards:-357.621, queue:597.41943, delay:0.76376784, throughput:624
REAL_TEST step:8, travel time:1190.2492997198879, q_loss:100, rewards:-330.3573, queue:551.9694, delay:0.7503776, throughput:684
REAL_TEST step:10, travel time:1076.1372291529876, q_loss:100, rewards:-277.8062, queue:413.05276, delay:0.7330412, throughput:806
REAL_TEST step:12, travel time:412.16832200731835, q_loss:100, rewards:-99.999504, queue:152.73334, delay:0.5813958, throughput:1543
REAL_TEST step:14, travel time:758.1955741626795, q_loss:100, rewards:-210.28438, queue:300.2139, delay:0.69449127, throughput:1172
REAL_TEST step:16, travel time:1742.0476878612717, q_loss:100, rewards:-416.1809, queue:645.5972, delay:0.7586013, throughput:322
REAL_TEST step:18, travel time:258.4474647151072, q_loss:100, rewards:-39.365314, queue:66.083336, delay:0.47064728, throughput:1714
REAL_TEST step:20, travel time:212.7961317302666, q_loss:100, rewards:-24.555708, queue:40.3, delay:0.47286278, throughput:1774
REAL_TEST step:22, travel time:312.2320961840042, q_loss:100, rewards:-66.6211, queue:96.66389, delay:0.4832701, throughput:1653
REAL_TEST step:24, travel time:354.31364349189755, q_loss:100, rewards:-72.52019, queue:121.1, delay:0.5613977, throughput:1619
REAL_TEST step:26, travel time:541.6706743335076, q_loss:100, rewards:-136.8799, queue:228.78612, delay:0.5532085, throughput:1385
REAL_TEST step:28, travel time:2000.4863064396743, q_loss:100, rewards:-464.04315, queue:733.3417, delay:0.7480278, throughput:97
